C000001_en_000	Armed forces occupations
C001463_en_001	control panel monitor
C001463_en_002	gas process operator
C001463_en_003	gas processing control room manager
C001463_en_004	gas processing control room supervisor
C001463_en_005	gas processing control room technician
C001463_en_006	gas processing plant operator
C001463_en_007	monitoring panel operator
C001463_en_008	panel board operator
C001463_en_009	panel controller
C001463_en_010	plant monitoring operator
C001463_en_011	process control operator
C001463_en_012	process control room operator
C001463_en_013	process plant operator
C001464_en_000	jewellery and watches shop manager
C001464_en_001	diamond shop manager
C001464_en_002	diamond store manager
C001464_en_003	diamonds and precious metals jewellery shop manager
C001464_en_004	diamonds and precious metals store manager
C001464_en_005	jewellery and watches store manager
C001464_en_006	jewellery shop manager
C001464_en_007	jewellery store manager
C001464_en_008	luxury watches and diamond jewellery shop manager
C001464_en_009	luxury watches and diamond jewellery store manager
C001465_en_000	dredge operator
C001465_en_001	dredde operator
C001465_en_002	dredge operatr
C001465_en_003	dredger operator
C001465_en_004	port dredge operator
C001465_en_005	port dredger operator
C001466_en_000	liquid fuel engineer
C001466_en_001	biofuel engineer
C001466_en_002	biofuel specialist
C001466_en_003	chemical engineer
C001466_en_004	fuel chemist
C001466_en_005	fuel engineer
C001466_en_006	fuel specialist
C001466_en_007	fuel system engineer
C001466_en_008	gas liquids engineer
C001466_en_009	liquid fuel system maintenance engineer
C001466_en_010	natural gas engineer
C001466_en_011	natural gas specialist
C001466_en_012	petrol engineer
C001466_en_013	petrol specialist
C001467_en_000	performance rental technician
C001467_en_001	equipment hire technician
C001467_en_002	equipment technician
C001467_en_003	lighting hire equipment technician
C001467_en_004	load cell hire technician
C001467_en_005	performance rental engineer
C001467_en_006	performance rental monitor
C001467_en_007	rental equipment performance engineer
C001467_en_008	rental equipment performance technician
C001467_en_009	sound equipment hire technician
C001467_en_010	special effects hire equipment technician
C001467_en_011	venue performance monitor
C001467_en_012	venue technician (rental equipment)
C001467_en_013	weight report technician
C001468_en_000	marketing assistant
C001468_en_001	general marketing assistant
C001468_en_002	marketing associate
C001468_en_003	marketing executive assistant
C001468_en_004	marketing officer
C001468_en_005	marketing operations assistant
C001468_en_006	marketing practitioner
C001469_en_000	photojournalist
C001469_en_001	image journalist
C001469_en_002	investigative photographer
C001469_en_003	multi media image journalist
C001469_en_004	news photographer
C001469_en_005	newspaper photographer
C001469_en_006	photo correspondent
C001469_en_007	photo journalist
C001469_en_008	photo reporter
C001469_en_009	photo-journalist
C001469_en_010	photographic journalist
C001469_en_011	visual journalist
C001470_en_000	edge bander operator
C001470_en_001	adhesive bonding machine operative
C001470_en_002	adhesive bonding machine operator
C001470_en_003	adhesive bonding machine setter
C001470_en_004	adhesive bonding machine tender
C001470_en_005	adhesive bonding machine worker
C001470_en_006	banding machine operative
C001470_en_007	banding machine operator
C001470_en_008	banding machine setter
C001470_en_009	banding machine tender
C001470_en_010	banding machine worker
C001470_en_011	edge bander operative
C001470_en_012	edge bander setter
C001470_en_013	edge bander tender
C001470_en_014	edge bander worker
C001470_en_015	edgebander operative
C001470_en_016	edgebander setter
C001470_en_017	edgebander tender
C001470_en_018	edgebander worker
C001471_en_000	wholesale merchant in pharmaceutical goods
C001471_en_001	B2B sales consultant in pharmaceutical goods
C001471_en_002	assistant wholesale merchant in pharmaceutical goods
C001471_en_003	business to business sales consultant in pharmaceutical goods
C001471_en_004	business to business seller in pharmaceutical goods
C001471_en_005	graduate wholesale merchant in pharmaceutical goods
C001471_en_006	senior wholesale merchant in pharmaceutical goods
C001471_en_007	trainee wholesale merchant in pharmaceutical goods
C001471_en_008	wholesale buyer in pharmaceutical goods
C001471_en_009	wholesale merchandiser in pharmaceutical goods
C001471_en_010	wholesale trader in pharmaceutical goods
C001471_en_011	wholesaler in pharmaceutical goods
C001472_en_000	language engineer
C001472_en_001	CAT engineer language engineering expert
C001472_en_002	computer-aided translation engineer
C001472_en_003	computer-assisted translation engineer
C001472_en_004	language engineering adviser
C001472_en_005	language engineering consultant
C001472_en_006	language engineering specialist
C001472_en_007	language technologist
C001472_en_008	language technology engineer
C001472_en_009	language technology engineering adviser
C001472_en_010	language technology engineering consultant
C001472_en_011	language technology engineering expert
C001472_en_012	language technology engineering specialist
C001472_en_013	linguistic engineer
C001472_en_014	machine translation engineer
C001473_en_000	hospitality entertainment manager
C001473_en_001	amusement manager
C001473_en_002	cruise entertainment manager
C001473_en_003	entertainment manager
C001473_en_004	entertainments manager
C001473_en_005	holiday camp entertainment manager
C001473_en_006	holiday entertainment manager
C001473_en_007	resort entertainment manager
C001474_en_000	pedicurist
C001474_en_001	beauty salon assistant
C001474_en_002	salon assistant
C001475_en_000	halal butcher
C001475_en_001	Muslim butcher
C001475_en_002	halal meat boner
C001475_en_003	halal meat butcher
C001475_en_004	halal meat slicer
C001476_en_000	animator
C001476_en_001	2D animation artist
C001476_en_002	2D animation designer
C001476_en_003	2D animation specialist
C001476_en_004	2D animator
C001476_en_005	2D computer animation artist
C001476_en_006	2D hand-drawn animator
C001476_en_007	3D animation artist
C001476_en_008	3D animation designer
C001476_en_009	3D animation specialist
C001476_en_010	3D computer animation artist
C001476_en_011	3D computer-generated imagery animator
C001476_en_012	CGI animator
C001476_en_013	animation artist
C001476_en_014	animation designer
C001476_en_015	animation specialist
C001476_en_016	animators
C001476_en_017	cartoon animator
C001476_en_018	computer animation artist
C001476_en_019	computer animator
C001476_en_020	hand-drawn animator
C001476_en_021	traditional animator
C001477_en_000	yarn spinner
C001477_en_001	cotton spinner
C001477_en_002	spinning machine tender
C001477_en_003	spinning mechanic
C001477_en_004	spinning mechanics
C001477_en_005	spinning-frame tender
C001477_en_006	staple yarn spinner
C001477_en_007	thread spinner
C001477_en_008	yarn spinners
C001478_en_000	communications lecturer
C001478_en_001	communication and media lecturer
C001478_en_002	communications docent
C001478_en_003	communications instructor
C001478_en_004	communications lector
C001478_en_005	communications professor
C001478_en_006	communications teacher
C001478_en_007	higher education communications teacher
C001478_en_008	lecturer in communication and media
C001478_en_009	lecturer in communications
C001478_en_010	lecturer of communications
C001478_en_011	professor of communication
C001478_en_012	professor of communications
C001478_en_013	university communications lecturer
C001478_en_014	university communications teacher
C001478_en_015	university lecturer in communications
C001479_en_000	ATM repair technician
C001479_en_001	ATM servicer
C001479_en_002	automated teller machine repair technician
C001479_en_003	automatic teller machine repair technician
C001479_en_004	cash machine repair technician
C001479_en_005	cashpoint repair technician
C001480_en_000	electrician
C001480_en_001	electrical installer
C001480_en_002	electrical maintenance technician
C001480_en_003	electrical maintenance worker
C001480_en_004	electrical services installer
C001480_en_005	electrical systems installer
C001480_en_006	electrical worker
C001480_en_007	installation electrician
C001480_en_008	maintenance electrician
C001480_en_009	wireman
C001480_en_010	wirewoman
C001481_en_000	gambling, betting, and lottery quality assurance engineer
C001481_en_001	betting quality controller
C001481_en_002	betting, gambling, and lottery quality assurance engineer
C001481_en_003	betting, gambling, and lottery quality controller
C001481_en_004	betting, gaming, and lottery quality assurance engineer
C001481_en_005	betting, lottery, and gambling quality assurance engineer
C001481_en_006	betting, lottery, and gambling quality controller
C001481_en_007	betting, lottery, and gaming quality assurance engineer
C001481_en_008	gambling engineer
C001481_en_009	gambling quality controller
C001481_en_010	gambling, betting, and lottery quality controller
C001481_en_011	gambling, lottery, and betting quality assurance controller
C001481_en_012	gambling, lottery, and betting quality assurance engineer
C001481_en_013	gaming, betting, and lottery quality assurance engineer
C001481_en_014	gaming, lottery, and betting quality assurance engineer
C001481_en_015	lottery quality controller
C001481_en_016	lottery, betting, and gambling quality assurance engineer
C001481_en_017	lottery, betting, and gambling quality controller
C001481_en_018	lottery, betting, and gaming quality assurance engineer
C001481_en_019	lottery, gambling, and betting quality assurance engineer
C001481_en_020	lottery, gambling, and betting quality controller
C001481_en_021	lottery, gaming, and betting quality assurance engineer
C001481_en_022	test operator in gambling
C001482_en_000	wood and construction materials distribution manager
C001482_en_001	assistant wood and construction materials distribution manager
C001482_en_002	graduate wood and construction materials distribution manager
C001482_en_003	senior wood and construction materials distribution manager
C001482_en_004	trainee wood and construction materials distribution manager
C001482_en_005	wood and construction materials distribution planner
C001482_en_006	wood and construction materials logistics manager
C001482_en_007	wood and construction materials logistics planner
C001482_en_008	wood and construction materials supply chain manager
C001482_en_009	wood and construction materials supply chain planner
C001483_en_000	make-up artist
C001483_en_001	fashion makeup artist
C001483_en_002	make up artist
C001483_en_003	make up consultant
C001483_en_004	make up specialist
C001483_en_005	make-up consultant
C001483_en_006	make-up specialist
C001483_en_007	makeup stylist
C001483_en_008	prosthetics & make up artist
C001483_en_009	prosthetics & make-up artist
C001483_en_010	prosthetics and make up artist
C001483_en_011	prosthetics and make-up artist
C001483_en_012	prosthetics builder
C001483_en_013	prosthetics make up artist
C001483_en_014	prosthetics make-up artist
C001483_en_015	prosthetics maker
C001483_en_016	special effects & make up artist
C001483_en_017	special effects & make-up artist
C001483_en_018	special effects and make up artist
C001483_en_019	special effects and make-up artist
C001483_en_020	special effects make up artist
C001483_en_021	special effects make-up artist
C001483_en_022	theatre makeup artist
C001484_en_000	property insurance underwriter
C001484_en_001	home office insurance underwriter
C001484_en_002	home office insurance underwriters
C001484_en_003	property and automobile underwriter
C001484_en_004	property and automobile underwriters
C001484_en_005	property insurance assessor
C001484_en_006	property insurance assessors
C001484_en_007	property underwriter
C001484_en_008	property underwriters
C001485_en_000	oenologist
C001485_en_001	wine advisor
C001485_en_002	wine maker
C001485_en_003	wine producer
C001485_en_004	wine production expert
C001485_en_005	wine production specialist
C001485_en_006	winery cellar master
C001486_en_000	sommelier
C001486_en_001	restaurant sommelier
C001486_en_002	wine manager
C001486_en_003	wine waiter
C001487_en_000	bindery operator
C001487_en_001	binder
C001487_en_002	binder machine operator
C001487_en_003	binder machine tender
C001487_en_004	binder operator
C001487_en_005	binder specialist
C001487_en_006	binder technician
C001487_en_007	bindery machine operator
C001487_en_008	bindery machine specialist
C001487_en_009	bindery machine technician
C001487_en_010	bindery operative
C001487_en_011	bindery specialist
C001487_en_012	bindery technician
C001487_en_013	bindery worker
C001487_en_014	binding machine operator
C001487_en_015	binding machine tender
C001487_en_016	binding operator
C001487_en_017	bookbinder
C001487_en_018	bookbinding machine operator
C001487_en_019	paper binder
C001487_en_020	perfect binder operator
C001487_en_021	perfect binder specialist
C001487_en_022	perfect binder technician
C001487_en_023	perfect bindery operator
C001487_en_024	perfect bindery specialist
C001487_en_025	perfect bindery technician
C001487_en_026	perfect binding operator
C001487_en_027	printing stitcher operator
C001488_en_000	lexicographer
C001488_en_001	bilingual dictionaries lexicographer
C001488_en_002	bilingual dictionary editor
C001488_en_003	computational lexicographer
C001488_en_004	dictionary editor
C001488_en_005	lexicologist
C001488_en_006	linguistic lexicographer
C001488_en_007	senior lexicographer
C001489_en_000	lottery manager
C001489_en_001	general manager
C001489_en_002	lottery chief executive officer
C001489_en_003	lottery general manager
C001489_en_004	lottery managing director
C001489_en_005	lottery shop chief executive officer
C001489_en_006	lottery shop general manager
C001489_en_007	lottery shop manager
C001489_en_008	lottery shop managing director
C001489_en_009	lottery shop senior administrator
C001489_en_010	senior lottery administrator
C001490_en_000	freight transport dispatcher
C001490_en_001	air freight dispatcher
C001490_en_002	dispatcher
C001490_en_003	dispatcher of freight
C001490_en_004	dispatching officer
C001490_en_005	freight dispatcher
C001490_en_006	freight dispatching officer
C001490_en_007	freight dispatching operator
C001490_en_008	freight logistics dispatcher
C001490_en_009	freight transportation dispatcher
C001491_en_000	chiropractor
C001491_en_001	Licensed chiropractor
C001491_en_002	etiopath
C001491_en_003	musculoskeletal therapist
C001491_en_004	neuromusculoskeletal therapist
C001492_en_000	drawing kiln operator
C001492_en_001	drawing kiln operative
C001492_en_002	drawing kiln worker
C001492_en_003	drawing machine operative
C001492_en_004	drawing machine worker
C001492_en_005	flat glass kiln operator
C001492_en_006	glass kiln operator
C001492_en_007	glass operative
C001492_en_008	glass production operative
C001492_en_009	glassmaker
C001493_en_000	quick service restaurant team leader
C001493_en_001	fast food shift team leader
C001493_en_002	fast food team leader
C001493_en_003	fast service shift team leader
C001493_en_004	fast service team leader
C001494_en_000	technical sales representative in hardware, plumbing and heating equipment
C001494_en_001	assistant technical sales engineer in hardware, plumbing and heating equipment
C001494_en_002	assistant technical sales representative in hardware, plumbing and heating equipment
C001494_en_003	graduate technical sales engineer in hardware, plumbing and heating equipment
C001494_en_004	graduate technical sales representative in hardware, plumbing and heating equipment
C001494_en_005	hardware sales representative
C001494_en_006	hardware, plumbing and heating sales representative
C001494_en_007	heating product sales representative
C001494_en_008	senior technical sales engineer in hardware, plumbing and heating equipment
C001494_en_009	senior technical sales representative in hardware, plumbing and heating equipment
C001494_en_010	technical sales representative in hardware
C001494_en_011	technical sales representative in heating equipment
C001494_en_012	technical sales representative in plumbing
C001494_en_013	technical salesman in hardware, plumbing and heating equipment
C001494_en_014	technical salesperson in hardware, plumbing and heating equipment
C001494_en_015	technical saleswoman in hardware, plumbing and heating equipment
C001494_en_016	trainee technical sales engineer in hardware, plumbing and heating equipment
C001494_en_017	trainee technical sales representative in hardware, plumbing and heating equipment
C001495_en_000	surface grinding machine operator
C001495_en_001	back grinding machine operator
C001495_en_002	filling and grinding machine operator
C001496_en_000	surface miner
C001496_en_001	collier
C001496_en_002	mine operative
C001496_en_003	quarry stationary plant operative
C001496_en_004	surface mining operative
C001497_en_000	sole and heel operator
C001497_en_001	heel nailing machine operator
C001497_en_002	heel nailing machine tender
C001497_en_003	shoe cementer
C001497_en_004	sole blacker
C001497_en_005	sole cementer
C001497_en_006	sole stitcher
C001498_en_000	healthcare institution manager
C001498_en_001	general manager
C001498_en_002	general manager healthcare
C001498_en_003	health service manager
C001498_en_004	healthcare director
C001498_en_005	healthcare general manager
C001498_en_006	healthcare operations director
C001498_en_007	healthcare operations manager
C001498_en_008	hospital operations manager
C001498_en_009	hospital operations supervisor
C001499_en_000	insulating tube winder
C001499_en_001	convolute tube winder
C001499_en_002	hand winder, insulating tubes
C001499_en_003	tube winder
C001499_en_004	tube winding machine operative
C001499_en_005	tube winding machine operator
C001499_en_006	tube winding machine setter
C001499_en_007	tube winding machine tender
C001499_en_008	winder, insulating tubes
C001499_en_009	winding technician
C001500_en_000	materials engineer
C001500_en_001	building materials engineer
C001500_en_002	building materials engineering adviser
C001500_en_003	building materials engineering consultant
C001500_en_004	building materials engineering expert
C001500_en_005	building materials engineering specialist
C001500_en_006	ceramic engineer
C001500_en_007	construction materials engineer
C001500_en_008	construction materials engineering adviser
C001500_en_009	construction materials engineering consultant
C001500_en_010	construction materials engineering expert
C001500_en_011	construction materials engineering specialist
C001500_en_012	material engineer
C001500_en_013	materials engineering adviser
C001500_en_014	materials engineering consultant
C001500_en_015	materials engineering expert
C001500_en_016	materials engineering specialist
C001501_en_000	tax compliance officer
C001501_en_001	council tax officer
C001501_en_002	enforcement agent
C001501_en_003	revenue compliance officer
C001501_en_004	tax compliance agent
C001501_en_005	tax enforcement officer
C001501_en_006	tax officer
C001501_en_007	tax payment enforcement officer
C001501_en_008	taxpayer compliance officer
C001502_en_000	army corporal
C001502_en_001	armed forces corporal
C001502_en_002	batallion corporal
C001502_en_003	corporal
C001502_en_004	lance corporal
C001502_en_005	master corporal
C001502_en_006	regimental corporal
C001502_en_007	royal marines corporal
C001502_en_008	special forces corporal
C001503_en_000	anatomical pathology technician
C001503_en_001	anatomical pathology technical assistant
C001503_en_002	anatomical pathology technologist
C001503_en_003	assistant in anatomical pathology
C001503_en_004	assistant pathology technician
C001503_en_005	mortuary technician
C001503_en_006	pathology laboratory services technician
C001503_en_007	pathology laboratory technician
C001503_en_008	pathology technician
C001503_en_009	technician in anatomical pathology
C001504_en_000	plastic heat treatment equipment operator
C001504_en_001	heat treat operator
C001504_en_002	heat treat technician
C001504_en_003	heat treating equipment operator
C001504_en_004	heat treating equipment setter
C001504_en_005	heat treating operator
C001504_en_006	heat treatment equipment engineer
C001504_en_007	materials engineer
C001504_en_008	metallurgical process engineer
C001504_en_009	process engineer, metallurgical
C001505_en_000	horse trainer
C001505_en_001	dressage instructor
C001505_en_002	equestrian centre instructor
C001505_en_003	equestrian centre trainer
C001505_en_004	equine trainer
C001505_en_005	horse riding coach
C001505_en_006	horse riding instructor
C001505_en_007	horse riding trainer
C001505_en_008	jockey trainer
C001505_en_009	racehorse trainer
C001505_en_010	riding instructor
C001505_en_011	riding school instructor
C001505_en_012	riding school trainer
C001506_en_000	vehicle technician
C001506_en_001	LGV technician
C001506_en_002	PCV technician
C001506_en_003	auto mechanic
C001506_en_004	automotive maintenance technician
C001506_en_005	automotive mechanic
C001506_en_006	automotive technician
C001506_en_007	bus and coach technician
C001506_en_008	bus mechanic
C001506_en_009	bus technician
C001506_en_010	car mechanic
C001506_en_011	coach technician
C001506_en_012	heavy vehicle technician
C001506_en_013	light vehicle technician
C001506_en_014	moped mechanic
C001506_en_015	moped repairer
C001506_en_016	moped technician
C001506_en_017	motor vehicle mechanic
C001506_en_018	motorbike mechanic
C001506_en_019	motorbike repairer
C001506_en_020	motorbike technician
C001506_en_021	motorcycle mechanic
C001506_en_022	road vehicle mechanic
C001506_en_023	senior bus technician
C001506_en_024	truck mechanic
C001506_en_025	van mechanic
C001506_en_026	vehicle mechanic
C001507_en_000	second-hand goods specialised seller
C001507_en_001	army surplus goods salesperson
C001507_en_002	army surplus goods specialised seller
C001507_en_003	charity shop salesperson
C001507_en_004	charity shop specialised seller
C001507_en_005	second hand bookshop salesperson
C001507_en_006	second hand goods specialised seller
C001507_en_007	second-hand goods salesperson
C001507_en_008	thrift shop salesperson
C001507_en_009	thrift shop specialised seller
C001507_en_010	vintage clothes salesperson
C001507_en_011	vintage clothes specialised seller
C001508_en_000	membership manager
C001508_en_001	club manager
C001508_en_002	member records manager
C001508_en_003	membership account manager
C001508_en_004	membership and subscription manager
C001508_en_005	membership coordinator
C001508_en_006	membership director
C001508_en_007	membership management officer
C001508_en_008	membership sales manager
C001508_en_009	membership supervisor
C001508_en_010	regional membership manager
C001508_en_011	subscription manager
C001509_en_000	social worker
C001509_en_001	assistant, social services
C001509_en_002	child and youth worker
C001509_en_003	community and social services worker
C001509_en_004	community centre worker
C001509_en_005	community counsellor
C001509_en_006	community development worker
C001509_en_007	community liaison worker
C001509_en_008	community rehabilitation worker
C001509_en_009	community service worker
C001509_en_010	community services officer
C001509_en_011	community worker
C001509_en_012	cultural mediator
C001509_en_013	social and community services worker
C001509_en_014	social outreach worker
C001509_en_015	social services assistant
C001509_en_016	social services worker
C001509_en_017	welfare worker
C001510_en_000	furniture specialised seller
C001510_en_001	furniture and lighting sales person
C001510_en_002	furniture and lighting specialised seller
C001510_en_003	furniture salesperson
C001510_en_004	furniture specialized seller
C001510_en_005	home articles salesperson
C001510_en_006	home articles specialised seller
C001510_en_007	home furnishing salesperson
C001510_en_008	home furnishing specialised seller
C001510_en_009	home furnishings salesperson
C001510_en_010	home furnishings specialised seller
C001510_en_011	lightning equipment and accessories salesperson
C001510_en_012	lightning equipment and accessories specialised seller
C001511_en_000	environmental protection manager
C001511_en_001	environmental field office manager
C001511_en_002	environmental impact assessment manager
C001511_en_003	environmental manager
C001511_en_004	environmental protection specialist
C001511_en_005	environmental safety specialist
C001512_en_000	ICT business analysis manager
C001512_en_001	ICT business analysis managers
C001512_en_002	ICT commercial analysis manager
C001512_en_003	IT business analysis director
C001512_en_004	IT business analysis manager
C001512_en_005	IT commercial analysis manager
C001512_en_006	lead IT business analyst
C001513_en_000	print studio supervisor
C001513_en_001	master bookbinder
C001513_en_002	master printer
C001513_en_003	print and production supervisor
C001513_en_004	print production supervisor
C001513_en_005	print senior operator
C001513_en_006	print senior specialist
C001513_en_007	print senior technician
C001513_en_008	print shop supervisor
C001513_en_009	print studio team leader
C001513_en_010	print studio teamleader
C001513_en_011	production supervisor in the printing industry
C001513_en_012	superintendent in the printing industry
C001514_en_000	paper machine operator
C001514_en_001	paper machine hand
C001514_en_002	paper machine specialist
C001514_en_003	paper machine technician
C001514_en_004	paper maker
C001514_en_005	paper making machine operator
C001514_en_006	paper making machine specialist
C001514_en_007	paper making machine technician
C001514_en_008	paper-making machine operator
C001514_en_009	paper-making machine specialist
C001514_en_010	paper-making machine technician
C001515_en_000	cylindrical grinder operator
C001515_en_001	air grinder
C001515_en_002	automatic grinder operative
C001515_en_003	automatic grinder operator
C001515_en_004	bearing grinder
C001515_en_005	bench grinder
C001515_en_006	billet grinder
C001515_en_007	bit grinder
C001515_en_008	blade grinder
C001515_en_009	broach grinder
C001515_en_010	crankshaft grinder
C001515_en_011	disc grinder
C001515_en_012	drill grinder
C001515_en_013	edge grinder
C001515_en_014	emery grinder
C001515_en_015	metal grinder
C001515_en_016	plate grinder
C001515_en_017	rail grinder
C001515_en_018	razor grinder
C001515_en_019	roll grinder
C001515_en_020	rolling grinder
C001516_en_000	food technologist
C001516_en_001	food tech expert
C001516_en_002	food tech specialist
C001516_en_003	food technology expert
C001516_en_004	food technology specialist
C001517_en_000	non-vessel operating common carrier
C001517_en_001	NVOCC
C001517_en_002	freight forwarder
C001517_en_003	shipment consolidator
C001518_en_000	oceanographer
C001518_en_001	marine biologist
C001518_en_002	marine chemist
C001518_en_003	marine geologist
C001518_en_004	marine physicist
C001518_en_005	marine research scientist
C001518_en_006	oceanographers
C001518_en_007	oceanography analyst
C001518_en_008	oceanography research analyst
C001518_en_009	oceanography research scientist
C001518_en_010	oceanography researcher
C001518_en_011	oceanography science researcher
C001518_en_012	oceanography scientist
C001519_en_000	leather laboratory technician
C001519_en_001	leather chemical laboratory technician
C001519_en_002	leather chemical technician
C001519_en_003	leather chemical tester
C001519_en_004	leather chemist
C001519_en_005	leather dye and chemical coordinator
C001519_en_006	leather laboratory technicians
C001519_en_007	leather tester
C001519_en_008	leather testers
C001520_en_000	securities trader
C001520_en_001	securities clerk
C001520_en_002	securities clerks
C001520_en_003	securities sales agent
C001520_en_004	securities sales agents
C001520_en_005	securities sales director
C001520_en_006	securities sales directors
C001520_en_007	securities teller
C001520_en_008	securities tellers
C001521_en_000	youth offending team worker
C001521_en_001	juvenile probation officer
C001521_en_002	juvenile probation social worker
C001521_en_003	youth justice worker
C001521_en_004	youth offender social worker
C001521_en_005	youth offender team worker
C001521_en_006	youth offending team leader
C001521_en_007	youth offending team officer
C001521_en_008	youth resettlement officer
C001521_en_009	youth resettlement worker
C001522_en_000	aeronautical information service officer
C001522_en_001	aeronautical data service officer
C001522_en_002	aeronautical information officer
C001522_en_003	officer in aeronautical information
C001523_en_000	fire prevention and protection engineer
C001523_en_001	fire prevention and protection engineering adviser
C001523_en_002	fire prevention and protection engineering consultant
C001523_en_003	fire prevention and protection engineering expert
C001523_en_004	fire prevention and protection engineering specialist
C001523_en_005	fire prevention and protection technology engineer
C001523_en_006	fire prevention and protection technology engineering adviser
C001523_en_007	fire prevention and protection technology engineering consultant
C001523_en_008	fire prevention and protection technology engineering expert
C001523_en_009	fire prevention and protection technology engineering specialist
C001523_en_010	fire prevention engineer
C001523_en_011	fire protection and prevention engineer
C001523_en_012	fire protection engineer
C001524_en_000	airport chief executive
C001524_en_001	airport CEO
C001524_en_002	airport chief operating officer
C001524_en_003	airport general manager
C001524_en_004	airport manager
C001524_en_005	chief operating officer, airport
C001524_en_006	general director of airport
C001525_en_000	book editor
C001525_en_001	acquisitions editor
C001525_en_002	book editor and consultant
C001525_en_003	book editor and project manager
C001525_en_004	book editor and publisher
C001525_en_005	book editorial director
C001525_en_006	children's book editor
C001525_en_007	commissioning editor
C001525_en_008	editorial director of publications
C001525_en_009	manuscripts editorial director
C001525_en_010	senior book editor
C001526_en_000	import export manager in office furniture
C001526_en_001	assistant export manager in office furniture
C001526_en_002	assistant import export manager in office furniture
C001526_en_003	assistant import manager in office furniture
C001526_en_004	customs compliance manager in office furniture
C001526_en_005	graduate export manager in office furniture
C001526_en_006	graduate import export manager in office furniture
C001526_en_007	graduate import manager in office furniture
C001526_en_008	international trade compliance manager in office furniture
C001526_en_009	international trade manager in office furniture
C001526_en_010	senior export manager in office furniture
C001526_en_011	senior import export manager in office furniture
C001526_en_012	senior import manager in office furniture
C001526_en_013	trainee export manager in office furniture
C001526_en_014	trainee import export manager in office furniture
C001526_en_015	trainee import manager in office furniture
C001527_en_000	benefits advice worker
C001527_en_001	advice worker, benefits
C001527_en_002	benefit advisor
C001527_en_003	employment and benefits advice worker
C001527_en_004	social benefits social worker
C001527_en_005	social security social worker
C001527_en_006	welfare benefits advice worker
C001527_en_007	welfare benefits adviser
C001527_en_008	welfare benefits social worker
C001527_en_009	welfare rights adviser
C001527_en_010	welfare rights counsellor
C001527_en_011	welfare rights officer
C001527_en_012	welfare rights worker
C001528_en_000	electricity sales representative
C001528_en_001	electric power sales consultant
C001528_en_002	electric power sales negotiator
C001528_en_003	electric power sales promoter
C001528_en_004	electric power seller
C001528_en_005	electricity sales consultant
C001528_en_006	electricity sales negotiator
C001528_en_007	electricity sales promoter
C001528_en_008	electricity sales rep
C001528_en_009	electricity salesman
C001528_en_010	electricity salesperson
C001528_en_011	electricity saleswoman
C001528_en_012	electricity seller
C001528_en_013	residential electricity sales representative
C001529_en_000	investor relations manager
C001529_en_001	investment strategy manager
C001529_en_002	investor relations director
C001529_en_003	investor relations managers
C001529_en_004	investor relations supervisor
C001529_en_005	investors relation manager
C001530_en_000	winding machine operator
C001530_en_001	bobbin winder
C001530_en_002	core winder machine operator
C001530_en_003	core winding operator
C001530_en_004	machine bobbin winder
C001530_en_005	winder operator
C001530_en_006	winder tender
C001530_en_007	winding machine tender
C001530_en_008	winding machinist
C001530_en_009	winding operator
C001531_en_000	family support worker
C001531_en_001	children and families support worker
C001531_en_002	early help family worker
C001531_en_003	early intervention worker (families)
C001531_en_004	family advice worker
C001531_en_005	family engagement worker
C001531_en_006	family intervention worker
C001531_en_007	family service worker
C001531_en_008	family social care worker
C001531_en_009	family worker (early intervention)
C001531_en_010	intensive family support worker
C001532_en_000	fire protection technician
C001532_en_001	fire alarm service technician
C001532_en_002	fire and security maintenance engineer
C001532_en_003	fire and security systems engineer
C001532_en_004	fire protection service engineer
C001532_en_005	fire risk assessor
C001532_en_006	fire suppression engineer
C001532_en_007	senior fire engineer
C001533_en_000	intelligence officer
C001533_en_001	counter-terrorism analyst
C001533_en_002	criminal intelligence analyst
C001533_en_003	cyber investigator
C001533_en_004	housing intelligence officer
C001533_en_005	intelligence analyst
C001533_en_006	intelligence investigator
C001533_en_007	intelligence research officer
C001533_en_008	intelligence research specialist
C001533_en_009	military intelligence officer
C001533_en_010	research & intelligence officer
C001533_en_011	research and intelligence officer
C001534_en_000	street warden
C001534_en_001	bylaw enforcement officer
C001534_en_002	community safety warden
C001534_en_003	community support officer
C001534_en_004	countryside ranger
C001534_en_005	environmental warden
C001534_en_006	neighborhood warden
C001534_en_007	neighbourhood warden
C001534_en_008	special constable
C001534_en_009	warden
C001535_en_000	foreign correspondent
C001535_en_001	foreign affairs correspondent
C001535_en_002	foreign journalist
C001535_en_003	foreign news correspondent
C001535_en_004	foreign reporter
C001535_en_005	international correspondent
C001535_en_006	on-the-scene reporter
C001536_en_000	underground miner
C001536_en_001	coal cutter
C001536_en_002	coal digger
C001536_en_003	coal excavator
C001536_en_004	coal hewer
C001536_en_005	collier
C001536_en_006	hewer
C001536_en_007	underground mine operative
C001536_en_008	underground mine worker
C001536_en_009	underground mineworker
C001536_en_010	underground mining operative
C001537_en_000	official veterinarian
C001537_en_001	government vet
C001537_en_002	government veterinary officer
C001537_en_003	official vet
C001537_en_004	public health veterinarian
C001537_en_005	state vet
C001537_en_006	veterinary inspector
C001538_en_000	3D printing technician
C001538_en_001	3D print service technician
C001538_en_002	3D printer operator
C001538_en_003	3D printer repairer
C001538_en_004	3D printer repairman
C001538_en_005	3D printing field service technician
