Q000001	Kadrovski menedžer
Q000786	Menedžer lepotilnega salona
Q000787	Upravljavec zapornic
Q000788	Voznik taksija
Q000789	Voznik lahkega dostavnega vozila
Q000790	Voznik avtobusa
Q000791	Voznik trolejbusa
Q000792	Voznik tramvaja
Q000793	Voznik tovornjaka
Q000794	Voznik cisterne
Q000795	Voznik vlačilca
Q000796	Upravljavec premičnih kmetijskih strojev
Q000797	Upravljavec premičnih gozdarskih strojev
Q000798	Upravljavec stroja za čiščenje kanalizacije
Q000799	Vzdrževalec smučišč
Q000800	Upravljavec stroja za čiščenje ulic
Q000801	Upravljavec strojev za progovna dela
Q000802	Upravljavec žičnice
Q000803	Upravljavec viličarja
Q000804	Upravljavec ladijskega vitla
Q000805	Upravljavec vozil za oskrbo letal
Q000806	Upravljavec težkega tovornjaka z dvigalom
Q000807	Upravljavec tovornjaka viličarja
Q000808	Upravljavec avtodvigala
Q000809	Krmar
Q000810	Ladijski strojevodja
Q000811	Mornar
Q000812	Ladijski motorist
Q000813	Ladjevodja
Q000814	Čolnar
Q000815	Svetilničar
Q000816	Vodja krova
Q000817	Čistilec na domu
Q000818	Gospodinjski pomočnik na domu
Q000819	Kuhinjski pomočnik na domu
Q000820	Fizik
Q000821	Čistilec prostorov
Q000822	Bolniški strežnik
Q000823	Farmacevtski strežnik
Q000824	Laboratorijski strežnik
Q000825	Sobar
Q000826	Pralec
Q000827	Likalec
Q000828	Fizik za mehansko fiziko
Q000829	Ročni pralec vozil
Q000830	Čistilec vozil
Q000831	Čistilec oken
Q000832	Čistilec objektov na višini
Q000833	Odstranjevalec grafitov
Q000834	Jedrski fizik
Q000835	Delavec za preprosta sadjarska dela
Q000836	Vinogradniški delavec
Q000837	Delavec za preprosta poljska dela
Q000838	Delavec za preprosta živinorejska dela
Q000839	Astronom
Q000840	Delavec za preprosta vrtnarska dela
Q000841	Delavec za preprosta gozdarska dela
Q000842	Delavec za preprosta ribiška dela
Q000843	Delavec za preprosta rudarska dela
Q000844	Delavec za preprosta kamnolomska dela
Q000845	Poslanec državnega zbora
Q000846	Delavec za preprosta dela pri nizkih gradnjah
Q000847	Delavec za preprosta dela pri visokih gradnjah
Q000848	Ročni embaler
Q000849	Ročni polnilec
Q000850	Meteorolog
Q000851	Delavec za preprosta dela v proizvodnji hrane, pijač, krmil in tobačnih izdelkov
Q000852	Delavec za preprosta dela v proizvodnji tekstilij, usnjenih oblačil, tekstilnih in krznenih izdelkov
Q000853	Delavec za preprosta dela v proizvodnji usnja, obutve in usnjenih izdelkov, razen oblačil
Q000854	Delavec za preprosta dela v obdelavi in predelavi lesa ter v proizvodnji izdelkov iz lesa, plute, slame in protja, razen pohištva
Q000855	Delavec za preprosta dela v proizvodnji vlaknin, papirja in kartona ter izdelkov iz papirja in kartona, v založništvu in tiskarstvu
Q000856	Delavec za preprosta dela v proizvodnji koksa, naftnih derivatov, jedrskega goriva
Q000857	Delavec za preprosta dela v proizvodnji kemikalij, kemičnih izdelkov, umetnih vlaken
Q000858	Delavec za preprosta dela v proizvodnji izdelkov iz gume in plastičnih mas
Q000859	Delavec za preprosta dela v proizvodnji drugih nekovinskih mineralnih izdelkov
Q000860	Delavec za preprosta dela v proizvodnji kovin in kovinskih izdelkov
Q000861	Delavec za preprosta dela v proizvodnji strojev in naprav
Q000862	Delavec za preprosta dela v proizvodnji električne in optične opreme
Q000863	Delavec za preprosta dela v proizvodnji vozil in plovil
Q000864	Delavec za preprosta dela v proizvodnji pohištva in drugih predelovalnih dejavnostih ter v reciklaži
Q000865	Delavec za preprosta dela v predelovalnih dejavnostih
Q000866	Delavec za preprosta transportna dela
Q000867	Voznik voza s konjsko vprego
Q000868	Kemik
Q000869	Polnilec polic
Q000870	Pripravljalec hitre hrane
Q000871	Picopek
Q000872	Kuhar hitre hrane
Q000873	Kemik za fizikalno kemijo
Q000874	Kuhinjski pomočnik (ne na domu)
Q000875	Gostinski pomočnik
Q000876	Poulični prodajalec drugih izdelkov
Q000877	Kemik za organsko kemijo
Q000878	Smetar
Q000879	Razvrščevalec odpadkov
Q000880	Pometalec
Q000881	Delavec za druga preprosta komunalna dela
Q000882	Kemik analitik
Q000883	Kurir
Q000884	Dostavljavec
Q000885	Raznašalec časopisov
Q000886	Razvrščevalec pošte
Q000887	Hotelski nosač
Q000888	Plakater
Q000889	Liftboy
Q000890	Postrešček
Q000891	Kemik za anorgansko kemijo
Q000892	Delavec za težja hišna opravila
Q000893	Odčitovalec s števcev
Q000894	Urejevalec žetonov v igralnicah
Q000895	Delavec za preprosta dela v gledališču in drugih kulturno-umetniških ustanovah
Q000896	Delavec za druga preprosta dela
Q000897	Častnik za finančne zadeve
Q000898	Častnik artilerije
Q000899	Častnik informatike
Q000900	Častnik inženirstva
Q000901	Častnik JRKBO
Q000902	Častnik letalstva
Q000903	Častnik nadzora zračnega prostora
Q000904	Častnik oklepnih enot
Q000905	Častnik pehote
Q000906	Častnik pomorstva
Q000907	Častnik protizračne obrambe
Q000908	Častnik za administrativne zadeve
Q000909	Častnik za kadrovske zadeve
Q000910	Častnik za obveščevalne zadeve
Q000911	Častnik za oskrbo
Q000912	Častnik za premike in transporte
Q000913	Častnik za varnostne in protiobveščevalne  zadeve
Q000914	Častnik za vzdrževanje
Q000915	Častnik za zdravstveno oskrbo
Q000916	Častnik zvez
Q000917	Podčastnik artilerije
Q000918	Minister
Q000919	Geofizik
Q000920	Podčastnik informatike
Q000921	Podčastnik inženirstva
Q000922	Podčastnik JRKBO
Q000923	Podčastnik letalstva
Q000924	Podčastnik nadzora zračnega prostora
Q000925	Podčastnik oklepnih enot
Q000926	Podčastnik pehote
Q000927	Podčastnik pomorstva (mornar)
Q000928	Podčastnik protizračne obrambe
Q000929	Podčastnik za administrativne zadeve
Q000930	Podčastnik za finančne zadeve
Q000931	Podčastnik za kadrovske zadeve
Q000932	Podčastnik za obveščevalne zadeve
Q000933	Podčastnik za oskrbo
Q000934	Podčastnik za premike in transporte
Q000935	Podčastnik za varnostne in protiobveščevalne  zadeve
Q000936	Podčastnik za vzdrževanje materialnotehničnih sredstev
Q000937	Podčastnik za zdravstveno oskrbo
Q000938	Podčastnik zvez
Q000939	Vojak artilerije
Q000940	Hidrolog
Q000941	Vojak informatike
Q000942	Vojak inženirstva
Q000943	Vojak letalstva
Q000944	Vojak nadzora zračnega prostora
Q000945	Vojak oklepnih enot
Q000946	Vojak pehote
Q000947	Vojak pomorstva (mornar)
Q000948	Vojak protizračne obrambe
Q000949	Vojak za oskrbo
Q000950	Vojak za premike in transporte
Q000951	Mineralog
Q000952	Vojak za vzdrževanje materialnotehničnih sredstev
Q000953	Vojak za zdravstveno oskrbo
Q000954	Vojak zvez
Q000955	Vojakinja JRKBO
Q000956	Občinski svetnik
Q000957	Poslanec Evropskega parlamenta
Q000958	Generalni direktor policije
Q000959	Generalni državni pravobranilec
Q000960	Generalni državni revizor
Q000961	Generalni državni tožilec
Q000962	Paleontolog
Q000963	Predsednik Senata za prekrške
Q000964	Predsednik ustavnega sodišča
Q000965	Predsednik vrhovnega sodišča
Q000966	Predstojnik računskega sodišča
Q000967	Sekretar pravobranilstva
Q000968	Sekretar sodišča
Q000969	Sekretar tožilstva
Q000970	Izvršni direktor družbe
Q000971	Pomočnik generalnega direktorja družbe
Q000972	Predsednik družbe
Q000973	Petrolog
Q000974	Predsednik nadzornega sveta
Q000975	Predsednik uprave družbe
Q000976	Finančni direktor
Q000977	Vodja finančne operative
Q000978	Vodja finančne službe
Q000979	Vodja splošno kadrovskega sektorja
Q000980	Komercialni direktor za prodajo
Q000981	Seizmolog
Q000982	Marketinški menedžer
Q000983	Menedžer za tržne raziskave
Q000984	Področni vodja prodaje
Q000985	Vodja marketinga
Q000986	Vodja prodaje
Q000987	Kreativni direktor
Q000988	Medijski direktor
Q000989	Promocijski menedžer
Q000990	Vodja ekonomske propagande
Q000991	Vodja promocijske pisarne
Q000992	Direktor raziskav in razvoja
Q000993	Direktor kmetijske zadruge
Q000994	Direktor kmetijsko-gozdarske zadruge
Q000995	Direktor vinarske zadruge
Q000996	Tehnični direktor v gozdarstvu
Q000997	Tehnični direktor v kmetijstvu
Q000998	Vodja farme
Q000999	Vodja območne enote zavoda za varstvo gozdov
Q001000	Direktor ribiške zadruge
Q001001	Tehnični direktor v ribištvu
Q001002	Tehnični direktor proizvodnje
Q001003	Vodja distribucije  za oskrbo s plinom
Q001004	Vodja distribucije  za oskrbo z elektriko
Q001005	Vodja distribucije  za oskrbo z naftnimi derivati
Q001006	Vodja distribucije  za oskrbo z vodo
Q001007	Matematik
Q001008	Vodja orodjarne
Q001009	Vodja popravil in montaže strojev in naprav
Q001010	Vodja proizvodnje električnih naprav
Q001011	Vodja proizvodnje farmacevtskih surovin in preparatov
Q001012	Vodja proizvodnje izdelkov iz gume in plastičnih mas
Q001013	Vodja proizvodnje kemikalij, kemičnih izdelkov
Q001014	Vodja proizvodnje kovin
Q001015	Vodja proizvodnje kovinskih izdelkov, razen strojev in naprav
Q001016	Župan občine
Q001017	Aktuar
Q001018	Vodja proizvodnje motornih vozil, prikolic in polprikolic
Q001019	Vodja proizvodnje nekovinskih mineralnih izdelkov
Q001020	Vodja proizvodnje oblačil
Q001021	Vodja proizvodnje papirja in izdelkov iz papirja
Q001022	Vodja proizvodnje pijač
Q001023	Vodja proizvodnje računalnikov, elektronskih in optičnih izdelkov
Q001024	Vodja proizvodnje usnja, usnjenih in sorodnih izdelkov
Q001025	Vodja proizvodnje vozil in plovil
Q001026	Statistik
Q001027	Vodja proizvodnje živil
Q001028	Vodja tiskarstva in razmnoževanje posnetih nosilcev zapisa
Q001029	Tehnični direktor v rudarstvu
Q001030	Tehnični direktor v gradbeništvu
Q001031	Vodja oddelka kooperantov v gradbeništvu
Q001032	Vodja operativne izvedbe in montaže v gradbeništvu
Q001033	Vodja projektov v gradbeništvu
Q001034	Menedžer storitev v pomorskem prometu
Q001035	Šef avtoparka
Q001036	Demograf
Q001037	Vodja logistike
Q001038	Vodja nabave
Q001039	Vodja transportnega parka
Q001040	Vodja avtomatske obdelave podatkov
Q001041	Vodja računalniškega centra
Q001042	Vodja službe za informatiko
Q001043	Vodja službe za informacijsko tehnologijo
Q001044	Direktor doma starejših občanov
Q001045	Biometrik
Q001046	Direktor svetovalnega centra za otroke, mladostnike in starše
Q001047	Direktor varstveno delovnega centra
Q001048	Pomočnik ravnatelja osnovne šole
Q001049	Pomočnik ravnatelja vzgojno-izobraževalnega zavoda
Q001050	Prodekan fakultete
Q001051	Prodekan visoke šole
Q001052	Operacijski raziskovalec
Q001053	Direktor podružnice zavarovalnice
Q001054	Direktor poslovne enote zavarovalnice
Q001055	Vodja poslovne enote banke
Q001056	Vodja ekspoziture banke
Q001057	Direktor gledališča
Q001058	Direktor knjižnice
Q001059	Direktor muzeja
Q001060	Pomočnik ravnatelja zavoda v kulturi
Q001061	Ravnatelj gledališča
Q001062	Ravnatelj knjižnice
Q001063	Ravnatelj muzeja
Q001064	Komandir policije
Q001065	Vodja odlagališča za odpadke
Q001066	Vodja službe varovanja
Q001067	Vodja tehničnega sektorja službe za javno higieno
Q001068	Vodja hotela
Q001069	Food & beverage manager
Q001070	Gostilničar
Q001071	Vodja lokala za strežbo pijač in napitkov
Q001072	Vodja restavracije
Q001073	Vodja v gostinstvu
Q001074	Direktor adrenalinskega parka
Q001075	Direktor studia fitnes
Q001076	Direktor športnega parka
Q001077	Vodja igrišča za golf
Q001078	Biolog
Q001079	Vodja kopališča
Q001080	Vodja rekreacijskega centra
Q001081	Direktor turistične agencije
Q001082	Upravnik kampa
Q001083	Vodja turistične agencije
Q001084	Direktor frizerskega salona
Q001085	Direktor kemične čistilnice in pralnice
Q001086	Direktor kozmetičnega salona
Q001087	Vodja servisa gospodarskih vozil
Q001088	Vodja servisa motornih vozil
Q001089	Biometeorolog
Q001090	Kemik za kontroliranje kakovosti
Q001091	Kemik za laboratorijske analize
Q001092	Kemik za razvijanje novih izdelkov
Q001093	Matematik, aplikativni
Q001094	Matematik, raziskovalni
Q001095	Fitopatolog
Q001096	Agronom za poljedelstvo
Q001097	Agronom za sadjarstvo
Q001098	Agronom za vinogradništvo
Q001099	Agronom za vrtnarstvo
Q001100	Gozdarski načrtovalec
Q001101	Zootehnik za govedorejo
Q001102	Zootehnik za konjerejo
Q001103	Zootehnik za kozjerejo
Q001104	Podžupan občine
Q001105	Biokemik
Q001106	Zootehnik za ovčerejo
Q001107	Zootehnik za perutninarstvo
Q001108	Zootehnik za prašičerejo
Q001109	Inženir gradbeništva za hidrogradnje
Q001110	Inženir gradbeništva za komunalne gradnje
Q001111	Inženir gradbeništva za konstrukcije
Q001112	Inženir gradbeništva za nizke gradnje
Q001113	Inženir gradbeništva za visoke gradnje
Q001114	Odgovorni projektant v gradbeništvu
Q001115	Odgovorni svetovalni inženir v gradbeništvu
Q001116	Bakteriolog
Q001117	Odgovorni vodja del za najzahtevnejše objekte, gradbeništvo
Q001118	Vodilni investicijski referent
Q001119	Inženir ladjedelništva, projektant
Q001120	Inženir strojništva, avtomatik
Q001121	Inženir strojništva, energetik
Q001122	Inženir strojništva, hidravlik, pnevmatik
Q001123	Inženir strojništva, konstrukter
Q001124	Inženir strojništva, tribolog
Q001125	Inženir rudarskega strojništva
Q001126	Medicinski biokemik
Q001127	Inženir strojništva za procesno tehniko
Q001128	Inženir strojništva za varilstvo
Q001129	Inženir za tirnična vozila
Q001130	Konstrukter smučarskih vezi
Q001131	Inženir rudarstva za izdelavo podzemnih objektov
Q001132	Inženir rudarstva za podzemno pridobivanje mineralnih surovin
Q001133	Inženir rudarstva za površinsko pridobivanje mineralnih surovin
Q001134	Metalurg v proizvodnji
Q001135	Analitik v laboratorijski medicini
Q001136	Rudarski inženir
Q001137	Tehnolog za feritno tehnologijo
Q001138	Inšpektor za letalski promet
Q001139	Inšpektor za železniški promet
Q001140	Inženir za železniški promet
Q001141	Operativni vodja v luki
Q001142	Patolog za rastline
Q001143	Tehnični vodja v luki
Q001144	Kemijski tehnolog za tekstilstvo
Q001145	Konfekcijski tehnolog za tekstilstvo
Q001146	Mehanski tehnolog za tekstilstvo
Q001147	Tehnični preglednik za vgrajene sisteme aktivne požarne zaščite (cevni sistemi in mehanizmi)
Q001148	Dispečer v RCV
Q001149	Inženir močnostne elektrotehnike
Q001150	Odgovorni projektant v elektroenergetiki
Q001151	Odgovorni vodja del za najzahtevnejše objekte, elektroenergetika
Q001152	Vodja tehnološke priprave dela v elektrotehniki
Q001153	Toksikolog
Q001154	Inženir elektronike za strojno računalniško opremo
Q001155	Inženir medicinske elektronike
Q001156	Inženir mikroelektronike
Q001157	Raziskovalec v razvojnem oddelku za elektroniko
Q001158	Razvojnik elektronskih sklopov
Q001159	Inženir letalskih telekomunikacij
Q001160	Patofiziolog
Q001161	Arhitekt za interier
Q001162	Arhitekt za notranjo opremo
Q001163	Arhitekt krajinar
Q001164	Oblikovalec nakita
Q001165	Oblikovalec tekstilij
Q001166	Zdravnik specialist abdominalne kirurgije
Q001167	Zdravnik specialist anesteziologije in reanimatologije
Q001168	Kineziolog
Q001169	Zdravnik specialist anesteziologije, reanimatologije in perioperativne intenzivne medicine
Q001170	Zdravnik specialist dermatovenerologije
Q001171	Zdravnik specialist fizikalne medicine in rehabilitacije
Q001172	Zdravnik specialist ginekologije in porodništva
Q001173	Zdravnik specialist infektologije
Q001174	Zdravnik specialist internistične onkologije
Q001175	Zdravnik specialist javnega zdravja
Q001176	Zdravnik specialist kardiologije in vaskularne medicine
Q001177	Zdravnik specialist kardiovaskularne kirurgije
Q001178	Zdravnik specialist kirurgije
Q001179	Fiziolog
Q001180	Zdravnik specialist nefrologije
Q001181	Zdravnik specialist nevrokirurgije
Q001182	Zdravnik specialist nevrologije
Q001183	Zdravnik specialist oftalmologije
Q001184	Zdravnik specialist onkologije z radioterapijo
Q001185	Zdravnik specialist ortopedije
Q001186	Zdravnik specialist ortopedske kirurgije
Q001187	Zdravnik specialist otorinolaringologije
Q001188	Zdravnik specialist otroške in mladostniške psihiatrije
Q001189	Zdravnik specialist otroške nevrologije
Q001190	Farmakolog
Q001191	Zdravnik specialist pediatrije
Q001192	Zdravnik specialist plastične in rekonstrukcijske kirurgije
Q001193	Zdravnik specialist psihiatrije
Q001194	Zdravnik specialist radioterapije in onkologije
Q001195	Zdravnik specialist sodne medicine
Q001196	Zdravnik specialist transfuziologije
Q001197	Zdravnik specialist travmatologije
Q001198	Zdravnik specialist urologije
Q001199	Akupunkturist
Q001200	Župan mestne občine
Q001201	Endokrinolog
Q001202	Homeopat
Q001203	Kiropraktik
Q001204	Veterinar za epizootologijo
Q001205	Veterinar za kirurgijo
Q001206	Veterinar za reprodukcijo živali
Q001207	Veterinar za zdravstveno varstvo živali
Q001208	Zdravnik specialist maksilofacialne kirurgije
Q001209	Zobozdravnik specialist čeljustne in zobne ortopedije
Q001210	Zobozdravnik specialist maksilofacialne kirurgije
Q001211	Biofizik
Q001212	Zobozdravnik specialist oralne kirurgije
Q001213	Zobozdravnik specialist otroškega in preventivnega zobozdravstva
Q001214	Zobozdravnik specialist stomatološke protetike
Q001215	Zobozdravnik specialist zobnih bolezni in endodontije
Q001216	Zobozdravnik specialist zobnih in ustnih bolezni
Q001217	Kontrolor kakovosti farmacevtskih izdelkov
Q001218	Fizioterapevt, limfterapevt
Q001219	Fizioterapevt na bolnikovem domu
Q001220	Nevrofizioterapevt
Q001221	Anatom
Q001222	Respiratorni fizioterapevt
Q001223	Športni fizioterapevt
Q001224	Dietetik
Q001225	Visokošolski izredni profesor
Q001226	Visokošolski predavatelj
Q001227	Visokošolski redni profesor
Q001228	Visokošolski strokovni sodelavec
Q001229	Embriolog
Q001230	Visokošolski višji predavatelj
Q001231	Višješolski predavatelj
Q001232	Srednješolski učitelj za cestnoprometne predmete
Q001233	Srednješolski učitelj za metalurške predmete
Q001234	Srednješolski učitelj za pomorskoprometne predmete
Q001235	Srednješolski učitelj za ptt prometne predmete
Q001236	Srednješolski učitelj za usnjarsko, krznarske predmete
Q001237	Srednješolski učitelj za železniškoprometne predmete
Q001238	Organizator praktičnega pouka
Q001239	Srednješolski učitelj za angleški jezik
Q001240	Citolog
Q001241	Srednješolski učitelj za biologijo
Q001242	Srednješolski učitelj za etiko in družbo
Q001243	Srednješolski učitelj za filozofijo
Q001244	Srednješolski učitelj za fiziko
Q001245	Srednješolski učitelj za francoski jezik
Q001246	Srednješolski učitelj za geografijo
Q001247	Srednješolski učitelj za glasbene predmete
Q001248	Srednješolski učitelj za grški jezik
Q001249	Srednješolski učitelj za italijanski jezik
Q001250	Srednješolski učitelj za kemijo
Q001251	Epidemiolog
Q001252	Srednješolski učitelj za latinski jezik
Q001253	Srednješolski učitelj za madžarski jezik
Q001254	Srednješolski učitelj za matematiko
Q001255	Srednješolski učitelj za nemški jezik
Q001256	Srednješolski učitelj za pedagogiko
Q001257	Srednješolski učitelj za psihologijo
Q001258	Srednješolski učitelj za računalništvo
Q001259	Srednješolski učitelj za ruski jezik
Q001260	Srednješolski učitelj za sociologijo
Q001261	Srednješolski učitelj za španski jezik
Q001262	Ekolog
Q001263	Srednješolski učitelj za umetnostno zgodovino
Q001264	Srednješolski učitelj za zgodovino
Q001265	Predmetni učitelj za angleški jezik
Q001266	Predmetni učitelj za biologijo
Q001267	Predmetni učitelj za etiko in družbo
Q001268	Predmetni učitelj za fiziko
Q001269	Predmetni učitelj za geografijo
Q001270	Predmetni učitelj za glasbeno vzgojo
Q001271	Predmetni učitelj za italijanski jezik
Q001272	Predmetni učitelj za kemijo
Q001273	Medicinski mikrobiolog
Q001274	Predmetni učitelj za latinski jezik
Q001275	Predmetni učitelj za likovno vzgojo
Q001276	Predmetni učitelj za madžarski jezik
Q001277	Predmetni učitelj za matematiko
Q001278	Predmetni učitelj za nemški jezik
Q001279	Predmetni učitelj za računalništvo
Q001280	Predmetni učitelj za spoznavanje družbe
Q001281	Predmetni učitelj za spoznavanje narave
Q001282	Predmetni učitelj za zgodovino
Q001283	Učitelj glasbenih predmetov
Q001284	Genetik
Q001285	Svetovalec za predmetno področje
Q001286	Svetovalec za predšolsko vzgojo
Q001287	Svetovalec za razredni pouk
Q001288	Svetovalec za učno tehnologijo
Q001289	Učitelj flavte
Q001290	Učitelj glasbenega inštrumenta
Q001291	Učitelj harmonike
Q001292	Učitelj kitare
Q001293	Učitelj klavirja
Q001294	Histolog
Q001295	Učitelj kontrabasa
Q001296	Učitelj saksofona
Q001297	Učitelj solopetja
Q001298	Učitelj trobente
Q001299	Učitelj violine
Q001300	Plesni učitelj
Q001301	Davčni revizor
Q001302	Davčnik
Q001303	Državni notranji revizor
Q001304	Državni revizor
Q001305	Podžupan mestne občine
Q001306	Imunolog
Q001307	Pooblaščeni ocenjevalec vrednosti strojev in opreme
Q001308	Pooblaščeni ocenjevalec vrednosti nepremičnin
Q001309	Pooblaščeni ocenjevalec vrednosti podjetij
Q001310	Pooblaščeni revizor
Q001311	Preizkušeni davčnik
Q001312	Preizkušeni državni notranji revizor
Q001313	Preizkušeni državni revizor
Q001314	Preizkušeni notranji revizor
Q001315	Preizkušeni revizor informacijskih sistemov
Q001316	Prisilni upravitelj
Q001317	Mikrobiolog
Q001318	Proračunski inšpektor
Q001319	Računovodja za večje družbe in zavode
Q001320	Računovodski revizor
Q001321	Revizor informacijskih sistemov
Q001322	Vrhovni državni revizor
Q001323	Upravitelj portfelja tržnih vrednostnih papirjev
Q001324	Koordinator kakovosti
Q001325	Projektni menedžer
Q001326	Parazitolog
Q001327	Projektni vodja
Q001328	Karierni svetovalec
Q001329	Svetovalec za poklicno izobraževanje
Q001330	Analitik za tržne raziskave
Q001331	Asistent vodje marketinga
Q001332	Marketinški analitik
Q001333	Medijski planer
Q001334	Pisec reklamnih sporočil
Q001335	Pospeševalec prodaje
Q001336	Produktni vodja
Q001337	Svetovalec za marketing
Q001338	Tržni analitik
Q001339	Tržni raziskovalec
Q001340	Vodja ključnih kupcev
Q001341	Predstavnik stranke za odnose z javnostmi
Q001342	Prodajni inženir
Q001343	Prodajni inženir IKT rešitev, izdelkov in storitev
Q001344	Skrbnik ključnih strank na področju IKT
Q001345	Agronom
Q001346	Svetovalec za prodajo in trženje na področju IKT
Q001347	Razvijalec turističnih produktov
Q001348	Vodja IT projektov
Q001349	Skrbnik podatkovnih baz
Q001350	Upravljavec računalniškega omrežja
Q001351	Kmetijski inšpektor
Q001352	Vzdrževalec računalniških omrežij
Q001353	Namestnik družbenega pravobranilca
Q001354	Odvetniški kandidat
Q001355	Vodja okrožnega državnega tožilstva
Q001356	Vodja višjega državnega tožilstva
Q001357	Vodja zunanjega oddelka državnega pravobranilstva
Q001358	Notarski kandidat
Q001359	Vodja sodnega registra
Q001360	Vodja urada predsednika sodišča
Q001361	Vodja zemljiške knjige
Q001362	Kustos pedagog
Q001363	Ekonomist analitik
Q001364	Ekonomist za kmetijstvo
Q001365	Ekonomist za turizem
Q001366	Psiholog, svetovalec v posvetovalnicah
Q001367	Gozdarski inšpektor
Q001368	Psiholog na kadrovskem področju
Q001369	Psiholog v industriji
Q001370	Psiholog v športu
Q001371	Psiholog v zdravstvu
Q001372	Skupinski habilitator
Q001373	Duhovnik, misijonar
Q001374	Biograf
Q001375	Dramatik
Q001376	Esejist
Q001377	Filmski kritik
Q001378	Glasbeni kritik
Q001379	Gledališki kritik
Q001380	Likovni kritik
Q001381	Literarni kritik
Q001382	Svetovalec programske sheme
Q001383	Vodja kulturno-umetniških programov
Q001384	Novinar, področni
Q001385	Novinar za kulturo
Q001386	Lovski inšpektor
Q001387	Poročevalec
Q001388	Športni novinar
Q001389	Vestičar
Q001390	Etimolog
Q001391	Fonetik
Q001392	Klasični filolog
Q001393	Morfolog
Q001394	Prevajalec za leposlovje
Q001395	Prevajalec za strokovna besedila
Q001396	Semantik
Q001397	Predsednik sveta krajevne skupnosti
Q001398	Ribiški inšpektor
Q001399	Restavrator historičnih instrumentov
Q001400	Restavrator za keramiko
Q001401	Restavrator za knjige in papir
Q001402	Restavrator za kovino
Q001403	Restavrator za les
Q001404	Restavrator za tekstil
Q001405	Baletni plesalec
Q001406	Baletni solist
Q001407	Plesalec sodobnega plesa
Q001408	Filmski režiser
Q001409	Gledališki režiser
Q001410	Televizijski režiser
Q001411	Filmski igralec
Q001412	Gledališki igralec
Q001413	Bralec sporočil
Q001414	Napovedovalec na radiu
Q001415	Napovedovalec na televiziji
Q001416	Povezovalec na radiu
Q001417	Povezovalec na televiziji
Q001418	Akrobat
Q001419	Hipnotizer
Q001420	Imitator
Q001421	Klovn
Q001422	Žongler
Q001423	Tehnik gradbeništva za konstrukcije
Q001424	Tehnik gradbeništva za nizke gradnje
Q001425	Tehnik gradbeništva za visoke gradnje
Q001426	Dispečer v centru vodenja elektroenergetskega sistema
Q001427	Dispečer v centru vodenja ES
Q001428	Dispečer v DCV
Q001429	Dispečer v OCV
Q001430	Elektrotehnik
Q001431	Odgovorni vodja del za objekt kot celoto, elektroenergetika
Q001432	Odgovorni vodja del za posamezne vrste del, elektroenergetika
Q001433	Tehnik za močnostno elektrotehniko
Q001434	Vodja del na elektroenergetskih postrojih
Q001435	Vodja obratovanja elektroenergetskih postrojev
Q001436	Snovalec energetskih naprav in sistemov
Q001437	Tehnik strojništva, termoenergetik
Q001438	Tehnik rudarskega strojništva
Q001439	Tehnik strojništva za tirnična vozila
Q001440	Tehnik za procesno strojništvo
Q001441	Tehnik za strojegradnjo in montažo
Q001442	Tehnik za strojniško avtomatizacijo
Q001443	Tehnik za strojniško konstrukterstvo, kovinski izdelki
Q001444	Tehnik za strojniško konstruktorstvo
Q001445	Tehnik za varilstvo
Q001446	Tehnolog proizvodnih procesov
Q001447	Tehnik za gumarstvo
Q001448	Tehnik za keramiko
Q001449	Tehnik za steklarstvo
Q001450	Tehnik za živilstvo
Q001451	Rudarski tehnik
Q001452	Rudarski tehnik za izdelavo podzemnih objektov
Q001453	Rudarski tehnik za podzemno pridobivanje mineralnih surovin
Q001454	Rudarski tehnik za površinsko pridobivanje mineralnih surovin
Q001455	Tehnik metalurške tehnologije
Q001456	Tehnik za feritno tehnologijo
Q001457	Vodja linijske proizvodnje v metalurgiji
Q001458	Tehnični risar za arheologijo
Q001459	Tehnični risar za arhitekturo
Q001460	Tehnični risar za elektrotehniko
Q001461	Tehnični risar za geodezijo
Q001462	Tehnični risar za gradbeništvo
Q001463	Tehnični risar za strojništvo
Q001464	Rudarski nadzornik geovrtanja
Q001465	Rudarski nadzornik za izdelavo podzemnih objektov
Q001466	Rudarski nadzornik za podzemno pridobivanje mineralnih surovin
Q001467	Rudarski nadzornik za površinsko pridobivanje mineralnih surovin
Q001468	Delovodja gradbeništva za hidrogradnje
Q001469	Delovodja gradbeništva za nizke gradnje
Q001470	Delovodja gradbeništva za visoke gradnje
Q001471	Delovodja za vzdrževanje prog
Q001472	Odgovorni vodja del za objekt kot celoto, gradbeništvo
Q001473	Odgovorni vodja del za posamezne vrste del, gradbeništvo
Q001474	Stikalničar v elektroenergetiki
Q001475	Upravljavec komunalnih čistilnih naprav, odpadne vode
Q001476	Upravljavec strojev in naprav za kemijsko filtriranje in ločevanje
Q001477	Upravljavec strojev in naprav za predelavo nafte in zemeljskega plina
Q001478	Upravljavec stroja za proizvodnjo bioplina
Q001479	Predsednik sveta četrtne skupnosti
Q001480	Inženir gradbeništva
Q001481	Kontrolor robotov
Q001482	Upravljavec industrijskih robotov
Q001483	Strokovni sodelavec za vrtnarsko tehnologijo
Q001484	Tehnolog za ekološko kmetovanje
Q001485	Tehnolog za hribovsko kmetovanje
Q001486	Pomorski strojnik
Q001487	Kapitan dolge plovbe
Q001488	Inženir gradbeništva, vodja del
Q001489	Poročnik trgovske mornarice
