C000001_hr_000	Vojna zanimanja
C000753_hr_000	radnik/radnica na hidrauličnoj preši za kovanje
C000753_hr_001	radnica na hidrauličnoj preši za kovanje
C000753_hr_002	radnik na hidrauličnoj preši za kovanje
C000754_hr_000	rukovatelj/rukovateljica strojem za rezanje i namotavanje toaletnog papira
C000754_hr_001	rukovatelj strojem za rezanje i namotavanje toaletnog papira
C000754_hr_002	rukovateljica strojem za rezanje i namotavanje toaletnog papira
C000755_hr_000	maser/maserka za životinje
C000755_hr_001	fizikalna terapeutkinja za životinje
C000755_hr_002	fizikalni terapeut za životinje
C000755_hr_003	maser za životinje
C000755_hr_004	maserka za životinje
C000755_hr_005	terapeut za životinje
C000755_hr_006	terapeutkinja za životinje
C000756_hr_000	stručnjak/ stručnjakinja za zrakoplovne motore
C000756_hr_001	stručnjak za zrakoplovne motore
C000756_hr_002	stručnjakinja za zrakoplovne motore
C000757_hr_000	učitelj/učiteljica boksa
C000757_hr_001	boksačka instruktorica
C000757_hr_002	boksački instruktor
C000757_hr_003	instruktor boksa
C000757_hr_004	instruktorica boksa
C000757_hr_005	skijaška trenerica
C000757_hr_006	skijaški trener
C000757_hr_007	trener boksa
C000757_hr_008	trenerica boksa
C000757_hr_009	učitelj boksa
C000757_hr_010	učiteljica boksa
C000758_hr_000	nadzornik/nadzornica za njegu životinja
C000758_hr_001	nadzornica u njezi životinja
C000758_hr_002	nadzornica za njegu životinja
C000758_hr_003	nadzornik u njezi životinja
C000758_hr_004	nadzornik za njegu životinja
C000758_hr_005	njegovatelj životinja za maloprodaju
C000758_hr_006	njegovateljica životinja za maloprodaju
C000758_hr_007	radnica u štenari
C000758_hr_008	radnik u štenari
C000758_hr_009	timaritelj konja
C000758_hr_010	timariteljica konja
C000758_hr_011	čuvar životinja
C000758_hr_012	čuvar životinja u zoološkom vrtu
C000758_hr_013	čuvarica životinja
C000758_hr_014	čuvarica životinja u zoološkom vrtu
C000759_hr_000	prodavač/prodavačica
C000759_hr_001	pomoćnica u trgovini
C000759_hr_002	pomoćnik u trgovini
C000759_hr_003	prodavač
C000759_hr_004	prodavač u trgovinama
C000759_hr_005	prodavač u trgovini na malo
C000759_hr_006	prodavačica
C000759_hr_007	prodavačica u trgovinama
C000759_hr_008	prodavačica u trgovini na malo
C000759_hr_009	trgovac
C000759_hr_010	trgovka
C000760_hr_000	admiral/admiralica
C000760_hr_001	admiral
C000760_hr_002	admiralica
C000760_hr_003	dozapovjednica flote
C000760_hr_004	dozapovjednik flote
C000760_hr_005	visoka časnica u ratnoj mornarici
C000760_hr_006	visoki časnik u ratnoj mornarici
C000760_hr_007	zapovjednica flote
C000760_hr_008	zapovjednik flote
C000761_hr_000	terapeut/terapeutkinja za životinje
C000761_hr_001	fizikalna terapeutkinja za životinje
C000761_hr_002	fizikalni terapeut za životinje
C000761_hr_003	rehabilitator životinja
C000761_hr_004	terapeut rehabilitator za životinje
C000761_hr_005	terapeut za životinje
C000761_hr_006	terapeut životinja
C000761_hr_007	terapeutkinja rehabilitatorica za životinje
C000761_hr_008	terapeutkinja za životinje
C000761_hr_009	terapeutkinja životinja
C000762_hr_000	medicinski tehničar / medicinska sestra za hitnu medicinsku pomoć
C000762_hr_001	bolničar u vozilu hitne medicinske pomoći
C000762_hr_002	bolničar/bolničarka za hitnu medicinsku pomoć
C000762_hr_003	bolničarka u vozilu hitne medicinske pomoći
C000762_hr_004	bolničarka za hitnu medicinsku pomoć
C000762_hr_005	medicinska sestra u timu hitne medicinske pomoći
C000762_hr_006	medicinska sestra za hitnu medicinsku pomoć
C000762_hr_007	medicinski tehničar u timu hitne medicinske pomoći
C000762_hr_008	medicinski tehničar za hitnu medicinsku pomoć
C000762_hr_009	pomoćnica u vozilu hitne medicinske pomoći
C000762_hr_010	pomoćnik u vozilu hitne medicinske pomoći
C000762_hr_011	zdravstvena tehničarka za hitne slučajeve
C000762_hr_012	zdravstveni tehničar za hitne slučajeve
C000763_hr_000	ugrađivač/ugrađivačica vrata
C000763_hr_001	monter vrata
C000763_hr_002	monterka vrata
C000763_hr_003	postavljač vrata
C000763_hr_004	postavljačica vrata
C000763_hr_005	ugrađivač vrata
C000763_hr_006	ugrađivačica vrata
C000764_hr_000	mehaničar/mehaničarka za hidrauliku i pneumatiku
C000764_hr_001	mehaničar za hidrauliku i pneumatiku
C000764_hr_002	mehaničarka za hidrauliku i pneumatiku
C000765_hr_000	interni trener/interna trenerica
C000765_hr_001	interna trenerica
C000765_hr_002	interni trener
C000765_hr_003	planer osposobljavanja zaposlenika
C000765_hr_004	planerka osposobljavanja zaposlenika
C000766_hr_000	inženjer/inženjerka za parne kotlove
C000766_hr_001	inspektor parnih kotlova
C000766_hr_002	inspektorica parnih kotlova
C000766_hr_003	inspektorica parnih kotlova projektant konstruktor pumpi i kompresora
C000766_hr_004	inženjer za parne kotlove
C000766_hr_005	inženjerka za parne kotlove
C000766_hr_006	projektant konstruktor pumpi i kompresora
C000766_hr_007	projektantica konstruktorica pumpi i kompresora
C000767_hr_000	predavač/predavačica medicine
C000767_hr_001	predavač medicine
C000767_hr_002	predavačica medicine
C000767_hr_003	sveučilišna profesorica medicine
C000767_hr_004	sveučilišni profesor medicine
C000768_hr_000	telefonist/telefonistica
C000768_hr_001	radnica u telefonskoj centrali
C000768_hr_002	radnik u telefonskoj centrali
C000768_hr_003	telefonist
C000768_hr_004	telefonistica
C000769_hr_000	klinički asistent / klinička asistentica
C000769_hr_001	asistent
C000769_hr_002	asistentica
C000769_hr_003	klinička asistentica
C000769_hr_004	klinički asistent
C000769_hr_005	viša asistentica
C000769_hr_006	viši asistent
C000770_hr_000	monter/monterka električnih kabela
C000770_hr_001	monter električnih kabela
C000770_hr_002	monterka električnih kabela
C000771_hr_000	učitelj/učiteljica jahanja
C000771_hr_001	instruktor jahanja
C000771_hr_002	instruktorica jahanja
C000771_hr_003	trener jahanja
C000771_hr_004	trenerica jahanja
C000771_hr_005	učitelj jahanja
C000771_hr_006	učiteljica jahanja
C000772_hr_000	vozač/vozačica dostavnog automobila
C000772_hr_001	vozač dostavnog automobila
C000772_hr_002	vozač lakog dostavnog vozila
C000772_hr_003	vozačica dostavnog automobila
C000772_hr_004	vozačica lakog dostavnog vozila
C000773_hr_000	stručnjak/stručnjakinja digitalne forenzike
C000773_hr_001	stručnjak digitalne forenzike
C000773_hr_002	stručnjak informacijske forenzike
C000773_hr_003	stručnjak kompjuterske forenzike
C000773_hr_004	stručnjak za digitalnu forenziku
C000773_hr_005	stručnjakinja digitalne forenzike
C000773_hr_006	stručnjakinja informacijske forenzike
C000773_hr_007	stručnjakinja kompjuterske forenzike
C000773_hr_008	stručnjakinja za digitalnu forenziku
C000774_hr_000	inženjer/inženjerka medicinske elektronike
C000774_hr_001	inženjer medicinske elektronike
C000774_hr_002	inženjerka medicinske elektronike
C000775_hr_000	voditelj/voditeljica prodavaonice telekomunikacijske opreme
C000775_hr_001	voditelj prodavaonice telekomunikacijske opreme
C000775_hr_002	voditeljica prodavaonice telekomunikacijske opreme
C000776_hr_000	direktor/direktorica uvoza i izvoza strojeva i opreme za poljoprivredu
C000776_hr_001	direktor uvoza i izvoza strojeva i opreme za poljoprivredu
C000776_hr_002	direktorica uvoza i izvoza strojeva i opreme za poljoprivredu
C000777_hr_000	financijski voditelj/financijska voditeljica projekta
C000777_hr_001	financijska menadžerica projekta
C000777_hr_002	financijska voditeljica projekta
C000777_hr_003	financijski menadžer projekta
C000777_hr_004	financijski voditelj projekta
C000777_hr_005	projektna financijska upraviteljica
C000777_hr_006	projektni financijski upravitelj
C000778_hr_000	koordinator/koordinatorica brodskih operacija
C000778_hr_001	koordinator brodskih operacija
C000778_hr_002	koordinatorica brodskih operacija
C000779_hr_000	povjesničar/povjesničarka
C000779_hr_001	povjesničar
C000779_hr_002	povjesničarka
C000780_hr_000	IKT savjetnik /savjetnica za sigurnost
C000780_hr_001	IKT konzultant za pitanje sigurnosti
C000780_hr_002	IKT konzultant za sigurnost
C000780_hr_003	IKT konzultantica za pitanje sigurnosti
C000780_hr_004	IKT konzultantica za sigurnost
C000780_hr_005	IKT savjetnica za pitanje sigurnosti
C000780_hr_006	IKT savjetnica za sigurnost
C000780_hr_007	IKT savjetnik za pitanje sigurnosti
C000780_hr_008	IKT savjetnik za sigurnost
C000780_hr_009	IT konzultant za sigurnost
C000780_hr_010	IT konzultantica za sigurnost
C000780_hr_011	IT savjetnica za sigurnost
C000780_hr_012	IT savjetnik za sigurnost
C000780_hr_013	konzultant za sigurnost u IKT-u
C000780_hr_014	konzultantica za sigurnost u IKT-u
C000780_hr_015	savjetnica za sigurnost u IKT-u
C000780_hr_016	savjetnik za sigurnost u IKT-u
C000781_hr_000	direktor/direktorica proizvodnje u kemijskoj industriji
C000781_hr_001	direktor proizvodnje u kemijskoj industriji
C000781_hr_002	direktorica proizvodnje u kemijskoj industriji
C000782_hr_000	socijalni radnik/socijalna radnica za djecu
C000782_hr_001	socijalna radnica za djecu
C000782_hr_002	socijalni radnik za djecu
C000783_hr_000	direktor/direktorica sektora upravljanja zračnim prometom
C000783_hr_001	direktor sektora upravljanja zračnim prometom
C000783_hr_002	direktorica sektora upravljanja zračnim prometom
C000783_hr_003	voditelj odjela usluga u zračnoj plovidbi i upravljanja zračnim prometom
C000783_hr_004	voditeljica odjela usluga u zračnoj plovidbi i upravljanja zračnim prometom
C000784_hr_000	profesor/profesorica informatike, srednja škola
C000784_hr_001	profesor informatike, srednja škola
C000784_hr_002	profesorica informatike, srednja škola
C000785_hr_000	rukovatelj/rukovateljica peći za vapno
C000785_hr_001	pomoćna rukovateljica peći za vapno
C000785_hr_002	pomoćni rukovatelj peći za vapno
C000785_hr_003	rukovatelj peći za vapno
C000785_hr_004	rukovateljica peći za vapno
C000786_hr_000	tehnolog/tehnologinja za vodene sustave u akvakulturi
C000786_hr_001	tehnolog za vodene sustave u akvakulturi
C000786_hr_002	tehnologinja za vodene sustave u akvakulturi
C000787_hr_000	meteorološki tehničar / meteorološka tehničarka
C000787_hr_001	meteorološka tehničarka
C000787_hr_002	meteorološki tehničar
C000788_hr_000	kemičar/kemičarka
C000788_hr_001	kemičar
C000788_hr_002	kemičarka
C000789_hr_000	prodavač/prodavačica oružja i streljiva
C000789_hr_001	prodavač oružja i streljiva
C000789_hr_002	prodavačica oružja i streljiva
C000790_hr_000	tonmajstor/tonmajstorica
C000790_hr_001	inženjer zvuka
C000790_hr_002	inženjerka zvuka
C000790_hr_003	majstor tona
C000790_hr_004	majstor tonske tehnike
C000790_hr_005	majstorica tonske tehnike
C000790_hr_006	mješač zvuka
C000790_hr_007	mješačica zvuka
C000790_hr_008	tonmajstor
C000790_hr_009	tonmajstorica
C000791_hr_000	radnik/radnica u praonici rublja
C000791_hr_001	perač
C000791_hr_002	pralja
C000791_hr_003	radnica u praonici rublja
C000791_hr_004	radnik u praonici rublja
C000791_hr_005	rukovatelj postrojenjem za pranje rublja
C000791_hr_006	rukovateljica postrojenjem za pranje rublja
C000792_hr_000	biotehnički tehničar / biotehnička tehničarka
C000792_hr_001	biotehnička tehničarka
C000792_hr_002	biotehnički tehničar
C000793_hr_000	rukovatelj/rukovateljica strojem za granuliranje
C000793_hr_001	rukovatelj strojem za granuliranje
C000793_hr_002	rukovateljica strojem za granuliranje
C000794_hr_000	narator/naratorica za slijepe i slabovidne osobe
C000794_hr_001	narator za slijepe i slabovidne osobe
C000794_hr_002	naratorica za slijepe i slabovidne osobe
C000794_hr_003	spiker za slijepe i slabovidne osobe
C000794_hr_004	spikerica za slijepe i slabovidne osobe
C000795_hr_000	građevinski nadzornik / građevinska nadzornica
C000795_hr_001	građevinska nadzornica
C000795_hr_002	građevinski nadzornik
C000795_hr_003	nadzornica gradnje
C000795_hr_004	nadzornica u visokogradnji
C000795_hr_005	nadzornik gradnje
C000795_hr_006	nadzornik u visokogradnji
C000796_hr_000	izvršni direktor marketinga/izvršna direktorica marketinga
C000796_hr_001	izvršna direktorica marketinga
C000796_hr_002	izvršni direktor marketinga
C000796_hr_003	voditelj marketinga
C000796_hr_004	voditeljica marketinga
C000796_hr_005	šef marketinga
C000796_hr_006	šefica marketinga
C000797_hr_000	voditelj/voditeljica terenskog rada anketara
C000797_hr_001	voditelj terenske službe i anketara
C000797_hr_002	voditelj terenskog rada anketara
C000797_hr_003	voditeljica terenske službe i anketara
C000797_hr_004	voditeljica terenskog rada anketara
C000798_hr_000	rukovatelj/rukovateljica strojnom bušilicom
C000798_hr_001	rukovatelj strojnom bušilicom
C000798_hr_002	rukovateljica strojnom bušilicom
C000799_hr_000	dirigent/dirigentica
C000799_hr_001	dirigent
C000799_hr_002	dirigentica
C000800_hr_000	predradnik/predradnica kožne galanterije
C000800_hr_001	predradnica kožne galanterije
C000800_hr_002	predradnik kožne galanterije
C000801_hr_000	inženjer/inženjerka za energiju iz obnovljivih izvora
C000801_hr_001	inženjer energetike
C000801_hr_002	inženjer za energiju iz obnovljivih izvora
C000801_hr_003	inženjerka energetike
C000801_hr_004	inženjerka za energiju iz obnovljivih izvora
C000802_hr_000	tehničar/tehičarka za mikroelektroniku
C000802_hr_001	konstruktor elektroničkih proizvoda
C000802_hr_002	konstruktorica elektroničkih proizvoda
C000802_hr_003	tehničar za mikroelektroniku
C000802_hr_004	tehničarka za mikroelektroniku
C000803_hr_000	rukovatelj/rukovateljica toranjskom dizalicom
C000803_hr_001	rukovatelj građevinskim dizalicama
C000803_hr_002	rukovatelj toranjskom dizalicom
C000803_hr_003	rukovateljica građevinskim dizalicama
C000803_hr_004	rukovateljica toranjskom dizalicom
C000804_hr_000	serviser/serviserka motora
C000804_hr_001	serviser motora
C000804_hr_002	serviserka motora
C000805_hr_000	investicijski menadžer/investicijska menadžerica
C000805_hr_001	investicijska menadžerica
C000805_hr_002	investicijska upraviteljica
C000805_hr_003	investicijski menadžer
C000805_hr_004	investicijski upravitelj
C000805_hr_005	menadžer za ulaganja
C000805_hr_006	menadžerica za ulaganja
C000805_hr_007	voditelj sektora investicijskog bankarstva
C000805_hr_008	voditeljica sektora investicijskog bankarstva
C000806_hr_000	prodavač/prodavačica u pozivnom centru
C000806_hr_001	prodavač putem telefonske promidžbe
C000806_hr_002	prodavač telefonom
C000806_hr_003	prodavač u internetskoj prodaji
C000806_hr_004	prodavač u kontaktnome korisničkom centru
C000806_hr_005	prodavač u pozivnom centru
C000806_hr_006	prodavač u telefonskoj prodaji
C000806_hr_007	prodavačica putem telefonske promidžbe
C000806_hr_008	prodavačica telefonom
C000806_hr_009	prodavačica u internetskoj prodaji
C000806_hr_010	prodavačica u kontaktnome korisničkom centru
C000806_hr_011	prodavačica u pozivnom centru
C000806_hr_012	prodavačica u telefonskoj prodaji
C000807_hr_000	uzgajatelj /uzgajateljica krznenih životinja
C000807_hr_001	specijalist za uzgoj krznenih životinja
C000807_hr_002	specijalistica za krznene životinje
C000807_hr_003	uzgajatelj krznenih životinja
C000807_hr_004	uzgajatelj za krznene životinje
C000807_hr_005	uzgajateljica krznenih životinja
C000807_hr_006	uzgajateljica za krznene životinje
C000807_hr_007	uzgajivač krznenih životinja
C000807_hr_008	uzgajivačica krznenih životinja
C000808_hr_000	državni tajnik/državna tajnica
C000808_hr_001	državna tajnica
C000808_hr_002	državni tajnik
C000808_hr_003	zamjenica ministra
C000808_hr_004	zamjenik ministra
C000809_hr_000	majstor/majstorica pametne rasvjete
C000809_hr_001	inženjer pametne rasvjete
C000809_hr_002	inženjerka pametne rasvjete
C000809_hr_003	majstor pametne rasvjete
C000809_hr_004	majstorica pametne rasvjete
C000809_hr_005	tehničar pametne rasvjete
C000809_hr_006	tehničarka pametne rasvjete
C000810_hr_000	misionar/misionarka
C000810_hr_001	misionar
C000810_hr_002	misionarka
C000811_hr_000	strojarski tehničar/strojarska tehničarka za vučna i vučena vozila
C000811_hr_001	konstruktor pružnih vozila
C000811_hr_002	konstruktorica pružnih vozila
C000811_hr_003	strojarska tehničarka održavanja pružnih vozila
C000811_hr_004	strojarska tehničarka za vučna i vučena vozila
C000811_hr_005	strojarski tehničar održavanja pružnih vozila
C000811_hr_006	strojarski tehničar za vučna i vučena vozila
C000812_hr_000	upravitelj/upraviteljica nekretninama
C000812_hr_001	službenica u upravljanju nekretninama
C000812_hr_002	službenik u upravljanju nekretninama
C000812_hr_003	specijalist za nekretnine
C000812_hr_004	specijalistica za nekretnine
C000812_hr_005	upravitelj nekretninama
C000812_hr_006	upraviteljica nekretninama
C000813_hr_000	tehničarka za arhitekturu, građevinarstvo ili geodeziju
C000813_hr_001	tehničar za arhitekturu, građevinarstvo ili geodeziju
C000813_hr_002	tehničar za građevinarstvo
C000813_hr_003	tehničarka za građevinarstvo
C000814_hr_000	sudski službenik / sudska službenica
C000814_hr_001	referent suca
C000814_hr_002	referentica sutkinje
C000814_hr_003	sudska službenica
C000814_hr_004	sudski službenik
C000815_hr_000	dizajner/dizajnerica tekstila
C000815_hr_001	dizajner tekstila
C000815_hr_002	dizajnerica tekstila
C000815_hr_003	istraživač tekstilne tehnologije
C000815_hr_004	istraživačica tekstilne tehnologije
C000815_hr_005	tekstilna dizajnerica
C000815_hr_006	tekstilni dizajner
C000816_hr_000	magistar farmacije/magistra farmacije ispitivanja i kontrole lijekova
C000816_hr_001	analitičar i kontrolor lijekova
C000816_hr_002	analitičar kvalitete farmaceutskih proizvoda
C000816_hr_003	analitičarka i kontrolorka lijekova
C000816_hr_004	analitičarka kvalitete farmaceutskih proizvoda
C000816_hr_005	magistar farmacije ispitivanja i kontrole lijekova
C000816_hr_006	magistra farmacije ispitivanja i kontrole lijekova
C000817_hr_000	tehničar/tehničarka za sustave očuvanja vode
C000817_hr_001	tehničar za sustave očuvanja vode
C000817_hr_002	tehničarka za sustave očuvanja vode
C000818_hr_000	rukovatelj/rukovateljica strojem za briketiranje
C000818_hr_001	rukovatelj briketirkom
C000818_hr_002	rukovatelj prešom za briketiranje
C000818_hr_003	rukovatelj strojem za briketiranje
C000818_hr_004	rukovateljica briketirkom
C000818_hr_005	rukovateljica prešom za briketiranje
C000818_hr_006	rukovateljica strojem za briketiranje
C000819_hr_000	sastavljač/sastavljačica klinastih gumenih remena
C000819_hr_001	sastavljač klinastih gumenih remena
C000819_hr_002	sastavljačica klinastih gumenih remena
C000820_hr_000	rukovatelj aparatima za slatkiše/rukovateljica aparatima za slatkiše
C000820_hr_001	djelatnica na aparatima slatkiša
C000820_hr_002	djelatnik na aparatima slatkiša
C000820_hr_003	radnica na aparatima sa slatkišima
C000820_hr_004	radnica na aparatima slatkiša
C000820_hr_005	radnik na aparatima sa slatkišima
C000820_hr_006	radnik na aparatima slatkiša
C000820_hr_007	rukovatelj aparatima za slatkiše
C000820_hr_008	rukovateljica aparatima za slatkiše
C000821_hr_000	šef/šefica kuhinje
C000821_hr_001	chef
C000821_hr_002	glavna kuharica
C000821_hr_003	glavni kuhari
C000821_hr_004	kuhar
C000821_hr_005	kuharica
C000821_hr_006	šef kuhinje
C000821_hr_007	šefica kuhinje
C000822_hr_000	farmakolog/farmakologinja
C000822_hr_001	farmakolog
C000822_hr_002	farmakologinja
C000823_hr_000	analitičar za obnovu IKT-a nakon katastrofe/analitičarka za obnovu IKT-a nakon katastrofe
C000823_hr_001	IKT analitičar otpornosti
C000823_hr_002	IKT analitičar za spašavanje podataka
C000823_hr_003	IKT analitičarka otpornosti
C000823_hr_004	IKT analitičarka za spašavanje podataka
C000823_hr_005	analitičar za otpornost IKT sustava
C000823_hr_006	analitičarka za otpornost IKT sustava
C000824_hr_000	filigranist/filigranistica
C000824_hr_001	filigran
C000824_hr_002	filigranist
C000824_hr_003	filigranistica
C000825_hr_000	nastavnik/nastavnica za nadarenu djecu
C000825_hr_001	nastavnica za nadarenu djecu
C000825_hr_002	nastavnik za nadarenu djecu
C000825_hr_003	učitelj za nadarenu djecu
C000825_hr_004	učiteljica za nadarenu djecu
C000826_hr_000	projektant/projektantica ugrađenih sustava
C000826_hr_001	dizajner ugrađenih sustava
C000826_hr_002	dizajnerica ugrađenih sustava
C000826_hr_003	projektant ugrađenih sustava
C000826_hr_004	projektant za ugrađene sustave
C000826_hr_005	projektantica ugrađenih sustava
C000826_hr_006	projektantica za ugrađene sustave
C000827_hr_000	ispitivač /ispitivačica softvera
C000827_hr_001	ispitivač programske podrške
C000827_hr_002	ispitivač softvera
C000827_hr_003	ispitivač softwarea
C000827_hr_004	ispitivačica programske podrške
C000827_hr_005	ispitivačica softvera
C000827_hr_006	ispitivačica softwarea
C000827_hr_007	tester softvera
C000827_hr_008	testerica softvera
C000828_hr_000	rukovatelj/rukovateljica strojem za predenje
C000828_hr_001	rukovatelj strojem za predenje
C000828_hr_002	rukovatelj strojem za predenje, sukanje i namotavanje
C000828_hr_003	rukovateljica strojem za predenje
C000828_hr_004	rukovateljica strojem za predenje, sukanje i namotavanje
C000829_hr_000	upravitelj/upraviteljica rudnika
C000829_hr_001	upravitelj rudnika
C000829_hr_002	upraviteljica rudnika
C000829_hr_003	voditelj glinokopa
C000829_hr_004	voditeljica glinokopa
C000830_hr_000	tehničar/tehničarka za naočalnu optiku
C000830_hr_001	optičar-tehničar naočalne optike
C000830_hr_002	optičarka-tehničarka naočalne optike
C000830_hr_003	tehničar za naočalnu optiku
C000830_hr_004	tehničar za očnu optiku
C000830_hr_005	tehničarka za naočalnu optiku
C000830_hr_006	tehničarka za očnu optiku
C000831_hr_000	sveučilišni asistent/sveučilišna asistentica
C000831_hr_001	sveučilišna asistentica
C000831_hr_002	sveučilišni asistent
C000832_hr_000	direktor/direktorica sustava kvalitete
C000832_hr_001	direktor sektora kvalitete
C000832_hr_002	direktor sustava kvalitete
C000832_hr_003	direktorica sektora kvalitete
C000832_hr_004	direktorica sustava kvalitete
C000832_hr_005	menadžer kvalitete
C000832_hr_006	menadžerica kvalitete
C000833_hr_000	prodavač/prodavačica sportske opreme
C000833_hr_001	prodavač sportske opreme
C000833_hr_002	prodavačica sportske opreme
C000834_hr_000	nastavnik/nastavnica za pomoć pri učenju
C000834_hr_001	defektolog
C000834_hr_002	defektologinja
C000834_hr_003	nastavnica u dopunskoj nastavi
C000834_hr_004	nastavnica za pomoć pri učenju
C000834_hr_005	nastavnik u dopunskoj nastavi
C000834_hr_006	nastavnik za pomoć pri učenju
C000834_hr_007	učitelj za pomoć pri učenju
C000834_hr_008	učiteljica za pomoć pri učenju
C000835_hr_000	savjetnik/savjetnica za energiju iz obnovljivih izvora
C000835_hr_001	savjetnica za energiju iz obnovljivih izvora
C000835_hr_002	savjetnik za energiju iz obnovljivih izvora
C000835_hr_003	savjetnik za obnovljive izvore energije
C000836_hr_000	sportski instruktor / sportska instruktorica
C000836_hr_001	instruktor u sportu
C000836_hr_002	instruktorica u sportu
C000836_hr_003	sportska instruktorica
C000836_hr_004	sportska trenerica
C000836_hr_005	sportski instruktor
C000836_hr_006	sportski trener
C000836_hr_007	strukovna učiteljica u sportu
C000836_hr_008	strukovni učitelj u sportu
C000836_hr_009	učitelj sporta
C000836_hr_010	učiteljica sporta
C000836_hr_011	športska instruktorica
C000836_hr_012	športska trenerica
C000836_hr_013	športski instruktor
C000836_hr_014	športski trener
C000837_hr_000	predavač/predavačica sociologije
C000837_hr_001	predavač sociologije
C000837_hr_002	predavačica sociologije
C000837_hr_003	sveučilišna profesorica sociologije
C000837_hr_004	sveučilišni profesor sociologije
C000838_hr_000	dizajner/dizajnerica igara na sreću, kockanja i klađenja
C000838_hr_001	dizajner igara na sreću, kockanja i klađenja
C000838_hr_002	dizajnerica igara na sreću, kockanja i klađenja
C000839_hr_000	tehničar/tehničarka u proizvodnji
C000839_hr_001	tehničar u proizvodnji
C000839_hr_002	tehničarka u proizvodnji
C000840_hr_000	promotor/promotorica aktivnosti u očuvanju i zaštiti okoliša
C000840_hr_001	promotor aktivnosti u očuvanju i zaštiti okoliša
C000840_hr_002	promotorica aktivnosti u očuvanju i zaštiti okoliša
C000841_hr_000	kineziolog/kineziologinja
C000841_hr_001	kineziolog
C000841_hr_002	kineziologinja
C000842_hr_000	kozmetolog/kozmetologinja
C000842_hr_001	farmaceut kozmetolog
C000842_hr_002	farmaceutkinja kozmetologinja
C000842_hr_003	kemičar farmaceutskih sustava
C000842_hr_004	kemičarka farmaceutskih sustava
C000842_hr_005	kozmetička kemičarka
C000842_hr_006	kozmetički kemičar
C000842_hr_007	kozmetolog
C000842_hr_008	kozmetologinja
C000843_hr_000	znanstvenik/znanstvenica očuvanja okoliša
C000843_hr_001	ekolog istraživački znanstvenik
C000843_hr_002	ekologinja istraživačka znanstvenica
C000843_hr_003	znanstvenica očuvanja okoliša
C000843_hr_004	znanstvenik očuvanja okoliša
C000844_hr_000	sociolog/sociologinja
C000844_hr_001	sociolog
C000844_hr_002	sociologinja
C000845_hr_000	kuhar /kuharica u industrijskim postrojenjima
C000845_hr_001	kuhar u industrijskim postrojenjima
C000845_hr_002	kuharica u industrijskim postrojenjima
C000845_hr_003	kuharska djelatnica u industrijskom postrojenju
C000845_hr_004	kuharski djelatnik u industrijskom postrojenju
C000846_hr_000	urar/urarica
C000846_hr_001	urar
C000846_hr_002	urarica
C000847_hr_000	modelar i konstruktor / modelarka i konstruktorica obuće
C000847_hr_001	modelar i konstruktor obuće
C000847_hr_002	modelar obuće
C000847_hr_003	modelar obuće i kožne galanterije
C000847_hr_004	modelarka i konstruktorica obuće
C000847_hr_005	modelarka obuće
C000847_hr_006	modelarka obuće i kožne galanterije
C000847_hr_007	obućarska tehničarka-modelarka
C000847_hr_008	obućarski tehničar-modelar
C000848_hr_000	direktor/direktorica uvoza i izvoza strojeva, industrijske opreme, brodova i zrakoplova
C000848_hr_001	direktor uvoza i izvoza strojeva, industrijske opreme, brodova i zrakoplova
C000848_hr_002	direktorica uvoza i izvoza strojeva, industrijske opreme, brodova i zrakoplova
C000849_hr_000	rukovatelj postrojenjem za miješanje/rukovateljica postrojenjem za miješanje
C000849_hr_001	djelatnica postrojenja za miješanje
C000849_hr_002	djelatnica u postrojenju za miješanje
C000849_hr_003	djelatnik postrojenja za miješanje
C000849_hr_004	djelatnik u postrojenju za miješanje
C000849_hr_005	radnica postrojenja za miješanje
C000849_hr_006	radnica u postrojenju za miješanje
C000849_hr_007	radnik postrojenja za miješanje
C000849_hr_008	radnik u postrojenju za miješanje
C000849_hr_009	rukovatelj postrojenjem za miješanje
C000849_hr_010	rukovateljica postrojenjem za miješanje
C000850_hr_000	vulkanizer/vulkanizerka
C000850_hr_001	rukovatelj uređajem za vulkaniziranje
C000850_hr_002	rukovateljica uređajem za vulkaniziranje
C000850_hr_003	vulkanizer
C000850_hr_004	vulkanizerka
C000851_hr_000	priprematelj/pripremateljica kokila
C000851_hr_001	priprematelj kokila
C000851_hr_002	pripremateljica kokila
C000852_hr_000	voditelj /voditeljica IKT službe za pomoć
C000852_hr_001	upravitelj IKT službe za podršku
C000852_hr_002	upraviteljica IKT službe za podršku
C000852_hr_003	voditelj IKT službe za pomoć
C000852_hr_004	voditelj službe za pomoć u IKT-u
C000852_hr_005	voditeljica IKT službe za pomoć
C000852_hr_006	voditeljica službe za pomoć u IKT-u
C000853_hr_000	prodavač/prodavačica knjiga i papira
C000853_hr_001	prodavač knjiga i papira
C000853_hr_002	prodavač u knjižari
C000853_hr_003	prodavač u knjižari i papirnici
C000853_hr_004	prodavačica knjiga i papira
C000853_hr_005	prodavačica u knjižari
C000853_hr_006	prodavačica u knjižari i papirnici
C000854_hr_000	rukovoditelj/rukovoditeljica hidroelektrane
C000854_hr_001	rukovatelj uklopnim postrojenjem
C000854_hr_002	rukovateljica uklopnim postrojenjem
C000854_hr_003	rukovoditelj hidroelektrane
C000854_hr_004	rukovoditelj pogonskoga sustava
C000854_hr_005	rukovoditeljica hidroelektrane
