Q000001	Żołnierz szeregowy
Q000590	Autor tekstów i sloganów reklamowych (copywriter)
Q000591	Menedżer marki (brand manager)
Q000592	Specjalista analizy i rozwoju rynku
Q000593	Specjalista do spraw marketingu i handlu
Q000594	Specjalista do spraw reklamy
Q000595	Specjalista sprzedaży internetowej
Q000596	Specjalista etyki biznesu
Q000597	Lobbysta
Q000598	Specjalista do spraw public relations
Q000599	Inżynier sprzedaży
Q000600	Opiekun klienta
Q000601	Przedstawiciel medyczny
Q000602	Specjalista do spraw kluczowych klientów (key account manager)
Q000603	Specjalista do spraw sprzedaży
Q000604	Specjalista do spraw obsługi posprzedażowej
Q000605	Inżynier sprzedaży technologii i usług teleinformatycznych
Q000606	Pozostali specjaliści do spraw rynku nieruchomości
Q000607	Pośrednik w obrocie nieruchomościami
Q000608	Rzeczoznawca majątkowy
Q000609	Zarządca nieruchomości
Q000610	Analityk systemów teleinformatycznych
Q000611	Konsultant do spraw systemów teleinformatycznych
Q000612	Projektant / architekt systemów teleinformatycznych
Q000613	Specjalista do spraw doskonalenia i rozwoju aplikacji
Q000614	Pozostali specjaliści do spraw rozwoju systemów informatycznych
Q000615	Specjalista do spraw rozwoju stron internetowych
Q000616	Pozostali projektanci aplikacji sieciowych i multimediów
Q000617	Programista aplikacji
Q000618	Programista aplikacji mobilnych
Q000619	Pozostali programiści aplikacji
Q000620	Informatyk medyczny
Q000621	Tester oprogramowania komputerowego
Q000622	Tester systemów teleinformatycznych
Q000623	Administrator baz danych
Q000624	Projektant baz danych
Q000625	Pozostali projektanci i administratorzy baz danych
Q000626	Administrator systemów komputerowych
Q000627	Administrator zintegrowanych systemów zarządzania
Q000628	Pozostali specjaliści do spraw sieci komputerowych
Q000629	Specjalista bezpieczeństwa oprogramowania
Q000630	Specjalista do spraw systemów zarządzania bezpieczeństwem informacji
Q000631	Adwokat
Q000632	Prokurator
Q000633	Sędzia
Q000634	Asystent prawny
Q000635	Asystent prokuratora
Q000636	Komornik sądowy
Q000637	Notariusz
Q000638	Legislator
Q000639	Radca Prokuratorii Generalnej Skarbu Państwa
Q000640	Referendarz sądowy
Q000641	Archiwista
Q000642	Muzealnik
Q000643	Analityk informacji i raportów medialnych
Q000644	Bibliotekoznawca
Q000645	Menedżer zawartości serwisów internetowych
Q000646	Specjalista zarządzania informacją
Q000647	Pozostali bibliotekoznawcy i specjaliści zarządzania informacją
Q000648	Ekonometryk
Q000649	Ekonomista
Q000650	Archeolog
Q000651	Etnograf
Q000652	Kulturoznawca
Q000653	Socjolog
Q000654	Antropolog
Q000655	Kryminolog
Q000656	Religioznawca
Q000657	Filozof
Q000658	Historyk
Q000659	Historyk sztuki
Q000660	Politolog
Q000661	Specjalista polityki społecznej
Q000662	Teolog
Q000663	Pozostali filozofowie, historycy i politolodzy
Q000664	Psycholog
Q000665	Psycholog biznesu
Q000666	Psycholog kliniczny
Q000667	Psycholog organizacji
Q000668	Psycholog sportowy
Q000669	Psycholog wychowawczy
Q000670	Specjalista do spraw uzależnień od mediów cyfrowych
Q000671	Kurator sądowy
Q000672	Mediator
Q000673	Specjalista poradnictwa psychospołecznego i rodzinnego
Q000674	Specjalista pracy socjalnej
Q000675	Wychowawca w jednostkach penitencjarnych
Q000676	Mediator sądowy
Q000677	Koordynator rodzinnej pieczy zastępczej
Q000678	Specjalista do spraw adopcji
Q000679	Duchowny religii mojżeszowej
Q000680	Duchowny religii muzułmańskiej
Q000681	Duchowny wyznania prawosławnego
Q000682	Duchowny wyznania rzymskokatolickiego
Q000683	Duchowny wyznania ewangelickiego
Q000684	Zakonnik (bez święceń kapłańskich)
Q000685	Pisarz
Q000686	Poeta
Q000687	Redaktor wydawniczy
Q000688	Scenarzysta
Q000689	Dziennikarz
Q000690	Fotoedytor
Q000691	Krytyk artystyczny
Q000692	Krytyk kulinarny
Q000693	Redaktor serwisu internetowego
Q000694	Filolog klasyczny
Q000695	Filolog języka nowożytnego
Q000696	Filolog polski
Q000697	Tłumacz języka migowego
Q000698	Artysta grafik
Q000699	Artysta malarz
Q000700	Artysta rzeźbiarz
Q000701	Konserwator dzieł sztuki
Q000702	Scenograf
Q000703	Konserwator zabytków architektury
Q000704	Wokalista
Q000705	Dyrygent
Q000706	Kompozytor
Q000707	Muzykolog
Q000708	Piosenkarz
Q000709	Pozostali kompozytorzy, artyści muzycy i śpiewacy
Q000710	Choreograf
Q000711	Tancerz baletowy
Q000712	Asystent reżysera filmowego
Q000713	Operator obrazu
Q000714	Producent filmowy
Q000715	Producent teatralny
Q000716	Producent telewizyjny
Q000717	Realizator programu telewizyjnego / radiowego
Q000718	Reżyser filmowy
Q000719	Reżyser teatralny
Q000720	Reżyser telewizyjny / radiowy
Q000721	Aktor
Q000722	Aktor lalkarz
Q000723	Mim
Q000724	Konferansjer
Q000725	Prezenter muzyczny (DJ / didżej)
Q000726	Prezenter telewizyjny
Q000727	Spiker radiowy
Q000728	Pozostali prezenterzy radiowi, telewizyjni i pokrewni
Q000729	Twórca ludowy
Q000730	Laborant chemiczny
Q000731	Probierz
Q000732	Technik geodeta
Q000733	Technik geofizyk
Q000734	Technik geolog
Q000735	Technik hydrolog
Q000736	Technik meteorolog
Q000737	Technik metrolog
Q000738	Kosztorysant budowlany
Q000739	Laborant budowlany
Q000740	Technik architekt
Q000741	Technik budownictwa
Q000742	Technik renowacji elementów architektury
Q000743	Inspektor budowy dróg
Q000744	Technik elektroenergetyk transportu szynowego
Q000745	Technik elektryk
Q000746	Technik elektryk kolejowych sieci elektroenergetycznych
Q000747	Technik elektryk samochodowy
Q000748	Diagnosta kolejowy
Q000749	Instalator systemów alarmowych
Q000750	Instalator systemów alarmowych przeciwkradzieżowych
Q000751	Instalator systemów telewizji przemysłowej
Q000752	Technik elektronik
Q000753	Technik elektroniki medycznej
Q000754	Technik mechatronik
Q000755	Technik mechanik
Q000756	Technik mechanik maszyn i urządzeń
Q000757	Technik mechanik obróbki skrawaniem
Q000758	Technik mechanik urządzeń przemysłowych
Q000759	Technik pojazdów samochodowych
Q000760	Technik utrzymania ruchu
Q000761	Technik technologii chemicznej
Q000762	Technik technologii środków farmaceutycznych
Q000763	Technik technologii środków kosmetycznych
Q000764	Technik zabezpieczeń przeciwkorozyjnych
Q000765	Technik górnictwa otworowego
Q000766	Technik górnictwa podziemnego
Q000767	Technik hutnik
Q000768	Technik odlewnik
Q000769	Operator CAD
Q000770	Cechowniczy
Q000771	Kontroler jakości połączeń spawanych
Q000772	Korektor i stroiciel instrumentów muzycznych
Q000773	Operator badań defektoskopowych
Q000774	Operator reaktora
Q000775	Pracownik obsługi bankomatów
Q000776	Technik akustyk
Q000777	Technik automatyk
Q000778	Technik budownictwa okrętowego
Q000779	Technik instrumentów muzycznych
Q000780	Technik normowania pracy
Q000781	Technik obuwnik
Q000782	Technik organizacji produkcji
Q000783	Technik technologii ceramicznej
Q000784	Technik technologii materiałów budowlanych
Q000785	Technik technologii odzieży
Q000786	Technik technologii szkła
Q000787	Technik technologii wyrobów skórzanych
Q000788	Technik chłodnictwa i klimatyzacji
Q000789	Technik włókienniczych wyrobów dekoracyjnych
Q000790	Stroiciel fortepianów i pianin
Q000791	Technik budowy fortepianów i pianin
Q000792	Osoba dozoru ruchu w górnictwie odkrywkowym
Q000793	Osoba dozoru ruchu w górnictwie otworowym
Q000794	Osoba dozoru ruchu w górnictwie podziemnym
Q000795	Mistrz produkcji w przemyśle chemicznym
Q000796	Mistrz produkcji w przemyśle elektronicznym
Q000797	Mistrz produkcji w przemyśle metalurgicznym
Q000798	Mistrz produkcji w przemyśle samochodowym
Q000799	Mistrz produkcji w przemyśle spożywczym
Q000800	Mistrz produkcji w przemyśle włókienniczym
Q000801	Mistrz produkcji w poligrafii
Q000802	Mistrz produkcji w budownictwie drogowym
Q000803	Mistrz produkcji w budownictwie kolejowym
Q000804	Mistrz produkcji w budownictwie mostowym
Q000805	Mistrz produkcji w budownictwie ogólnym
Q000806	Mistrz produkcji w budownictwie przemysłowym
Q000807	Elektroenergetyk elektrowni cieplnych
Q000808	Elektroenergetyk elektrowni wodnych
Q000809	Elektroenergetyk nastawni
Q000810	Elektroenergetyk pomiarów i zabezpieczeń
Q000811	Maszynista agregatów prądotwórczych
Q000812	Maszynista turbozespołu parowego
Q000813	Maszynista turbozespołu wodnego
Q000814	Maszynista urządzeń ciepłowniczych elektrowni
Q000815	Maszynista urządzeń pomocniczych elektrowni
Q000816	Obchodowy bloku
Q000817	Maszynista chłodni
Q000818	Maszynista sprężarek
Q000819	Operator (maszynista) stacji pomp
Q000820	Operator spalarni odpadów komunalnych
Q000821	Operator urządzeń klimatyzacyjnych i odpylających
Q000822	Operator urządzeń oczyszczania ścieków
Q000823	Operator urządzeń uzdatniania i demineralizacji wody
Q000824	Pozostali operatorzy urządzeń do spalania odpadów, uzdatniania wody i pokrewni
Q000825	Kontroler (sterowniczy) urządzeń do wytopu metali
Q000826	Kontroler (sterowniczy) urządzeń obróbki cieplnej metali
Q000827	Operator zautomatyzowanej linii produkcyjnej
Q000828	Laborant mikrobiologiczny
Q000829	Laborant biochemiczny
Q000830	Laborant w hodowli roślin
Q000831	Laborant nasiennictwa
Q000832	Technik ogrodnik
Q000833	Technik rolnik
Q000834	Technik leśnik
Q000835	Technik przetwórstwa mleczarskiego
Q000836	Technik technologii żywności
Q000837	Technik technologii żywności – cukrownictwo
Q000838	Technik technologii żywności – produkcja cukiernicza
Q000839	Technik technologii żywności – produkcja koncentratów spożywczych
Q000840	Technik technologii żywności – produkcja piekarsko-ciastkarska
Q000841	Technik technologii żywności – przechowalnictwo chłodnicze i technologia żywności mrożonej
Q000842	Technik technologii żywności – przetwórstwo fermentacyjne
Q000843	Technik technologii żywności – przetwórstwo jajczarsko-drobiarskie
Q000844	Technik technologii żywności – przetwórstwo mięsne
Q000845	Technik technologii żywności – przetwórstwo mleczarskie
Q000846	Technik technologii żywności – przetwórstwo owocowo-warzywne
Q000847	Technik technologii żywności – przetwórstwo rybne
Q000848	Technik technologii żywności – przetwórstwo surowców olejarskich
Q000849	Technik technologii żywności – przetwórstwo zbożowe
Q000850	Technik technologii żywności – przetwórstwo ziemniaczane
Q000851	Pozostali technicy technologii żywności
Q000852	Kapitan statku morskiego
Q000853	Kapitan żeglugi śródlądowej
Q000854	Oficer pokładowy
Q000855	Obserwator radarowy żeglugi śródlądowej
Q000856	Pilot morski
Q000857	Pozostali oficerowie pokładowi, piloci żeglugi i pokrewni
Q000858	Mechanik pokładowy
Q000859	Operator tankowania statków powietrznych
Q000860	Pilot samolotowy zawodowy / liniowy
Q000861	Pilot śmigłowcowy zawodowy / liniowy
Q000862	Skoczek spadochronowy
Q000863	Technik awionik
Q000864	Technik mechanik lotniczy
Q000865	Mechanik lotniczy obsługi technicznej
Q000866	Dyspozytor lotniczy
Q000867	Informator służby informacji powietrznej
Q000868	Kontroler ruchu lotniczego
Q000869	Technik lotniskowych służb operacyjnych
Q000870	Technik urządzeń ruchu lotniczego
Q000871	Operator systemów sterylizacji artykułów sanitarnych, sprzętu i aparatów medycznych
Q000872	Perfuzjonista
Q000873	Technik elektroradiolog
Q000874	Technik sterylizacji medycznej
Q000875	Pozostali operatorzy aparatury medycznej
Q000876	Technik analityki medycznej
Q000877	Technik farmaceutyczny
Q000878	Protetyk słuchu
Q000879	Technik dentystyczny
Q000880	Technik ortopeda
Q000881	Pozostali technicy medyczni i dentystyczni
Q000882	Dietetyk
Q000883	Akupunkturzysta
Q000884	Chiropraktyk
Q000885	Homeopata
Q000886	Instruktor hipoterapii
Q000887	Kynoterapeuta (dogoterapeuta)
Q000888	Muzykoterapeuta
Q000889	Naturopata
Q000890	Osteopata
Q000891	Zielarz-fitoterapeuta
Q000892	Arteterapeuta
Q000893	Podolog
Q000894	Technik weterynarii
Q000895	Asystentka stomatologiczna
Q000896	Higienistka stomatologiczna
Q000897	Pozostali asystenci dentystyczni
Q000898	Terapeuta środowiskowy
Q000899	Optyk okularowy
Q000900	Technik optyk
Q000901	Technik masażysta
Q000902	Edukator ekologiczny
Q000903	Inspektor bezpieczeństwa i higieny pracy
Q000904	Inspektor ochrony radiologicznej
Q000905	Kontroler higieny mięsa
Q000906	Strażnik ochrony przyrody / środowiska
Q000907	Technik dozymetrysta
Q000908	Technik ochrony środowiska
Q000909	Weterynaryjny kontroler sanitarny
Q000910	Inspektor obrony cywilnej
Q000911	Inspektor sanitarny
Q000912	Technik gospodarki odpadami
Q000913	Ratownik medyczny
Q000914	Felczer
Q000915	Koordynator pobierania i przeszczepiania tkanek i narządów
Q000916	Opiekunka dziecięca
Q000917	Ortoptystka
Q000918	Terapeuta zajęciowy
Q000919	Pozostały średni personel do spraw zdrowia gdzie indziej niesklasyfikowany
Q000920	Dealer aktywów finansowych
Q000921	Pracownik do spraw produktów finansowych
Q000922	Pracownik scentralizowanych systemów rozliczeniowych
Q000923	Pracownik do spraw kredytów
Q000924	Księgowy
Q000925	Asystent do spraw statystyki
Q000926	Asystent przetwarzania danych
Q000927	Pozostały średni personel do spraw statystyki i dziedzin pokrewnych
Q000928	Gemmolog
Q000929	Likwidator szkód
Q000930	Pozostali rzeczoznawcy (z wyłączeniem majątkowych)
Q000931	Agent ubezpieczeniowy
Q000932	Broker ubezpieczeniowy
Q000933	Pozostali agenci ubezpieczeniowi
Q000934	Ekspozytor towarów (merchandiser)
Q000935	Pracownik centrum elektronicznej obsługi klienta
Q000936	Przedstawiciel handlowy
Q000937	Zaopatrzeniowiec
Q000938	Makler giełd towarowych
Q000939	Makler morski
Q000940	Agent celny
Q000941	Eksploatator portu
Q000942	Pracownik działu logistyki
Q000943	Doradca do spraw bezpieczeństwa przewozu koleją towarów niebezpiecznych (Doradca RID)
Q000944	Organizator imprez rozrywkowych (organizator eventów)
Q000945	Organizator imprez ślubnych
Q000946	Organizator usług konferencyjnych
Q000947	Organizator widowni
Q000948	Pozostali organizatorzy konferencji i imprez
Q000949	Pośrednik pracy
Q000950	Pracownik agencji pracy tymczasowej
Q000951	Agent do spraw pozyskiwania gruntów
Q000952	Menedżer artystyczny
Q000953	Licytator
Q000954	Promotor marki (trendsetter)
Q000955	Sprzedawca reklam internetowych
Q000956	Tajemniczy klient (mystery shopper)
Q000957	Technik organizacji reklamy
Q000958	Kierownik biura
Q000959	Sekretarka w kancelarii prawnej
Q000960	Akredytowany asystent parlamentarny
Q000961	Asystent dyrektora
Q000962	Asystent parlamentarny
Q000963	Asystent zarządu
Q000964	Stenograf-protokolant
Q000965	Pracownik do spraw ubezpieczeń medycznych
Q000966	Sekretarka medyczna
Q000967	Funkcjonariusz celny
Q000968	Funkcjonariusz straży granicznej
Q000969	Urzędnik do spraw imigracji
Q000970	Rewident kontroli skarbowej
Q000971	Pozostali urzędnicy do spraw podatków
Q000972	Urzędnik ubezpieczeń społecznych
Q000973	Pozostali urzędnicy do spraw świadczeń społecznych
Q000974	Urzędnik do spraw licencji
Q000975	Urzędnik do spraw paszportów
Q000976	Urzędnik do spraw udzielania pozwoleń na budowę
Q000977	Urzędnik do spraw udzielania pozwoleń na prowadzenie działalności gospodarczej
Q000978	Negocjator policyjny
Q000979	Policjant służby kryminalnej
Q000980	Technik kryminalistyki
Q000981	Policjant służby prewencji
Q000982	Policjant służby wspomagającej
Q000983	Funkcjonariusz służby ochrony
Q000984	Funkcjonariusz służby penitencjarnej
Q000985	Pozostali funkcjonariusze służby więziennej
Q000986	Funkcjonariusz służb specjalnych
Q000987	Inspektor kontroli handlu i usług
Q000988	Inspektor do spraw miar i wag
Q000989	Inspektor Inspekcji Transportu Drogowego
Q000990	Detektyw prywatny
Q000991	Sekretarka notarialna
Q000992	Asystent osoby niepełnosprawnej
Q000993	Opiekun osoby starszej
Q000994	Opiekun w domu pomocy społecznej
Q000995	Opiekunka środowiskowa
Q000996	Pracownik socjalny
Q000997	Asystent rodziny
Q000998	Pracownik parafialny
Q000999	Świecki krzewiciel wiary
Q001000	Dżokej
Q001001	Zawodnik dyscypliny sportu
Q001002	Instruktor sportu
Q001003	Instruktor sportu osób niepełnosprawnych
Q001004	Menedżer dyscypliny sportu
Q001005	Menedżer imprez sportowych
Q001006	Menedżer sportu
Q001007	Sędzia sportowy
Q001008	Trener sportu
Q001009	Instruktor fitness
Q001010	Instruktor gimnastyki korekcyjnej
Q001011	Instruktor jazdy konnej
Q001012	Instruktor odnowy biologicznej
Q001013	Instruktor rekreacji ruchowej
Q001014	Instruktor sportów siłowych
Q001015	Instruktor sztuki walki
Q001016	Animator rekreacji i organizacji czasu wolnego
Q001017	Fotograf
Q001018	Fotoreporter
Q001019	Fotosista
Q001020	Pozostali fotografowie
Q001021	Dekorator sklepów
Q001022	Dekorator wnętrz
Q001023	Rzeźbiarz w owocach i warzywach
Q001024	Pozostali plastycy, dekoratorzy wnętrz i pokrewni
Q001025	Bibliotekarz
Q001026	Doradca do spraw zasobów bibliotecznych
Q001027	Szef kuchni (kuchmistrz)
Q001028	Akrobata
Q001029	Aktor cyrkowy
Q001030	Klaun (clown)
Q001031	Iluzjonista
Q001032	Komik
Q001033	Treser zwierząt cyrkowych
Q001034	Żongler
Q001035	Aktor scen muzycznych
Q001036	Muzyk
Q001037	Organista
Q001038	Tancerz
Q001039	Animator kultury
Q001040	Garderobiana
Q001041	Inspicjent
Q001042	Kaskader filmowy
Q001043	Kierownik planu filmowego
Q001044	Menedżer klubu muzycznego
Q001045	Oświetlacz filmowy
Q001046	Pirotechnik
Q001047	Realizator światła
Q001048	Sufler
Q001049	Tatuażysta
Q001050	Technik teleinformatyk
Q001051	Konserwator sieci i systemów komputerowych
Q001052	Technik informatyk
Q001053	Technik tyfloinformatyk
Q001054	Operator sieci komputerowych
Q001055	Operator sprzętu komputerowego
Q001056	Administrator stron internetowych
Q001057	Administrator systemów poczty elektronicznej
Q001058	Projektant stron internetowych (webmaster)
Q001059	Pracownik obsługi kampanii e-mailowych
Q001060	Asystent operatora dźwięku
Q001061	Asystent operatora obrazu
Q001062	Asystent techniczny realizatora dźwięku
Q001063	Kinooperator
Q001064	Mikser dźwięku
Q001065	Mikser obrazu
Q001066	Montażysta dźwięku
Q001067	Montażysta obrazu
Q001068	Operator dźwięku
Q001069	Operator kamery
Q001070	Operator sprzętu zdjęciowego (wózkarz)
Q001071	Operator radiowych urządzeń transmisyjnych
Q001072	Operator telewizyjnych urządzeń transmisyjnych
Q001073	Realizator dźwięku
Q001074	Realizator filmu wideo (wideofilmowiec)
Q001075	Realizator rekonstrukcji dźwięku
Q001076	Technik realizacji dźwięku
Q001077	Technik urządzeń audiowizualnych
Q001078	Technik realizacji nagrań i nagłośnień
Q001079	Operator urządzeń nadawczych telewizji kablowej
Q001080	Technik telekomunikacji
Q001081	Administrator nieruchomości
Q001082	Pracownik do spraw ewidencji ludności
Q001083	Technik prac biurowych
Q001084	Sekretarka
Q001085	Maszynistka
Q001086	Operator aplikacji komputerowych
Q001087	Operator edytorów tekstu
Q001088	Pozostałe maszynistki i operatorzy edytorów tekstu
Q001089	Operator wprowadzania danych
Q001090	Asystent usług pocztowych
Q001091	Asystent usług telekomunikacyjnych
Q001092	Kasjer bankowy
Q001093	Kasjer walutowy
Q001094	Skarbnik bankowy
Q001095	Pozostali kasjerzy bankowi i pokrewni
Q001096	Bukmacher
Q001097	Krupier
Q001098	Pracownik kolektury
Q001099	Pracownik lombardu
Q001100	Inkasent
Q001101	Windykator
Q001102	Pracownik biura podróży
Q001103	Rezydent biura turystycznego
Q001104	Technik obsługi turystycznej
Q001105	Pozostali konsultanci i inni pracownicy biur podróży
Q001106	Pracownik centrum obsługi telefonicznej (pracownik call center)
Q001107	Operator centrali telefonicznej
Q001108	Recepcjonista hotelowy
Q001109	Pracownik informacji turystycznej
Q001110	Pozostali pracownicy biur informacji
Q001111	Recepcjonista
Q001112	Ankieter
Q001113	Teleankieter
Q001114	Pozostali ankieterzy
Q001115	Asystent do spraw księgowości
Q001116	Fakturzystka
Q001117	Pracownik do spraw statystyki
Q001118	Pracownik do spraw ubezpieczeń
Q001119	Pracownik obsługi płacowej
Q001120	Ekspedient wypożyczalni
Q001121	Inwentaryzator
Q001122	Pracownik punktu skupu
Q001123	Pracownik sortowania przesyłek i towarów
Q001124	Dyspozytor radiotaxi
Q001125	Ekspedytor
Q001126	Odprawiacz pociągów
Q001127	Pomocnik biblioteczny
Q001128	Ekspedient pocztowy
Q001129	Kurier
Q001130	Listonosz
Q001131	Pozostali listonosze i pokrewni
Q001132	Kodowacz (koder)
Q001133	Korektor tekstu
Q001134	Pozostali kodowacze, korektorzy i pokrewni
Q001135	Archiwista dokumentów elektronicznych
Q001136	Archiwista zakładowy
Q001137	Pracownik do spraw osobowych
Q001138	Pracownik do spraw socjalnych
Q001139	Asystent do spraw wydawniczych
Q001140	Stewardesa / Steward
Q001141	Steward statku morskiego
Q001142	Kierownik pociągu
Q001143	Konduktor
Q001144	Konduktor kolei linowej
Q001145	Kontroler biletów
Q001146	Konwojent (konduktor) wagonów specjalnych
Q001147	Przewodnik turystyczny górski
Q001148	Przewodnik turystyczny miejski
Q001149	Przewodnik turystyczny terenowy
Q001150	Kelner
Q001151	Barista
Q001152	Barman
Q001153	Sommelier
Q001154	Fryzjer
Q001155	Fryzjer damski
Q001156	Fryzjer męski
Q001157	Perukarz
Q001158	Charakteryzator
Q001159	Kosmetyczka
Q001160	Manikiurzystka
Q001161	Pedikiurzystka
Q001162	Pracownik solarium
Q001163	Wizażystka / stylistka
Q001164	Inspektor hotelowy
Q001165	Pozostali pracownicy obsługi technicznej biur, hoteli i innych obiektów
Q001166	Gospodyni
Q001167	Organizator usług domowych
Q001168	Technik turystyki wiejskiej
Q001169	Właściciel małego zakładu agroturystycznego/hotelarskiego/gastronomicznego
Q001170	Pozostali pracownicy usług domowych
Q001171	Gospodarz domu
Q001172	Kościelny
Q001173	Astrolog
Q001174	Wróżbita
Q001175	Osoba do towarzystwa
Q001176	Kremator
Q001177	Organizator usług pogrzebowych
Q001178	Tanatoprakser (balsamista)
Q001179	Żałobnik
Q001180	Fryzjer zwierząt (groomer)
Q001181	Opiekun dzikich zwierząt
Q001182	Opiekun zwierząt domowych
Q001183	Trener koni wyścigowych
Q001184	Treser psów
Q001185	Zoofizjoterapeuta
Q001186	Jeździec
Q001187	Radiesteta
Q001188	Osobisty doradca do spraw zakupów (personal shooper)
Q001189	Sprzedawca na targowisku / bazarze
Q001190	Uliczny sprzedawca żywności o krótkim terminie przydatności do spożycia
Q001191	Antykwariusz
Q001192	Właściciel małego sklepu
Q001193	Kierownik sali sprzedaży
Q001194	Kierownik stoiska w markecie
Q001195	Kierownik kas
Q001196	Sprzedawca
Q001197	Sprzedawca w branży mięsnej
Q001198	Technik handlowiec
Q001199	Technik księgarstwa
Q001200	Kasjer biletowy
Q001201	Kasjer handlowy
Q001202	Kasjer w zakładzie pracy
Q001203	Pozostali kasjerzy i sprzedawcy biletów
Q001204	Model / modelka
Q001205	Demonstrator wyrobów
Q001206	Akwizytor
Q001207	Ekspedytor sprzedaży wysyłkowej / internetowej
Q001208	Sprzedawca na telefon
Q001209	Telemarketer
Q001210	Sprzedawca w stacji paliw
Q001211	Pośrednik usług medycznych
Q001212	Pozostali pracownicy sprzedaży i pokrewni gdzie indziej niesklasyfikowani
Q001213	Opiekunka dziecięca domowa (niania)
Q001214	Rodzic zastępczy
Q001215	Opiekunka w żłobku / klubie dziecięcym
Q001216	Dzienny opiekun małego dziecka
Q001217	Asystent nauczyciela przedszkola
Q001218	Opiekun medyczny
Q001219	Opiekunka domowa
Q001220	Pomoc apteczna
Q001221	Preparator medyczny
Q001222	Zabiegowy balneologiczny
Q001223	Asystentka kobiety w czasie ciąży i porodu (doula)
Q001224	Strażak
Q001225	Strażnik w zakładzie dla nieletnich
Q001226	Funkcjonariusz Biura Ochrony Rządu
Q001227	Portier
Q001228	Pracownik ochrony fizycznej
Q001229	Strażnik gminny / miejski
Q001230	Strażnik straży marszałkowskiej
Q001231	Funkcjonariusz straży ochrony kolei
Q001232	Technik ochrony fizycznej osób i mienia
Q001233	Operator kontroli bezpieczeństwa
Q001234	Pracownik obsługi monitoringu
Q001235	Ratownik górniczy
Q001236	Ratownik górski
Q001237	Ratownik morski
Q001238	Ratownik pokładowy
Q001239	Ratownik wodny
Q001240	Strażnik leśny
Q001241	Strażnik rybacki
Q001242	Pozostali pracownicy usług ochrony gdzie indziej niesklasyfikowani
Q001243	Kierownik gospodarstwa upraw polowych
Q001244	Rolnik łąkarz
Q001245	Rolnik producent kwalifikowanych nasion rolniczych
Q001246	Rolnik upraw polowych
Q001247	Kierownik gospodarstwa sadowniczego
Q001248	Rolnik chmielarz
Q001249	Sadownik
Q001250	Chirurg pielęgniarz drzew
Q001251	Kierownik gospodarstwa ogrodniczego
Q001252	Ogrodnik
Q001253	Ogrodnik producent nasion
Q001254	Ogrodnik szkółkarz
Q001255	Ogrodnik terenów zieleni
Q001256	Ogrodnik – uprawa grzybów jadalnych
Q001257	Ogrodnik – uprawa roślin ozdobnych
Q001258	Ogrodnik – uprawa warzyw polowych
Q001259	Ogrodnik – uprawy pod osłonami
Q001260	Producent i zbieracz ziół
Q001261	Pielęgniarz trawników / murawy (greenkeeper)
Q001262	Kierownik gospodarstwa upraw mieszanych
Q001263	Producent zdrowej żywności
Q001264	Rolnik upraw mieszanych
Q001265	Dojarz
Q001266	Hodowca bydła
Q001267	Hodowca koni
Q001268	Hodowca owiec
Q001269	Hodowca trzody chlewnej
Q001270	Hodowca zwierząt futerkowych
Q001271	Kierownik gospodarstwa produkcji zwierzęcej
Q001272	Masztalerz
Q001273	Hodowca inwentarza mieszanego
Q001274	Pozostali hodowcy zwierząt gospodarskich i domowych
Q001275	Hodowca drobiu
Q001276	Kierownik gospodarstwa hodowli drobiu
Q001277	Pozostali hodowcy drobiu
Q001278	Hodowca jedwabników
Q001279	Pszczelarz
Q001280	Hodowca ptaków
Q001281	Hodowca zwierząt laboratoryjnych
Q001282	Pozostali hodowcy zwierząt gdzie indziej niesklasyfikowani
Q001283	Kierownik gospodarstwa produkcji roślinnej i zwierzęcej
Q001284	Rolnik
Q001285	Drwal / pilarz drzew
Q001286	Robotnik leśny
Q001287	Wozak zrywkarz
Q001288	Rybak rybołówstwa morskiego
Q001289	Rolnik produkcji roślinnej pracujący na własne potrzeby
Q001290	Hodowca zwierząt pracujący na własne potrzeby
Q001291	Rolnik produkcji roślinnej i zwierzęcej pracujący na własne potrzeby
Q001292	Rybak pracujący na własne potrzeby
Q001293	Zbieracz owoców, ziół i innych roślin
Q001294	Konserwator budynków i stanu technicznego pomieszczeń
Q001295	Renowator zabytków architektury
Q001296	Monter kamiennych elementów budowlanych
Q001297	Murarz
Q001298	Zdun
Q001299	Brukarz
Q001300	Kamieniarz
Q001301	Betoniarz
Q001302	Palowniczy
Q001303	Zbrojarz
Q001304	Pozostali betoniarze, betoniarze zbrojarze i pokrewni
Q001305	Cieśla
Q001306	Cieśla szalunkowy
Q001307	Szkutnik
Q001308	Dróżnik obchodowy
Q001309	Monter nawierzchni kolejowej
Q001310	Toromistrz
Q001311	Układacz nawierzchni drogowych
Q001312	Montażysta dekoracji
Q001313	Monter reklam
Q001314	Monter rusztowań
Q001315	Robotnik rozbiórki budowli
Q001316	Dekarz
Q001317	Cykliniarz
Q001318	Glazurnik
Q001319	Parkieciarz
Q001320	Posadzkarz
Q001321	Monter ociepleń budynków
Q001322	Tynkarz
Q001323	Pozostali tynkarze i pokrewni
Q001324	Monter izolacji budowlanych
Q001325	Monter izolacji chemoodpornych i antykorozyjnych
Q001326	Monter izolacji przemysłowych
Q001327	Termoizoler
Q001328	Szklarz
Q001329	Szklarz budowlany
Q001330	Szklarz pojazdów
Q001331	Witrażownik
Q001332	Monter szkła budowlanego
