C000001_it_000	Forze armate
C001419_it_001	addetta alla pialla a spessore
C001419_it_002	addetto alla pialla a spessore
C001420_it_000	supervisore di produzione di strumenti ottici
C001421_it_000	conducente di rullo compressore
C001421_it_001	macchinista di rulli compressori
C001422_it_000	confezionatore caseario artigianale /confezionatrice casearia artigianale
C001422_it_001	battitore di formaggi
C001422_it_002	battitrice di formaggi
C001422_it_003	burraia
C001422_it_004	burraio
C001422_it_005	casara
C001422_it_006	casaro
C001422_it_007	confezionatore caseario artigianale
C001422_it_008	confezionatrice casearia artigianale
C001422_it_009	gelataia
C001422_it_010	gelataio
C001422_it_011	operaia casearia
C001422_it_012	operaia specializzata nelle lavorazioni casearie
C001422_it_013	operaio caseario
C001422_it_014	operaio specializzato nelle lavorazioni casearie
C001422_it_015	preparatore di ricotte
C001422_it_016	preparatore di scamorze
C001422_it_017	preparatrice di ricotte
C001422_it_018	preparatrice di scamorze
C001423_it_000	rilevatore idrografico/rilevatrice idrografica
C001423_it_001	idrografo
C001423_it_002	rilevatore idrografico
C001423_it_003	rilevatrice idrografica
C001423_it_004	specialista idrografo
C001424_it_000	operatore addetto alla pressa elicoidale/operatrice addetta alla pressa elicoidale
C001424_it_001	operatore addetto alla pressa a vite senza fine
C001424_it_002	operatore addetto alla pressa elicoidale
C001424_it_003	operatrice addetta alla pressa a vite senza fine
C001424_it_004	operatrice addetta alla pressa elicoidale
C001425_it_000	ispettore sanitario/ispettrice sanitaria
C001425_it_001	ispettore medico
C001425_it_002	ispettore sanitario
C001425_it_003	ispettrice medica
C001425_it_004	ispettrice sanitaria
C001426_it_000	tecnico di prova batterie
C001426_it_001	collaudatore di batterie
C001426_it_002	collaudatrice di batterie
C001426_it_003	manutentore di batterie
C001426_it_004	manutentrice di batterie
C001426_it_005	tecnico batterie
C001426_it_006	tecnico controllo batterie
C001426_it_007	verificatore di batterie
C001426_it_008	verificatrice di batterie
C001427_it_000	usciere
C001427_it_001	concierge
C001427_it_002	portinaia
C001427_it_003	portinaio
C001427_it_004	usciera
C001427_it_005	uscieri
C001428_it_000	comportamentista
C001428_it_001	esperta in scienze del compoertamento e delle relazioni sociali
C001428_it_002	esperto in scienze del comportamento e delle relazioni sociali
C001428_it_003	etologa
C001428_it_004	etologo
C001428_it_005	psicologa comportamentista
C001428_it_006	psicologo comportamentista
C001429_it_000	tecnico di ingegneria automobilistica
C001429_it_001	tecnico del settore automobilistico
C001429_it_002	tecnico del settore automotive
C001430_it_000	pianificatore territoriale/pianificatrice territoriale
C001430_it_001	architetta ambientale
C001430_it_002	architetto ambientale
C001430_it_003	pianificatore territoriale
C001430_it_004	pianificatrice territoriale
C001431_it_000	addetto alla molatura/addetta alla molatura
C001431_it_001	addetta alla molatura
C001431_it_002	addetto alla molatura
C001432_it_000	responsabile della distribuzione di materie prime agricole, sementi e mangimi
C001432_it_001	pianificatore della distribuzione di materie prime agricole, sementi e mangimi
C001432_it_002	pianificatrice della distribuzione di materie prime agricole, sementi e mangimi per animali
C001432_it_003	responsabile della catena di fornitura di materie prime agricole, sementi e mangimi
C001433_it_000	addetto ad essiccatoi per legno/addetta ad essiccatoi per legno
C001433_it_001	addetta ad essiccatoi per legno
C001433_it_002	addetto ad essiccatoi per legno
C001434_it_000	responsabile di lavanderia e lavasecco
C001434_it_001	gestore di lavanderia
C001434_it_002	gestore di lavanderia a gettoni
C001434_it_003	responsabile del servizio lavanderia
C001434_it_004	responsabile di lavanderia
C001434_it_005	responsabile tecnica di tintolavanderia
C001434_it_006	responsabile tecnico di tintolavanderia
C001435_it_000	responsabile del bilancio
C001435_it_001	analista di bilancio
C001435_it_002	consulente di bilancio
C001435_it_003	contabile
C001435_it_004	coordinatore di bilancio
C001435_it_005	coordinatrice di bilancio
C001435_it_006	direttore del bilancio
C001435_it_007	direttrice del bilancio
C001435_it_008	responsabile di bilancio
C001435_it_009	revisore
C001435_it_010	revisore di bilancio
C001435_it_011	tesoriera
C001435_it_012	tesoriere
C001436_it_000	responsabile della sicurezza dell’area lato volo
C001436_it_001	airside safety manager
C001436_it_002	direttore della sicurezza aeroportuale
C001436_it_003	direttrice della sicurezza aeroportuale
C001436_it_004	responsabile airside safety
C001436_it_005	responsabile della sicurezza aeronautica
C001436_it_006	responsabile della sicurezza aeroportuale
C001437_it_000	conducente di autocarri
C001437_it_001	autotrasportatore
C001437_it_002	autotrasportatrice
C001437_it_003	camionista
C001437_it_004	conducente di camion
C001438_it_000	arrangiatore/arrangiatrice
C001438_it_001	arrangiatore
C001438_it_002	arrangiatore musicale
C001438_it_003	arrangiatrice
C001438_it_004	arrangiatrice musicale
C001439_it_000	esperto di drenaggio/esperta di drenaggio
C001439_it_001	esperta di drenaggio
C001439_it_002	esperto di drenaggio
C001440_it_000	pianificatore delle risorse TIC/pianificatrice delle risorse TIC
C001440_it_001	pianificatore della capacità IT
C001440_it_002	pianificatore delle risorse TIC
C001440_it_003	pianificatrice della capacità IT
C001440_it_004	pianificatrice delle risorse TIC
C001440_it_005	responsabile delle prestazioni IT
C001441_it_000	responsabile metallurgico/responsabile metallurgica
C001441_it_001	chimico metallurgico
C001441_it_002	consulente metallurgica
C001441_it_003	consulente metallurgico
C001441_it_004	metallurgista
C001441_it_005	metallurgista capo
C001441_it_006	responsabile metallurgica
C001441_it_007	responsabile metallurgico
C001441_it_008	specialista metallurgica
C001441_it_009	specialista metallurgico
C001441_it_010	tecnico chimico
C001441_it_011	tecnico metallurgista
C001442_it_000	responsabile dell’azienda agricola
C001442_it_001	agricoltore
C001442_it_002	agricoltrice
C001442_it_003	responsabile delle operazioni agricole
C001442_it_004	responsabili dell'azienda agricola
C001443_it_000	istruttore di controllori del traffico aereo/istruttrice di controllori del traffico aereo
C001443_it_001	istruttore di controllori del traffico aereo
C001443_it_002	istruttrice di controllori del traffico aereo
C001444_it_000	supervisore di produzione di articoli in gomma e plastica
C001444_it_001	responsabile di produzione di articoli in gomma e in plastica
C001444_it_002	supervisore di produzione di articoli in gomma e in materie plastiche
C001445_it_000	configuratore di applicazioni informatiche
C001445_it_001	configuratore di sistemi
C001445_it_002	configuratori di applicazioni
C001445_it_003	tecnico dei sistemi
C001446_it_000	insegnante di alfabetizzazione digitale
C001446_it_001	formatore di alfabetizzazione informatica
C001446_it_002	formatore informatico
C001446_it_003	formatrice di alfabetizzazione informatica
C001446_it_004	formatrice informatica
C001446_it_005	insegnante di informatica
C001447_it_000	responsabile di cooperativa di credito
C001447_it_001	direttore banca di credito cooperativo
C001447_it_002	direttore di banca di credito cooperativo
C001447_it_003	direttore di cooperativa di credito
C001447_it_004	direttrice di banca di credito cooperativo
C001447_it_005	direttrice di cooperativa di credito
C001448_it_000	tecnico di laboratorio addetto al controllo qualità dei prodotti di pelletteria
C001448_it_001	tecnico di laboratorio addetto al controllo qualità settore pelletteria
C001449_it_000	tecnico di impianti di scarico
C001449_it_001	riparatore di linea fognaria
C001449_it_002	riparatrice di linea fognaria
C001449_it_003	tecnico dei sistemi di scarico
C001449_it_004	tecnico delle acque reflue
C001449_it_005	tecnico di impianti di drenaggio
C001449_it_006	tecnico di impianti idrici e fognari
C001450_it_000	docente in corsi professionali di elettricità ed energia
C001451_it_000	fitoterapista
C001451_it_001	fitoterapeuta
C001451_it_002	iridologa
C001451_it_003	iridologo
C001451_it_004	naturopata
C001451_it_005	tecnico erborista
C001452_it_000	esercente di negozio di apparecchiature audio video
C001452_it_001	esercente di negozio audio video
C001452_it_002	esercente di negozio multimediale
C001452_it_003	responsabile di centro commerciale multimediale
C001453_it_000	istruttore di guida di autobus/istruttrice di guida di autobus
C001453_it_001	istruttore di guida di autobus
C001453_it_002	istruttore per conducenti di autobus
C001453_it_003	istruttrice di guida di autobus
C001453_it_004	istruttrice per conducenti di autobus
C001454_it_000	trivellatore
C001455_it_000	insegnante di fotografia
C001456_it_000	docente in corsi professionali di arti industriali
C001457_it_000	manovale edile
C001457_it_001	addetta al carico e scarico dei materiali edili
C001457_it_002	addetto al carico e scarico dei materiali edili
C001457_it_003	sterratore ediliza civile
C001457_it_004	terrazziere edilizia civile
C001458_it_000	pilota di elicotteri
C001458_it_001	elicotterista
C001459_it_000	addetto di piscina/addetta di piscina
C001459_it_001	addetta di piscina
C001459_it_002	addetto di piscina
C001459_it_003	bagnina di piscina
C001459_it_004	bagnino di piscina
C001460_it_000	specialista di marketing
C001460_it_001	analista di marketing
C001460_it_002	consulente di marketing
C001460_it_003	tecnico della vendita e della distribuzione
C001461_it_000	responsabile dell’acquisto di spazi pubblicitari
C001461_it_001	media buyer
C001462_it_000	docente universitario in scienze dell’informazione/docente universitaria in scienze dell’informazione
C001462_it_001	docente universitaria in scienze dell’informazione
C001462_it_002	docente universitario in scienze dell’informazione
C001462_it_003	professore universitario in scienze dell’informazione
C001462_it_004	professoressa universitaria in scienze dell’informazione
C001463_it_000	operatore di sala di controllo di impianti di trattamento del gas/operatrice di sala di controllo di impianti di trattamento del gas
C001463_it_001	operatore di sala di controllo di impianti di trattamento del gas
C001463_it_002	operatrice di sala di controllo di impianti di trattamento del gas
C001464_it_000	responsabile di gioielleria
C001464_it_001	esercente di oreficeria
C001464_it_002	esercente orologiaio
C001464_it_003	gioielliera
C001464_it_004	gioielliere
C001464_it_005	orefice
C001464_it_006	responsabile di negozio di pietre preziose
C001464_it_007	responsabile di oreficeria
C001464_it_008	responsabile di orologeria e gioielleria
C001465_it_000	conduttore di draghe/conduttrice di draghe
C001465_it_001	conduttore di draghe
C001465_it_002	conduttrice di draghe
C001466_it_000	ingegnere esperto in combustibili liquidi
C001467_it_000	tecnico di attrezzature a noleggio per spettacoli
C001468_it_000	assistente di marketing
C001468_it_001	tecnico di marketing
C001469_it_000	Fotogiornalista
C001469_it_001	fotografa di quotidiano
C001469_it_002	fotografa investigativa
C001469_it_003	fotografo di quotidiano
C001469_it_004	fotografo investigativo
C001469_it_005	fotoreporter
C001470_it_000	operatore addetto all’impiallacciatura/operatrice addetta all’impiallacciatura
C001470_it_001	impiallacciatore
C001470_it_002	operatore addetto all'impiallacciatura
C001470_it_003	operatrice addetta all'impiallacciatura
C001471_it_000	commerciante all’ingrosso di prodotti farmaceutici
C001471_it_001	grossista di prodotti farmaceutici
C001472_it_000	ingegnere linguistico
C001473_it_000	responsabile dell’intrattenimento nel settore dell’ospitalità
C001473_it_001	responsabile dell'intrattenimento dei turisti
C001473_it_002	responsabile dell'intrattenimento nell'ospitalità
C001473_it_003	responsabile dell'intrattenimento turistico
C001473_it_004	responsabili dell'intrattenimento nel settore dell'ospitalità
C001474_it_000	pedicure
C001474_it_001	addetta alla pedicure
C001474_it_002	addetto alla pedicure
C001474_it_003	estetista pedicure
C001474_it_004	operatore salone di bellezza
C001474_it_005	operatrice salone di bellezza
C001475_it_000	macellaio halal/macellaia halal
C001475_it_001	macellaio halal
C001476_it_000	animatore digitale/animatrice digitale
C001476_it_001	animatore digitale
C001476_it_002	animatrice digitale
C001476_it_003	esperta in animazione digitale
C001476_it_004	esperto in animazione digitale
C001477_it_000	addetto alla filatura/addetta alla filatura
C001477_it_001	addetta alla filatura
C001477_it_002	addetto alla filatura
C001478_it_000	docente universitario in scienze della comunicazione/docente universitaria in scienze della comunicazione
C001478_it_001	docente universitaria in scienze della comunicazione
C001478_it_002	docente universitario in scienze della comunicazione
C001478_it_003	professore universitario in scienze della comunicazione
C001478_it_004	professoressa universitaria in scienze della comunicazione
C001479_it_000	tecnico riparazione sportelli bancari automatici
C001479_it_001	tecnico ATM
C001479_it_002	tecnico riparazione e manutenzione di sportelli bancari automatici
C001480_it_000	elettricista
C001481_it_000	controllore della qualità di giochi online ed elettronici
C001482_it_000	responsabile della distribuzione di legno e materiali edili
C001482_it_001	pianificatore della distribuzione di legno e materiali edili
C001482_it_002	pianificatrice della distribuzione di legname e materiali da costruzione
C001482_it_003	responsabile della catena di fornitura di legno e materiali edili
C001483_it_000	truccatore professionista/truccatrice professionista
C001483_it_001	make-up artist
C001483_it_002	make-up artist specializzata in effetti speciali
C001483_it_003	make-up artist specializzato in effetti speciali
C001483_it_004	truccatore cinematografico
C001483_it_005	truccatore professionista
C001483_it_006	truccatrice cinematografica
C001483_it_007	truccatrice professionista
C001484_it_000	analista assicurativo nel settore immobiliare/analista assicurativa nel settore immobiliare
C001484_it_001	assicuratore furto e incendio
C001484_it_002	assicuratrice furto e incendio
C001485_it_000	enologo/enologa
C001485_it_001	enologa
C001485_it_002	enologo
C001485_it_003	enotecnico
C001486_it_000	sommelier
C001486_it_001	esperta di vini
C001486_it_002	esperto di vini
C001486_it_003	sommelier impiegata presso un ristorante
C001486_it_004	sommelier impiegato presso un ristorante
C001487_it_000	operatore di legatoria/operatrice di legatoria
C001487_it_001	operaia cartotecnica addetta brossura
C001487_it_002	operaio cartotecnico addetto brossura
C001487_it_003	operatore di legatoria
C001487_it_004	operatore di macchine per la legatoria
C001487_it_005	operatrice di legatoria
C001487_it_006	operatrice di macchine per la legatoria
C001487_it_007	rilegatore
C001487_it_008	rilegatrice
C001488_it_000	lessicografo/lessicografa
C001488_it_001	lessicografa
C001488_it_002	lessicografo
C001489_it_000	responsabile delle attività di lotteria
C001489_it_001	gestore di ricevitoria del lotto
C001490_it_000	responsabile della logistica commerciale
C001490_it_001	addetta alle spedizioni merci
C001490_it_002	addetta controllo amministrativo movimento merci
C001490_it_003	addetto alle spedizioni merci
C001490_it_004	addetto controllo amministrativo movimento merci
C001490_it_005	corriere
C001490_it_006	operatore intermodale di trasporto
C001490_it_007	operatore logistico
C001490_it_008	operatrice intermodale di trasporto
C001490_it_009	operatrice logistica
C001490_it_010	responsabile del trasporto merci
C001490_it_011	spedizioniera
C001490_it_012	spedizioniere
C001491_it_000	chiropratico
C001491_it_001	osteopata
C001491_it_002	terapista muscolo-scheletrico
C001492_it_000	addetto al forno fusorio per la produzione di vetro piano/addetta al forno fusorio per la produzione di vetro piano
C001492_it_001	addetta al forno fusorio per la produzione di vetro piano
C001492_it_002	addetto al forno fusorio per la produzione di vetro piano
C001493_it_000	caposquadra del servizio di ristorazione veloce
C001493_it_001	capisquadra del servizio di ristorazione veloce
C001493_it_002	caposquadra dei servizi di ristorazione veloce
C001493_it_003	caposquadra del fast food
C001493_it_004	leader del team addetto al servizio di ristorazione veloce
C001493_it_005	leader del team del fast food
C001494_it_000	rappresentante tecnico-commerciale di materiali per l’idraulica e il riscaldamento
C001495_it_000	operatore di macchine smerigliatrici per superfici piane/operatrice di macchine smerigliatrici per superfici piane
C001495_it_001	operatore di macchine rettificatrici per superfici piane
C001495_it_002	operatore di macchine smerigliatrici per superfici piane
C001495_it_003	operatrice di macchine rettificatrici per superfici piane
C001495_it_004	operatrice di macchine smerigliatrici per superfici piane
C001496_it_000	cavatore
C001496_it_001	cavapietre
C001497_it_000	addetto all’applicazione di suole e tacchi/addetta all’applicazione di suole e tacchi
C001497_it_001	addetta all'applicazione di suole e tacchi
C001497_it_002	addetto all'applicazione di suole e tacchi
C001498_it_000	responsabile di struttura sanitaria
C001498_it_001	direttore di struttura sanitaria
C001498_it_002	direttore di studio medico
C001498_it_003	direttrice di struttura sanitaria
C001498_it_004	direttrice di studio medico
C001498_it_005	dirigente di struttura sanitaria
C001498_it_006	dirigente sanitario
C001498_it_007	responsabile di sala operatoria
C001499_it_000	tubista addetto ai tubi isolanti/tubista addetta ai tubi isolanti
C001499_it_001	tubista addetta ai tubi isolanti
C001499_it_002	tubista addetto ai tubi isolanti
C001500_it_000	ingegnere dei materiali
C001500_it_001	ingegnere dei materiali da costruzione
C001501_it_000	esattore/esattrice
C001501_it_001	addetta alla riscossione dei tributi
C001501_it_002	addetto alla riscossione dei tributi
C001501_it_003	collettore esattoriale
C001501_it_004	esattore
C001501_it_005	esattore di imposte
C001501_it_006	esattore di tasse
C001501_it_007	esattrice
C001501_it_008	esattrice di imposte
C001501_it_009	esattrice di tasse
C001501_it_010	ufficiale di riscossione
C001501_it_011	ufficiale esattoriale
C001502_it_000	caporal maggiore
C001502_it_001	caporal maggiore capo
C001502_it_002	caporal maggiore capo scelto
C001502_it_003	caporal maggiore dell'esercito
C001502_it_004	caporal maggiore delle forze armate
C001502_it_005	caporal maggiore scelto
C001502_it_006	caporale
C001502_it_007	caporale dell'esercito
C001502_it_008	caporale delle forze armate
C001502_it_009	sottocapo della marina
C001503_it_000	tecnico di anatomia patologica
C001503_it_001	tecnico anatomopatologo
C001503_it_002	tecnico patologo-legale
C001504_it_000	addetto al trattamento termico di materie plastiche/addetta al trattamento termico di materie plastiche
C001504_it_001	addetta al trattamento termico di materie plastiche
C001504_it_002	addetto al trattamento termico di materie plastiche
C001505_it_000	addestratore di cavalli/addestratrice di cavalli
C001505_it_001	addestratore di cavalli
C001505_it_002	addestratrice di cavalli
C001505_it_003	tecnico addestratore di cavalli
C001506_it_000	meccanico autoriparatore/meccanica autoriparatrice
C001506_it_001	meccanico auto
C001507_it_000	addetto alla vendita di articoli di seconda mano/addetta alla vendita di articoli di seconda mano
C001507_it_001	addetta alla vendita di abbigliamento vintage
C001507_it_002	addetta alla vendita di articoli di seconda mano
C001507_it_003	addetto alla vendita di abbigliamento vintage
C001507_it_004	addetto alla vendita di articoli di seconda mano
C001507_it_005	commessa di negozio di libri usati
C001507_it_006	commesso di negozio di libri usati
C001508_it_000	coordinatore dei soci/coordinatrice dei soci
C001508_it_001	coordinatore dei soci
C001508_it_002	coordinatrice dei soci
C001509_it_000	assistente sociale
C001509_it_001	assistente dei servizi sociali
C001510_it_000	addetto alla vendita di arredamento/addetta alla vendita di arredamento
C001510_it_001	addetta alla vendita di arredamento
C001510_it_002	addetta alla vendita di arredamento per la casa
C001510_it_003	addetta alla vendita di mobili
C001510_it_004	addetta alla vendita di mobili e arredi
C001510_it_005	addetta alla vendita nel settore articoli per la casa
C001510_it_006	addetta alla vendita nel settore illuminazione
C001510_it_007	addetto alla vendita di arredamento
C001510_it_008	addetto alla vendita di arredamento per la casa
C001510_it_009	addetto alla vendita di mobili
C001510_it_010	addetto alla vendita di mobili e arredi
C001510_it_011	addetto alla vendita nel settore articoli per la casa
C001510_it_012	addetto alla vendita nel settore illuminazione
C001510_it_013	commessa di negozio di arredamento
C001510_it_014	commesso di negozio di arredamento
C001511_it_000	responsabile della protezione ambientale
C001511_it_001	direttore della protezione ambientale
C001511_it_002	direttrice della protezione ambientale
C001512_it_000	responsabile dell’analisi commerciale TIC
C001512_it_001	analista commerciale delle infrastrutture TIC
C001512_it_002	direttore delle analisi IT
C001512_it_003	direttrice delle analisi IT
C001512_it_004	responsabile dell'analisi commerciale delle tecnologie dell'informazione e della comunicazione
C001512_it_005	responsabili dell'analisi commerciale TIC
C001513_it_000	responsabile di stampa
C001513_it_001	responsabile della produzione tipografica
C001513_it_002	supervisore di produzione nel settore grafico
C001514_it_000	operatore di macchina in cartiera/operatrice di macchina in cartiera
C001514_it_001	operaia di cartiera
C001514_it_002	operaio di cartiera
C001514_it_003	operatore di macchina in cartiera
C001514_it_004	operatrice di macchina in cartiera
C001515_it_000	operatore di rettificatrice cilindrica/operatrice di rettificatrice cilindrica
C001515_it_001	operatore di rettificatrice cilindrica
C001515_it_002	operatrice di rettificatrice cilindrica
C001516_it_000	tecnologo alimentare/tecnologa alimentare
C001516_it_001	esperta in tecnologie e processi per l'industria alimentare
C001516_it_002	esperto in tecnologie e processi per l'industria alimentare
C001516_it_003	tecnologa alimentare
C001516_it_004	tecnologo alimentare
C001517_it_000	vettore marittimo non armatore
C001517_it_001	spedizioniere
C001517_it_002	vettore comune non armatore
C001517_it_003	vettore non armatore
C001518_it_000	oceanografo/oceanografa
C001518_it_001	biologa marina
C001518_it_002	biologo marino
C001518_it_003	oceanografa
C001518_it_004	oceanografo
C001519_it_000	tecnico di laboratorio lavorazione pelli
C001519_it_001	tecnico di laboratorio per test e prove su pelli
C001520_it_000	operatore titoli/operatrice titoli
C001520_it_001	intermediaria mobiliare
C001520_it_002	intermediaria titoli
C001520_it_003	intermediario mobiliare
C001520_it_004	intermediario titoli
C001520_it_005	operatore bancario di titoli
C001520_it_006	operatore di borsa
C001520_it_007	operatore titoli
C001520_it_008	operatrice bancaria di titoli
C001520_it_009	operatrice di borsa
C001520_it_010	operatrice titoli
C001521_it_000	assistente sociale per minorenni pregiudicati
C001521_it_001	assistente sociale per minori pregiudicati
C001522_it_000	addetto al servizio informazioni aeronautiche/addetta al servizio informazioni aeronautiche
C001522_it_001	addetta al servizio informazioni aeronautiche
C001522_it_002	addetto al servizio informazioni aeronautiche
C001522_it_003	operatore AIS
C001522_it_004	operatrice AIS
C001523_it_000	ingegnere specialista prevenzione e protezione incendi
C001523_it_001	ingegnere della sicurezza antincendio
C001524_it_000	dirigente aeroportuale
C001524_it_001	direttore di aeroporto
C001524_it_002	direttore generale di aeroporto
C001524_it_003	direttrice di aeroporto
C001524_it_004	direttrice generale di aeroporto
C001525_it_000	editore librario/editrice libraria
C001525_it_001	direttore editoriale
C001525_it_002	direttrice editoriale
C001525_it_003	editore
C001525_it_004	editore di libri per bambini
C001525_it_005	editore librario
C001525_it_006	editrice
C001525_it_007	editrice di libri per bambini
C001525_it_008	editrice libraria
C001526_it_000	responsabile import-export di mobili per ufficio
C001526_it_001	manager del commercio internazionale di mobili per ufficio
C001526_it_002	responsabile del commercio internazionale di mobili per ufficio
C001527_it_000	consulente in diritti sociali
C001528_it_000	consulente vendita energia elettrica
C001528_it_001	rappresentante di energia elettrica
C001528_it_002	responsabile di vendite energia elettrica
C001528_it_003	venditore di energia elettrica
C001528_it_004	venditrice di energia elettrica
C001529_it_000	responsabile relazioni con gli investitori
C001530_it_000	addetto alla bobinatura di filati/addetta alla bobinatura di filati
C001530_it_001	addetta alla bobinatura di filati
C001530_it_002	addetto alla bobinatura di filati
C001531_it_000	assistente sociale per le famiglie
C001531_it_001	assistente sociale (famiglie e minori)
C001531_it_002	consulente familiare
C001532_it_000	tecnico antincendio
C001532_it_001	tecnico impianti antincendio
C001532_it_002	tecnico manutentore antincendio
C001533_it_000	funzionario dei servizi segreti/funzionaria dei servizi segreti
C001533_it_001	funzionaria dei servizi segreti
C001533_it_002	funzionario dei servizi segreti
C001534_it_000	addetto alla vigilanza di strada/addetta alla vigilanza di strada
C001534_it_001	addetta alla vigilanza di strada
C001534_it_002	addetta alla vilanza di quartiere
C001534_it_003	addetto alla vigilanza di quartiere
C001534_it_004	addetto alla vigilanza di strada
C001534_it_005	agente di polizia municipale
C001534_it_006	tecnico di vigilanza ambientale
C001534_it_007	vigilante di strada
C001534_it_008	vigile di quartiere
C001535_it_000	corrispondente estero/corrispondente estera
C001535_it_001	corrispondente estera
C001535_it_002	corrispondente estero
C001535_it_003	corrispondente internazionale
C001536_it_000	minatore
C001537_it_000	veterinario ufficiale
C001537_it_001	ispettore veterinario
C001537_it_002	veterinari ufficiali
C001537_it_003	veterinario governativo
C001538_it_000	tecnico esperto in stampa 3D
C001539_it_000	Microfonista
C001539_it_001	tecnico di microfoni
C001540_it_000	docente di potenziamento di scuola dell’infanzia
C001540_it_001	assistente di asilo
C001540_it_002	assistente di scuola materna
C001540_it_003	assistente educativa di scuola materna
C001540_it_004	assistente educativo di scuola materna
C001541_it_000	ingegnere elettronico
C001541_it_001	ingegnere elettronico aeronautico
C001542_it_000	designer di produzione
C001542_it_001	scenografa cine-televisiva
C001542_it_002	scenografa cinematografica
C001542_it_003	scenografa televisiva
C001542_it_004	scenografo cine-televisivo
C001542_it_005	scenografo cinematografico
C001542_it_006	scenografo televisivo
C001543_it_000	ingegnere agrario
C001543_it_001	esperta in ingegneria agraria
C001543_it_002	esperto in ingegneria agraria
C001544_it_000	docente in corsi professionali per estetisti
C001545_it_000	funzionario dell’INPS/funzionaria dell’INPS
C001545_it_001	funzionaria dei servizi sociali
C001545_it_002	funzionaria dell'INPS
C001545_it_003	funzionaria di ente previdenzale
C001545_it_004	funzionario dei servizi sociali
C001545_it_005	funzionario dell'INPS
C001545_it_006	funzionario di ente previdenzale
C001545_it_007	impiegata dei servizi sociali
C001545_it_008	impiegata dell'INPS
C001545_it_009	impiegato dei servizi sociali
C001545_it_010	impiegato dell'INPS
C001546_it_000	assistente socio-sanitario in strutture residenziali per minori disabili/assistente socio-sanitaria in strutture residenziali per minori disabili
C001546_it_001	assistente socio-sanitaria con funzioni educative in istituzioni
C001546_it_002	assistente socio-sanitaria in strutture residenziali per minori disabili
C001546_it_003	assistente socio-sanitario con funzioni educative in istituzioni
C001546_it_004	assistente socio-sanitario in strutture residenziali per minori disabili
C001547_it_000	ingegnere responsabile di infrastrutture aeroportuali
C001547_it_001	ingegnere civile in ambito aeroportuale
C001548_it_000	commesso di negozio di informatica/commessa di negozio di informatica
C001548_it_001	addetta alla vendita di computer
C001548_it_002	addetto alla vendita di computer
C001548_it_003	commessa di negozio di computer
C001548_it_004	commessa di negozio di elettronica di consumo
C001548_it_005	commessa di negozio di informatica
C001548_it_006	commessa negozio informatica
C001548_it_007	commesso di negozio di computer
C001548_it_008	commesso di negozio di elettronica di consumo
C001548_it_009	commesso di negozio di informatica
C001548_it_010	commesso negozio informatica
C001549_it_000	assistente animatore di attività all’aperto/assistente animatrice di attività all’aperto
C001549_it_001	assistente animatore centro estivo
C001549_it_002	assistente animatore di campeggio
C001549_it_003	assistente animatore turistico
C001549_it_004	assistente animatrice centro estivo
C001549_it_005	assistente animatrice di attività all'aperto
C001549_it_006	assistente animatrice di campeggio
C001549_it_007	assistente animatrice turistica
C001549_it_008	assistente di animatore per attività all'aperto
C001550_it_000	barbiere/barbiera
C001550_it_001	acconciatore per uomo
C001550_it_002	acconciatrice per uomo
C001550_it_003	barbiera
C001550_it_004	barbiere
C001550_it_005	hair stylist per uomo
C001550_it_006	parrucchiera per uomo
C001550_it_007	parrucchiere per uomo
C001551_it_000	ingegnere responsabile di macchine per il confezionamento
C001551_it_001	ingegnere di confezionamento
C001552_it_000	addetto alla gestione di archivi di Big Data/addetta alla gestione di archivi di Big Data
C001552_it_001	addetta alla gestione di archivi di Big Data
C001552_it_002	addetto alla gestione di archivi di Big Data
C001552_it_003	archivista di documentazione digitale
C001552_it_004	archivista di documenti
C001552_it_005	archivisti digitali
C001553_it_000	analista di bilancio
C001554_it_000	responsabile del servizio noleggio di mezzi di trasporto marittimo e fluviale
C001554_it_001	addetta al servizio noleggio di mezzi di trasporto marittimo e fluviale
C001554_it_002	addetto al servizio noleggio di mezzi di trasporto marittimo e fluviale
C001554_it_003	assistente al noleggio di mezzi di trasporto marittimo e fluviale
C001554_it_004	consulente del noleggio di mezzi di trasporto marittimo e fluviale
C001554_it_005	specialista del noleggio di mezzi di trasporto marittimo e fluviale
C001555_it_000	docente universitario di architettura/docente universitaria di architettura
C001555_it_001	docente universitaria di architettura
C001555_it_002	docente universitario di architettura
C001555_it_003	professore universitario di architettura
C001555_it_004	professoressa universitaria di architettura
C001556_it_000	responsabile del trasporto stradale
C001556_it_001	amministratore contabile
C001556_it_002	amministratore del servizio clienti
C001556_it_003	amministratrice contabile
C001556_it_004	amministratrice del servizio clienti
C001556_it_005	direttore del trasporto stradale
C001556_it_006	direttore del trasporto su strada
C001556_it_007	direttrice del trasporto stradale
C001556_it_008	direttrice del trasporto su strada
C001556_it_009	responsabile di progetto
C001557_it_000	docente in corsi professionali nel settore turistico
C001558_it_000	responsabile della pubblicità
C001558_it_001	direttore della pubblicità
C001558_it_002	direttore di agenzia pubblicitaria
C001558_it_003	direttrice della pubblicità
C001558_it_004	direttrice di agenzia pubblicitaria
C001558_it_005	manager della pubblicità
C001558_it_006	responsabile della comunicazione di marketing
C001558_it_007	responsabile di pubblicità e promozioni
C001559_it_000	consulente sui finanziamenti pubblici
C001560_it_000	pittore di scenografie teatrali/pittrice di scenografie teatrali
C001560_it_001	artista scenica
