C000001_sl_000	Vojaški poklici
C001297_sl_000	vodja distribucije porcelana in steklenine
C001297_sl_001	distributer porcelana in steklenih izdelkov
C001297_sl_002	koordinator logistike in distribucije porcelana in steklenine
C001297_sl_003	koordinatorka logistike in distribucije porcelana in steklenine
C001297_sl_004	vodja distribucijske verige za porcelan in steklene izdelke
C001297_sl_005	vodja logistike in distribucije porcelana in steklenih izdelkov
C001297_sl_006	vodja oskrbovalne verige s porcelanom in steklenimi izdelki
C001298_sl_000	kontrolor/kontrolorka šiviljskih in podobnih izdelkov
C001298_sl_001	kontrolor kakovosti šivanja oblačil
C001298_sl_002	kontrolor šiviljskih in podobnih izdelkov
C001298_sl_003	kontrolorka kakovosti šivanja oblačil
C001298_sl_004	kontrolorka šiviljskih in podobnih izdelkov
C001299_sl_000	tehnični risar/tehnična risarka za strojništvo
C001299_sl_001	tehnična risarka za strojništvo
C001299_sl_002	tehnični risar za strojništvo
C001300_sl_000	strokovnjak/strokovnjakinja za politiko varstva konkurence
C001300_sl_001	strokovnjak za politiko varstva konkurence
C001300_sl_002	strokovnkjakinja za politiko varstva konkurence
C001301_sl_000	zastopnik/zastopnica za lizing vozil
C001301_sl_001	uradnica za lizing vozil
C001301_sl_002	uradnik za lizing vozil
C001301_sl_003	zastopnica za lizing vozil
C001301_sl_004	zastopnik za lizing avtomobila
C001302_sl_000	pregledovalec/pregledovalka ladij
C001302_sl_001	pregledovalec ladij
C001302_sl_002	pregledovalka ladij
C001303_sl_000	policijski preiskovalec/policijska preiskovalka
C001303_sl_001	detektiv
C001303_sl_002	detektivka
C001303_sl_003	policijska inšpektorica
C001303_sl_004	policijska preiskovalka
C001303_sl_005	policijski inšpektor
C001303_sl_006	policijski preiskovalec
C001304_sl_000	športni uradnik/športna uradnica
C001304_sl_001	strokovna sodelavka v športu
C001304_sl_002	strokovni sodelavec v športu
C001304_sl_003	športna sodnica
C001304_sl_004	športna uradnica
C001304_sl_005	športni sodnik
C001304_sl_006	športni uradnik
C001305_sl_000	tehnik/tehnica za strojno računalniško opremo
C001305_sl_001	tehnica za strojno računalniško opremo
C001305_sl_002	tehnik za strojno računalniško opremo
C001306_sl_000	naložbeni svetovalec/naložbena svetovalka
C001306_sl_001	investicijska svetovalka
C001306_sl_002	investicijski svetovalec
C001306_sl_003	naložbena svetovalka
C001306_sl_004	naložbeni svetovalec
C001306_sl_005	svetovalec za investicije
C001306_sl_006	svetovalec za naložbe
C001306_sl_007	svetovalka za investicije
C001306_sl_008	svetovalka za naložbe
C001307_sl_000	vzdrževalec/vzdrževalka v zabaviščnem parku
C001307_sl_001	vzdrževalec v zabaviščnem parku
C001307_sl_002	vzdrževalka v zabaviščnem parku
C001307_sl_003	čistilec v zabaviščnem parku
C001307_sl_004	čistilka v zabaviščnem parku
C001308_sl_000	izposojevalec/izposojevalka
C001308_sl_001	izposojevalec
C001308_sl_002	izposojevalka
C001309_sl_000	strokovnjak/strokovnjakinja za ekonomsko politiko
C001309_sl_001	strokovnjak za ekonomsko politiko
C001309_sl_002	strokovnjakinja za ekonomsko politiko
C001310_sl_000	športni terapevt/športna terapevtka
C001310_sl_001	strokovnjak za vadbo
C001310_sl_002	strokovnjakinja za vadbo
C001310_sl_003	vodnica terapevtskega konja
C001310_sl_004	vodnik terapevtskega konja
C001310_sl_005	športna terapevtka
C001310_sl_006	športni terapevt
C001311_sl_000	špediter/špediterka
C001311_sl_001	špediter
C001311_sl_002	špediterka
C001312_sl_000	prodajalec/prodajalka malih živali in hrane za male živali
C001312_sl_001	prodajalec malih živali in hrane za male živali
C001312_sl_002	prodajalka malih živali in hrane za male živali
C001313_sl_000	delavec/delavka v zabaviščnem parku
C001313_sl_001	delavec v zabaviščnem parku
C001313_sl_002	delavka v zabaviščnem parku
C001314_sl_000	strokovni sodelavec za uvoz in izvoz sadja in zelenjave/strokovna sodelavka za uvoz in izvoz sadja in zelenjave
C001314_sl_001	referent za uvoz in izvoz sadja in zelenjave
C001314_sl_002	referentka za uvoz in izvoz sadja in zelenjave
C001314_sl_003	strokovna sodelavka za uvoz in izvoz sadja in zelenjave
C001314_sl_004	strokovni sodelavec za uvoz in izvoz sadja in zelenjave
C001315_sl_000	referent/referentka za dovoljenja
C001315_sl_001	referent za dovoljenja
C001315_sl_002	referent za gradbena dovoljenja
C001315_sl_003	referent za izdajo vozniškega dovoljenja
C001315_sl_004	referentka za dovoljenja
C001315_sl_005	referentka za gradbena dovoljenja
C001315_sl_006	referentka za izdajo vozniškega dovoljenja
C001316_sl_000	vozniški instruktor/instruktorica za poklicne voznike
C001316_sl_001	instruktorica za poklicne voznike
C001316_sl_002	vozniški instruktor za poklicne voznike
C001317_sl_000	upravljavec/upravljavka opreme za izdelavo mila
C001317_sl_001	izdelovalec mila
C001317_sl_002	izdelovalka mila
C001317_sl_003	upravljavec opreme za izdelavo mila
C001317_sl_004	upravljavka opreme za izdelavo mila
C001318_sl_000	strokovni sodelavec/strokovna sodelavka za razvoj lokalnih skupnosti
C001318_sl_001	strokovna sodelavka za razvoj lokalnih skupnosti
C001318_sl_002	strokovni sodelavec za razvoj lokalnih skupnosti
C001319_sl_000	voznik/voznica trolejbusa
C001319_sl_001	voznica trolejbusa
C001319_sl_002	voznik trolejbusa
C001320_sl_000	prodajalec/prodajalka avdiološke opreme
C001320_sl_001	prodajalec avdiološke opreme
C001320_sl_002	prodajalec slušnih aparatov
C001320_sl_003	prodajalka avdiološke opreme
C001320_sl_004	prodajalka slušnih aparatov
C001321_sl_000	mornar/mornarka v pomorski plovbi
C001321_sl_001	mornar
C001321_sl_002	mornar v pomorski plovbi
C001321_sl_003	mornarka
C001321_sl_004	mornarka v pomorski plovbi
C001322_sl_000	regionalni vodja prodaje/regionalna vodja prodaje
C001322_sl_001	področna vodja prodaje in trženja
C001322_sl_002	področni vodja prodaje in trženja
C001322_sl_003	regionalna vodja prodaje
C001322_sl_004	regionalna vodja trgovske verige
C001322_sl_005	regionalni vodja prodaje
C001322_sl_006	regionalni vodja trgovske verige
C001323_sl_000	graver/graverka stekla
C001323_sl_001	graver stekla
C001323_sl_002	graverka stekla
C001323_sl_003	steklograver
C001323_sl_004	steklograverka
C001324_sl_000	učitelj/učiteljica praktičnega usposabljanja pri študiju socialnega dela
C001324_sl_001	učitelj praktičnega usposabljanja pri študiju socialnega dela
C001324_sl_002	učiteljica praktičnega usposabljanja pri študiju socialnega dela
C001325_sl_000	upravljavec/upravljavka stiskalnice za milo
C001325_sl_001	upravljavec stiskalnice za milo
C001325_sl_002	upravljavka stiskalnice za milo
C001326_sl_000	izvajalec/izvajalka avtomatske optične inspekcije
C001326_sl_001	izvajalec avtomatske optične inspekcije
C001326_sl_002	izvajalka avtomatske optične inspekcije
C001327_sl_000	upravljavec/upravljavka stroja za žaganje kovin
C001327_sl_001	operater na CNC stroju za žaganje kovin
C001327_sl_002	operaterka na CNC stroju za žaganje kovin
C001327_sl_003	upravljavec stroja za žaganje kovin
C001327_sl_004	upravljavka stroja za žaganje kovin
C001328_sl_000	vodja trgovine z gradbenim materialom
C001328_sl_001	poslovodja trgovine z gradbenim materijalom
C001328_sl_002	vodja prodajalne gradbenih materialov
C001329_sl_000	kurir na kolesu/kurirka na kolesu
C001329_sl_001	kurir na kolesu
C001329_sl_002	kurirka na kolesu
C001330_sl_000	trgovec/trgovka na debelo
C001330_sl_001	trgovec na debelo
C001330_sl_002	trgovka na debelo
C001331_sl_000	pogajalec/pogajalka o pogodbah o turističnih storitvah
C001331_sl_001	pogajalec o pogodbah o turističnih storitvah
C001331_sl_002	pogajalec o turističnih pogodbah
C001331_sl_003	pogajalka o pogodbah o turističnih storitvah
C001331_sl_004	pogajalka o turističnih pogodbah
C001331_sl_005	pogodbeni vodja
C001332_sl_000	strokovni sodelavec za uvoz in izvoz kovinskih izdelkov, orodja, instalacijskega materiala in naprav za gretje/strokovna sodelavka za uvoz in izvoz kovinskih izdelkov, orodja, instalacijskega materiala in naprav za gretje
C001332_sl_001	referentka za uvoz in izvoz kovinskih izdelkov, orodja, instalacijskega materiala in naprav za gretje
C001332_sl_002	referentza uvoz in izvoz kovinskih izdelkov, orodja, instalacijskega materiala in naprav za gretje
C001332_sl_003	strokovna sodelavka za uvoz in izvoz kovinskih izdelkov, orodja, instalacijskega materiala in naprav za gretje
C001332_sl_004	strokovni sodelavec za uvoz in izvoz kovinskih izdelkov, orodja, instalacijskega materiala in naprav za gretje
C001333_sl_000	strokovnjak/strokovnjakinja za sociološke raziskave
C001333_sl_001	sociolog analitik
C001333_sl_002	sociologinja analitičarka
C001333_sl_003	strokovnjak za sociološke raziskave
C001333_sl_004	strokovnjakinja za sociološke raziskave
C001334_sl_000	vodja proizvodnje oblačil
C001334_sl_001	direktor proizvodnje oblačil
C001334_sl_002	direktorica proizvodnje oblačil
C001334_sl_003	menedžer v proizvodnji oblačil
C001334_sl_004	menedžerka v proizvodnji oblačil
C001334_sl_005	področna vodja proizvodnje oblačil
C001334_sl_006	področni vodja proizvodnje oblačil
C001335_sl_000	svetovalec/svetovalka za ribištvo
C001335_sl_001	svetovalec za ribištvo
C001335_sl_002	svetovalka za ribištvo
C001336_sl_000	socialni gerontolog/socialna gerontologinja
C001336_sl_001	socialna delavka za delo s starejšimi občani
C001336_sl_002	socialna gerontologinja
C001336_sl_003	socialni delavec za delo s starejšimi občani
C001336_sl_004	socialni gerontolog
C001337_sl_000	nogometni trener/nogometna trenerka
C001337_sl_001	nogometna trenerka
C001337_sl_002	nogometni trener
C001337_sl_003	trener fuzbala
C001337_sl_004	trener nogometa
C001337_sl_005	trenerka fuzbala
C001337_sl_006	trenerka nogometa
C001338_sl_000	upravljavec/upravljavka stroja za pripravo osnove za žvečilni gumi
C001338_sl_001	upravljavec proizvodnje žvečilnih gumijev
C001338_sl_002	upravljavec stroja za izdelavo žvečilnih gumijev
C001338_sl_003	upravljavka proizvodnje žvečilnih gumijev
C001338_sl_004	upravljavka stroja za izdelavo žvečilnih gumijev
C001338_sl_005	vodja proizvodnje žvečilnih gumijev
C001339_sl_000	vzdrževalec/vzdrževalka vozil
C001339_sl_001	vzdrževalec vozil
C001339_sl_002	vzdrževalka vozil
C001340_sl_000	filmski in televizijski producent/filmska in televizijska producentka
C001340_sl_001	filmska in televizijska producentka
C001340_sl_002	filmska producentka
C001340_sl_003	filmski in televizijski producent
C001340_sl_004	filmski producent
C001340_sl_005	producent v filmski in televizijski produkciji
C001340_sl_006	producentka v filmski in televizijski produkciji
C001340_sl_007	televizijska producentka
C001340_sl_008	televizijski producent
C001340_sl_009	video producent
C001340_sl_010	video producentka
C001341_sl_000	borzni trgovec/borzna trgovka
C001341_sl_001	borzna trgovka
C001341_sl_002	borzni trgovec
C001342_sl_000	učitelj/učiteljica v waldorfski šoli
C001342_sl_001	učitelj v waldorfski šoli
C001342_sl_002	učiteljica v waldorfski šoli
C001343_sl_000	brusilec/brusilka lesa
C001343_sl_001	brusilec lesa
C001343_sl_002	brusilka lesa
C001344_sl_000	upravljavec/upravljavka naprave za peskanje
C001344_sl_001	upravljavec naprave za peskanje
C001344_sl_002	upravljavka naprave za peskanje
C001345_sl_000	vodja ribarnice
C001345_sl_001	menedžer v ribarnici
C001345_sl_002	menedžerka v ribarnici
C001345_sl_003	vodja prodajalne rib in morskih sadežev
C001345_sl_004	vodja trgovine z ribami in morskimi sadeži
C001346_sl_000	vodja poslovnih storitev
C001346_sl_001	menedžer oglaševalske agencije
C001346_sl_002	menedžer poslovnih storitev
C001346_sl_003	menedžerka oglaševalske agencije
C001346_sl_004	menedžerka poslovnih storitev
C001346_sl_005	upravnica pošte
C001346_sl_006	upravnik pošte
C001347_sl_000	serviser/serviserka glasbenih instrumentov
C001347_sl_001	serviser glasbenih instrumentov
C001347_sl_002	serviserka glasbenih instrumentov
C001347_sl_003	uglaševalec glasbenih instrumentov
C001347_sl_004	uglaševalka glasbenih instrumentov
C001348_sl_000	kontrolor/kontrolorka zračnega prometa
C001348_sl_001	kontrolor zračnega prometa
C001348_sl_002	kontrolorka zračnega prometa
C001349_sl_000	predavatelj/predavateljica veterinarske medicine
C001349_sl_001	predavatelj veterinarske medicine
C001349_sl_002	predavatelj veterinarstva
C001349_sl_003	predavateljica veterinarske medicine
C001349_sl_004	predavateljica veterinarstva
C001350_sl_000	upravljavec/upravljavka fermentacijske kleti
C001350_sl_001	nadzornica fermentacijske kleti
C001350_sl_002	nadzornik fermentacijske kleti
C001350_sl_003	upravljavec fermentacijske kleti
C001350_sl_004	upravljavka fermentacijske kleti
C001350_sl_005	vodja del v fermentacijski kleti
C001350_sl_006	vodja fermentacije
C001350_sl_007	vodja kleti
C001351_sl_000	izdelovalec/izdelovalka modelov
C001351_sl_001	izdelovalec modelov
C001351_sl_002	izdelovalka modelov
C001351_sl_003	modelar
C001351_sl_004	modelarka
C001352_sl_000	hotelski portir/hotelska portirka
C001352_sl_001	hotelska portirka
C001352_sl_002	hotelska vratarka
C001352_sl_003	hotelski portir
C001352_sl_004	hotelski vratar
C001352_sl_005	nosač prtljage
C001353_sl_000	izposojevalec/izposojevalka vozil
C001353_sl_001	izposojevalec vozil
C001353_sl_002	izposojevalka vozil
C001354_sl_000	vodja za telekomunikacije
C001354_sl_001	vodja na področju telekomunikacij
C001354_sl_002	vodja za TK
C001355_sl_000	tehnik/tehnica za ogrevanje, prezračevanje, klimatizacijo in hlajenje
C001356_sl_000	kriminalist/kriminalistka
C001356_sl_001	forenzik
C001356_sl_002	forenzičarka
C001356_sl_003	kriminalist
C001356_sl_004	kriminalistično-tehnična izvedenka
C001356_sl_005	kriminalistično-tehnični izvedenec
C001356_sl_006	kriminalistka
C001356_sl_007	policijska preiskovalka
C001356_sl_008	policijski preiskovalec
C001356_sl_009	policist
C001356_sl_010	policistka
C001357_sl_000	učitelj/učiteljica za dodatno strokovno pomoč
C001357_sl_001	učitelj za dodatno strokovno pomoč
C001357_sl_002	učiteljica za dodatno strokovno pomoč
C001358_sl_000	povezovalec/povezovalka podatkovnih baz
C001358_sl_001	integrator podatkovnih baz
C001358_sl_002	integratorka podatkovnih baz
C001358_sl_003	povezovalec baz podatkov
C001358_sl_004	povezovalec podatkovnih baz
C001358_sl_005	povezovalec podatkovnih zbirk
C001358_sl_006	povezovalec zbirk podatkov
C001358_sl_007	povezovalka baz podatkov
C001358_sl_008	povezovalka podatkovnih baz
C001358_sl_009	povezovalka podatkovnih zbirk
C001358_sl_010	povezovalka zbirk podatkov
C001359_sl_000	strokovni sodelavec za uvoz in izvoz pijač/strokovna sodelavka za uvoz in izvoz pijač
C001359_sl_001	referent za uvoz in izvoz pijač
C001359_sl_002	referentka za uvoz in izvoz pijač
C001359_sl_003	strokovna sodelavka za uvoz in izvoz pijač
C001359_sl_004	strokovni sodelavec za uvoz in izvoz pijač
C001360_sl_000	glasbeni terapevt/glasbena terapevtka
C001360_sl_001	glasbena terapevtka
C001360_sl_002	glasbeni terapevt
C001361_sl_000	predavatelj/predavateljica zobozdravstva
C001361_sl_001	predavatelj zobozdravstva
C001361_sl_002	predavateljica zobozdravstva
C001361_sl_003	profesor/profesorica zobozdravstva
C001362_sl_000	pokuševalec/pokuševalka kave
C001362_sl_001	degustator kave
C001362_sl_002	degustatorka kave
C001362_sl_003	okuševalec kave
C001362_sl_004	okuševalka kave
C001362_sl_005	pokuševalec kave
C001362_sl_006	pokuševalka kave
C001363_sl_000	likalec/likalka perila
C001363_sl_001	likalec perila
C001363_sl_002	likalka perila
C001364_sl_000	sortirec/sortirka prtljage na letališčih
C001364_sl_001	sortirec prtljage na letališčih
C001364_sl_002	sortirka prtljage na letališčih
C001365_sl_000	upravljavec/upravljavka strojev za proizvodnjo usnja
C001365_sl_001	upravljavec strojev za proizvodnjo usnja
C001365_sl_002	upravljavka strojev za proizvodnjo usnja
C001366_sl_000	inženir/inženirka za raziskave
C001366_sl_001	inženir za raziskave
C001366_sl_002	inženirka za raziskave
C001366_sl_003	raziskovalna inženirka
C001366_sl_004	raziskovalni inženir
C001366_sl_005	razvojno-raziskovalna inženirka
C001366_sl_006	razvojno-raziskovalni inženir
C001367_sl_000	učitelj/učiteljica poslovodenja v poklicnem izobraževanju
C001367_sl_001	učitelj poslovnega upravljanja v poklicnem izobraževanju
C001367_sl_002	učitelj poslovodenja v poklicnem izobraževanju
C001367_sl_003	učiteljica poslovnega upravljanja v poklicnem izobraževanju
C001367_sl_004	učiteljica poslovodenja v poklicnem izobraževanju
C001368_sl_000	klimatolog/klimatologinja
C001368_sl_001	klimatolog
C001368_sl_002	klimatologinja
C001369_sl_000	monter/monterka sanitarne opreme
C001369_sl_001	monter sanitarne opreme
C001369_sl_002	monterka sanitarne opreme
C001369_sl_003	sanitarna monterka
C001369_sl_004	sanitarni monter
C001370_sl_000	upravljavec/upravljavka strojev za izdelavo usnjenih izdelkov
C001370_sl_001	upravljavec strojev za izdelavo usnjenih izdelkov
C001370_sl_002	upravljavka strojev za izdelavo usnjenih izdelkov
C001371_sl_000	zakladnik/zakladničarka družbe
C001371_sl_001	finančna analitičarka
C001371_sl_002	finančna direktorica
C001371_sl_003	finančni analitik
C001371_sl_004	finančni direktor
C001371_sl_005	zakladnik družbe
C001371_sl_006	zakladničarka družbe
C001372_sl_000	svetovalec/svetovalka v političnih kampanjah
C001372_sl_001	svetovalec v političnih kampanjah
C001372_sl_002	svetovalka v političnih kampanjah
C001373_sl_000	sestavljavec/sestavljavka električne opreme
C001373_sl_001	sestavljavec električne opreme
C001373_sl_002	sestavljavka električne opreme
C001374_sl_000	upravljavec/upravljavka sežigalnice
C001374_sl_001	upravljavec sežigalnice
C001374_sl_002	upravljavka sežigalnice
C001375_sl_000	vaditelj/vaditeljica pilatesa
C001375_sl_001	inštruktor pilatesa
C001375_sl_002	inštruktorica pilatesa
C001375_sl_003	pilates inštruktor
C001375_sl_004	pilates inštruktorica
C001375_sl_005	trener pilatesa
C001375_sl_006	trenerka pilatesa
C001375_sl_007	učitelj pilatesa
C001375_sl_008	učiteljica pilatesa
C001375_sl_009	vaditelj pilatesa
C001375_sl_010	vaditeljica pilatesa
C001376_sl_000	tehnik /tehničarka za IKT
C001376_sl_001	tehnik na področju IKT
C001376_sl_002	tehnik na področju IT
C001376_sl_003	tehnik za ICT
C001376_sl_004	tehnik za IKT
C001376_sl_005	tehničarka na področju IKT
C001376_sl_006	tehničarka na področju IT
C001376_sl_007	tehničarka za ICT
C001376_sl_008	tehničarka za IKT
C001376_sl_009	vzdrževalec za IKT
C001376_sl_010	vzdrževalka za IKT
C001377_sl_000	športni trener/športna trenerka
C001377_sl_001	glavna trenerka
C001377_sl_002	glavni trener
C001377_sl_003	kondicijska trenerka
C001377_sl_004	kondicijski trener
C001377_sl_005	reprezentančna trenerka
C001377_sl_006	reprezentančni trener
C001377_sl_007	tehnična trenerka
C001377_sl_008	tehnični trener
C001377_sl_009	športna trenerka
C001377_sl_010	športni trener
C001378_sl_000	ravnalec/ravnalka kamna
C001378_sl_001	ravnalec kamna
C001378_sl_002	ravnalec kamnitih blokov
C001378_sl_003	ravnalka kamna
C001378_sl_004	ravnalka kamnitih blokov
C001378_sl_005	upravljavec stroja za ravnanje kamna
C001378_sl_006	upravljavka stroja za ravnanje kamna
C001379_sl_000	trgovec/trgovka na debelo s surovimi kožami z dlako, brez dlake in usnjenimi izdelki
C001379_sl_001	trgovec na debelo s surovimi kožami z dlako, brez dlake in usnjenimi izdelki
C001379_sl_002	trgovka na debelo s surovimi kožami z dlako, brez dlake in usnjenimi izdelki
C001380_sl_000	posrednik za hipoteko/posrednica za hipoteko
C001380_sl_001	posrednica za hipotekarna posojila
C001380_sl_002	posrednica za hipoteko
C001380_sl_003	posrednik za hipotekarna posojila
C001380_sl_004	posrednik za hipoteko
C001380_sl_005	referent za hipotekarna posojila
C001380_sl_006	referentka za hipotekarna posojila
C001380_sl_007	svetovalec za hipotekarna posojila
C001380_sl_008	svetovalka za hipotekarna posojila
C001381_sl_000	strokovni sodelavec za uvoz in izvoz cvetja in rastlin/strokovna sodelavka za uvoz in izvoz cvetja in rastlin
C001381_sl_001	referent za uvoz in izvoz cvetja in rastlin
C001381_sl_002	referentka za uvoz in izvoz cvetja in rastlin
C001381_sl_003	strokovna sodelavka za uvoz in izvoz cvetja in rastlin
C001381_sl_004	strokovni sodelavec za uvoz in izvoz cvetja in rastlin
C001382_sl_000	prodajalec/prodajalka v loteriji
C001382_sl_001	loterist
C001382_sl_002	loteristka
C001382_sl_003	prodajalec v loteriji
C001382_sl_004	prodajalka v loteriji
C001383_sl_000	inženir/inženirka gradbeništva za železnice
C001383_sl_001	inženir gradbeništva za železnice
C001383_sl_002	inženirka gradbeništva za železnice
C001384_sl_000	koordinator/koordinatorica za varnost in zdravje pri delu na gradbišču
C001384_sl_001	koordinator za varnost in zdravje pri delu na gradbišču
C001384_sl_002	koordinatorica za varnost in zdravje pri delu na gradbišču
C001384_sl_003	menedžer za varnost v gradbeništvu
C001384_sl_004	menedžerka za varnost v gradbeništvu
C001384_sl_005	vodja varnosti na gradbišću
C001384_sl_006	vodja varnosti v gradbeništvu
C001385_sl_000	sekretar/sekretarka sodišča
C001385_sl_001	sekretar sodišča
C001385_sl_002	sekretarka sodišča
C001386_sl_000	tehnični risar/tehnična risarka za tirnična vozila
C001386_sl_001	tehnična risarka za tirnična vozila
C001386_sl_002	tehnični risar za tirnična vozila
C001387_sl_000	varuška za dnevno varstvo
C001388_sl_000	toksikolog/toksikologinja
C001388_sl_001	toksikolog
C001388_sl_002	toksikologinja
C001389_sl_000	inženir/inženirka za vrtine
C001389_sl_001	inženir za vrtine
C001389_sl_002	inženirka za vrtine
C001390_sl_000	svetovalec/svetovalka za humanitarna vprašanja
C001390_sl_001	svetovalec za humanitarna vprašanja
C001390_sl_002	svetovalka za humanitarna vprašanja
C001391_sl_000	oblikovalec/oblikovalka krojev za obutev s programi CAD
C001391_sl_001	oblikovalec krojev za obutev s programi CAD
C001391_sl_002	oblikovalka krojev za obutev s programi CAD
C001392_sl_000	prodajalec/prodajalka računalniških iger, multimedije in programske opreme
C001392_sl_001	prodajalec računalniških iger, multimedije in programske opreme
C001392_sl_002	prodajalka računalniških iger, multimedije in programske opreme
C001393_sl_000	vzdrževalec/vzdrževalka kanalizacije
C001393_sl_001	vzdrževalec kanalizacije
C001393_sl_002	vzdrževalka kanalizacije
C001394_sl_000	mediator/mediatorka
C001394_sl_001	arbiter
C001394_sl_002	arbitrica
C001394_sl_003	mediator
C001394_sl_004	mediator v sodnih sporih
C001394_sl_005	mediatorka
C001394_sl_006	mediatorka v sodnih sporih
C001394_sl_007	razsodnica
C001394_sl_008	razsodnik
C001395_sl_000	predsednik/predsednica vlade
C001395_sl_001	ministrska predsednica
C001395_sl_002	ministrski predsednik
C001395_sl_003	precednik vlade
C001395_sl_004	predsednica vlade
C001395_sl_005	predsednik vlade
C001395_sl_006	premier
C001395_sl_007	premierka
C001396_sl_000	vodja proizvodnje
C001396_sl_001	nadzornica proizvodnje
C001396_sl_002	nadzornik proizvodnje
C001397_sl_000	inženir/inženirka rudarstva za eksplozive
C001397_sl_001	inženir rudarstva za eksplozive
C001397_sl_002	inženirka rudarstva za eksplozive
C001398_sl_000	mojster/mojstrica pirsinga in tetoviranja
C001398_sl_001	izvajalec body piercinga
C001398_sl_002	izvajalec pirsinga
C001398_sl_003	izvajalka body piercinga
C001398_sl_004	izvajalka pirsinga
C001398_sl_005	mojster pirsinga in tetoviranja
C001398_sl_006	mojstrica pirsinga in tetoviranja
C001398_sl_007	tatuist
C001398_sl_008	tatuistka
C001398_sl_009	tetovator
C001398_sl_010	tetovatorka
C001399_sl_000	upravljavec/upravljavka stroja za beljenje celuloze
C001399_sl_001	upravljavec stroja za beljenje celuloze
C001399_sl_002	upravljavka stroja za beljenje celuloze
C001400_sl_000	mrežni tržnik/mrežna tržnica
C001400_sl_001	mrežna tržnica
C001400_sl_002	mrežni tržnik
C001401_sl_000	slikar dekorater/slikarka dekoraterka
C001401_sl_001	slikar dekorater
C001401_sl_002	slikarka dekoraterka
C001402_sl_000	monter/monterka montažnih stropov
C001402_sl_001	monter montažnih stropov
C001402_sl_002	monter suhomontažnih stropov
C001402_sl_003	monterka montažnih stropov
C001402_sl_004	monterka suho montažnih stropov
C001403_sl_000	prodajalec/prodajalka na bencinski črpalki
C001403_sl_001	prodajalec na bencinski črpalki
C001403_sl_002	prodajalka na bencinski črpalki
C001404_sl_000	pomočnik/pomočnica vrtalca
C001404_sl_001	pomočnica vrtalca
C001404_sl_002	pomočnik vrtalca
C001405_sl_000	tehnik/tehnica za nadzor nad korozij
C001405_sl_001	tehnica za nadzor nad korozijo
C001405_sl_002	tehnik za nadzor nad korozijo
C001406_sl_000	tehnik/tehnica za razvoj izdelkov
C001406_sl_001	tehnica za razvoj izdelkov
C001406_sl_002	tehnik za razvoj izdelkov
C001407_sl_000	tapetnik/tapetnica za plovila
C001407_sl_001	tapetnica za plovila
C001407_sl_002	tapetnik za plovila
C001408_sl_000	vodja turistične destinacije
C001408_sl_001	izvajalec strategije za turstične destinacije
C001408_sl_002	izvajalka strategije za turistične destinacije
C001408_sl_003	organizator upravljanja turističnih destinacij
C001408_sl_004	organizatorka upravljanja turističnih destinacij
C001408_sl_005	vodja organizacije upravljanja destinacij
C001408_sl_006	vodja turističnih destinacij
C001409_sl_000	upravljavec/upravljavka težke jamske mehanizacije
C001409_sl_001	upravljavec pridobivalnega stroja
C001409_sl_002	upravljavec težke jamske mehanizacije
C001409_sl_003	upravljavec težke mehanizacije za podzemno pridobivanje mineralnih surovin
C001409_sl_004	upravljavka pridobivalnega stroja
C001409_sl_005	upravljavka težke jamske mehanizacije
C001409_sl_006	upravljavka težke mehanizacije za podzemno pridobivanje mineralnih surovin
C001410_sl_000	upravljavec/upravljavka grejderja
C001410_sl_001	upravljavec grejderja
C001410_sl_002	upravljavka grejderja
C001411_sl_000	svetovalec/svetovalka za zaposlovanje
C001411_sl_001	posrednica za zaposlovanje
C001411_sl_002	posrednik za zaposlovanje
C001411_sl_003	svetovalec za zaposlovanje
C001411_sl_004	svetovalka za zaposlovanje
C001412_sl_000	vodja izvoza in uvoza parfumov in kozmetike
C001412_sl_001	področna vodja izvoza parfumov in kozmetike
C001412_sl_002	področni vodja izvoza parfumov in kozmetike
C001412_sl_003	vodja izvoza parfumov in kozmetike
C001412_sl_004	vodja uvoza parfumov in kozmetike
C001413_sl_000	korektor/korektorica sodnih zapisnikov
C001413_sl_001	korektor sodnih zapisnikov
C001413_sl_002	korektorica sodnih zapisnikov
C001414_sl_000	inženir/inženirka elektrotehnike za sončno energijo
C001414_sl_001	inženir elektrotehnike za sončno energijo
C001414_sl_002	inženirka elektrotehnike za sončno energijo
C001415_sl_000	kontrolor/kontrolorka tirničnih vozil
C001415_sl_001	kontrolor tirničnih vozil
C001415_sl_002	kontrolorka tirničnih vozil
C001416_sl_000	umetniški risar/umetniška risarka
C001416_sl_001	ilustrator
C001416_sl_002	ilustratorka
C001416_sl_003	umetniška risarka
C001416_sl_004	umetniški risar
C001417_sl_000	dimnikarski delovodja/dimnikarska delovodkinja
C001417_sl_001	dimnikarska delovodkinja
C001417_sl_002	dimnikarski delovodja
C001418_sl_000	vodja izvoza in uvoza kave, čaja, kakava in začimb
C001418_sl_001	področna vodja izvoza kave, čaja, kakava in začimb
C001418_sl_002	področni vodja izvoza kave, čaja, kakava in začimb
C001418_sl_003	vodja izvoza kave, čaja, kakava in začimb
C001418_sl_004	vodja oddelka izvoza in uvoza kave, čaja, kakava in začimb
C001418_sl_005	vodja uvoza kave, čaja, kakava in začimb
C001419_sl_000	upravljavec/upravljavka stroja za debelinsko skobljanje
C001419_sl_001	upravljavec stroja za debelinsko skobljanje
