Q000001	riigikogu liige
Q000805	liivapritsi, soodapritsi töötaja
Q000806	tööstuskorstende, lõõride puhastaja
Q000807	laevakeevitaja
Q000808	leeklõikaja
Q000809	jootja
Q000810	plekksepp, lehtmetalli töötleja
Q000811	autoplekksepp
Q000812	metallkonstruktsioonide püstitaja
Q000813	laevatorude paigaldaja
Q000814	sepp
Q000815	stantsija
Q000816	lukksepp
Q000817	metallimärkija
Q000818	tööriistalukksepp, tööriistavalmistaja
Q000819	koostelukksepp
Q000820	metallitööpingi seadistaja, operaator
Q000821	metallilõikepingi seadistaja, operaator
Q000822	metallitreial, metallitreipingi operaator/seadistaja
Q000823	metallivaltspingi operaator
Q000824	CNC metallitöötluspingi seadistaja, operaator
Q000825	tööriistateritaja
Q000826	metallilihvija
Q000827	mootoridiagnostik, mootoriseadistaja
Q000828	mootorsõidukite mehaanik, lukksepp
Q000829	rehvitehnik
Q000830	diiselmootorite mehaanik (maanteetransport)
Q000831	kaevandusmasinate mehaanik, lukksepp
Q000832	põllumajandusmasinate mehaanik, lukksepp
Q000833	tehnikahooldusinsener
Q000834	rongimootorite mehaanik
Q000835	jalgrattamehaanik, jalgrattaparandaja
Q000836	foto-, filmikaamerate valmistaja, parandaja
Q000837	kellassepp
Q000838	navigatsiooniriistade valmistaja, parandaja
Q000839	kirurgiliste instrumentide valmistaja
Q000840	juveliir
Q000841	kullassepp, hõbesepp
Q000842	savi- või portselantoodete valmistaja
Q000843	klaasipuhuja
Q000844	klaasitöötleja, klaasiviimistleja
Q000845	klaasläätsede valmistaja
Q000846	klaasigraveerija
Q000847	vitraažimeister
Q000848	korv- ja punutud mööbli tegija
Q000849	kangur, käsitsi kangakuduja
Q000850	nahameister, naha käsitööline
Q000851	käsitsi võrgupunuja
Q000852	kuduja, käsitsikuduja, silmuskudumine
Q000853	käsitöö tekstiilimeister, tekstiiltoodete valmistaja
Q000854	kivitoodete käsitsi valmistaja
Q000855	muu käsitööline
Q000856	küünalde käsitsi valmistaja
Q000857	trükiplaatide valmistaja
Q000858	ofsettrüki trükkal
Q000859	fleksotrükimasina operaator
Q000860	lõikurioperaator (trükised)
Q000861	voltimismasina operaator (trükised)
Q000862	ehituselektrik
Q000863	elektrik
Q000864	installatsioonitööde elektrik
Q000865	autoelektrik, sõidukielektrik
Q000866	laevaelektrik
Q000867	liftimehaanik
Q000868	jaotusvõrgu elektrik
Q000869	signalisatsioonielektrik
Q000870	tehniliste süsteemide spetsialist
Q000871	tööstusseadmete elektroonik-seadistaja
Q000872	andme- ja sidekaablite paigaldaja
Q000873	lihunik
Q000874	lihalõikaja
Q000875	vorstitegija
Q000876	kondiiter, kondiitritoodete valmistaja
Q000877	pagar
Q000878	juustumeister, juustutegija
Q000879	jäätisevalmistaja
Q000880	puuvilja-, marja-, köögiviljatöötleja
Q000881	tubakatöötleja, tubakatoodete valmistaja
Q000882	puidutöötleja
Q000883	puidukuivatioperaator
Q000884	staabeldaja, puidusorteerija
Q000885	spoonikuivataja
Q000886	puidu ettevalmistaja
Q000887	laudsepp
Q000888	puidutisler
Q000889	mööblitisler, puitmööbli tegija
Q000890	puidurestauraator
Q000891	mööblirestauraator
Q000892	puitmööbli viimistleja
Q000893	CNC puidutööpingi seadistaja, operaator
Q000894	nahaõmbleja, karusnahaõmbleja, köösner
Q000895	parukategija
Q000896	rätsep
Q000897	juurdelõikaja
Q000898	tikkija
Q000899	mööblipolsterdaja
Q000900	naha, karusnaha ettevalmistaja, parkal
Q000901	naha, karusnaha värvija, viimistleja
Q000902	jalatsivalmistaja
Q000903	sadulsepp
Q000904	allveetööline, tuuker
Q000905	lõhkaja, õhkija
Q000906	testklient
Q000907	kahjuritõrjuja, fumigeerija
Q000908	muu tööstuse oskustööline
Q000909	optiliste läätsede viimistleja
Q000910	karjääritööline, kivimurrutööline
Q000911	proovivõtja mäetööstuses
Q000912	tsemenditootmismasina operaator
Q000913	tsementtoodete valmistamise operaator
Q000914	asfalditootmismasina operaator
Q000915	valukopa operaator
Q000916	metallivalaja
Q000917	metallikatmise operaator, galvaanimisoperaator
Q000918	mujal liigitamata metallitöötlusmasinate operaator
Q000919	gaastoodete valmistamise operaator
Q000920	keemiaseadmete ja -masinate operaator
Q000921	kummitoodete valmistamise operaator, kummipressimismasina operaator
Q000922	rehvitootmise, rehvitöötlemise tööline
Q000923	rehviparandaja, rehvipaigaldaja, vulkaniseerija
Q000924	mujal liigitamata plasttoodete masinate operaator
Q000925	kilekottide, plastikkottide tootmisliini operaator
Q000926	plastipressimismasina operaator, plastivormija
Q000927	plastpudelite puhumismasina operaator
Q000928	mujal liigitamata ettevalmistus-, ketrus- ja poolimismasina operaator
Q000929	niidi ja lõnga korrutusmasina operaator
Q000930	niidi ja lõnga poolimismasina operaator
Q000931	kudumismasina operaator
Q000932	muu kangatootmismasina operaator
Q000933	tikkimismasina operaator
Q000934	õmblusmasina operaator
Q000935	jalatsite masinõmbleja, masinliimija
Q000936	tekstiilitööstuse värvimismasina, kalandermasina operaator
Q000937	jalatsitootmismasina operaator
Q000938	pesupesija, kalandermasina ja pesumasina operaator
Q000939	keemilise puhastuse masina operaator
Q000940	muu tekstiili- või nahatööstuse masinaoperaator
Q000941	juurdelõikusmasina operaator
Q000942	tekstiilimustrite masina operaator
Q000943	kalatöötlemismasina operaator
Q000944	köögivilja-, puuviljatöötluse operaator
Q000945	lihatöötlemismasina, lihatoodete valmistamise operaator
Q000946	muu toiduainetetööstuse tootmisliini operaator
Q000947	mölder
Q000948	pagaritoodete, kondiitritoodete masina operaator
Q000949	piimatöötlemismasina, piimatoodete masina operaator
Q000950	tubakatoodete valmistamise operaator
Q000951	õllepruulija
Q000952	leivaküpsetusmasina operaator
Q000953	vineeripressi operaator
Q000954	palgilõikamisseadmete operaator
Q000955	spooni ringkoorimismasina, höövelkoorimismasina operaator
Q000956	lintsae operaator
Q000957	klaasitootmismasina operaator
Q000958	pudelitootmisliini või -masina operaator
Q000959	katlaoperaator, katlamasinist
Q000960	autoklaavioperaator
Q000961	eritööde puhastusteenidaja
Q000962	sõidukikoostaja
Q000963	lennukikoostaja
Q000964	haakeriistade koostaja
Q000965	sõidukimootorite koostaja
Q000966	elektroonikaseadmete koostaja
Q000967	mootorite mähkija
Q000968	tööstusseadmete, tööstusmasinate koostaja
Q000969	elektriseadmete koostaja
Q000970	elektromehaanikaseadmete koostaja
Q000971	traadimähkimismasina operaator
Q000972	mujal liigitamata koostaja
Q000973	metalltoodete koostaja (va mootorid ja tööstusseadmed)
Q000974	nahktoodete koostaja
Q000975	paber-, papptoodete koostaja
Q000976	plasttoodete koostaja
Q000977	puitmööbli, puittoodete koostaja
Q000978	tekstiiltoodete koostaja
Q000979	vedurijuht, rongijuht
Q000980	raudtee eriveeremi juht
Q000981	rongi koostaja, vagunihaakija
Q000982	mootorrattajuht, motokuller
Q000983	operatiivsõiduki juht, kiirabiautojuht
Q000984	taksojuht
Q000985	bussijuht
Q000986	trammijuht
Q000987	trollibussijuht
Q000988	rahvusvaheliste vedude autojuht
Q000989	prügiautojuht
Q000990	autorongijuht
Q000991	paakautojuht
Q000992	betooniautojuht
Q000993	kombainijuht
Q000994	metsaveoki, palgiveoki juht
Q000995	traktorist
Q000996	forvarderioperaator
Q000997	harvesterioperaator
Q000998	asfaldilaoturi juht
Q000999	buldooserijuht
Q001000	ekskavaatorijuht
Q001001	teehöövli juht
Q001002	teerullijuht
Q001003	kopp-laadur, esikopaga laaduri juht
Q001004	muu kraana-, tõstuki- vm tõsteseadmete juht
Q001005	köisraudtee, köistõstuki operaator
Q001006	tornkraanajuht
Q001007	sadamatõstukijuht, dokkija
Q001008	tõstukijuht, kahveltõstukijuht
Q001009	laadurijuht (upitaja)
Q001010	tõstukauto juht
Q001011	laevameeskonna liige vms tööline
Q001012	madrus, vanemmadrus
Q001013	majakavaht
Q001014	pootsman
Q001015	paadijuht, paadimees
Q001016	hotelli toateenija, koristaja
Q001017	triikija, rõivapuhastaja
Q001018	autopesija, sõidukikoristaja
Q001019	aknapesija
Q001020	graffiti eemaldaja, vesijugapuhastuseadme tööline
Q001021	raba lihttööline
Q001022	loomatalitaja, karjatalitaja
Q001023	karjafarmi tööline
Q001024	mesila lihttööline
Q001025	aianduse lihttööline, haljastuse lihttööline
Q001026	puukooli lihttööline
Q001027	muruniitja
Q001028	kasvuhoone lihttööline
Q001029	kalanduse ja vesiviljeluse lihttööline
Q001030	jahinduse lihttööline
Q001031	kaevanduse, karjääri lihttööline
Q001032	hauakaevaja
Q001033	ehituse abitööline, ehituslihttööline (hooned)
Q001034	ehitusobjektide koristaja, ehituskoristustööline
Q001035	betooniabitööline (hooned)
Q001036	käsitsipakkija
Q001037	markeerija, etiketikleepija
Q001038	komplekteerija
Q001039	mähisekerija
Q001040	pudelisorteerija tehases
Q001041	koostamislihttööline
Q001042	materjalivedaja
Q001043	sepa abiline, pealelööja
Q001044	loomveokijuht, kutsar
Q001045	laonduse lihttööline
Q001046	pagasikäitleja
Q001047	kaimadrus
Q001048	laadija, laadimistööline
Q001049	kaubaladuja
Q001050	kiirtoiduvalmistaja
Q001051	köögi abitööline, koka abi
Q001052	nõudepesija
Q001053	baari abiline
Q001054	prügivedaja, prügikoguja
Q001055	tööstus- ja tootmishoonete koristaja
Q001056	käskjalg, pakikandja
Q001057	remonditööline
Q001058	puulõhkuja, küttepuude valmistaja
Q001059	kärupaigaldaja
Q001060	pargivaht
Q001061	riidehoiutöötaja, garderoobitöötaja
Q001062	muu teeninduse lihttööline
Q001063	valvur
Q001064	ahjukütja, katlakütja
Q001065	julgestaja üritustel
Q001066	parkimiskontrolör
Q001067	laadaplatsi töötaja
Q001068	parkla töötaja
