C000001_lv_000	Armijas profesijas
C001226_lv_000	kokmateriālu un būvmateriālu importa un eksporta speciālists
C001226_lv_001	kokmateriālu un būvmateriālu importa un eksporta speciāliste
C001227_lv_000	akvakultūras sprostu tehniķis
C001227_lv_001	akvakultūras krātiņu tehniķis
C001227_lv_002	akvakultūras palīgdarbinieks
C001227_lv_003	akvakultūras sprostu tehniķe
C001228_lv_000	lauksaimniecības izejvielu, sēklu un lopbarības importa un eksporta speciālists
C001228_lv_001	lauksaimniecības izejvielu, sēklu un lopbarības importa un eksporta speciāliste
C001229_lv_000	iežguves vides inženieris
C001229_lv_001	iežguves vides inženiere
C001229_lv_002	iežguves ģeodēzists
C001230_lv_000	cukurfabrikas operators
C001230_lv_001	cukurfabrikas operatore
C001230_lv_002	cukurfabrikas strādnieks
C001231_lv_000	būvniecības kvalitātes vadītājs
C001231_lv_001	būvniecības kvalitātes vadītāja
C001232_lv_000	ūdensapgādes un kanalizācijas sistēmu inspektors
C001232_lv_001	ūdensapgādes un kanalizācijas sistēmu inspektore
C001233_lv_000	attēlu arhivēšanas un pārraides sistēmas administrators
C001233_lv_001	attēlu arhivēšanas un komunikācijas sistēmas administratore
C001233_lv_002	attēlu arhivēšanas un komunikācijas sistēmas administrators
C001234_lv_000	zirgu zobu tehniķis
C001234_lv_001	zirgu zobu tehniķe
C001234_lv_002	zirgu zobārste
C001234_lv_003	zirgu zobārsts
C001235_lv_000	kredītportfeļa pārvaldnieks
C001235_lv_001	kredītportfeļa pārvaldniece
C001236_lv_000	audumu apdrukāšanas iekārtas operators
C001236_lv_001	audumu apdrukāšanas iekārtas operatore
C001237_lv_000	ieslodzījuma vietas uzraugs
C001237_lv_001	cietuma kameras sargs
C001237_lv_002	cietumsargs
C001237_lv_003	ieslodzījuma vietas vecākais uzraugs
C001238_lv_000	velosipēdu mehāniķis
C001238_lv_001	velosipēdu mehāniķe
C001239_lv_000	būvelektriķis
C001239_lv_001	būvelektriķe
C001240_lv_000	mūks/mūķene
C001240_lv_001	mūks
C001240_lv_002	mūķene
C001241_lv_000	gaļas un gaļas produktu importa un eksporta speciālists
C001241_lv_001	gaļas un gaļas produktu importa un eksporta speciāliste
C001242_lv_000	ergoterapeits
C001242_lv_001	ergoterapeite
C001243_lv_000	skaistumkopšanas salona vadītājs
C001243_lv_001	skaistumkopšanas centra vadītājs
C001243_lv_002	skaistumkopšanas salona vadītāja
C001244_lv_000	digitālo spēļu testētājs
C001244_lv_001	datorspēļu testētāja
C001244_lv_002	datorspēļu testētājs
C001244_lv_003	digitālo spēļu testētāja
C001244_lv_004	virtuālo spēļu testētāja
C001244_lv_005	virtuālo spēļu testētājs
C001245_lv_000	pārtikas rūpniecības laborants
C001245_lv_001	laborante pārtikas rūpniecībā
C001245_lv_002	laborants pārtikas rūpniecībā
C001245_lv_003	laboratorijas darbinieks (pārtikas rūpniecībā)
C001246_lv_000	kuģu saldēšanas iekārtu mehāniķis
C001246_lv_001	kuģu saldēšanas iekārtu mehāniķe
C001247_lv_000	bērnu aprūpes darbinieks
C001247_lv_001	bērnu aprūpes darbiniece
C001248_lv_000	adatu cauršūšanas iekārtas operators
C001248_lv_001	adatu cauršūšanas tehnoloģijas operatore
C001248_lv_002	adatu cauršūšanas tehnoloģijas operators
C001248_lv_003	paklāju aušanas operators
C001249_lv_000	mašīnbūves rasētājs
C001249_lv_001	autobūves rasētājs
C001249_lv_002	mašīnbūves rasētāja
C001250_lv_000	ārstniecības iestādes klientu reģistrators
C001251_lv_000	universitātes katedras vadītājs
C001251_lv_001	katedras vadītājs
C001251_lv_002	universitātes katedras vadītāja
C001252_lv_000	kakao spiedes operators
C001252_lv_001	kakao gatavošanas iekārtas operators
C001252_lv_002	kakao spiedes operatore
C001253_lv_000	ziepju pārslu ražošanas operators
C001253_lv_001	ziepju pārslu ražošanas operatore
C001254_lv_000	juvelierizstrādājumu dizainers
C001254_lv_001	juvelierizstrādājumu dizaina speciālists
C001254_lv_002	juvelierizstrādājumu dizainere
C001254_lv_003	juveliermākslinieks
C001254_lv_004	rotaslietu dizainers
C001255_lv_000	dekorāciju meistars
C001255_lv_001	dekorāciju meistare
C001255_lv_002	filmas dekorāciju meistars
C001255_lv_003	teātra izrādes dekorāciju meistars
C001256_lv_000	lopu kāvējs
C001256_lv_001	lopu kāvēja
C001256_lv_002	miesnieks
C001257_lv_000	cauruļvadu vides aizsardzības projektu vadītājs
C001257_lv_001	cauruļvadu vides aizsardzības projektu vadītāja
C001258_lv_000	sintētisko šķiedru apstrādes operators
C001258_lv_001	sintētisko šķiedru apstrādes operatore
C001259_lv_000	filmu izplatītājs
C001259_lv_001	filmu izplatītāja
C001260_lv_000	logu montētājs
C001260_lv_001	logu montētāja
C001261_lv_000	augstākās tiesas tiesnesis
C001261_lv_001	Augstākās tiesas tiesnese
C001261_lv_002	Augstākās tiesas tiesnesis
C001261_lv_003	Satversmes tiesas tiesnesis
C001262_lv_000	IKT viedo sistēmu projektētājs
C001262_lv_001	IKT viedo sistēmu projektētāja
C001262_lv_002	datorlingvistikas inženiere
C001262_lv_003	datorlingvistikas inženieris
C001262_lv_004	inteliģento sistēmu izstrādātāja
C001262_lv_005	inteliģento sistēmu izstrādātājs
C001262_lv_006	mašīnmācīšanās sistēmu izstrādātāja
C001262_lv_007	mašīnmācīšanās sistēmu izstrādātājs
C001262_lv_008	mākslīgā intelekta sistēmu izstrādātāja
C001262_lv_009	mākslīgā intelekta sistēmu izstrādātājs
C001262_lv_010	saistīto datu inženiere
C001262_lv_011	saistīto datu inženieris
C001262_lv_012	semantisko tehnoloģiju inženiere
C001262_lv_013	semantisko tehnoloģiju inženieris
C001262_lv_014	viedo sistēmu izstrādātāja
C001262_lv_015	viedo sistēmu izstrādātājs
C001262_lv_016	viedo sistēmu projektētāja
C001262_lv_017	viedo sistēmu projektētājs
C001263_lv_000	tiešsaistes tirdzniecības veicinātājs
C001263_lv_001	digitālā mārketinga vadītājs
C001263_lv_002	tiešsaistes mārketinga vadītāja
C001263_lv_003	tiešsaistes mārketinga vadītājs
C001264_lv_000	adītājs
C001264_lv_001	adītāja
C001265_lv_000	celulozes šķirotājs
C001265_lv_001	celulozes šķirotāja
C001266_lv_000	inženierķīmijas tehniķis
C001266_lv_001	analītiskās ķīmijas tehniķis
C001266_lv_002	inženiertehnisko procesu tehniķis
C001266_lv_003	inženierķīmijas tehniķe
C001266_lv_004	ķīmisko procesu tehniķis
C001267_lv_000	pasākuma režisors
C001267_lv_001	festivāla režisors
C001267_lv_002	koncerta režisors
C001267_lv_003	mūzikla režisors
C001267_lv_004	pasākuma režisore
C001267_lv_005	pasākuma vadītājs
C001267_lv_006	teātra izrādes režisors
C001268_lv_000	koka izstrādājumu ražošanas inženieris
C001268_lv_001	koka izstrādajumu ražošanas inženieris
C001268_lv_002	koka izstrādājumu ražošanas inženiere
C001268_lv_003	zāģmateriālu ražošanas inženieris
C001269_lv_000	optoelektronikas inženieris
C001269_lv_001	optoelektronikas inženiere
C001270_lv_000	datoru, to perifēro iekārtu un programmatūras vairumtirgotājs
C001270_lv_001	datoru, to perifēro iekārtu un programmatūras vairumtirgotāja
C001271_lv_000	vidusskolas ticības mācības skolotājs
C001271_lv_001	reliģijas mācību skolotājs
C001271_lv_002	reliģiskās izglītības skolotāja vidusskolā
C001271_lv_003	reliģiskās izglītības skolotājs vidusskolā
C001272_lv_000	sakaru izlūkošanas speciālists
C001272_lv_001	sakaru izlūkošanas speciāliste
C001273_lv_000	vizuālās reklāmas noformētājs
C001273_lv_001	vizuālās reklāmas dizaina speciālists
C001273_lv_002	vizuālās reklāmas noformētāja
C001274_lv_000	radiotehniķis
C001274_lv_001	radiotehniķe
C001275_lv_000	šokolādes gatavošanas meistars
C001275_lv_001	konditors
C001275_lv_002	šokolādes gatavošanas meistare
C001276_lv_000	finanšu tirgus noformējuma nodaļas administrators
C001276_lv_001	finanšu tirgu noformējuma nodaļas vadītāja
C001276_lv_002	finanšu tirgu noformējuma nodaļas vadītājs
C001277_lv_000	skaņu redaktors
C001277_lv_001	skaņu ierakstu redaktors
C001277_lv_002	skaņu redaktore
C001278_lv_000	vecākā medicīnas māsa
C001278_lv_001	virsmāsa
C001279_lv_000	arhitektūras rasētājs
C001279_lv_001	arhitektūras rasētāja
C001280_lv_000	stopkadru animators
C001280_lv_001	stopkadru animatore
C001281_lv_000	urbējs
C001281_lv_001	urbēja
C001281_lv_002	zemes urbējs
C001282_lv_000	kafijas grauzdētājs
C001282_lv_001	kafijas grauzdētāja
C001282_lv_002	kafijas grauzdēšanas meistars
C001283_lv_000	ādas izstrādājumu kvalitātes kontrolieris
C001283_lv_001	ādas izstrādājumu kvalitātes kontroliere
C001284_lv_000	kartona veidņotāja operators
C001284_lv_001	kartona veidņu veidošanas operatore
C001284_lv_002	kartona veidņu veidošanas operators
C001284_lv_003	olu kastu veidotājs
C001285_lv_000	augļu un ogu novācējs
C001285_lv_001	augļu un ogu lasītāja
C001285_lv_002	augļu un ogu lasītājs
C001285_lv_003	augļu un ogu novācēja
C001285_lv_004	augļu un ogu vācēja
C001285_lv_005	augļu un ogu vācējs
C001285_lv_006	ražas novācēja
C001285_lv_007	ražas novācējs
C001286_lv_000	apsardzes dienesta vadītājs
C001286_lv_001	apsardzes dienesta vadītāja
C001287_lv_000	gleznotājs
C001287_lv_001	gleznotāja
C001288_lv_000	juvelierizstrādājumu gravieris
C001288_lv_001	juvelierizstrādājumu graviere
C001289_lv_000	cukura ražošanas operators
C001289_lv_001	cietes pārstrādes operators
C001289_lv_002	cukura ražošanas operatore
C001290_lv_000	informācijas vadītājs
C001290_lv_001	bibliotēkas informācijas sistēmu administratore
C001290_lv_002	bibliotēkas informācijas sistēmu administrators
C001291_lv_000	iepirkumu vadītājs
C001291_lv_001	iepirkumu daļas vadītājs
C001291_lv_002	iepirkumu nodaļas vadītājs
C001291_lv_003	iepirkumu vadītāja
C001292_lv_000	azartspēļu inspektors
C001292_lv_001	azartspēļu inspektore
C001293_lv_000	bibliotekāra palīgs
C001293_lv_001	bibliotekāra palīdze
C001294_lv_000	ēdināšanas pakalpojumu vadības pasniedzējs
C001294_lv_001	ēdināšanas pakalpojumu vadības pasniedzēja
C001295_lv_000	miesnieks
C001295_lv_001	gaļas izcirtējs
C001295_lv_002	miesniece
C001296_lv_000	iekārtu montāžas uzraugs
C001296_lv_001	iekārtu montāžas uzraudze
C001297_lv_000	porcelāna un stikla izstrādājumu izplatīšanas vadītājs
C001297_lv_001	porcelāna un stikla izstrādājumu sadales vadītāja
C001297_lv_002	porcelāna un stikla izstrādājumu sadales vadītājs
C001298_lv_000	apģērbu kvalitātes inspektors
C001298_lv_001	apģērbu kvalitātes inspektore
C001299_lv_000	mehānikas rasētājs
C001299_lv_001	mehānikas rasētāja
C001300_lv_000	konkurences politikas speciālists
C001300_lv_001	konkurences politikas referente
C001300_lv_002	konkurences politikas referents
C001301_lv_000	auto līzinga speciālists
C001301_lv_001	auto līzinga speciāliste
C001301_lv_002	nomas punkta darbinieks
C001302_lv_000	kuģu kontroles inspektors
C001302_lv_001	kuģu kontroles inspektore
C001303_lv_000	policijas izmeklētājs
C001303_lv_001	jaunākais izmeklētājs
C001303_lv_002	policijas izmeklētāja
C001303_lv_003	vecākais izmeklētājs
C001304_lv_000	sporta tiesnesis
C001304_lv_001	sporta tiesnese
C001305_lv_000	datoraparatūras tehniķis
C001305_lv_001	datortehnikas tehniķe
C001305_lv_002	datortehnikas tehniķis
C001306_lv_000	ieguldījumu konsultants
C001306_lv_001	ieguldījumu konsultante
C001307_lv_000	atrakciju parka uzkopējs
C001307_lv_001	atrakciju parka uzkopēja
C001308_lv_000	nomas pārstāvis
C001308_lv_001	nomas darbinieks
C001308_lv_002	nomas pārstāve
C001309_lv_000	ekonomikas politikas referents
C001309_lv_001	ekonomikas politikas referente
C001310_lv_000	sporta terapijas speciālists
C001310_lv_001	sporta terapijas speciāliste
C001310_lv_002	vingrošanas nodarbību speciālists
C001311_lv_000	ekspedīcijas aģents
C001311_lv_001	ekspeditors
C001311_lv_002	ekspedīcijas aģente
C001311_lv_003	kravu ekspeditors
C001311_lv_004	kravu pārvadāšanas vadītājs
C001312_lv_000	zooveikala pārdevējs
C001312_lv_001	pārdevēja zooveikalā
C001312_lv_002	pārdevējs zooveikalā
C001313_lv_000	atrakciju iekārtas uzraugs
C001313_lv_001	atrakciju iekārtas uzraudze
C001314_lv_000	augļu un dārzeņu importa un eksporta speciālists
C001314_lv_001	auguļu un dārzeņu importa un eksporta speciāliste
C001314_lv_002	auguļu un dārzeņu importa un eksporta speciālists
C001315_lv_000	licencēšanas speciālists
C001315_lv_001	licencēšanas eksperts
C001315_lv_002	licencēšanas inspektors
C001315_lv_003	licencēšanas speciāliste
C001316_lv_000	autoapmācības instruktors
C001316_lv_001	autoapmācības instruktore
C001317_lv_000	ziepju ražošanas operators
C001317_lv_001	ziepju ražošanas operatore
C001318_lv_000	kopienas attīstības speciālists
C001318_lv_001	pašvaldības attīstības referente
C001318_lv_002	pašvaldības attīstības referents
C001318_lv_003	pašvaldības attīstības speciālists
C001319_lv_000	trolejbusa vadītājs
C001319_lv_001	trolejbusa vadītāja
C001320_lv_000	dzirdes aparātu pārdevējs
C001320_lv_001	dzirdes aparātu pārdevēja
C001321_lv_000	sardzes matrozis
C001321_lv_001	sardzes matroze
C001322_lv_000	reģionālais tirdzniecības vadītājs
C001322_lv_001	reģiona tirdzniecības vadītājs
C001322_lv_002	reģionālā tirdzniecības vadītāja
C001323_lv_000	stikla gravieris
C001323_lv_001	stikla graviere
C001323_lv_002	stikla kodinātājs
C001324_lv_000	sociālā darba prakses pedagogs
C001324_lv_001	sociālā darba prakses pedagoģe
C001325_lv_000	ziepju preses operators
C001325_lv_001	ziepju ekstrūdera operators
C001325_lv_002	ziepju preses operatore
C001326_lv_000	automātisko optiskās inspekcijas iekārtu operators
C001326_lv_001	automātisko optiskās inspekcijas iekārtu operatore
C001327_lv_000	metāla zāģēšanas operators
C001327_lv_001	metāla zāģēšanas operatore
C001328_lv_000	būvmateriālu veikala vadītājs
C001328_lv_001	būvmateriālu veikala vadītāja
C001329_lv_000	velokurjers
C001329_lv_001	velokurjere
C001330_lv_000	vairumtirgotājs
C001330_lv_001	vairumtirgotāja
C001331_lv_000	tūrisma līgumu starpnieks
C001331_lv_001	tūrisma informācijas konsultante
C001331_lv_002	tūrisma informācijas konsultants
C001332_lv_000	metālizstrādājumu, cauruļu, apkures iekārtu un to piederumu importa un eksporta speciālists
C001332_lv_001	metālizstrādājumu, cauruļu, apkures iekārtu un to piederumu importa un eksporta speciāliste
C001333_lv_000	sociālā darba pētnieks
C001333_lv_001	sociālā darba pētniece
C001334_lv_000	apģērbu ražošanas vadītājs
C001334_lv_001	apģērbu ražošanas vadītāja
C001335_lv_000	zivsaimniecības konsultants
C001335_lv_001	zivsaimniecības konsultante
C001336_lv_000	sociālais darbinieks darbam ar veciem cilvēkiem
C001336_lv_001	sociālā darbiniece darbam ar veciem cilvēkiem
C001337_lv_000	futbola treneris
C001337_lv_001	futbola trenere
C001338_lv_000	košļājamo gumiju ražošanas operators
C001338_lv_001	košļājamo gumiju ražošanas iekārtas operatore
C001338_lv_002	košļājamo gumiju ražošanas iekārtas operators
C001338_lv_003	košļājamo gumiju ražošanas operatore
C001339_lv_000	autoatslēdznieks
C001339_lv_001	autoatslēdzniece
C001340_lv_000	video un kinofilmu producents
C001340_lv_001	kinofilmu producents
C001340_lv_002	video producents
C001340_lv_003	video un kinofilmu producente
C001341_lv_000	investīciju starpnieks
C001341_lv_001	biržas mākleris
C001341_lv_002	biržas tirgotājs
C001341_lv_003	investīciju starpniece
C001342_lv_000	Valdorfa skolas skolotājs
C001342_lv_001	Valdorfa pedagoģijas skolotājs
C001342_lv_002	Valdorfa skolas skolotāja
C001342_lv_003	Valdorfpedagoģijas skolotājs
C001343_lv_000	koka slīpētājs
C001343_lv_001	koka slīpētāja
C001344_lv_000	abrazīvās strūklošanas iekārtas operators
C001344_lv_001	abrazīvās strūklošanas iekārtas operatore
C001345_lv_000	zivju un jūras velšu veikala vadītājs
C001345_lv_001	zivju un jūras velšu veikala vadītāja
C001346_lv_000	komercpakalpojumu vadītājs
C001346_lv_001	komercpakalpojumu vadītāja
C001347_lv_000	mūzikas instrumentu tehniķis
C001347_lv_001	mūzikas instrumentu labotājs
C001347_lv_002	mūzikas instrumentu restaurētājs
C001347_lv_003	mūzikas instrumentu skaņotājs
C001347_lv_004	mūzikas instrumentu tehniķe
C001348_lv_000	gaisa satiksmes vadības dispečers
C001348_lv_001	gaisa satiksmes dispečers
C001348_lv_002	gaisa satiksmes vadības dispečere
C001349_lv_000	veterinārmedicīnas lektors
C001349_lv_001	veterinārmedicīnas lektore
C001349_lv_002	veterinārmedicīnas pasniedzējs
C001350_lv_000	raudzēšanas operators
C001350_lv_001	alus gatavošanas operatore
C001350_lv_002	alus gatavošanas operators
C001350_lv_003	raudzēšanas operatore
C001351_lv_000	modeļu izgatavotājs
C001351_lv_001	modeļu izgatavotāja
C001351_lv_002	paraugu izgatavotājs
C001352_lv_000	viesnīcas portjē
C001352_lv_001	viesnīcas šveicars
C001353_lv_000	transporta nomas darbinieks
C001353_lv_001	automašinu īres darbinieks
C001353_lv_002	automašīnu nomas darbinieks
C001353_lv_003	automobiļu nomas darbinieks
C001353_lv_004	autonomas aģents
C001353_lv_005	autonomas punkta darbinieks
C001353_lv_006	transporta nomas darbiniece
C001354_lv_000	telesakaru pārvaldnieks
C001354_lv_001	telesakaru pārvaldniece
C001354_lv_002	telesakaru pārvaldītāja
C001354_lv_003	telesakaru pārvaldītājs
C001354_lv_004	tīkla un telesakaru vadītāja
C001354_lv_005	tīkla un telesakaru vadītājs
C001355_lv_000	apkures, ventilācijas, gaisa kondicionēšanas un aukstumiekārtu sistēmu tehniķis
C001355_lv_001	apkures, ventilācijas, kondicionēšanas un aukstumiekārtu sistēmu tehniķe
C001355_lv_002	apkures, ventilācijas, kondicionēšanas un aukstumiekārtu sistēmu tehniķis
C001356_lv_000	krimināllietu izmeklētājs
C001356_lv_001	izmeklētājs
C001356_lv_002	jaunākais izmeklētājs
C001356_lv_003	krimināllietu izmeklētāja
C001356_lv_004	vecākais izmeklētājs
C001357_lv_000	skolotājs mentors
C001357_lv_001	mentors
C001357_lv_002	skolotāja mentore
C001358_lv_000	datubāzu integrētājs
C001358_lv_001	datu integrētājs
C001358_lv_002	datubāzu integrētāja
C001359_lv_000	dzērienu importa un eksporta speciālists
C001359_lv_001	dzērienu importa un eksporta speciāliste
C001360_lv_000	mūzikas terapeits
C001360_lv_001	mūzikas terapeite
C001361_lv_000	zobārstniecības lektors
C001361_lv_001	zobārstniecības lektore
C001361_lv_002	zobārstniecības pasniedzējs
C001362_lv_000	kafijas degustators
C001362_lv_001	kafijas degustatore
C001362_lv_002	kafijas kvalitātes kontrolieris
C001363_lv_000	gludināšanas iekārtu operators
C001363_lv_001	gludināšanas operatore
C001363_lv_002	gludināšanas operators
C001364_lv_000	aviopasažieru bagāžas apkalpotājs
C001364_lv_001	aviopasažieru bagāžas apkalpotāja
C001365_lv_000	miecēšanas iekārtas operators
C001365_lv_001	miecētavas mašīnas operatore
C001365_lv_002	miecētavas mašīnas operators
C001365_lv_003	ādu ražošanas mašīnas operators
C001366_lv_000	pētniecības inženieris
C001366_lv_001	inženiere pētniece
C001366_lv_002	inženieris pētnieks
C001367_lv_000	uzņēmējdarbības vadības pasniedzējs
C001367_lv_001	uzņēmējdarbības vadības pasniedzēja
C001368_lv_000	klimatologs
C001368_lv_001	klimata pētnieks
C001368_lv_002	klimatoloģe
C001369_lv_000	vannas istabas montētājs
C001369_lv_001	sanitārtehnisko iekārtu montētājs
C001369_lv_002	santehniķis
C001369_lv_003	vannas istabas montētāja
C001370_lv_000	ādas izstrādājumu ražošanas iekārtas operators
C001370_lv_001	ādas izstrādājumu ražošanas operatore
C001370_lv_002	ādas izstrādājumu ražošanas operators
C001371_lv_000	uzņēmuma kases vadītājs
C001371_lv_001	finanšu analītiķis
C001371_lv_002	uzņēmuma galvenās kases vadītājs/uzņēmuma galvenās kases vadītāja
C001371_lv_003	uzņēmuma kases vadītāja
C001372_lv_000	politiskās kampaņas speciālists
C001372_lv_001	politiskais konsultants
C001372_lv_002	politiskās kampaņas vadītāja
C001372_lv_003	politiskās kampaņas vadītājs
C001373_lv_000	elektroiekārtu montieris
C001373_lv_001	elektroiekārtu montiere
C001374_lv_000	atkritumu sadedzināšanas iekārtu operators
C001374_lv_001	atkritumu sadedzināšanas iekārtu operatore
C001374_lv_002	atkritumu sadedzināšanas krāsns operators
C001375_lv_000	pilašu pasniedzējs
C001375_lv_001	pilašu instruktors
C001375_lv_002	pilašu pasniedzēja
C001376_lv_000	IKT tehniķis
C001376_lv_001	IKT tehniķe
C001376_lv_002	IT tehniķe
C001376_lv_003	IT tehniķis
C001377_lv_000	sporta treneris
C001377_lv_001	sporta trenere
C001378_lv_000	akmens apstrādes iekārtas operators
C001378_lv_001	akmens apstrādes iekārtas operatore
C001378_lv_002	akmens pēcapstrādātājs
C001378_lv_003	akmens ēvelētājs
C001379_lv_000	jēlādu un izstrādātu ādu vairumtirgotājs
C001379_lv_001	jēlādu un izstrādātu ādu vairumtirgotāja
C001380_lv_000	hipotekāro aizdevumu brokeris
C001380_lv_001	hipotekāro aizdevumu brokere
C001381_lv_000	ziedu un augu importa un eksporta speciālists
C001381_lv_001	ziedu un augu importa un eksporta speciāliste
C001382_lv_000	loterijas biļešu pārdevējs
C001382_lv_001	loterijas biļešu pārdevēja
C001383_lv_000	dzelzceļa būvinženieris
C001383_lv_001	dzelzceļa būvinženiere
C001384_lv_000	būvniecības darba aizsardzības vecākais speciālists
C001384_lv_001	darba aizsardzības vecākais speciālists būvniecībā
C001384_lv_002	darba aizsardzības vecākā speciāliste būvniecībā
C001385_lv_000	tiesas administrators
C001385_lv_001	tiesas administratore
C001386_lv_000	ritošā sastāva rasētājs
C001386_lv_001	ritošā sastāva projektētājs
C001386_lv_002	ritošā sastāva rasētāja
C001387_lv_000	bērnu dienas aprūpes darbinieks
C001387_lv_001	sociālais aprūpētājs
C001387_lv_002	sociālais darbinieks
C001388_lv_000	toksikologs
C001388_lv_001	toksikoloģe
C001389_lv_000	urbumu inženieris
C001389_lv_001	naftas urbumu inženieris
C001389_lv_002	urbumu inženiere
C001390_lv_000	humānās palīdzības jomas konsultants
C001390_lv_001	humānās palīdzības programmas konsultante
C001390_lv_002	humānās palīdzības programmas konsultants
C001391_lv_000	apavu datorizētās projektēšanas vecākais speciālists
C001391_lv_001	apavu datorizētās projektēšanas vecākā speciāliste
C001392_lv_000	datorspēļu, multivides iekārtu un programmatūras pārdevējs
C001392_lv_001	datorspēļu, multivides iekārtu un programmatūras pārdevēja
C001393_lv_000	kanalizācijas sistēmu tehniķis
C001393_lv_001	analizācijas sistēmu tehniķis
C001393_lv_002	kanalizācijas sistēmu tehniķe
C001394_lv_000	vidutājs
C001394_lv_001	mediatore
C001394_lv_002	mediators
C001394_lv_003	šķīrējtiesnesis
C001395_lv_000	ministrs
C001395_lv_001	ministre
C001396_lv_000	ražošanas procesu uzraugs
C001396_lv_001	ražošanas procesu uzraudze
C001397_lv_000	spridzināšanas inženieris
C001397_lv_001	spridzināšanas darbu vadītājs
C001397_lv_002	spridzināšanas inženiere
C001398_lv_000	ķermeņa mākslinieks
C001398_lv_001	tetovēšanas mākslinieks
C001398_lv_002	ķermeņa māksliniece
C001399_lv_000	balināšanas iekārtas operators
C001399_lv_001	balināšanas operatore
C001399_lv_002	balināšanas operators
C001400_lv_000	tīkla tirdzniecības veicinātājs
C001400_lv_001	daudzlīmeņu mārketinga speciālists
C001400_lv_002	tiešās pārdošanas speciālists
C001400_lv_003	tīkla mārketinga speciāliste
C001400_lv_004	tīkla mārketinga speciālists
C001401_lv_000	apgleznotājs
C001401_lv_001	apgleznotāja
C001402_lv_000	griestu montētājs
C001402_lv_001	griestu montētāja
C001402_lv_002	piekārto griestu montētājs
C001403_lv_000	degvielas uzpildes stacijas pārdevējs
C001403_lv_001	DUS operators
C001403_lv_002	autoapkopes stacijas apkalpotājs
C001403_lv_003	benzīna uzpildes stacijas apkalpotājs
C001403_lv_004	degvielas uzpildes stacijas operators
C001403_lv_005	degvielas uzpildes stacijas pārdevēja
C001404_lv_000	cauruļu virzītājs
C001404_lv_001	cauruļu padevējs
C001404_lv_002	cauruļu virzītāja
C001405_lv_000	virsmas apstrādes tehniķis
C001405_lv_001	virsmas apstrādes tehniķe
C001406_lv_000	ražojumu izstrādes tehniķis
C001406_lv_001	produktu izstrādes tehniķe
C001406_lv_002	produktu izstrādes tehniķis
C001407_lv_000	laivu un kuģu tapsētājs
C001407_lv_001	laivu un kuģu tapsētāja
C001408_lv_000	tūrisma organizators
C001408_lv_001	kultūras tūrisma organizatore
C001408_lv_002	kultūras tūrisma organizators
C001408_lv_003	tūrisma organizatore
C001409_lv_000	pazemes smagā aprīkojuma operators
C001409_lv_001	pazemes smagdarba aprīkojuma operatore
C001409_lv_002	pazemes smagdarba aprīkojuma operators
C001410_lv_000	autogreidera vadītājs
C001410_lv_001	autogreidera vadītāja
C001411_lv_000	nodarbinātības aģents
C001411_lv_001	nodarbinātības aģente
C001411_lv_002	nodarbinātības organizators
C001412_lv_000	smaržu un kosmētikas līdzekļu importa un eksporta vadītājs
C001412_lv_001	smaržu un kosmētikas līdzekļu importa un eksporta vadītāja
C001413_lv_000	tiesas protokolu korektors
C001413_lv_001	tiesas protokolu korektore
C001414_lv_000	saules siltumenerģijas inženieris
C001414_lv_001	saules siltumenerģijas inženiere
C001415_lv_000	ritošā sastāva inspektors
C001415_lv_001	dzelzceļa inspektors
C001415_lv_002	inspektors ritošā sastāva ekspluatācijas jautājumos
C001415_lv_003	inspektors ritošā sastāva remonta un modernizācijas jautājumos
C001415_lv_004	ritošā sastāva inspektore
C001416_lv_000	grafiķis
C001416_lv_001	grafiķe
C001417_lv_000	skursteņslauķu inspektors
C001417_lv_001	skursteņslauķu inspektore
C001418_lv_000	kafijas, tējas, kakao un garšvielu importa un eksporta vadītājs
C001418_lv_001	kafijas, tējas, kakao un garšvielu importa un eksporta vadītāja
C001419_lv_000	biezumošanas ēveles operators
C001419_lv_001	biezumošanas ēveles operatore
C001419_lv_002	tainošanas ēveles operators
C001420_lv_000	optisko instrumentu ražošanas uzraugs
C001420_lv_001	optisko insturmentu ražošanas uzraudze
C001420_lv_002	optisko insturmentu ražošanas uzraugs
C001421_lv_000	ceļa veltņa operators
C001421_lv_001	ceļa veltņa operatore
C001422_lv_000	piena produktu ražošanas meistars
C001422_lv_001	piena produktu pārstrādātājs
C001422_lv_002	piena produktu ražošanas meistare
C001422_lv_003	siera izgatavotājs
C001422_lv_004	sviesta meistars
C001423_lv_000	hidrogrāfijas inženieris
C001423_lv_001	hidrogrāfijas inženiere
C001424_lv_000	lentes spiednes operators
C001424_lv_001	lentes spiednes operatore
C001425_lv_000	veselības aprūpes inspektors
C001425_lv_001	veselības aprūpes inspektore
C001426_lv_000	bateriju izmēģinātājs
C001426_lv_001	akumulatoru testētājs
C001426_lv_002	bateriju izmēģinātāja
C001427_lv_000	šveicars
C001427_lv_001	durvju sargs
C001427_lv_002	portjē
C001427_lv_003	ārdurvju sargs
C001428_lv_000	uzvedības pētnieks
C001428_lv_001	uzvedības pētniece
C001429_lv_000	mašīnbūves tehniķis
C001429_lv_001	mašīnbūves speciālists
C001429_lv_002	mašīnbūves tehniķe
C001430_lv_000	teritorijas plānotājs
C001430_lv_001	teritorijas plānotāja
C001431_lv_000	stikla slīpētājs
C001431_lv_001	stikla pulētājs
C001431_lv_002	stikla slīpētāja
