C000001_lt_000	Ginkluotųjų pajėgų profesijos
C000687_lt_002	programuotojas analitikas
C000687_lt_003	taikomųjų programų analitikas
C000688_lt_000	buhalterijos vadovas
C000688_lt_001	apskaitininkas
C000688_lt_002	apskaitos direktorius
C000688_lt_003	apskaitos skyriaus vadovas
C000688_lt_004	apskaitos vadovas
C000688_lt_005	buhalterijos vadovė
C000689_lt_000	liejyklos vadovas
C000689_lt_001	gamybos vadovas
C000689_lt_002	gamybos viršininkas
C000689_lt_003	gamyklos vadovas
C000689_lt_004	inžinerijos vadovas
C000689_lt_005	liejyklos gamybos vadovas
C000689_lt_006	liejyklos operacijų vadovas
C000689_lt_007	liejyklos vadovė
C000689_lt_008	operacijų vadovas
C000689_lt_009	procesų vadovas
C000690_lt_000	telekomunikacijų technikas
C000690_lt_001	telekomunikacijų specialistas
C000690_lt_002	telekomunikacijų technikė
C000691_lt_000	reklaminių gaminių demonstruotojas
C000691_lt_001	demonstruotojas
C000691_lt_002	reklaminių gaminių demonstruotoja
C000692_lt_000	laivavedžių instruktorius
C000692_lt_001	kapitonas instruktorius
C000692_lt_002	laivavedžių instruktorė
C000692_lt_003	laivo valdymo instruktorius
C000692_lt_004	laivo valdymo mokytojas
C000692_lt_005	laivų valdymo instruktorius
C000693_lt_000	valiutų rinkos prekiautojas
C000693_lt_001	prekiautojas valiutomis
C000693_lt_002	prekybos valiutomis specialistas
C000693_lt_003	prekybos valiutų rinkoje specialistas
C000693_lt_004	valiutų rinkos prekiautoja
C000693_lt_005	„forex“ prekiautojas
C000694_lt_000	aerokosminės inžinerijos technikas
C000694_lt_001	aerokosminės inžinerijos technikė
C000694_lt_002	aeronautikos inžinerijos technikas
C000694_lt_003	aeronautikos technologas
C000694_lt_004	aviacinių aparatų technikas
C000694_lt_005	aviacinės kosminės inžinerijos technikas
C000694_lt_006	erdvėlaivių inžinerijos technikas
C000694_lt_007	erdvėlaivių technikas
C000694_lt_008	erdvėlaivių technologas
C000694_lt_009	kosminių aparatų technikas
C000694_lt_010	lėktuvų inžinerijos technikas
C000694_lt_011	orlaivių inžinerijos technikas
C000694_lt_012	orlaivių technologas
C000695_lt_000	stalinių pjaustymo staklių operatorius
C000695_lt_001	diskinio pjūklo operatorius
C000695_lt_002	diskinio pjūklo specialistas
C000695_lt_003	diskinio pjūklo technikas
C000695_lt_004	formatinio pjovimo staklių operatorius
C000695_lt_005	formatinio pjovimo staklių specialistas
C000695_lt_006	formatinio pjovimo staklių technikas
C000695_lt_007	lentpjūvės pjovėjas
C000695_lt_008	medienos apdirbimo staklių operatorius
C000695_lt_009	medienos plokščių formavimo-pjovimo staklių operatorius
C000695_lt_010	medienos plokščių formavimo-pjovimo staklių specialistas
C000695_lt_011	medienos plokščių formavimo-pjovimo staklių technikas
C000695_lt_012	medienos skydų formavimo-pjovimo staklių operatorius
C000695_lt_013	plokščių pjovimo staklių specialistas
C000695_lt_014	plokščių pjovimo staklių technikas
C000695_lt_015	pramoninių pjovimo staklių operatorius
C000695_lt_016	sijų pjaustymo pjūklo operatorius
C000695_lt_017	sijų pjaustymo staklių specialistas
C000695_lt_018	sijų pjaustymo staklių technikas
C000695_lt_019	stalinių pjaustymo mašinų operatorius
C000695_lt_020	stalinių pjaustymo staklių derintojas
C000695_lt_021	stalinių pjaustymo staklių meistras derintojas
C000695_lt_022	stalinių pjaustymo staklių operatorė
C000695_lt_023	stalinių pjaustymo staklių specialistas
C000695_lt_024	stalinių pjaustymo staklių technikas
C000695_lt_025	įstrižojo pjovimo staklių operatorius
C000695_lt_026	įstrižojo pjovimo staklių specialistas
C000695_lt_027	įstrižojo pjovimo staklių technikas
C000696_lt_000	tiltų statybos meistras technologas
C000696_lt_001	tiltų statybos meistrė technologė
C000696_lt_002	tiltų statybos projektų vadovas
C000696_lt_003	tiltų statybos techninis prižiūrėtojas
C000697_lt_000	mūrininkas
C000697_lt_001	mūrininkė
C000697_lt_002	plytų klojikas
C000697_lt_003	plytų klojėjas
C000697_lt_004	plytų mūrininkas
C000698_lt_000	mėsos išpjaustytojas
C000698_lt_001	išpjaustymo linijų operatorius
C000698_lt_002	mėsos iškaulintojas
C000698_lt_003	mėsos išpjaustytoja
C000699_lt_000	kriminalistas
C000699_lt_001	kriminalistikos mokslininkas
C000699_lt_002	kriminalistikos specialistas
C000699_lt_003	kriminalistė
C000699_lt_004	kriminologas
C000699_lt_005	kriminologijos mokslininkas
C000699_lt_006	kriminologijos specialistas
C000700_lt_000	vaizdo operatorius
C000700_lt_001	kino filmų rodytojas
C000700_lt_002	tiesioginių vaizdo transliacijų operatorius
C000700_lt_003	vaizdo ir grafikos technikas
C000700_lt_004	vaizdo operatorė
C000700_lt_005	vaizdo projekcijų technikas
C000700_lt_006	vaizdo technikas
C000700_lt_007	vaizdo technikos operatorius
C000700_lt_008	videotechnikas
C000701_lt_000	specializuotasis žuvies ir jūros produktų pardavėjas
C000701_lt_001	specializuotasis žuvies pardavėjas
C000701_lt_002	specializuotoji žuvies ir jūros produktų pardavėja
C000701_lt_003	šviežios žuvies pardavėjas
C000701_lt_004	žuvies ir jūros produktų pardavėjas
C000701_lt_005	žuvies pardavėjas
C000701_lt_006	žuvų parduotuvės pardavėjas
C000702_lt_000	naftos ir dujų gamybos vadovas
C000702_lt_001	naftos ir dujų gamybos vadovė
C000703_lt_000	metalurgijos technikas
C000703_lt_001	metalurgijos technikė
C000704_lt_000	verpimo technikas
C000704_lt_001	siūlų ir verpalų verpėjas
C000704_lt_002	verpimo fabriko darbininkas
C000704_lt_003	verpimo ir vijimo mašinų meistras
C000704_lt_004	verpimo mašinų operatorius
C000704_lt_005	verpimo mašinų technikas
C000704_lt_006	verpimo technikė
C000704_lt_007	verpėjas
C000705_lt_000	linoleumo klojėjas
C000705_lt_001	grindų klojikas
C000705_lt_002	grindų klojėjas
C000705_lt_003	linoleumo klojikas
C000705_lt_004	linoleumo klojėja
C000705_lt_005	polimerinių grindų dangų klojikas
C000705_lt_006	polimerinių grindų dangų klojėjas
C000705_lt_007	tampriųjų grindų dangų klojikas
C000705_lt_008	tampriųjų grindų dangų klojėjas
C000706_lt_000	tekstilės kokybės technikas
C000706_lt_001	fizinių bandymų laboratorijos technikas
C000706_lt_002	kokybės užtikrinimo pareigūnas
C000706_lt_003	tekstilės fizinių savybių kokybės vadovas
C000706_lt_004	tekstilės kokybės technikė
C000706_lt_005	tekstilės medžiagų fizinių tyrimų laboratorijos technikas
C000706_lt_006	tekstilės medžiagų kokybės vadovas
C000706_lt_007	tekstilės tyrimų laboratorijos technikas
C000707_lt_000	tabako vytinimo kambario darbuotojas
C000707_lt_001	tabako vytinimo kambario darbuotoja
C000707_lt_002	tabako vytinimo specialistas
C000707_lt_003	tabako vytintojas
C000708_lt_000	emaliuotojas
C000708_lt_001	auksakalys
C000708_lt_002	aukso dirbinių emaliuotojas
C000708_lt_003	dengimo ir emaliavimo įrenginių operatorius
C000708_lt_004	emaliavimo mašinų operatorius
C000708_lt_005	emaliavimo mašinų technikas
C000708_lt_006	emaliuotoja
C000708_lt_007	juvelyras
C000708_lt_008	juvelyrinių dirbinių gamintojas
C000708_lt_009	lietojo metalo dirbinių emaliuotojas
C000708_lt_010	metalo dirbinių emaliuotojas
C000708_lt_011	nardinamojo dengimo darbininkas
C000708_lt_012	nardinamojo dengimo emaliu darbininkas
C000708_lt_013	nardinamojo dengimo emaliu įrenginių operatorius
C000708_lt_014	nardinamojo dengimo mašinų operatorius
C000708_lt_015	nardinamojo dengimo mašinų technikas
C000708_lt_016	platinos dirbinių emaliuotojas
C000708_lt_017	sidabro dirbinių emaliuotojas
C000708_lt_018	vario dirbinių emaliuotojas
C000709_lt_000	darbuotojų atrankos konsultantas
C000709_lt_001	darbuotojų agentas
C000709_lt_002	darbuotojų atrankos konsultantė
C000709_lt_003	darbuotojų atrankos specialistas
C000709_lt_004	darbuotojų verbavimo specialistas
C000709_lt_005	personalo pareigūnas
C000709_lt_006	įdarbinimo konsultantas
C000710_lt_000	aktuaras konsultantas
C000710_lt_001	aktuaras analitikas
C000710_lt_002	aktuaras patarėjas
C000710_lt_003	aktuarė konsultantė
C000711_lt_000	apšvietimo dailininkas
C000711_lt_001	apšvietimo dailininkė
C000711_lt_002	apšvietimo ir vaizdo dailininkas
C000711_lt_003	scenos meninio apšvietimo dailininkas
C000711_lt_004	teatro scenos meninio apšvietimo dailininkas
C000712_lt_000	šokių korepetitorius
C000712_lt_001	korepetitorius
C000712_lt_002	repetitorius
C000712_lt_003	šokių korepetitorė
C000712_lt_004	šokių repetitorius
C000712_lt_005	šokių treneris
C000713_lt_000	akumuliatorininkas
C000713_lt_001	akumuliatorininkė
C000713_lt_002	akumuliatorių baterijų technikas
C000713_lt_003	autobusų baterijų technikas
C000713_lt_004	automobilių akumuliatorių baterijų technikas
C000713_lt_005	variklinių transporto priemonių baterijų technikas
C000714_lt_000	avalynės dizaineris
C000714_lt_001	avalynės dizainerė
C000714_lt_002	avalynės stilistas
C000714_lt_003	batų dizaineris
C000714_lt_004	batų stilistas
C000715_lt_000	darbo biržos vadovas
C000715_lt_001	darbo biržos vadovė
C000715_lt_002	viešųjų užimtumo tarnybų vadovas
C000716_lt_000	aprangos gaminių konstruktorius
C000716_lt_001	aprangos gaminių konstruktorė
C000716_lt_002	drabužių lekalų meistras
C000716_lt_003	lekalų gamintojas
C000716_lt_004	lekalų ruošėjas
C000717_lt_000	viešojo administravimo vadovas
C000717_lt_001	miesto administratorius
C000717_lt_002	valstybės tarnautojas
C000717_lt_003	valstybės tarnybos direktorius
C000717_lt_004	viešasis administratorius
C000717_lt_005	viešojo administravimo direktorius
C000717_lt_006	viešojo administravimo specialistas
C000717_lt_007	viešojo administravimo vadovė
C000717_lt_008	viešosios įstaigos direktorius
C000718_lt_000	kreditų analitikas
C000718_lt_001	kreditų analitikė
C000718_lt_002	kreditų padalinio tarnautojas
C000718_lt_003	patarėjas kreditų klausimais
C000719_lt_000	santechnikos darbų techninis prižiūrėtojas
C000719_lt_001	santechnikos darbų techninė prižiūrėtoja
C000719_lt_002	santechnikų brigados vadovas
C000719_lt_003	vyriausiasis santechnikas
C000720_lt_000	vertybinių popierių analitikas
C000720_lt_001	akcijų analitikas
C000720_lt_002	akcijų ir obligacijų analitikas
C000720_lt_003	obligacijų analitikas
C000720_lt_004	vertybinių popierių analitikė
C000720_lt_005	vertybinių popierių tyrimų analitikas
C000721_lt_000	šokėjas
C000721_lt_001	džiazo šokėjas
C000721_lt_002	grupinių šokių šokėjas
C000721_lt_003	pilvo šokių šokėjas
C000721_lt_004	scenos šokėjas
C000721_lt_005	varjetė šokėjas
C000721_lt_006	šokėja
C000722_lt_000	vienetinių batų technikas
C000722_lt_001	batsiuvys
C000722_lt_002	pagal užsakymą gaminamų batų meistras
C000722_lt_003	vienetinių batų technikė
C000723_lt_000	teisėjas
C000723_lt_001	apeliacinio teismo teisėjas
C000723_lt_002	apygardos teismo teisėjas
C000723_lt_003	apylinkės teismo teisėjas
C000723_lt_004	nepilnamečių teismo teisėjas
C000723_lt_005	teisėja
C000724_lt_000	marionečių dizaineris
C000724_lt_001	lėlininkas
C000724_lt_002	marionečių dirbėjas
C000724_lt_003	marionečių dizaineris ir konstruktorius
C000724_lt_004	marionečių dizainerė
C000724_lt_005	marionečių kūrėjas
C000725_lt_000	fleksografinės spaudos mašinų operatorius
C000725_lt_001	fleksografijos klišių gamintojas
C000725_lt_002	fleksografijos klišių montuotojas
C000725_lt_003	fleksografijos mašinų operatorius
C000725_lt_004	fleksografinės spaudos mašinų operatorė
C000725_lt_005	fleksografinės spaudos operatorius
C000726_lt_000	integravimo inžinierius
C000726_lt_001	IRT integravimo inžinierius
C000726_lt_002	informacinių ir ryšių technologijų integravimo inžinierius
C000726_lt_003	integravimo inžinierė
C000726_lt_004	programinės įrangos integravimo inžinierius
C000726_lt_005	sistemų integravimo inžinierius
C000727_lt_000	sinoptikas
C000727_lt_001	meteorologas
C000727_lt_002	meteorologas tyrėjas
C000727_lt_003	orų pranešėjas
C000727_lt_004	orų prognozuotojas
C000727_lt_005	sinoptikos specialistas
C000727_lt_006	sinoptikos tyrėjas
C000727_lt_007	sinoptikė
C000728_lt_000	gatvės menininkas
C000728_lt_001	gatvės dailininkas
C000728_lt_002	gatvės menininkė
C000728_lt_003	grafitininkas
C000728_lt_004	grafičių menininkas
C000728_lt_005	miesto menininkas
C000728_lt_006	sienų dailininkas
C000729_lt_000	SPA vadovas
C000729_lt_001	spa direktorius
C000729_lt_002	spa ir sveikatingumo centro vadovas
C000729_lt_003	spa vadovė
C000729_lt_004	sveikatingumo centro vadovas
C000730_lt_000	profesionalus sportininkas
C000730_lt_001	akrobatinio skraidymo pilotas
C000730_lt_002	boksininkas
C000730_lt_003	dviratininkas
C000730_lt_004	futbolininkas
C000730_lt_005	golfo žaidėjas
C000730_lt_006	imtynininkas
C000730_lt_007	jojikas
C000730_lt_008	krepšininkas
C000730_lt_009	ledo ritulininkas
C000730_lt_010	lenktynininkas
C000730_lt_011	motociklininkas
C000730_lt_012	pilotas
C000730_lt_013	profesionali sportininkė
C000730_lt_014	rankininkas
C000730_lt_015	regbio žaidėjas
C000730_lt_016	riedutininkas
C000730_lt_017	slidininkas
C000730_lt_018	snieglentininkas
C000730_lt_019	sportininkas
C000730_lt_020	sportininkas profesionalas
C000730_lt_021	tenisininkas
C000730_lt_022	tinklininkas
C000730_lt_023	čiuožėjas
C000731_lt_000	veterinarijos gydytojas specialistas
C000731_lt_001	gyvūnų mitybos specialistas
C000731_lt_002	laukinių gyvūnų veterinarijos gydytojas
C000731_lt_003	smulkiųjų gyvūnų veterinarijos gydytojas
C000731_lt_004	stambiųjų gyvulių veterinarijos gydytojas
C000731_lt_005	veterinaras su specializacija
C000731_lt_006	veterinarijos gydytoja specialistė
C000731_lt_007	veterinarijos gydytojas chirurgas
C000731_lt_008	veterinarijos gydytojas dermatologas
C000731_lt_009	veterinarijos gydytojas dietologas
C000731_lt_010	veterinarijos gydytojas kardiologas
C000731_lt_011	veterinarijos gydytojas klinikinis patologas
C000731_lt_012	veterinarijos gydytojas neurologas
C000731_lt_013	veterinarijos gydytojas oftalmologas
C000731_lt_014	veterinarijos gydytojas onkologas
C000731_lt_015	veterinarijos gydytojas parazitologas
C000731_lt_016	veterinarijos gydytojas patologas
C000731_lt_017	veterinarijos gydytojas rentgenologas
C000731_lt_018	veterinarijos gydytojas skiepytojas
C000732_lt_000	automatizuotų scenos sistemų operatorius
C000732_lt_001	automatikos technikas
C000732_lt_002	automatizuotų scenos sistemų operatorė
C000732_lt_003	dekoracijų valdymo sistemų operatorius
C000732_lt_004	kompiuterizuotų scenos mechanizmų valdymo sistemų operatorius
C000732_lt_005	scenos dekoracijų mechanizmų operatorius
C000732_lt_006	scenos valdymo technologijų specialistas
C000733_lt_000	testavimo technikas inžinierius
C000733_lt_001	testavimo technikė inžinierė
C000734_lt_000	filialo vadovas
C000734_lt_001	filialo vadovė
C000734_lt_002	regiono direktorius
C000734_lt_003	regiono vadovas
C000734_lt_004	tarptautinio verslo vadovas
C000735_lt_000	paieškos sistemų optimizavimo ekspertas
C000735_lt_001	paieškos sistemų optimizavimo ekspertė
C000735_lt_002	paieškos sistemų optimizavimo konsultantas
C000735_lt_003	paieškos sistemų rinkodaros specialistas
C000736_lt_000	vandentiekio tinklo operatorius
C000736_lt_001	kanalizacijos tinklo operatorius
C000736_lt_002	nuotekų technikas
C000736_lt_003	vandentiekio avarijų technikas
C000736_lt_004	vandentiekio ir kanalizacijos operatorius
C000736_lt_005	vandentiekio priežiūros technikas
C000736_lt_006	vandentiekio remonto technikas
C000736_lt_007	vandentiekio tinklo operatorė
C000736_lt_008	vandentiekio tinklo technikas
C000736_lt_009	vandentiekio tinklų eksploatavimo specialistas
C000737_lt_000	žaliosios kavos pirkėjas
C000737_lt_001	žaliosios kavos pirkėja
C000737_lt_002	žaliosios kavos vartotojas
C000738_lt_000	ekonomikos dėstytojas
C000738_lt_001	ekonomikos docentas
C000738_lt_002	ekonomikos dėstytoja
C000738_lt_003	ekonomikos lektorius
C000738_lt_004	universiteto ekonomikos dėstytojas
C000738_lt_005	universiteto ekonomikos lektorius
C000739_lt_000	motorinių transporto priemonių dalių konsultantas
C000739_lt_001	lengvųjų automobilių dalių pardavėjas
C000739_lt_002	motorinių transporto priemonių atsarginių dalių pardavėjas
C000739_lt_003	motorinių transporto priemonių atsarginių dalių specialistas
C000739_lt_004	motorinių transporto priemonių dalių konsultantė
C000739_lt_005	motorinių transporto priemonių dalių pardavėjas
C000739_lt_006	sunkiųjų automobilių dalių pardavėjas
C000740_lt_000	kirpėjas
C000740_lt_001	kirpėja
C000740_lt_002	kirpėjas koloristas
C000740_lt_003	kirpėjas stilistas
C000740_lt_004	perukų stilistas
C000740_lt_005	plaukų priežiūros specialistas
C000740_lt_006	plaukų stilistas
C000740_lt_007	stilistas
C000741_lt_000	dailės kūrinių restauratorius
C000741_lt_001	dailės kūrinių restauratorė
C000741_lt_002	meno restauratorius
C000741_lt_003	restauratorius
C000742_lt_000	programos vedėjas
C000742_lt_001	programos vedėja
C000742_lt_002	radijo diktorius
C000742_lt_003	radijo pranešėjas
C000742_lt_004	radijo programos vedėjas
C000742_lt_005	televizijos diktorius
C000742_lt_006	televizijos pranešėjas
C000742_lt_007	televizijos programos vedėjas
C000743_lt_000	golfo instruktorius
C000743_lt_001	golfo instruktorė
C000743_lt_002	golfo mokytojas
C000744_lt_000	energijos tiekimo namų ūkiams galimybių vertintojas
C000744_lt_001	energijos tiekimo namų ūkiams galimybių vertintoja
C000744_lt_002	namų ūkių aprūpinimo energija konsultantas
C000745_lt_000	narystės administratorius
C000745_lt_001	administratorius
C000745_lt_002	narystės administratorė
C000745_lt_003	narystės ir prenumeratos administratorius
C000745_lt_004	sąskaitų administratorius
C000746_lt_000	rankinio užtraukimo ant kurpalio operatorius
C000746_lt_001	bato formavimo technikas
C000746_lt_002	rankinio užtraukimo ant kurpalio operatorė
C000746_lt_003	užtraukimo ant kurpalio meistras
C000746_lt_004	užtraukimo ant kurpalio technikas
C000747_lt_000	auklė
C000747_lt_001	ateinanti auklė
C000747_lt_002	auklis
C000747_lt_003	auklius
C000747_lt_004	auklys
C000747_lt_005	auklė „au pair“
C000747_lt_006	darbo vietoje gyvenanti vaikų auklė
C000747_lt_007	darbo vietoje gyvenantis vaikų prižiūrėtojas
C000747_lt_008	guvernantė
C000747_lt_009	vaikų priežiūros paslaugų darbuotojas
C000748_lt_000	didmeninės prekybos kvepalais ir kosmetika agentas
C000748_lt_001	didmeninės prekybos kvepalais ir kosmetika agento padėjėjas
C000748_lt_002	didmeninės prekybos kvepalais ir kosmetika agentė
C000748_lt_003	didmeninės prekybos kvepalais ir kosmetika konsultantas
C000748_lt_004	didmeninės prekybos kvepalais ir kosmetika specialistas
C000748_lt_005	didmeninės prekybos kvepalais ir kosmetika vadybininkas
C000748_lt_006	kvepalų ir kosmetikos didmeninio pardavimo agentas
C000748_lt_007	kvepalų ir kosmetikos didmeninio pirkimo agentas
C000749_lt_000	kniedytojas
C000749_lt_001	kniedymo mašinos operatorius
C000749_lt_002	kniedymo meistras
C000749_lt_003	kniedymo specialistas
C000749_lt_004	kniedytoja
C000749_lt_005	kniedytuvo operatorius
C000749_lt_006	metalo kniedytojas
C000749_lt_007	šaltkalvis kniedytojas
C000750_lt_000	styginių muzikos instrumentų gamintojas
C000750_lt_001	gitarų dirbėjas
C000750_lt_002	gitarų meistras
C000750_lt_003	kontrabosų meistras
C000750_lt_004	muzikos instrumentų gamintojas
C000750_lt_005	smuikų meistras
C000750_lt_006	styginių instrumentų gamintojas
C000750_lt_007	styginių muzikos instrumentų gamintoja
C000750_lt_008	styginių muzikos instrumentų meistras
C000750_lt_009	violončelių meistras
C000751_lt_000	desinavimo mašinų operatorius
C000751_lt_001	desinavimo mašinų operatorė
C000752_lt_000	IRT testavimo analitikas
C000752_lt_001	IRT testavimo analitikė
C000752_lt_002	IT testavimo analitikas
C000752_lt_003	testavimo analitikas
C000753_lt_000	hidraulinio preso darbininkas
C000753_lt_001	hidraulinio preso darbininkė
C000753_lt_002	hidraulinio preso operatorius
C000753_lt_003	hidraulinio preso technikas
C000754_lt_000	minkštojo popieriaus perforavimo ir vyniojimo įrenginių operatorius
C000754_lt_001	minkštojo popieriaus perforavimo ir vyniojimo mašinų operatorius
C000754_lt_002	minkštojo popieriaus perforavimo ir vyniojimo mašinų specialistas
C000754_lt_003	minkštojo popieriaus perforavimo ir vyniojimo mašinų technikas
C000754_lt_004	minkštojo popieriaus perforavimo ir vyniojimo operatorius
C000754_lt_005	minkštojo popieriaus perforavimo ir vyniojimo specialistas
C000754_lt_006	minkštojo popieriaus perforavimo ir vyniojimo technikas
C000754_lt_007	minkštojo popieriaus perforavimo ir vyniojimo įrenginių operatorė
C000754_lt_008	tualetinio popieriaus gamybos mašinų operatorius
C000754_lt_009	tualetinio popieriaus gamybos mašinų specialistas
C000754_lt_010	tualetinio popieriaus gamybos mašinų technikas
C000755_lt_000	gyvūnų masažuotojas
C000755_lt_001	gyvūnų masažo terapeutas
C000755_lt_002	gyvūnų masažuotoja
C000755_lt_003	gyvūnų terapeutas
C000755_lt_004	veterinaras terapeutas
C000755_lt_005	veterinarijos gydytojas terapeutas
C000756_lt_000	orlaivių variklių specialistas
C000756_lt_001	civilinių orlaivių variklių specialistas
C000756_lt_002	karinių orlaivių variklių specialistas
C000756_lt_003	orlaivių variklių mechanikas
C000756_lt_004	orlaivių variklių specialistė
C000756_lt_005	orlaivių variklių technikas
C000756_lt_006	sraigtasparnių mechanikas
C000757_lt_000	bokso instruktorius
C000757_lt_001	bokso instruktorė
C000758_lt_000	gyvūnų priežiūros darbuotojas
C000758_lt_001	gyvūnų priežiūros darbuotoja
C000758_lt_002	gyvūnų priežiūros specialistas
C000758_lt_003	gyvūnų prižiūrėtojas
C000759_lt_000	parduotuvės pardavėjas
C000759_lt_001	parduotuvės pardavėja
C000760_lt_000	laivyno vadas
C000760_lt_001	laivyno vadė
C000761_lt_000	gyvūnų terapeutas
C000761_lt_001	gyvūnų terapeutė
C000761_lt_002	veterinaras terapeutas
C000761_lt_003	veterinarijos gydytojas terapeutas
C000762_lt_000	skubiosios medicinos pagalbos paramedikas
C000762_lt_001	greitosios pagalbos automobilio paramedikas
C000762_lt_002	greitosios pagalbos medicinos technikas
C000762_lt_003	paramedikas
C000762_lt_004	skubiosios medicinos pagalbos paramedikė
C000762_lt_005	skubiosios medicinos pagalbos slaugos specialistas
C000763_lt_000	durų montuotojas
C000763_lt_001	durų meistras
C000763_lt_002	durų montavimo specialistas
C000763_lt_003	durų montuotoja
C000763_lt_004	durų montuotojas apdailininkas
C000763_lt_005	durų montuotojas-apdailininkas
C000764_lt_000	hidraulikos technikas
C000764_lt_001	hidraulikos inspektorius
C000764_lt_002	hidraulikos operatorius
C000764_lt_003	hidraulikos specialistas
C000764_lt_004	hidraulikos technikė
C000764_lt_005	hidraulinių sistemų inspektorius
C000764_lt_006	hidraulinių sistemų operatorius
C000764_lt_007	hidraulinių sistemų priežiūros specialistas
C000764_lt_008	hidraulinių sistemų specialistas
C000764_lt_009	hidraulinių sistemų technikas
C000765_lt_000	darbuotojų mokymo specialistas
C000765_lt_001	darbuotojų gebėjimų ugdymo konsultantas
C000765_lt_002	darbuotojų mokymo specialistė
C000765_lt_003	personalo mokymo specialistas
C000765_lt_004	ugdantysis vadovas
C000765_lt_005	įmonės gebėjimų ugdymo konsultantas
C000765_lt_006	įmonės vidaus mokymų specialistas
C000766_lt_000	garo mašinų inžinierius
C000766_lt_001	garo mašinų inžinerijos ekspertas
C000766_lt_002	garo mašinų inžinerijos konsultantas
C000766_lt_003	garo mašinų inžinerijos specialistas
C000766_lt_004	garo mašinų inžinierė
C000766_lt_005	garo technologijų inžinierius
C000766_lt_006	garo variklių ekspertas
C000766_lt_007	garo variklių inžinierius
C000766_lt_008	šiluminių mašinų inžinierius
C000767_lt_000	medicinos dėstytojas
C000767_lt_001	medicinos docentas
C000767_lt_002	medicinos dėstytoja
C000767_lt_003	medicinos lektorius
C000768_lt_000	telefonų komutatoriaus operatorius
C000768_lt_001	pavojaus skelbimo centro dispečeris
C000768_lt_002	telefonų komutatoriaus operatorė
C000769_lt_000	gydytojo padėjėjas
C000769_lt_001	chirurgo padėjėjas
C000769_lt_002	gydytojo asistentas
C000769_lt_003	gydytojo oftalmologo padėjėjas
C000769_lt_004	gydytojo ortopedo padėjėjas
C000769_lt_005	gydytojo padėjėja
C000769_lt_006	gydytojo patologo padėjėjas
C000769_lt_007	gydytojo radiologo padėjėjas
C000769_lt_008	slaugytojas
C000770_lt_000	kabelių tiesėjas
C000770_lt_001	elektrikas
C000770_lt_002	elektrikas kabelių tiesėjas
C000770_lt_003	elektros kabelių priežiūros darbininkas
C000770_lt_004	elektros kabelių priežiūros technikas
C000770_lt_005	kabelių priežiūros specialistas
C000770_lt_006	kabelių tiesėja
C000771_lt_000	jodinėjimo instruktorius
C000771_lt_001	jodinėjimo instruktorė
C000772_lt_000	išvežiotojas
C000772_lt_001	išvežiojimo paslaugų teikėjas
C000772_lt_002	išvežiotoja
C000773_lt_000	skaitmeninės informacijos kriminalistinių tyrimų ekspertas
C000773_lt_001	informacijos kriminalistinių tyrimų ekspertas
C000773_lt_002	informacinių ir ryšių technologijų kriminalistinių tyrimų ekspertas
C000773_lt_003	skaitmeninės informacijos kriminalistinių tyrimų ekspertė
C000774_lt_000	medicinos prietaisų inžinierius
C000774_lt_001	audiologijos inžinierius
C000774_lt_002	biomedicinos inžinierius
C000774_lt_003	medicinos prietaisų inžinierė
C000774_lt_004	ortopedijos inžinierius
C000775_lt_000	telekomunikacijų įrangos parduotuvės vadovas
C000775_lt_001	mobiliųjų telefonų ir jų aksesuarų parduotuvės direktorius
C000775_lt_002	mobiliųjų telefonų ir jų aksesuarų parduotuvės vadovas
C000775_lt_003	telekomunikacijų įrangos parduotuvės vadovė
C000776_lt_000	žemės ūkio technikos ir įrangos importo ir eksporto vadovas
C000776_lt_001	žemės ūkio technikos ir įrangos importo ir eksporto vadovė
C000776_lt_002	žemės ūkio technikos ir įrangos tarptautinės prekybos vadovas
C000777_lt_000	kokybės kontrolierius
C000777_lt_001	kokybės inspektorius
C000777_lt_002	kokybės kontrolierė
C000777_lt_003	kokybės stebėtojas
C000777_lt_004	kokybės tikrintojas
C000777_lt_005	kokybės vertintojas
C000778_lt_000	laivų operacijų koordinatorius
C000778_lt_001	eismo koordinatorius
C000778_lt_002	laivybos operacijų vadybininkas
C000778_lt_003	laivų kontrolierius
C000778_lt_004	laivų operacijų koordinatorė
C000778_lt_005	laivų operacijų prižiūrėtojas
C000778_lt_006	laivų operacijų vadybininkas
C000779_lt_000	istorikas
C000779_lt_001	istorijos tyrinėtojas
C000779_lt_002	istorikė
C000779_lt_003	meno istorikas
C000780_lt_000	informacinių ir ryšių technologijų saugumo konsultantas
C000780_lt_001	IRT saugumo konsultantas
C000780_lt_002	informacinių ir ryšių technologijų saugumo konsultantė
C000780_lt_003	informacinių technologijų saugumo konsultantas
C000781_lt_000	cheminių produktų gamybos vadovas
C000781_lt_001	cheminių procesų inžinierius
C000781_lt_002	cheminių procesų vadovas
C000781_lt_003	cheminių produktų gamybos direktorius
C000781_lt_004	cheminių produktų gamybos kokybės inspektorius
C000781_lt_005	cheminių produktų gamybos vadovė
C000781_lt_006	cheminių produktų koordinatorius
C000781_lt_007	cheminių produktų planuotojas
C000781_lt_008	gamybos direktorius
C000781_lt_009	gamybos vadovas
C000781_lt_010	perdirbimo pramonės gamybos vadovas
C000782_lt_000	vaikų priežiūros socialinis darbuotojas
C000782_lt_001	socialinis darbuotojas
