C000001_da_000	Militært arbejde
C000731_da_031	zoologisk veterinærmediciner
C000732_da_000	scenetekniker — automatisk løfte-, træk- og hejseudstyr
C000733_da_000	idriftsættelsestekniker
C000734_da_000	filialchef
C000734_da_001	filialdirektør
C000734_da_002	international virksomhedsleder
C000734_da_003	regionschef
C000734_da_004	regionsdirektør
C000735_da_000	ekspert i søgemaskineoptimering
C000735_da_001	SEO-ekspert
C000735_da_002	ekspert i søgeoptimering
C000735_da_003	konsulent i søgemaskineoptimering
C000735_da_004	specialist i markedsføring via søgemaskiner
C000735_da_005	specialist i søgemaskineoptimering
C000736_da_000	vandforsyningsarbejder
C000736_da_001	kloakmester
C000737_da_000	indkøber af grøn kaffe
C000737_da_001	grøn kaffe-indkøber
C000737_da_002	kaffeindkøber
C000737_da_003	person der udvælger grøn kaffe
C000738_da_000	lektor i økonomi
C000739_da_000	reservedelskonsulent
C000739_da_001	reservedelskonsulent - lette køretøjer
C000739_da_002	reservedelskonsulent - tunge køretøjer
C000740_da_000	frisør
C000740_da_001	barber
C000740_da_002	damefrisør
C000740_da_003	herrefrisør
C000740_da_004	hårstylist
C000740_da_005	stylist
C000741_da_000	restaurator
C000741_da_001	kunstkonservator
C000741_da_002	kunstrestaurator
C000742_da_000	studievært
C000742_da_001	kommentator
C000742_da_002	programvært
C000742_da_003	programværtinde
C000742_da_004	radiospeaker
C000742_da_005	radiovært
C000742_da_006	radioværtinde
C000742_da_007	speaker
C000742_da_008	sportskommentator
C000742_da_009	studieværtinde
C000742_da_010	tv-kommentator
C000742_da_011	tv-vært
C000742_da_012	tv-værtinde
C000743_da_000	golfinstruktør
C000743_da_001	golflærer
C000744_da_000	energirådgiver for private
C000744_da_001	boligenergikonsulent
C000744_da_002	energirådgiver inden for boligområdet
C000744_da_003	salgskonsulent inden for boligenergi
C000745_da_000	medlemsadministrator
C000745_da_001	kasserer
C000745_da_002	kontobestyrer
C000745_da_003	medarbejder til administrativ support
C000746_da_000	oppinder
C000746_da_001	skomontør
C000746_da_002	skotøjsarbejder
C000747_da_000	barnepige
C000747_da_001	au pair
C000747_da_002	babysitter
C000747_da_003	børnepasser
C000747_da_004	privat børnepasser
C000748_da_000	engrosforhandler inden for parfumerivarer og kosmetik
C000748_da_001	B2B-salgskonsulent inden for parfumerivarer og kosmetik
C000748_da_002	engroshandelsassistent inden for parfumerivarer og kosmetik
C000748_da_003	engroshandler inden for parfumerivarer og kosmetik
C000748_da_004	engroskøber inden for parfumerivarer og kosmetik
C000748_da_005	grossist inden for parfumerivarer og kosmetik
C000749_da_000	nitter
C000750_da_000	strengeinstrumentbygger
C000750_da_001	cellobygger
C000750_da_002	guitarbygger
C000750_da_003	instrumentbygger
C000750_da_004	instrumentmager
C000750_da_005	musikinstrumentbygger
C000750_da_006	musikinstrumentmager
C000750_da_007	violinbygger
C000751_da_000	maskinoperatør - fremstilling af tekstilmønstre
C000752_da_000	IKT-testanalytiker
C000752_da_001	testanalytiker
C000753_da_000	operatør af hydraulisk presse
C000753_da_001	industrioperatør
C000753_da_002	maskinoperatør
C000754_da_000	operatør af tissuepapirmaskine
C000754_da_001	maskinoperatør - fremstilling af tissueprodukter
C000754_da_002	operatør af toiletpapirmaskine
C000754_da_003	procesoperatør
C000755_da_000	massageterapeut til dyr
C000755_da_001	dyremassør
C000755_da_002	dyreterapeut
C000755_da_003	massageterapeuter til dyr
C000756_da_000	flymotorspecialist
C000756_da_001	flymekaniker
C000756_da_002	flymotormekaniker
C000756_da_003	flymotorreparatør
C000756_da_004	flytekniker
C000757_da_000	bokseinstruktør
C000758_da_000	dyrepasserassistent
C000758_da_001	assistent til dyrepasser
C000758_da_002	dyrepasserassistenter
C000758_da_003	dyreplejer
C000758_da_004	hesteplejer
C000758_da_005	medarbejder på dyrekennel
C000758_da_006	medhjælper dyreopdræt
C000758_da_007	plejer ved dyreredning
C000759_da_000	butiksassistent
C000760_da_000	kommandør i søværnet
C000760_da_001	kommandørkaptajn
C000760_da_002	orlogskaptajn
C000761_da_000	dyreterapeut
C000761_da_001	dyreterapeuter
C000761_da_002	terapeut med speciale i rehabilitering af dyr
C000761_da_003	terapeut til dyr
C000762_da_000	paramediciner inden for akutberedskab
C000762_da_001	ambulancebehandler
C000762_da_002	medarbejder inden for akut lægehjælp
C000762_da_003	medarbejder inden for akutlægeindsats
C000762_da_004	paramediciner
C000762_da_005	paramediciner til akutlægeindsats
C000763_da_000	dørmontør
C000764_da_000	tekniker inden for hydraulik
C000764_da_001	tekniker inden for hydrauliske systemer
C000765_da_000	personaleudviklingscoach
C000766_da_000	dampmaskinist
C000766_da_001	dampkrafttekniker
C000766_da_002	dampværkstekniker
C000766_da_003	ingeniør til dampkraftværk
C000766_da_004	ingeniør til dampværk
C000767_da_000	lektor i medicin
C000767_da_001	lektor i lægevidenskab
C000768_da_000	telefonist
C000769_da_000	lægeassistent
C000769_da_001	klinisk assistent
C000769_da_002	lægesekretær
C000769_da_003	medicinsk assistent
C000769_da_004	operationsassistent
C000769_da_005	operationssygeplejerske
C000769_da_006	sygeplejerske
C000770_da_000	kabelmontør
C000770_da_001	elektriker
C000771_da_000	ridelærer
C000772_da_000	chauffør - vareudbringning
C000772_da_001	chauffør til udbringning af grønsager
C000772_da_002	chauffør til udbringning af mad
C000772_da_003	chauffør til varelevering
C000773_da_000	IT-kriminalteknisk efterforsker
C000773_da_001	IKT-efterforsker
C000773_da_002	digital krimintalteknisk ekspert
C000773_da_003	ekspert i digital kriminalteknik
C000773_da_004	kriminalteknisk ekspert cyberkriminalitet
C000774_da_000	medikoingeniør
C000774_da_001	klinisk ingeniør
C000774_da_002	medicinsk ingeniør
C000774_da_003	ortopædingeniør
C000774_da_004	sundhedsteknolog
C000775_da_000	butikschef inden for telekommunikationsudstyr
C000775_da_001	butiksbestyrer inden for telekommunikationsudstyr
C000775_da_002	mobiltelefonbutiksbestyrer
C000775_da_003	mobiltelefonbutikschef
C000776_da_000	import- og eksportchef inden for landbrugsmaskiner og landbrugsudstyr
C000776_da_001	assistent for eksportchef inden for landbrugsmaskiner og landbrugsudstyr
C000776_da_002	assistent for importchef inden for landbrugsmaskiner og landbrugsudstyr
C000776_da_003	international handelschef inden for landbrugsmaskiner og landbrugsudstyr
C000777_da_000	byggekoordinator
C000777_da_001	omkostningsanalytiker ved byggevirksomhed
C000778_da_000	koordinator — chartrede fragtskibe
C000778_da_001	skibsaktivitetskoordinator
C000779_da_000	historiker
C000779_da_001	egyptolog
C000779_da_002	kunsthistoriker
C000779_da_003	middelalderhistoriker
C000779_da_004	militærhistoriker
C000779_da_005	oldtidshistoriker
C000779_da_006	samfundshistoriker
C000779_da_007	økonomihistoriker
C000780_da_000	IKT-sikkerhedskonsulent
C000780_da_001	IKT-sikkerhedskonsulenter
C000780_da_002	IT-sikkerhedskonsulent
C000780_da_003	sikkerhedskonsulent inden for IKT
C000781_da_000	produktionsleder inden for kemi
C000781_da_001	kemisk proceschef
C000781_da_002	leder af kemisk produktion
C000781_da_003	produktionschef
C000781_da_004	produktionsleder
C000782_da_000	børneværnskonsulent
C000782_da_001	børneomsorgsarbejder
C000783_da_000	flyvelederchef
C000783_da_001	trafikchef inden for luftfart
C000784_da_000	IKT-lærer på gymnasieniveau
C000784_da_001	datalærer på gymnasieniveau
C000784_da_002	gymnasielærer i datakundskab
C000784_da_003	gymnasielærer i datalogi
C000784_da_004	gymnasielærer i informatik
C000784_da_005	gymnasielærer i it-kundskab
C000784_da_006	it-lærer på gymnasieniveau
C000785_da_000	operatør af kalkovn
C000785_da_001	kalkovnsoperatør
C000785_da_002	procesoperatør
C000786_da_000	akvakulturtekniker — produktion på åbent vand
C000786_da_001	akvakulturtekniker
C000787_da_000	tekniker inden for meteorologi
C000787_da_001	meteorologitekniker
C000788_da_000	kemiker
C000788_da_001	biokemiker
C000788_da_002	mikrokemiker
C000788_da_003	miljøkemiker
C000788_da_004	proceskemiker
C000789_da_000	våbenhandler
C000789_da_001	ekspedient i en våbenforretning
C000789_da_002	ekspedient i en våbenhandel
C000789_da_003	sælger af våben og ammunition
C000789_da_004	våbensælger
C000790_da_000	lydoperatør
C000790_da_001	lydingeniør
C000790_da_002	lydmand
C000790_da_003	lydtekniker
C000791_da_000	vaskeriarbejder
C000791_da_001	renseriarbejder
C000791_da_002	vaskeri- og renseriarbejder
C000792_da_000	tekniker inden for bioteknologi
C000793_da_000	operatør af granuleringsmaskine
C000793_da_001	farmaceutisk granulator
C000793_da_002	granulator
C000793_da_003	granuleringsoperatør
C000793_da_004	maskinoperatør - granulering
C000793_da_005	operatør af farmaceutisk granuleringsmaskine
C000794_da_000	tekstoplæser
C000794_da_001	dubber
C000794_da_002	undertekstoplæser
C000795_da_000	arbejdsleder inden for bygge og anlæg
C000795_da_001	byggeleder
C000795_da_002	byggeprojektleder
C000796_da_000	marketingdirektør
C000796_da_001	direktør for markedsføring
C000797_da_000	leder af feltundersøgelse
C000798_da_000	boremaskinarbejder
C000798_da_001	industrioperatør
C000798_da_002	maskinoperatør
C000799_da_000	dirigent
C000799_da_001	koncertmester
C000799_da_002	orkesterleder
C000800_da_000	arbejdsleder inden for lædervareproduktion
C000800_da_001	leder inden for lædervareproduktion
C000801_da_000	civilingeniør i bæredygtig energi
C000801_da_001	energiingeniør
C000801_da_002	ingeniør inden for vedvarende energi
C000802_da_000	tekniker inden for mikroelektronik
C000803_da_000	tårnkranfører
C000804_da_000	automekaniker med speciale i opretning af motorer
C000804_da_001	automekaniker
C000804_da_002	mekaniker
C000805_da_000	investeringsforvalter
C000805_da_001	investeringschef
C000806_da_000	callcentermedarbejder
C000806_da_001	call centermedarbejder
C000806_da_002	caller
C000806_da_003	kundeservicemedarbejder
C000806_da_004	medarbejder på et call center
C000806_da_005	medarbejder på et callcenter
C000806_da_006	phoner
C000806_da_007	telefonist
C000806_da_008	telefonsælger
C000806_da_009	telemarketingmedarbejder
C000806_da_010	telesælger
C000807_da_000	pelsdyravler
C000807_da_001	pelsdyropdrætter
C000807_da_002	pelsdyrproducent
C000807_da_003	person der avler pelsdyr
C000808_da_000	departementschef
C000808_da_001	højtstående minister
C000808_da_002	statssekretær
C000808_da_003	viceminister
C000808_da_004	vicestatssekretær
C000809_da_000	ingeniør inden for intelligent belysning
C000809_da_001	tekniker inden for intelligent belysning
C000810_da_000	missionær
C000810_da_001	missionsarbejder
C000810_da_002	missionsprædikant
C000811_da_000	tekniker inden for rullende materiel
C000811_da_001	elev inden for jernbaneteknik
C000811_da_002	ingeniør inden for rullende materiel
C000811_da_003	installatør af elektronisk udstyr til rullende materiel
C000811_da_004	maskinelev inden for rullende materiel
C000811_da_005	montør af udstyr til rullende materiel
C000811_da_006	montør inden for rullende materiel
C000812_da_000	ejendomsadministrator
C000812_da_001	administrator af udlejningsejendomme
C000812_da_002	ejendomsadministrationsmedarbejder
C000812_da_003	ejendomsforvalter
C000813_da_000	bygge- og anlægsingeniør
C000813_da_001	anlægsingeniør
C000813_da_002	bygge- og anlægstekniker
C000813_da_003	byggetekniker
C000813_da_004	tekniker inden for byggeri og anlæg
C000814_da_000	justitssekretær
C000814_da_001	retsassistent
C000815_da_000	tekstildesigner
C000815_da_001	grafisk designer
C000815_da_002	mønsterdesigner
C000816_da_000	kvalitetskontrollør inden for lægemiddelindustrien
C000816_da_001	kvalitetsinspektør inden for lægemiddelindustrien
C000817_da_000	tekniker med speciale i vandbevarelse
C000817_da_001	gas-, vand- og sanitetsmester
C000817_da_002	vvs-installatør
C000817_da_003	vvs-tekniker
C000818_da_000	operatør af en briketteringsmaskine
C000818_da_001	industrioperatør
C000818_da_002	maskinoperatør
C000818_da_003	maskinoperatør, briketteringsmaskine
C000818_da_004	maskinpasser, briketteringsmaskine
C000819_da_000	industritekniker - sikkerhedsseler
C000819_da_001	industrioperatør
C000820_da_000	maskinoperatør til slikfremstilling
C000820_da_001	konditormedhjælper
C000820_da_002	medarbejder til slikfremstilling
C000820_da_003	slikproducent
C000820_da_004	sukkerdekoratør
C000821_da_000	køkkenchef
C000821_da_001	chef de cuisine
C000821_da_002	chef de partie
C000821_da_003	souschef
C000822_da_000	farmakolog
C000823_da_000	analytiker af IKT-beredskab
C000823_da_001	analytiker af IKT-katastrofeberedskab
C000823_da_002	analytiker af IT-katastrofeberedskab
C000823_da_003	analytiker af robusthed hvad angår IKT
C000823_da_004	person der analyserer IKT-robusthed
C000824_da_000	fremstiller af filigransmykker
C000825_da_000	lærer for højtbegavede børn
C000826_da_000	udvikler af integrerede systemer
C000826_da_001	designer af integrerede systemer
C000826_da_002	udvikler af integrerede løsninger
C000827_da_000	softwaretester
C000827_da_001	programtester
C000827_da_002	softwaretestere
C000827_da_003	tester af software
C000828_da_000	operatør af tvindemaskine
C000828_da_001	procesoperatør
C000829_da_000	driftschef inden for minedrift
C000829_da_001	arbejdsleder inden for minedrift
C000830_da_000	optometrist
C000830_da_001	brillemager
C000830_da_002	brilletekniker
C000830_da_003	laboratorietekniker inden for oftalmologi
C000830_da_004	optiker
C000831_da_000	undervisningsassistent ved universitet
C000831_da_001	assisterende universitetslektor
C000831_da_002	undervisningsassistent
C000832_da_000	kvalitetsansvarlig
C000832_da_001	kvalitetschef
C000832_da_002	kvalitetssikringsansvarlig
C000832_da_003	kvalitetssikringschef
C000833_da_000	sælger af sportsudstyr
C000833_da_001	ekspedient i en sportsbutik
C000833_da_002	ekspedient i en sportsforretning
C000833_da_003	salgsassistent, sportsforretning
C000833_da_004	sportsekspedient
C000833_da_005	sportshandler
C000833_da_006	sælger af sportsartikler
C000834_da_000	støttelærer
C000834_da_001	skolepædagog
C000834_da_002	speciallærer
C000835_da_000	konsulent inden for vedvarende energi
C000836_da_000	sportsinstruktør
C000837_da_000	lektor i sociologi
C000838_da_000	designer inden for lotteri- og spillevirksomhed
C000838_da_001	spildesigner
C000839_da_000	produktionstekniker
C000840_da_000	natur- og miljøformidler
C000840_da_001	miljøformidler
C000840_da_002	miljøformidlingsmedarbejder
C000840_da_003	miljølærer
C000840_da_004	miljøunderviser
C000840_da_005	naturvejleder
C000841_da_000	kinesiolog
C000842_da_000	kosmetikudvikler
C000842_da_001	kosmetikkemiker
C000843_da_000	miljøforsker
C000843_da_001	miljøkemiker
C000844_da_000	sociolog
C000844_da_001	bysociolog
C000844_da_002	gerontolog
C000844_da_003	religionssociolog
C000844_da_004	retssociolog
C000844_da_005	socioøkonom
C000844_da_006	trafiksociolog
C000844_da_007	ældreforsker
C000845_da_000	kok i storkøkken
C000845_da_001	kok i industrikøkken
C000845_da_002	køkkenchef i storkøkken
C000845_da_003	køkkenmedarbejder
C000846_da_000	urmager
C000846_da_001	urreparatør
C000847_da_000	produktudvikler inden for fodtøj
C000847_da_001	produktdesigner og produktudvikler inden for fodtøj
C000847_da_002	produktingeniør inden for fodtøj
C000847_da_003	produktteknolog inden for fodtøj
C000847_da_004	produktudvikler
C000848_da_000	import- og eksportchef inden for maskiner, industrielt udstyr, skibe og fly
C000848_da_001	assistent for eksportchef inden for maskiner, industrielt udstyr, skibe og fly
C000848_da_002	assistent for importchef inden for maskiner, industrielt udstyr, skibe og fly
C000848_da_003	international handelschef inden for maskiner, industrielt udstyr, skibe og fly
C000849_da_000	maskinoperatør til blandingsmaskiner inden for produktion af olieblandingsprodukter
C000849_da_001	maskinarbejder til fremstilling af smørbare produkter
C000849_da_002	maskinoperatør til blandingsmaskiner
C000849_da_003	medarbejder specialiseret i blandingsmaskiner
C000849_da_004	medarbejder til emulsionsmaskine
C000850_da_000	vulkanisør
C000850_da_001	dækmontør
C000850_da_002	dækspecialist
C000851_da_000	kokillestøber
C000851_da_001	former
C000851_da_002	kernemager
C000851_da_003	kærnemager
C000851_da_004	metalstøber
C000851_da_005	støber
C000851_da_006	støberiarbejder
C000851_da_007	støberitekniker
C000852_da_000	IKT-supportchef
C000852_da_001	IKT supportchef
C000852_da_002	chef for IKT-hotline
C000852_da_003	chef for IKT-support
C000853_da_000	boghandler
C000853_da_001	boghandlerassistent
C000853_da_002	boghandlerekspedient
C000853_da_003	boghandlermedhjælper
C000853_da_004	ekspedient i en boghandel
C000853_da_005	medhjælper i en boghandel
C000854_da_000	operatør på vandkraftværk
C000854_da_001	medarbejder på hydroelektrisk kraftværk
C000854_da_002	medarbejder på vandkraftværk
C000854_da_003	operatør på hydroelektrisk kraftværk
C000854_da_004	tekniker på hydroelektrisk kraftværk
C000854_da_005	tekniker på vandkraftværk
C000855_da_000	trafikvagt
C000856_da_000	våbenmekaniker
C000856_da_001	bøssemager
C000856_da_002	gravør
C000856_da_003	metalarbejder
C000856_da_004	våbentekniker
C000857_da_000	sporskifter
C000858_da_000	forsker i virksomhedsøkonomi
C000858_da_001	virksomhedsøkonom
C000859_da_000	CSR-ansvarlig
C000859_da_001	leder inden for socialt ansvar
C000860_da_000	vandforsyningstekniker
C000861_da_000	valgmedarbejder
C000861_da_001	hverver
C000861_da_002	kampagnemedarbejder
C000861_da_003	politisk hvervemedarbejder
C000862_da_000	ansvarlig for onlinefællesskab
C000862_da_001	ansvarlig for digitalt fællesskab
C000862_da_002	ansvarlig for online community
C000862_da_003	ansvarlig for onlineindhold og -fællesskab
C000862_da_004	chef for sociale medier
C000862_da_005	specialist i sociale medier
C000863_da_000	social- og sundhedshjælper
C000863_da_001	hjemmehjælper
C000863_da_002	sosu-hjælper
C000864_da_000	arbejdsleder inden for affaldshåndtering
C000864_da_001	ansvarlig inden for affaldshåndtering
C000864_da_002	leder inden for affaldshåndtering
C000865_da_000	distributionschef inden for industritekstilmaskiner
C000866_da_000	kundeservicemedarbejder
C000866_da_001	informationsassistent
C000866_da_002	informationsmedarbejder
C000866_da_003	kundeserviceperson
C000867_da_000	orkesterleder
C000867_da_001	dirigent
C000867_da_002	koncertmester
C000868_da_000	tøjekspedient
C000868_da_001	ekspedient i en tøjbutik
C000868_da_002	ekspedient i en tøjforretning
C000868_da_003	salgsassistent, tøjbutik
C000868_da_004	salgsassistent, tøjforretning
C000868_da_005	tøjsælger
C000869_da_000	specialskoleleder
C000870_da_000	handelsagent
C000870_da_001	repræsentant
C000871_da_000	montør (halvlederprocessor)
C000871_da_001	mikrochipfabrikant
C000871_da_002	montør
C000871_da_003	tekniker med speciale i integrerede kredsløb
C000871_da_004	tekniker til halvlederproduktion
C000872_da_000	lagerarbejder på en skofabrik
C000872_da_001	lageransvarlig
C000872_da_002	lagerarbejder
C000872_da_003	lagermedarbejder på en fabrik
C000872_da_004	medarbejder på et skolager
C000873_da_000	bestyrer af kasino
C000873_da_001	spilleder
C000874_da_000	produktudviklingschef
C000875_da_000	teglværksarbejder
C000875_da_001	murstensstryger
C000876_da_000	journalmedarbejder
C000877_da_000	hesteopdrætter
C000877_da_001	hesteavler
C000877_da_002	person der opdrætter heste
C000877_da_003	stutterispecialist
C000878_da_000	ortopædiskomager
C000878_da_001	håndskomager
C000878_da_002	nådler
C000878_da_003	ortopædisk håndskomager
C000878_da_004	ortopædisk skomager
C000878_da_005	ortopæditekniker
C000878_da_006	ortopædtekniker
C000878_da_007	skomager
C000879_da_000	operatør af flettemaskine
C000880_da_000	bygningsmaler
C000880_da_001	dekoratør
C000880_da_002	industrimaler
C000880_da_003	maler
C000881_da_000	data warehouse designer
C000881_da_001	datawarehouse-udvikler
C000882_da_000	restaurator af køretøjer
C000882_da_001	automekaniker
C000882_da_002	mekaniker
C000882_da_003	restaurator af veteranbiler
C000882_da_004	restaurator, køretøjer
C000882_da_005	restaurator, veteranbiler
C000883_da_000	linnedassistent
C000883_da_001	linned- og uniformsmedarbejder
C000883_da_002	linnedmedarbejder
C000883_da_003	medarbejder med ansvar for linned
C000883_da_004	medarbejder med ansvar for linned og uniformer
C000884_da_000	inseminør til kunstig befrugtning af dyr
C000884_da_001	inseminør
C000884_da_002	inseminør til kunstig inseminering af dyr
C000884_da_003	kvægavlsassistent
C000884_da_004	tekniker til isemination af dyr
C000885_da_000	montør af optiske instrumenter
C000885_da_001	tekniker inden for optisk udstyr
C000885_da_002	tekniker inden for optiske instrumenter
C000886_da_000	medarbejder i hunde- og kattepension
C000886_da_001	dyrepasser
C000886_da_002	kennelmedarbejder
C000886_da_003	kennelmedhjælper
C000886_da_004	kæledyrspasser
C000887_da_000	aktuarassistent
C000888_da_000	maskinoperatør - blanding af pesticider
C000889_da_000	IKT-salgsingeniør
C000889_da_001	IKT-presalessupport
C000889_da_002	IKT-salgsingeniører
C000889_da_003	IT-salgsingeniør presales
C000889_da_004	salgsingeniør for forsalg af IKT
C000889_da_005	salgsingeniør for presales af IKT
C000889_da_006	salgsingeniør til IKT
C000890_da_000	eftersalgschef — køretøjer
C000890_da_001	eftermarkedschef
C000891_da_000	operatør af en plasmaskæremaskine
C000891_da_001	industrioperatør
C000891_da_002	maskinoperatør
C000891_da_003	operatør, plasmabrænder
C000891_da_004	operatør, plasmaskæremaskine
C000892_da_000	operatør af skæremaskine - fodtøj
C000893_da_000	operatør på fossilt fyret kraftværk
C000893_da_001	kedeloperatør
C000893_da_002	kedelpasser
C000893_da_003	operatør på gasfyret kraftværk
C000894_da_000	kvalitetstekniker inden for kemisk tekstilanalyse
C000894_da_001	kemisk laborant inden for tekstilproduktion
C000894_da_002	kemisk laboratorietekniker inden for tekstilproduktion
C000894_da_003	kvalitetsansvarlig inden for tekstilproduktion
C000894_da_004	kvalitetssikringsmedarbejder
C000895_da_000	arbejdsleder inden for finmekanik
C000895_da_001	ansvarlig inden for produktion af præcisionsmaskiner
C000895_da_002	tilsynsførende inden for produktion af præcisionsmaskiner
C000896_da_000	svejsespecialist
C000896_da_001	svejseingeniør
C000896_da_002	svejsetekniker
C000897_da_000	maskinoperatør - fremstilling af fodtøj - sidste fase af syning af overskoen
C000897_da_001	procesoperatør
C000897_da_002	skomontør
C000898_da_000	anæstesitekniker
C000898_da_001	operationstekniker
C000899_da_000	operatør inden for produktion af sauce
C000900_da_000	biofysiker
C000900_da_001	biotekniker
C000900_da_002	bioteknolog
C000901_da_000	engrosforhandler inden for varer til husholdningsbrug
C000901_da_001	B2B-salgskonsulent inden for varer til husholdningsbrug
C000901_da_002	engroshandelsassistent inden for varer til husholdningsbrug
C000901_da_003	engroshandler inden for varer til husholdningsbrug
C000901_da_004	engroskøber inden for varer til husholdningsbrug
C000901_da_005	grossist inden for varer til husholdningsbrug
C000902_da_000	import- og eksportchef inden for isenkram, varmeanlæg og tilbehør
C000902_da_001	assistent for eksportchef inden for isenkram, varmeanlæg og tilbehør
C000902_da_002	assistent for importchef inden for isenkram, varmeanlæg og tilbehør
C000902_da_003	international handelschef inden for isenkram, varmeanlæg og tilbehør
C000903_da_000	inspektør for landbrugsmaskiner
C000903_da_001	inspektør for landbrugsudstyr
C000903_da_002	person der sørger for vedligeholdelse af landbrugsmaskiner
C000904_da_000	minegeolog
C000904_da_001	stratigraf
C000905_da_000	Produktionsmedarbejder - fremstilling af cigarer
C000905_da_001	cigarproducent
C000905_da_002	medarbejder til fremstilling af tobaksvarer
C000905_da_003	medarbejder til fremstillingsprocessen af cigarer
C000906_da_000	loddemedarbejder
C000907_da_000	montør af tandlægeinstrumenter
C000907_da_001	montør af dentalinstrumenter
C000907_da_002	montør af ortodontisk udstyr
C000907_da_003	montør af tandlægebor
C000907_da_004	montør af tandlægelaser
C000907_da_005	montør af tandlægespejl
C000907_da_006	producent af tandlægeudstyr
C000908_da_000	lærer i turisme og hoteldrift
C000909_da_000	vicevært
C000909_da_001	ejendomsfunktionær
C000909_da_002	ejendomsinspektør
C000909_da_003	varmemester
C000910_da_000	modelkonstruktør inden for beklædningsindustrien
C000910_da_001	modelkonstruktør
C000910_da_002	modeltilskærer
C000911_da_000	produktionsarbejder - ammunition
C000912_da_000	operatør af en graveringsmaskine
C000912_da_001	CNC-fræser
C000912_da_002	CNC-maskinarbejder
C000912_da_003	CNC-maskinoperatør
C000912_da_004	CNC-operatør
C000912_da_005	CNC-opstiller
C000912_da_006	CNC-tekniker
C000912_da_007	fræser
C000912_da_008	gravør
C000912_da_009	industrioperatør
C000912_da_010	industritekniker
C000912_da_011	maskinarbejder
C000912_da_012	maskinoperatør
C000912_da_013	maskinoperatør, graveringsmaskine
C000912_da_014	maskinpasser, graveringsmaskine
C000912_da_015	metalgravør
C000912_da_016	operatør af en CNC-graveringsmaskine
C000913_da_000	tekniker inden for strålingsbeskyttelse
C000913_da_001	ansvarlig for strålingsovervågning på atomkraftværk
C000913_da_002	ekspert inden for strålingsbeskyttelse
C000913_da_003	stråletekniker på atomkraftværk
C000913_da_004	tekniker inden for radiologisk beskyttelse
C000913_da_005	tekniker inden for strålebeskyttelse
C000914_da_000	udvikler inden for lotteri- og spillevirksomhed
C000914_da_001	hasardspiludvikler
C000914_da_002	kasinospiludvikler
C000914_da_003	lotterispiludvikler
C000914_da_004	spiludvikler
C000914_da_005	terningspiludvikler
C000915_da_000	konsulent inden for socialt arbejde
C000916_da_000	produktionsteknolog — maskinproduktionskoordinator
C000916_da_001	maskinopbygningssupervisor
C000916_da_002	maskinproduktionskoordinator
C000916_da_003	maskinproduktionsleder
C000916_da_004	produktions koordinator
C000917_da_000	koreograf
C000918_da_000	operatør af en gnistbearbejdningsmaskine
C000918_da_001	industrioperatør
C000918_da_002	maskinoperatør
C000918_da_003	operatør, gnistbearbejdningsmaskine
C000918_da_004	operatør, gnistmaskine
C000919_da_000	strikker - tekstilindustri
C000920_da_000	arbejdsleder inden for flisearbejde
C000920_da_001	arbejdsleder inden for klinkelægning
C000920_da_002	sjakformand inden for klinkelægning
C000921_da_000	analytiker af virksomhedsovertagelse og -fusion
C000922_da_000	skibsdreng på fiskebåd
C000922_da_001	fisker
C000922_da_002	trawlfisker
C000923_da_000	specialsygeplejerske
C000923_da_001	bedriftssygeplejerske
C000923_da_002	diabetessygeplejerske
C000923_da_003	operationssygeplejerske
C000924_da_000	stilladsopstiller
C000924_da_001	stilladsarbejder
C000924_da_002	stilladsbygger
C000924_da_003	stilladsmontør
C000925_da_000	arbejdsleder inden for tapetsering
C000926_da_000	ambassadør
C000927_da_000	konstruktør af digitale prototyper
C000927_da_001	teknisk designer
C000928_da_000	massør
C000928_da_001	spaterapeut
C000929_da_000	tørrehusansvarlig
C000929_da_001	fyrværker
C000929_da_002	fyrværkeriproduktionsarbejder
C000929_da_003	procesoperatør - fyrværkeri
C000929_da_004	tørrehusoperatør
C000930_da_000	butikschef inden for husholdningsapparater
C000930_da_001	butiksbestyrer inden for husholdningsapparater
C000931_da_000	cembalobygger
C000931_da_001	instrumentbygger
C000931_da_002	instrumentmager
C000931_da_003	musikinstrumentbygger
C000931_da_004	musikinstrumentmager
C000931_da_005	tekniker
C000932_da_000	rigger i højden
C000932_da_001	erhvervsklatrer
C000932_da_002	rigger
C000932_da_003	stilladsarbejder
C000932_da_004	stilladsopstiller
C000933_da_000	medieforsker
C000934_da_000	skoleforsorgsarbejder
C000935_da_000	oversætter
C000935_da_001	lingvist
C000935_da_002	sprogkoordinator
C000935_da_003	sprogredaktør
C000935_da_004	sprogspecialist
C000935_da_005	translatør
C000935_da_006	transskriptør
C000936_da_000	plade- og konstruktionssmed
C000936_da_001	svejser
C000937_da_000	socialpolitisk rådgiver
C000938_da_000	montør af mekatronisk udstyr
C000938_da_001	industrioperatør
C000938_da_002	operatør af robotudstyr
C000939_da_000	video- og filminstruktør
C000939_da_001	filminstruktør
C000940_da_000	kreditrådgiver
C000940_da_001	gældsrådgiver
C000940_da_002	kreditanalytiker
C000940_da_003	kreditformidler
C000940_da_004	kreditmægler
C000941_da_000	toiletpasser
C000941_da_001	rengøringsmedhjælper med ansvar for toiletfaciliteter
C000941_da_002	toiletassistent
C000941_da_003	toiletrengøringsassistent
C000941_da_004	toiletsanitør
C000941_da_005	toiletserviceassistent
