C000001_de_000	Angehörige der regulären Streitkräfte
C000942_de_010	Technikerin für erneuerbare Offshore-Energie
C000943_de_000	Behältermonteur/Behältermonteurin
C000943_de_001	Behälterbauhelfer
C000943_de_002	Behälterbauhelferin
C000943_de_003	Behältermonteur
C000943_de_004	Behältermonteurin
C000943_de_005	Behältermontierer
C000943_de_006	Behältermontiererin
C000944_de_000	Berater im Bereich Sozialwesen/Beraterin im Bereich Sozialwesen
C000944_de_001	Berater im Bereich Sozialwesen
C000944_de_002	BeraterIn im Bereich Sozialwesen
C000944_de_003	BeraterIn im Sozialbereich
C000944_de_004	Beraterin im Bereich Sozialwesen
C000944_de_005	Consultant im Bereich Sozialwesen
C000944_de_006	Experte für Soziale Arbeit
C000944_de_007	Expertin für Soziale Arbeit
C000945_de_000	Mechatronikmonteur/Mechatronikmonteurin
C000945_de_001	Mechatroniker
C000945_de_002	Mechatronikerin
C000945_de_003	Mechatronikmonteur
C000945_de_004	Mechatronikmonteurin
C000946_de_000	Film- und Fernsehregisseur/Film- und Fernsehregisseurin
C000946_de_001	Film- und Fernsehregisseur
C000946_de_002	Film- und Fernsehregisseurin
C000947_de_000	Kreditberater/Kreditberaterin
C000947_de_001	Kreditberater
C000947_de_002	Kreditberaterin
C000947_de_003	Kreditkundenberater
C000947_de_004	Kreditkundenberaterin
C000948_de_000	Toiletten-Reinigungskraft
C000948_de_001	Klosettreiniger
C000948_de_002	Klosettreinigerin
C000948_de_003	Toilettenfrau
C000948_de_004	Toilettenmann
C000948_de_005	Toilettenwärter
C000948_de_006	Toilettenwärterin
C000948_de_007	WC-/Sanitäranlagenbetreuer
C000948_de_008	WC-/Sanitäranlagenbetreuerin
C000949_de_000	Uhrenmechaniker/Uhrenmechanikerin
C000949_de_001	Uhrenmechaniker
C000949_de_002	Uhrenmechanikerin
C000949_de_003	Uhrmacher
C000949_de_004	Uhrmacherin
C000950_de_000	Gartenarbeiter/Gartenarbeiterin
C000950_de_001	Gartenarbeiter
C000950_de_002	Gartenarbeiterin
C000950_de_003	Gartenbauarbeiter
C000950_de_004	Gartenbauhelfer
C000950_de_005	Landarbeiter
C000950_de_006	Landarbeiterin
C000951_de_000	Inspizient/Inspizientin
C000951_de_001	Bühneninspizient
C000951_de_002	Bühneninspizientin
C000951_de_003	Inspizient
C000951_de_004	Inspizientin
C000951_de_005	Theaterinspizient
C000951_de_006	Theaterinspizientin
C000952_de_000	Bäcker/Bäckerin
C000952_de_001	Backwarenhersteller
C000952_de_002	Backwarenherstellerin
C000952_de_003	Bäcker
C000952_de_004	Bäckerin
C000952_de_005	Konditor
C000952_de_006	Konditorin
C000953_de_000	Steuerer von Wasserbehandlungsanlagen/Steuerin von Wasserbehandlungsanlagen
C000953_de_001	Anlagenführer von Wasserbehandlungsanlagen
C000953_de_002	Anlagenführerin von Wasserbehandlungsanlagen
C000953_de_003	Prozesssteuerungstechniker Wasserbehandlungsanlagen
C000953_de_004	Prozesssteuerungstechnikerin Wasserbehandlungsanlagen
C000953_de_005	Steuerer von Wasserbehandlungsanlagen
C000953_de_006	Steuerin von Wasserbehandlungsanlagen
C000954_de_000	Lehrkraft für Naturwissenschaften Sekundarstufe
C000954_de_001	BiologielehrerIn Sekundarstufe
C000954_de_002	Chemielehrer/in Sekundarstufe
C000954_de_003	Lehrer für Naturwissenschaften Sekundarstufe
C000954_de_004	Lehrer/in für naturwissenschaftliche Fächer Sekundarstufe
C000954_de_005	Lehrerin für Naturwissenschaften Sekundarstufe
C000954_de_006	PhysiklehererIn Sekundarstufe
C000955_de_000	Finanzauditor/Finanzauditorin
C000955_de_001	Auditor
C000955_de_002	Auditorin
C000955_de_003	Bankenprüfer
C000955_de_004	Bankenprüferin
C000955_de_005	Betriebsprüfer
C000955_de_006	Betriebsprüferin
C000955_de_007	Finanzauditor
C000955_de_008	Finanzauditorin
C000955_de_009	Innenrevisor/in
C000955_de_010	WirtschaftsprüferIn
C000956_de_000	Hotelpförtner/Hotelpförtnerin
C000956_de_001	Hausmeister
C000956_de_002	Hausmeisterin
C000956_de_003	Hotelpförtner
C000956_de_004	Hotelpförtnerin
C000956_de_005	Portier
C000956_de_006	Portiere
C000956_de_007	Rezeptionist
C000956_de_008	Rezeptionistin
C000957_de_000	Applikationsspezialist Chemie/Applikationsspezialistin Chemie
C000957_de_001	Applikationsspezialist Chemie
C000957_de_002	Applikationsspezialistin Chemie
C000957_de_003	Chemieingenieur
C000957_de_004	Chemieingenieurin
C000957_de_005	Ingenieur für Chemietechnik
C000957_de_006	Ingenieurin für Chemietechnik
C000958_de_000	Eventmanager/Eventmanagerin
C000958_de_001	Event-Manager
C000958_de_002	Event-Managerin
C000958_de_003	Eventmanager
C000958_de_004	Eventmanagerin
C000958_de_005	Eventveranstalter
C000958_de_006	Eventveranstalterin
C000958_de_007	Kultur- und Eventmanager
C000958_de_008	Kultur- und Eventmanagerin
C000958_de_009	Veranstaltungsmanager
C000958_de_010	Veranstaltungsmanagerin
C000958_de_011	Veranstaltungsorganisatorin
C000958_de_012	Versanstaltungsorganisator
C000959_de_000	Leiter eines Geschäftes für medizinische Erzeugnisse/Leiterin eines Geschäftes für medizinische Erzeugnisse
C000959_de_001	Leiter eines Geschäftes für Arzneiartikel
C000959_de_002	Leiter eines Geschäftes für medizinische Erzeugnisse
C000959_de_003	Leiterin eines Geschäftes für Arzneiartikel
C000959_de_004	Leiterin eines Geschäftes für medizinische Erzeugnisse
C000960_de_000	Transportgesundheits- und -sicherheitsinspektor/Transportgesundheits- und -sicherheitsinspektorin
C000960_de_001	Arbeitsschutzfachkraft Transport
C000960_de_002	Transportgesundheits- und -sicherheitsinspektor
C000960_de_003	Transportgesundheits- und -sicherheitsinspektorin
C000961_de_000	Steuerer von Flüssigabfallaufbereitungsanlagen/Steuerin von Flüssigabfallaufbereitungsanlagen
C000961_de_001	Steuerer von Flüssigabfallaufbereitungsanlagen
C000961_de_002	Steuerin von Flüssigabfallaufbereitungsanlagen
C000962_de_000	Schuhmaschinenbediener/Schuhmaschinenbedienerin
C000962_de_001	Schuhfertiger
C000962_de_002	Schuhfertigerin
C000962_de_003	Schuhindustriearbeiter
C000962_de_004	Schuhindustriearbeiterin
C000962_de_005	Schuhmaschinenbediener
C000963_de_000	Produktionsleiter im Bereich Pflanzenbau/Produktionsleiterin im Bereich Pflanzenbau
C000963_de_001	Fertigungsleiter im Bereich Pflanzenproduktion
C000963_de_002	Fertigungsleiterin im Bereich Pflanzenproduktion
C000963_de_003	Landwirt
C000963_de_004	Landwirtin
C000963_de_005	Pfanzenbauerin
C000963_de_006	Pflanzenbauer
C000963_de_007	Produktionsleiter im Bereich Pflanzenbau
C000963_de_008	Produktionsleiterin im Bereich Pflanzenbau
C000963_de_009	Produktionsmanager im Bereich Pflanzenproduktion
C000963_de_010	Produktionsmanagerin im Bereich Pflanzenproduktion
C000963_de_011	landwirtschaftliche Betriebsleiterin
C000963_de_012	landwirtschaftlicher Betriebsleiter
C000964_de_000	Textilveredelungstechniker/Textilveredelungstechnikerin
C000964_de_001	Textilveredelungstechniker
C000964_de_002	Textilveredelungstechnikerin
C000964_de_003	Textilveredlungstechniker
C000964_de_004	Textilveredlungstechnikerin
C000965_de_000	Maschinenbediener für die landwirtschaftliche Produktion/Maschinenbedienerin für die landwirtschaftliche Produktion
C000965_de_001	Bediener für Landmaschinen
C000965_de_002	Bediener landwirtschaftlicher Geräte
C000965_de_003	Bedienerin für Landmaschinen
C000965_de_004	Bedienerin landwirtschaftlicher Geräte
C000965_de_005	Fahrer für landwirtschaftliche Maschinen
C000965_de_006	Fahrerin für landwirtschaftliche Maschinen
C000965_de_007	Maschinenbediener für die landwirtschaftliche Produktion
C000965_de_008	Maschinenbedienerin für die landwirtschaftliche Produktion
C000966_de_000	Illustrator/Illustratorin
C000966_de_001	Illustrationsgrafiker
C000966_de_002	Illustrationsgrafikerin
C000966_de_003	Illustrationsgraphiker
C000966_de_004	Illustrationsgraphikerin
C000966_de_005	Illustrator
C000966_de_006	Illustratorin
C000967_de_000	Fahrzeugführer Feuerwehr/Fahrzeugführerin Feuerwehr
C000967_de_001	Fahrzeugführer Feuerwehr
C000967_de_002	Fahrzeugführerin Feuerwehr
C000967_de_003	Zugführer Feuerwehr
C000967_de_004	Zugführerin Feuerwehr
C000968_de_000	Lichtdouble
C000968_de_001	Double
C000968_de_002	Ersatzdarsteller
C000968_de_003	Ersatzdarstellerin
C000968_de_004	Stand-in
C000969_de_000	Hochschullehrkraft für Krankenpflege
C000969_de_001	Dozent für Gesundheits- und Krankenpflege
C000969_de_002	Dozentin für Gesundheits- und Krankenpflege
C000969_de_003	Lehrbeauftragte für Palliativpflege
C000969_de_004	Lehrbeauftragter für Palliativpflege
C000969_de_005	ProfessorIn für Pflegewissenschaften
C000970_de_000	Schneepflugfahrer/Schneepflugfahrerin
C000970_de_001	Schneepflugfahrer
C000970_de_002	Schneepflugfahrerin
C000970_de_003	Schneeräumer
C000970_de_004	Schneeräumerin
C000970_de_005	Straßenarbeiter im Winterdienst
C000970_de_006	Straßenarbeiterin im Winterdienst
C000971_de_000	Ingenieurgeologe/Ingenieurgeologin
C000971_de_001	Ingenieur Geotechnik
C000971_de_002	Ingenieurgeologe
C000971_de_003	Ingenieurgeologin
C000971_de_004	Ingenieurin Geotechnik
C000972_de_000	Landwirt/Landwirtin
C000972_de_001	Bauer
C000972_de_002	Bäuerin
C000972_de_003	Landwirt
C000972_de_004	Landwirtin
C000973_de_000	Elektrogeräteprüfer/Elektrogeräteprüferin
C000973_de_001	Elektrogeräteprüfer
C000973_de_002	Elektrogeräteprüferin
C000973_de_003	Elektroprüfer
C000973_de_004	Elektroprüferin
C000974_de_000	Equipment Engineer
C000974_de_001	Ingenieur Apparate- und Maschinentechnik
C000974_de_002	Ingenieurin Apparate- und Maschinentechnik
C000975_de_000	Computer-Vision-Ingenieur/Computer-Vision-Ingenieurin
C000975_de_001	Computer Vision Angewandter Wissenschaftler
C000975_de_002	Computer Vision Angewandter Wissenschaftlerin
C000975_de_003	Computer-Vision-Ingenieur
C000975_de_004	Computer-Vision-Ingenieurin
C000975_de_005	Experte für Computer Vision
C000975_de_006	Expertin für Computer Vision
C000975_de_007	Spezialist für Computer Vision
C000975_de_008	Spezialistin für Computer Vision
C000976_de_000	Sicherheitsingenieur für Embedded Systems/Sicherheitsingenieurin für Embedded Systems
C000976_de_001	Cyber-Sicherheitsingenieur
C000976_de_002	Cybersicherheitsingenieur
C000976_de_003	Internet-of-Thing-Sicherheitsingenieur
C000976_de_004	IoT-Sicherheitsingenieur
C000976_de_005	Sicherheitsingenieur für Embedded Systems
C000976_de_006	Sicherheitsingenieurin für Embedded Systems
C000976_de_007	Spezialist für Cybersicherheit
C000976_de_008	Spezialistin für Cybersicherheit
C000977_de_000	Rüttelscheuermaschinenbediener/Rüttelscheuermaschinenbedienerin
C000977_de_001	Abgrater
C000977_de_002	Abgraterin
C000977_de_003	Entgrater
C000977_de_004	Entgraterin
C000977_de_005	Gleitschleifer
C000977_de_006	Gleitschleiferin
C000977_de_007	Gleitschlifftechniker
C000977_de_008	Gleitschlifftechnikerin
C000977_de_009	Gussputzer
C000977_de_010	Gussputzerin
C000977_de_011	Metallfeinbearbeiter
C000977_de_012	Metallfeinbearbeiterin
C000977_de_013	Rüttelscheuermaschinenbediener
C000977_de_014	Rüttelscheuermaschinenbedienerin
C000977_de_015	Taumelwickelmaschinenbediener
C000977_de_016	Taumelwickelmaschinenbedienerin
C000977_de_017	Vibrationsgleitschleifer
C000977_de_018	Vibrationsgleitschleiferin
C000977_de_019	Waschanlagenführer
C000977_de_020	Waschanlagenführerin
C000978_de_000	EU-Fondsmanager/EU-Fondsmanagerin
C000978_de_001	Beauftragte für EU-Fondspolitik
C000978_de_002	Beauftragte für EU-Verwaltung und -Kontrolle
C000978_de_003	Beauftragter für EU-Fondspolitik
C000978_de_004	Beauftragter für EU-Verwaltung und -Kontrolle
C000978_de_005	EU-Fondsmanager
C000978_de_006	EU-Fondsmanager im Gemeinsamen Sekretariat
C000978_de_007	EU-Fondsmanagerin
C000978_de_008	EU-Projektleiter
C000978_de_009	Experte für EU-Politik und -Förderung
C000978_de_010	Expertin für EU-Politik und -Förderung
C000978_de_011	Koordinator für EU-Projekte
C000978_de_012	Koordinatorin für EU-Projekte
C000978_de_013	Manager für europäische Fondspolitik
C000978_de_014	Manager für operationelle Programme der EU-Mittel
C000978_de_015	Managerin für europäische Fondspolitik
C000978_de_016	Managerin für operationelle Programme der EU-Mittel
C000978_de_017	Referent für EU-Fonds
C000978_de_018	Referent für Regionalpolitik
C000978_de_019	Referentin für EU-Fonds
C000978_de_020	Referentin für Regionalpolitik
C000979_de_000	Meteorologe/Meteorologin
C000979_de_001	Meteorologe
C000979_de_002	Meteorologin
C000980_de_000	Zookurator/Zookuratorin
C000980_de_001	Zookurator
C000980_de_002	Zookuratorin
C000981_de_000	Zeichner Luft- und Raumfahrttechnik/Zeichnerin Luft- und Raumfahrttechnik
C000981_de_001	CAD-Zeichner Luft- und Raumfahrzeuge
C000981_de_002	CAD-Zeichnerin Luft- und Raumfahrzeuge
C000981_de_003	Zeichner Luft- und Raumfahrttechnik
C000981_de_004	Zeichnerin Luft- und Raumfahrttechnik
C000982_de_000	Werkfeuerwehrmann/Werkfeuerwehrfrau
C000982_de_001	Betriebsfeuerwehrfrau
C000982_de_002	Betriebsfeuerwehrmann
C000982_de_003	Werkfeuerwehrfrau
C000982_de_004	Werksfeuerwehrmann
C000983_de_000	Gerber/Gerberin
C000983_de_001	Fellgerber
C000983_de_002	Fellgerberin
C000983_de_003	Gerber
C000983_de_004	Gerberin
C000983_de_005	Ledergerber
C000983_de_006	Ledergerberin
C000984_de_000	Lederzuschneider/Lederzuschneiderin
C000984_de_001	Lederstanzer
C000984_de_002	Lederstanzerin
C000984_de_003	Lederzuschneider
C000984_de_004	Lederzuschneiderin
C000985_de_000	Schiffselektrotechniker/Schiffselektrotechnikerin
C000985_de_001	Schiffselektrotechniker
C000985_de_002	Schiffselektrotechnikerin
C000986_de_000	Diskjockey
C000986_de_001	DJ
C000986_de_002	DJane
C000986_de_003	Discjockey
C000986_de_004	sheDJ
C000987_de_000	Mitarbeiter im Bereich Fundraising/Mitarbeiterin im Bereich Fundraising
C000987_de_001	Mitarbeiter für den Bereich Fundraising
C000987_de_002	Mitarbeiter im Bereich Fundraising
C000987_de_003	Mitarbeiterin für den Bereich Fundraising
C000987_de_004	Mitarbeiterin im Bereich Fundraising
C000988_de_000	Sportartikel-Servicetechniker/Sportartikel-Servicetechnikerin
C000988_de_001	Sportartikel-Servicetechniker
C000988_de_002	Sportartikel-Servicetechnikerin
C000989_de_000	Ergonom/Ergonomin
C000989_de_001	Arbeitswissenschafter
C000989_de_002	Arbeitswissenschafterin
C000989_de_003	Arbeitswissenschaftler
C000989_de_004	Arbeitswissenschaftlerin
C000989_de_005	Ergonom
C000989_de_006	Ergonomin
C000990_de_000	CNC-Schleifer/CNC-Schleiferin
C000990_de_001	CNC-Schleifer
C000990_de_002	CNC-Schleiferin
C000990_de_003	Zerspanungsmechaniker Fachrichtung Schleiftechnik
C000990_de_004	Zerspanungsmechanikerin Fachrichtung Schleiftechnik
C000991_de_000	Automobildesigner/Automobildesignerin
C000991_de_001	Automobildesigner
C000991_de_002	Automobildesignerin
C000991_de_003	Industrie- und Produktdesigner
C000991_de_004	Industrie- und Produktdesignerin
C000992_de_000	Verlagssachbearbeiter/Verlagssachbearbeiterin
C000992_de_001	Verlagssachbearbeiter
C000992_de_002	Verlagssachbearbeiterin
C000993_de_000	Online-Vertriebsmanager/Online-Vertriebsmanagerin
C000993_de_001	Channel Manager
C000993_de_002	Online-Vertriebsmanager
C000993_de_003	Online-Vertriebsmanagerin
C000994_de_000	Angehöriger einer Spezialeinheit/Angehörige einer Spezialeinheit
C000994_de_001	Angehörige einer Kommandoeinheit
C000994_de_002	Angehörige einer Nachrichteneinheit
C000994_de_003	Angehörige einer Sabotageeinheit
C000994_de_004	Angehörige einer Spezialeinheit
C000994_de_005	Angehöriger einer Kommandoeinheit
C000994_de_006	Angehöriger einer Nachrichteneinheit
C000994_de_007	Angehöriger einer Sabotageeinheit
C000994_de_008	Angehöriger einer Spezialeinheit
C000995_de_000	Baukranführer/Baukranführerin
C000995_de_001	Baukranführer
C000995_de_002	Baukranführerin
C000995_de_003	Baukranmaschinist
C000995_de_004	Baukranmaschinistin
C000995_de_005	Brückenkranführer
C000995_de_006	Brückenkranführerin
C000995_de_007	Elektrokranführer
C000995_de_008	Elektrokranführerin
C000995_de_009	Ladekranführer
C000995_de_010	Ladekranführerin
C000995_de_011	Oberkranführer
C000995_de_012	Oberkranführerin
C000996_de_000	Zeichner Elektromechanik/Zeichnerin Elektromechanik
C000996_de_001	Zeichner Elektromechanik
C000996_de_002	Zeichnerin Elektromechanik
C000997_de_000	Rating-Analyst im Versicherungsbereich/Rating-Analystin im Versicherungsbereich
C000997_de_001	Rating-Analyst im Versicherungsbereich
C000997_de_002	Rating-AnalystIn im Versicherungsbereich
C000997_de_003	Rating-Analystin im Versicherungsbereich
C000997_de_004	Ratinganalyst
C000997_de_005	RatinganalystIn
C000998_de_000	Maschinenbediener für Wasserstrahlschneidanlage/Maschinenbedienerin für Wasserstrahlschneidanlage
C000998_de_001	CNC-Maschinenbediener für Wasserstrahlschneider
C000998_de_002	CNC-Maschinenbedienerin für Wasserstrahlschneider
C000998_de_003	Maschinenbediener für Wasserstrahlschneidanlage
C000998_de_004	Maschinenbedienerin für Wasserstrahlschneidanlage
C000999_de_000	Brauhausbetreiber/Brauhausbetreiberin
C000999_de_001	Brauhausbetreiber
C000999_de_002	Brauhausbetreiberin
C000999_de_003	Brauhausleiter
C000999_de_004	Brauhausleiterin
C001000_de_000	Aufsichtskraft Energietechnik
C001001_de_000	Flugzeugtankwart/Flugzeugtankwartin
C001001_de_001	Flugzeugtankwart
C001001_de_002	Flugzeugtankwartin
C001002_de_000	Lehrkraft für Tanz und Bewegung
C001002_de_001	Lehrer für Tanz und Bewegung
C001002_de_002	Lehrerin für Tanz und Bewegung
C001002_de_003	Tanzlehrer/in
C001002_de_004	Tanzpädagoge
C001002_de_005	Tanzpädagogin
C001002_de_006	TanztrainerIn
C001003_de_000	Tierbetreuer/Tierbetreuerin
C001003_de_001	Betreuer von Tieren
C001003_de_002	Betreuerin von Tieren
C001003_de_003	Tierbetreuer
C001003_de_004	Tierbetreuerin
C001004_de_000	Import-/Exportmanager für Blumen und Pflanzen/Import-/Exportmanagerin für Blumen und Pflanzen
C001004_de_001	Import-/Exportmanager für Blumen und Pflanzen
C001004_de_002	Import-/Exportmanagerin für Blumen und Pflanzen
C001005_de_000	Lehrassistent Sonderpädagogik/Lehrassistentin Sonderpädagogik
C001005_de_001	Lehrassistent Sonderpädagogik
C001005_de_002	Lehrassistentin Sonderpädagogik
C001005_de_003	Pädagogische Hilfskraft Sonder- und Förderschulen
C001006_de_000	Freiwilligenmentor/Freiwilligenmentorin
C001006_de_001	Freiwilligenmentor
C001006_de_002	Freiwilligenmentorin
C001006_de_003	ehrenamtlich engagierte Person
C001006_de_004	ehrenamtliche Beraterin
C001006_de_005	ehrenamtliche Unterstützungsperson
C001006_de_006	ehrenamtlicher Berater
C001006_de_007	ehrenamtlicher Beraterin
C001006_de_008	freiwillige Gruppenunterstützung
C001007_de_000	Kabinenwart/Kabinenwartin
C001007_de_001	Kabinenwart
C001007_de_002	Kabinenwartin
C001008_de_000	Autokranführer/Autokranführerin
C001008_de_001	Autokranführer
C001008_de_002	Autokranführerin
C001008_de_003	Mobilkranführer
C001008_de_004	Mobilkranführerin
C001009_de_000	Energiehändler/Energiehändlerin
C001009_de_001	Energiehändler
C001009_de_002	Energiehändlerin
C001010_de_000	Kanalreiniger/Kanalreinigerin
C001010_de_001	Kanalreiniger
C001010_de_002	Kanalreinigerin
C001010_de_003	Kanalräumer
C001010_de_004	Kanalräumerin
C001011_de_000	Sozialbetreuer Pflegefamilienbeschaffung/Sozialbetreuerin Pflegefamilienbeschaffung
C001011_de_001	Sozialbetreuer Pflegefamilienbeschaffung
C001011_de_002	Sozialbetreuerin Pflegefamilienbeschaffung
C001012_de_000	Prüfungsassistent/Prüfungsassistentin
C001012_de_001	Prüfungsassistent
C001012_de_002	Prüfungsassistentin
C001012_de_003	Prüfungsgehilfe
C001012_de_004	Prüfungsgehilfin
C001012_de_005	Revisionsassistent
C001012_de_006	Revisionsassistentin
C001012_de_007	Wirtschaftsprüfungsassistent
C001012_de_008	Wirtschaftsprüfungsassistentin
C001013_de_000	Agrartechniker/Agrartechnikerin
C001013_de_001	Agrartechniker
C001013_de_002	Agrartechnikerin
C001014_de_000	Qualitätsbeauftragter für Lederwaren/Qualitätsbeauftragte für Lederwaren
C001014_de_001	Qualitätsbeauftragte für Lederwaren
C001014_de_002	Qualitätsbeauftragter für Lederwaren
C001014_de_003	Qualitätsmanager für Lederwaren
C001014_de_004	Qualitätsmanagerin für Lederwaren
C001015_de_000	Ingenieur Bauteile und Komponenten/Ingenieurin Bauteile und Komponenten
C001015_de_001	Ingenieur Bauteile und Komponenten
C001015_de_002	Ingenieurin Bauteile und Komponenten
C001016_de_000	Ingenieur Heizung, Klima, Lüftung/Ingenieurin Heizung, Klima, Lüftung
C001016_de_001	Ingenieur Heizung, Klima, Lüftung
C001016_de_002	Ingenieurin Heizung, Klima, Lüftung
C001017_de_000	Diplomat/Diplomatin
C001017_de_001	Diplomat
C001017_de_002	Diplomatin
C001018_de_000	Maschinenführer Weinbau/Maschinenführerin Weinbau
C001018_de_001	Maschinenführer Weinbau
C001018_de_002	Maschinenführerin Weinbau
C001019_de_000	Seelotse/Seelotsin
C001019_de_001	Lotse Seeschifffahrt
C001019_de_002	Lotsin Seeschifffahrt
C001019_de_003	Schiffslotse Seeschifffahrt
C001019_de_004	Schiffslotsin Seeschifffahrt
C001019_de_005	Seelotse
C001019_de_006	Seelotsin
C001020_de_000	Ingenieur Energiesysteme/Ingenieurin Energiesysteme
C001020_de_001	Ingenieur Energiesysteme
C001020_de_002	Ingenieur für den Bereich Stromversorgung
C001020_de_003	Ingenieurin Energiesysteme
C001020_de_004	Ingenieurin für den Bereich Stromversorgung
C001021_de_000	Ingenieur Elektromagnetik/Ingenieurin Elektromagnetik
C001021_de_001	Ingenieur Elektromagnetik
C001021_de_002	Ingenieurin Elektromagnetik
C001022_de_000	Industriemeister Schiffbau/Industriemeisterin Schiffbau
C001022_de_001	Industriemeister Schiffbau
C001022_de_002	Industriemeisterin Schiffbau
C001022_de_003	Montageleiter Schiffbau
C001022_de_004	Montageleiterin Schiffbau
C001023_de_000	Archäologe/Archäologin
C001023_de_001	Archäologe
C001023_de_002	Archäologin
C001024_de_000	Relocation-Specialist
C001024_de_001	Relocation-Manager
C001024_de_002	Relocation-Managerin
C001025_de_000	Berufstaucher für Erntearbeiten/Berufstaucherin für Erntearbeiten
C001025_de_001	Berufstaucher für Erntearbeiten
C001025_de_002	Berufstaucherin für Erntearbeiten
C001026_de_000	Begutachter für Vorbildung/Begutachterin für Vorbildung
C001026_de_001	Begutachter für Vorbildung
C001026_de_002	Begutachterin für Vorbildung
C001026_de_003	Business Skills Assessor
C001026_de_004	Kompetenzbewerter
C001026_de_005	vorheriger Lernbewerter
C001027_de_000	Hilfskraft für das Sammeln aquatischer Ressourcen
C001027_de_001	Krebssammler
C001027_de_002	Krebssammlerin
C001027_de_003	Muschelsammler
C001027_de_004	Muschelsammlerin
C001027_de_005	Sammler aquatischer Ressourcen
C001027_de_006	Sammlerin aquatischer Ressourcen
C001027_de_007	Seetangsammler
C001027_de_008	Seetangsammlerin
C001028_de_000	Business-Intelligence-Manager/Business-Intelligence-Managerin
C001028_de_001	Business-Intelligence-Manager
C001028_de_002	Business-Intelligence-Manager/in
C001028_de_003	Business-Intelligence-Managerin
C001028_de_004	Geschäftsprozessanalyse-ManagerIn
C001029_de_000	Stanzmaschinenbediener/Stanzmaschinenbedienerin
C001029_de_001	Stanzer in der Schuhwarenherstellung
C001029_de_002	Stanzerin in der Schuhwarenherstellung
C001029_de_003	Stanzmaschinenbediener
C001029_de_004	Stanzmaschinenbedienerin
C001030_de_000	Beauftragter für Arbeitsbeziehungen/Beauftragte für Arbeitsbeziehungen
C001030_de_001	Beauftragte für Arbeitsbeziehungen
C001030_de_002	Beauftragter für Arbeitsbeziehungen
C001031_de_000	Betonbaupolier/Betonbaupolierin
C001031_de_001	Betonbaupolier
C001031_de_002	Betonbaupolierin
C001031_de_003	Meister Betonbau
C001031_de_004	Meisterin Betonbau
C001032_de_000	Sportverwalter/Sportverwalterin
C001032_de_001	Sportverwalter
C001032_de_002	Sportverwalterin
C001033_de_000	Weinbergverwalter/Weinbergverwalterin
C001033_de_001	Weinbergverwalter
C001033_de_002	Weinbergverwalterin
C001034_de_000	Fahrzeugglaser/Fahrzeugglaserin
C001034_de_001	Fahrzeugglaser
C001034_de_002	Fahrzeugglaserin
C001035_de_000	Mikroelektronik-Wartungstechniker/Mikroelektronik-Wartungstechnikerin
C001035_de_001	Industriewartungstechniker
C001035_de_002	Mikro-Elektro-Mechaniker
C001035_de_003	Mikroelektronik-Wartungstechniker
C001035_de_004	Mikroelektronik-Wartungstechnikerin
C001035_de_005	Wartungs- und Reparaturtechniker
C001035_de_006	Wartungstechniker für Mikroelektronik
C001035_de_007	Wartungstechnikerin für Mikroelektronik
C001036_de_000	Pensionsleiter/Pensionsleiterin
C001036_de_001	Frühstückspensionsleiter
C001036_de_002	Frühstückspensionsleiterin
C001036_de_003	Pensionsleiter
C001036_de_004	Pensionsleiterin
C001037_de_000	Steuerer Leitstand Erdölraffinationsanlagen/Steuerin Leitstand Erdölraffinationsanlagen
C001037_de_001	Steuerer Leitstand Erdölraffinationsanlagen
C001037_de_002	Steuerin Leitstand Erdölraffinationsanlagen
C001038_de_000	Furniersäger/Furniersägerin
C001038_de_001	Furniersäger
C001038_de_002	Furniersägerin
C001038_de_003	Furnierzuschneider
C001038_de_004	Furnierzuschneiderin
C001039_de_000	Herstellungskostenplaner/Herstellungskostenplanerin
C001039_de_001	Herstellungskostenplaner
C001039_de_002	HerstellungskostenplanerIn
C001039_de_003	Herstellungskostenplanerin
C001039_de_004	Herstellungskostenrechner/in
C001039_de_005	HerstellungskostenrechnerIn
C001040_de_000	Zugvorbereiter/Zugvorbereiterin
C001040_de_001	Zugfertigsteller
C001040_de_002	Zugfertigstellerin
C001040_de_003	Zugprüfer
C001040_de_004	Zugprüferin
C001040_de_005	Zugvorbereiter
C001040_de_006	Zugvorbereiterin
C001041_de_000	Farbmusterhersteller/Farbmusterherstellerin
C001041_de_001	Farbmusterhersteller
C001041_de_002	Farbmusterherstellerin
C001042_de_000	Erdölchemiker/Erdölchemikerin
C001042_de_001	Erdölchemiker
C001042_de_002	Erdölchemikerin
C001043_de_000	Konzertagent/Konzertagentin
C001043_de_001	Konzertagent
C001043_de_002	Konzertagentin
C001043_de_003	Konzertveranstalter
C001043_de_004	Konzertveranstalterin
C001044_de_000	Promotionassistent/Promotionassistentin
C001044_de_001	Promotionassistent
C001044_de_002	PromotionassistentIn
C001044_de_003	Promotionassistentin
C001045_de_000	Schädlingsbekämpfer/Schädlingsbekämpferin
C001045_de_001	Kammerjäger
C001045_de_002	Kammerjägerin
C001045_de_003	Schädlingsbekämpfer
C001045_de_004	Schädlingsbekämpferin
C001046_de_000	Finanzplaner/Finanzplanerin
C001046_de_001	Anlageberater/in
C001046_de_002	FinanzassistentIn
C001046_de_003	Finanzberater/in
C001046_de_004	Finanzplaner
C001046_de_005	Finanzplanerin
C001046_de_006	VermögensberaterIn
C001047_de_000	Rede-Coach
C001047_de_001	Rede-Trainer/in
