C000001_sv_000	Militära yrken
C001006_sv_001	frivillig engagemang person
C001006_sv_002	frivillig stödperson
C001006_sv_003	gruppstöd volontär
C001006_sv_004	volontärledare
C001006_sv_005	volontärrådgivare
C001007_sv_000	garderobsvaktmästare
C001007_sv_001	garderobiär, omklädningsrum
C001008_sv_000	mobilkranförare
C001009_sv_000	trader, energimarknaden
C001010_sv_000	avloppstekniker
C001011_sv_000	vårdnadsutredare
C001012_sv_000	revisionsbiträde
C001013_sv_000	lantmästare
C001014_sv_000	kvalitetschef, lädervaror
C001014_sv_001	kvalitetsansvarig, lädervaror
C001015_sv_000	komponentingenjör
C001016_sv_000	ingenjör, värme, ventilation och luftkonditionering
C001016_sv_001	HVAC-ingenjör
C001017_sv_000	diplomat
C001017_sv_001	ambassadör
C001017_sv_002	attaché
C001017_sv_003	chargé d'affaires
C001017_sv_004	konsul
C001017_sv_005	minister
C001018_sv_000	maskinoperatör, vinodling
C001019_sv_000	lots, fartyg
C001020_sv_000	energisystemingenjör
C001021_sv_000	ingenjör, elektromagnetism
C001022_sv_000	arbetsledare, båt- och fartygskonstruktion
C001023_sv_000	arkeolog
C001024_sv_000	flyttprojektledare
C001024_sv_001	flyttkonsult
C001024_sv_002	flyttsamordnare
C001024_sv_003	konsult, relocation
C001024_sv_004	relocationkonsult
C001025_sv_000	dykare, insamling
C001025_sv_001	apnédykare
C001025_sv_002	bärgningsdykare
C001025_sv_003	musseldykare
C001025_sv_004	ostrondykare
C001025_sv_005	pärldykare
C001025_sv_006	svampdykare
C001026_sv_000	valideringsbedömare
C001026_sv_001	affärsbedömare
C001026_sv_002	bedömare med tidigare lärande
C001026_sv_003	kompetensbedömare
C001027_sv_000	skördare/samlare
C001027_sv_001	samlare
C001028_sv_000	omvärldsanalytiker
C001028_sv_001	analytiker, business intelligence
C001029_sv_000	maskinoperatör, automatiserad tillskärning
C001029_sv_001	tillskärare, skor
C001030_sv_000	handläggare, arbetsmarknadsrelationer
C001031_sv_000	arbetsledare, betongarbeten
C001032_sv_000	idrottschef
C001032_sv_001	chef, idrottsklubb
C001032_sv_002	klubbchef
C001032_sv_003	sportchef
C001033_sv_000	ansvarig för vinodling
C001033_sv_001	arbetsledare, vinodling
C001034_sv_000	bilglasmontör
C001035_sv_000	underhållstekniker, mikroelektronik
C001035_sv_001	industriell underhållstekniker
C001035_sv_002	mikroelektromekanisk tekniker
C001035_sv_003	underhålls- och reparationstekniker
C001035_sv_004	underhållstekniker för mikroelektronikutrustning
C001036_sv_000	pensionatsvärd
C001037_sv_000	processövervakare, oljeraffinaderi
C001038_sv_000	fanerarbetare, fanertillverkning
C001038_sv_001	maskinoperatör, fanerskärning
C001039_sv_000	värderare, tillverkningskostnader
C001040_sv_000	bangårdsoperatör
C001041_sv_000	läderfärgare
C001041_sv_001	-
C001041_sv_002	färgprovtagare
C001042_sv_000	justerare
C001042_sv_001	mätare
C001043_sv_000	artistbokare
C001044_sv_000	marknadskoordinator
C001045_sv_000	skadedjurstekniker
C001045_sv_001	insektsutrotare
C001045_sv_002	skadedjursinspektör
C001045_sv_003	skadedjurssanerare
C001046_sv_000	finansiell planerare
C001047_sv_000	coach, muntlig framställning och presentationsteknik
C001048_sv_000	vattenvägsbyggare
C001049_sv_000	textilfärgningstekniker
C001050_sv_000	montör, metallmöbler
C001050_sv_001	maskinoperatör, tillverkning, metallmöbler
C001051_sv_000	integrationstekniker
C001051_sv_001	medieintegrationstekniker
C001051_sv_002	operatör för mediaintegration
C001052_sv_000	cirkusartist
C001053_sv_000	kvalitetskontrollant, elektronisk utrustning
C001054_sv_000	IKT-konsult inriktad på miljö
C001054_sv_001	grön IT-rådgivare
C001054_sv_002	miljöinriktad IKT-konsult
C001054_sv_003	miljöinriktad IKT-rådgivare
C001054_sv_004	miljöinriktade IKT-konsulter
C001054_sv_005	rådgivare för IKT-hållbarhetssystem
C001055_sv_000	maskinskrivare
C001056_sv_000	formmaskinoperatör
C001056_sv_001	formmaskinsoperatör
C001057_sv_000	rådgivare, utmätningsärenden
C001058_sv_000	fritidsledare
C001059_sv_000	processoperatör, kemisk industri, kväve och syre
C001060_sv_000	lacktillverkare
C001060_sv_001	lackkokare
C001061_sv_000	masteringtekniker
C001061_sv_001	inspelningstekniker
C001061_sv_002	ljudtekniker
C001062_sv_000	skiftledare, gruvdrift
C001062_sv_001	skiftförman, gruvdrift
C001063_sv_000	miljöhandläggare, energi
C001064_sv_000	distributionschef, blommor och växter
C001064_sv_001	logistikchef, blommor och växter
C001065_sv_000	möbelrengörare
C001065_sv_001	möbelputsare
C001066_sv_000	bildsättare
C001066_sv_001	fotosättare
C001067_sv_000	tolk
C001068_sv_000	smörjare
C001069_sv_000	turbinmontör
C001069_sv_001	turbinmekaniker
C001069_sv_002	turbinreparatör
C001070_sv_000	studierådgivare
C001071_sv_000	blockkedjeutvecklare
C001071_sv_001	DLT-specialist
C001071_sv_002	blockchain ingenjör
C001071_sv_003	blockchainutvecklare
C001071_sv_004	decentraliserad huvudboksteknologispecialist
C001072_sv_000	ingenjör, satellitteknik
C001073_sv_000	däckbyggare
C001074_sv_000	distributionschef, datorer och kringutrustning samt programvara
C001074_sv_001	logistikchef, datorer och kringutrustning samt mjukvara
C001075_sv_000	djuphavsfiskare
C001076_sv_000	företagsrådgivare
C001076_sv_001	investeringsrådgivare
C001077_sv_000	fabriksassistent
C001078_sv_000	ingenjör, roterande utrustning
C001079_sv_000	valobservatör
C001080_sv_000	trappmontör
C001080_sv_001	ståltrappsmontör
C001080_sv_002	trappinstallatör
C001081_sv_000	renhållningsförare
C001082_sv_000	montör, medicinsk utrustning
C001083_sv_000	distributionschef, farmaceutiska produkter
C001083_sv_001	logistikchef, farmaceutiska produkter
C001084_sv_000	dieselmotormekaniker
C001084_sv_001	bilmekaniker
C001084_sv_002	dieselmekaniker
C001084_sv_003	fordonstekniker
C001084_sv_004	lastbilsmekaniker
C001085_sv_000	bibliotekschef
C001086_sv_000	sadelmakare
C001087_sv_000	djursjukskötare
C001087_sv_001	djursjukvårdare
C001087_sv_002	djurvårdare
C001088_sv_000	fotoniktekniker
C001088_sv_001	tekniker inom fotonik
C001088_sv_002	tekniker, fotonik
C001089_sv_000	elkonstruktör
C001089_sv_001	CAD-ritare, el
C001089_sv_002	konstruktör, elkraft
C001089_sv_003	ritare, elektronisk utrustning
C001090_sv_000	gjutmaskinist
C001091_sv_000	kretskortsprovare
C001091_sv_001	kretskortskontrollant
C001091_sv_002	kretskortstestare
C001091_sv_003	mönsterkortskontrollant
C001091_sv_004	mönsterkortsprovare
C001091_sv_005	mönsterkortstestare
C001092_sv_000	mättekniker, lantmäteri
C001093_sv_000	fysiolog
C001094_sv_000	forskare inom datavetenskap
C001094_sv_001	dataman
C001094_sv_002	datavetenskapsforskare
C001094_sv_003	datavetenskapsman
C001094_sv_004	forskare
C001094_sv_005	forskningsdatavetenskapsman
C001095_sv_000	trafiklärare, motorcykel
C001095_sv_001	mc-lärare
C001095_sv_002	mc-utbildare
C001095_sv_003	trafiklärare för mc
C001096_sv_000	laminerare, glasfiber
C001097_sv_000	garderobiär
C001097_sv_001	rockvaktmästare
C001098_sv_000	tallyman
C001098_sv_001	fartygsplanerare
C001099_sv_000	parkguide
C001100_sv_000	skådespelare
C001100_sv_001	skådespelerska
C001101_sv_000	avdelningschef, våtprocesser
C001102_sv_000	marinofficer
C001103_sv_000	ansvarig, serviceverkstad
C001103_sv_001	ansvarig, bilverkstad
C001103_sv_002	bilverkstadsansvarig
C001103_sv_003	serviceverkstadschef
C001103_sv_004	verkmästare
C001103_sv_005	verkstadsansvarig
C001103_sv_006	verkstadschef
C001103_sv_007	verkstadsföreståndare
C001104_sv_000	bookmaker
C001104_sv_001	vadförmedlare
C001105_sv_000	hunddressör
C001105_sv_001	hundtränare
C001106_sv_000	pastatillverkare
C001106_sv_001	pastagörare
C001106_sv_002	pastaproducent
C001106_sv_003	pastatillverkaren
C001106_sv_004	tillverkare av pasta
C001107_sv_000	specialiserad säljare, konfektyr
C001107_sv_001	butikssäljare, godisaffär
C001107_sv_002	butikssäljare, konfektyr
C001107_sv_003	godisförsäljare
C001108_sv_000	maskinmekaniker, industri
C001108_sv_001	maskinmekaniker
C001108_sv_002	maskinmekaniker, varvsindustri
C001109_sv_000	båtmontör
C001109_sv_001	fartygsmekaniker
C001109_sv_002	fartygsmontör
C001110_sv_000	faktagranskare
C001111_sv_000	tidningsredaktör
C001112_sv_000	tekniker, mikrosystem
C001113_sv_000	fiskare
C001113_sv_001	fiskare inom kustfiske
C001113_sv_002	skeppare
C001113_sv_003	yrkesfiskare
C001114_sv_000	analytiker, middle office
C001115_sv_000	it-säkerhetsansvarig
C001115_sv_001	ansvarig, IKT-säkerhet
C001115_sv_002	ansvarig, it-säkerhet
C001116_sv_000	elektroniktekniker
C001117_sv_000	samordnare, järnvägslogistik
C001118_sv_000	drönarpilot
C001118_sv_001	civil drönare
C001118_sv_002	drönare operatör
C001118_sv_003	drönaroperatör
C001118_sv_004	fjärrstyrd pilot (RPA) pilot
C001118_sv_005	obemannad flygpilot
C001118_sv_006	obemannad luftfartsförare
C001118_sv_007	operatör för obemannade luftfartygssystem
C001118_sv_008	pilot för obemannade flygplan (UAV)
C001119_sv_000	lastinspektör, sjöfrakt
C001120_sv_000	historielärare, gymnasieskola
C001121_sv_000	forskningsingenjör, metallurgi
C001122_sv_000	skärare, pappersvaruindustri
C001122_sv_001	papperskärare
C001123_sv_000	marionettspelare
C001123_sv_001	dockspelare
C001124_sv_000	handläggare, offentlig förvaltning, regional utveckling
C001124_sv_001	utredare, offentlig förvaltning, regional utveckling
C001125_sv_000	vattenanalytiker
C001126_sv_000	djurterapeut, alternativmedicin
C001127_sv_000	sömmare, hemtextil
C001127_sv_001	gardinsömmerska
C001127_sv_002	gardinuppsättare
C001127_sv_003	kapellmakare
C001127_sv_004	lampskärmssömmerska
C001127_sv_005	linnesömmerska
C001127_sv_006	möbelstoppare
C001127_sv_007	paraplymakare
C001127_sv_008	segelmakare
C001127_sv_009	segelsömmare
C001127_sv_010	tältsömmare
C001128_sv_000	centrifugskötare
C001128_sv_001	centrifugansvarig
C001128_sv_002	centrifughanterare
C001128_sv_003	centrifugskötaren
C001128_sv_004	skötare av centrifug
C001129_sv_000	textilflätningstekniker
C001130_sv_000	resekonsult
C001130_sv_001	affärsresekonsult
C001130_sv_002	nöjesresekonsult
C001130_sv_003	reserådgivare
C001131_sv_000	testförare
C001132_sv_000	flygmeteorolog
C001133_sv_000	mönsterkonstruktör, CAD, läder
C001134_sv_000	maskinoperatör, hygienteknik
C001134_sv_001	maskinoperatör, tvålspån
C001135_sv_000	distributionschef, levande djur
C001135_sv_001	logistikchef, levande djur
C001136_sv_000	skridskoinstruktör
C001136_sv_001	skridskolärare
C001137_sv_000	inköpare
C001138_sv_000	direktionssekreterare
C001139_sv_000	herde
C001139_sv_001	boskapsvakt
C001139_sv_002	fåraherde
C001139_sv_003	herdar
C001140_sv_000	arbetsledare, anläggning och underhåll järnväg
C001141_sv_000	snickare
C001141_sv_001	finsnickare
C001141_sv_002	inredningssnickare
C001141_sv_003	maskinsnickare
C001141_sv_004	möbelsnickare
C001142_sv_000	maskinoperatör, nedkylning
C001143_sv_000	påklädare
C001143_sv_001	dresser
C001143_sv_002	kostymassistent
C001143_sv_003	påkläderska
C001144_sv_000	pumpman, pipeline
C001145_sv_000	modellmakare, metall
C001145_sv_001	modelltekniker
C001146_sv_000	civilingenjör, bygg
C001146_sv_001	byggnadsingenjör
C001147_sv_000	maskinmekaniker, textil
C001147_sv_001	maskinställare, textil
C001147_sv_002	produktionstekniker, textil
C001147_sv_003	serviceingenjör, textil
C001148_sv_000	bergsprängare
C001149_sv_000	ritare, fartyg och båtar
C001149_sv_001	båtritare
C001149_sv_002	fartygsritare
C001149_sv_003	ritare, båtkonstruktion
C001150_sv_000	distributionschef, fisk, skaldjur och blötdjur
C001150_sv_001	logistikchef, fisk, skaldjur och blötdjur
C001151_sv_000	instrumentmekaniker, optik
C001152_sv_000	polischef
C001153_sv_000	socialtjänstpersonal, barnskydd
C001153_sv_001	socialvårdspersonal, barnskydd
C001154_sv_000	varumäklare
C001155_sv_000	butikschef, bageri
C001156_sv_000	textilmaskinoperatör
C001157_sv_000	hunduppfödare
C001157_sv_001	hundskötare
C001158_sv_000	arbetsledare, anläggning avloppsnät
C001159_sv_000	arbetsmiljöinspektör
C001159_sv_001	miljö- och hälsoskyddsinspektör
C001160_sv_000	kvalitetskontrollant, skor
C001160_sv_001	kvalitetsansvarig, skor
C001160_sv_002	kvalitetssamordnare, skor
C001160_sv_003	kvalitetstekniker, skor
C001161_sv_000	lärare, klassiska språk, gymnasieskola
C001162_sv_000	biträdande rektor
C001162_sv_001	studierektor
C001163_sv_000	butikskassör
C001163_sv_001	butikssäljare
C001164_sv_000	Instrumenteringstekniker
C001164_sv_001	instrumentingenjör, styr- och reglerteknik
C001165_sv_000	mätaravläsare
C001166_sv_000	maskinoperatör, värmeförsegling
C001167_sv_000	uthyrare, varor för personligt bruk och hushållsbruk
C001168_sv_000	it-arkitekt
C001168_sv_001	lösningsarkitekt
C001169_sv_000	beklädnadstekniker
C001170_sv_000	navigationslärare
C001171_sv_000	rektor, vuxenutbildning
C001171_sv_001	komvuxrektor
C001172_sv_000	laboratorietekniker, botanik
C001173_sv_000	Omprövningshandläggare, socialförsäkringsfrågor
C001174_sv_000	gallerichef
C001174_sv_001	chef, konstgalleri
C001175_sv_000	kusk
C001175_sv_001	körsven
C001176_sv_000	maskinoperatör, lädermätning
C001177_sv_000	leveransuppföljare
C001177_sv_001	avtalsspecialist
C001177_sv_002	avtalsuppföljare
C001177_sv_003	kontraktshanteringsexpert
C001177_sv_004	kontraktsledare
C001177_sv_005	kontraktspecialist
C001177_sv_006	kontraktsrevisor
C001178_sv_000	eldare
C001178_sv_001	kokare
C001178_sv_002	ångmaskinist
C001179_sv_000	ljudassistent
C001180_sv_000	butikschef, leksaker och spel
C001181_sv_000	arbetsledare, maskintillverkning – verkstadsprodukter
C001181_sv_001	arbetsledare, maskinverkstad
C001181_sv_002	förman, maskinverkstad
C001181_sv_003	förman, mekanisk verkstad
C001182_sv_000	hållbarhetsspecialist
C001182_sv_001	hållbarhetsanalytiker
C001182_sv_002	hållbarhetskoordinator
C001183_sv_000	inkassohandläggare
C001184_sv_000	försäljningschef
C001184_sv_001	försäljningsdirektör
C001185_sv_000	spa-skötare
C001185_sv_001	spaterapeut
C001186_sv_000	företagssäljare, jordbruksutrustning
C001187_sv_000	kopparslagare
C001188_sv_000	vinsommelier
C001188_sv_001	vinkypare
C001188_sv_002	vinkännare
C001189_sv_000	rammakare
C001189_sv_001	konstinramare
C001190_sv_000	akupunktör
C001191_sv_000	grossist, elektronik och telekommunikationsutrustning
C001192_sv_000	studieadministratör
C001193_sv_000	djurskyddsinspektör
C001193_sv_001	djurkontrollant
C001193_sv_002	djurräddningsledare
C001193_sv_003	djurskyddsarbetare
C001193_sv_004	djurskyddsinspektörer
C001193_sv_005	djurskyddskontrollant
C001193_sv_006	djurskyddssamordnare
C001193_sv_007	skyddsinspektör för djur
C001194_sv_000	båtsman, fiskebåt
C001194_sv_001	bås, fiskebåt
C001195_sv_000	förankringsarbetare vid vattenbruk
C001196_sv_000	arbetsledare, hissinstallation
C001197_sv_000	biomedicinsk analytiker
C001197_sv_001	BMA
C001198_sv_000	specialiserad säljare, bageri
C001198_sv_001	bageribiträde
C001198_sv_002	specialiserad försäljare, bageri
C001199_sv_000	arbetsledare, ställningsbygge
C001200_sv_000	kundansvarig
C001200_sv_001	kundansvarig säljare
C001200_sv_002	storkundsansvarig
C001201_sv_000	ugnsskötare, glas, keramik
C001201_sv_001	kanaltorkskötare
C001202_sv_000	mobilapputvecklare
C001202_sv_001	app-programmerare
C001202_sv_002	appkodare
C001202_sv_003	apputvecklare
C001203_sv_000	klädpressare
C001204_sv_000	grossist, fisk, skaldjur och blötdjur
C001205_sv_000	ansvarig för kommunikationsinfrastruktur
C001205_sv_001	ansvariga för kommunikationsinfrastruktur
C001205_sv_002	chef för kommunikationsinfrastruktur
C001205_sv_003	kabeltekniker
C001205_sv_004	kommunikationsinfrastrukturansvarig
C001205_sv_005	sladdtekniker
C001206_sv_000	bokbindare
C001206_sv_001	bokrestauratör
C001206_sv_002	pappersrestauratör
C001207_sv_000	ingenjör inom livsmedelsproduktion
C001207_sv_001	ingenjörer inom livsmedelsproduktion
C001207_sv_002	livsmedelsproduktionsingenjör
C001207_sv_003	livsmedelsproduktionstekniker
C001208_sv_000	ljussättare
C001209_sv_000	lagerchef
C001210_sv_000	bartender
C001210_sv_001	barservitris
C001210_sv_002	barservitör
C001210_sv_003	bartendern
C001210_sv_004	bartendrar
C001211_sv_000	bingoutropare
C001212_sv_000	flygledare, flygkommunikation och frekvenssamordning
C001212_sv_001	chef, flygkommunikation och frekvenssamordning
C001212_sv_002	samordnare, flygkommunikation och frekvenssamordning
C001213_sv_000	asfaltsverksoperatör
C001214_sv_000	maskinoperatör, mekanisk verkstad, skruvtillverkning
C001214_sv_001	maskinoperatör, skruvtillverkning
C001214_sv_002	operatör, skruvtillverkning
C001215_sv_000	rörsvetsare
C001215_sv_001	svetsare
C001216_sv_000	bankkassör
C001217_sv_000	lektor, företagsekonomi
C001218_sv_000	barnmorska, förlossning
C001219_sv_000	badvakt
C001219_sv_001	livräddare
C001219_sv_002	poollivräddare
C001220_sv_000	kvalitetsbedömare, träskivor
C001220_sv_001	kontrollant, träskivor
C001221_sv_000	maskinoperatör, matolja
C001222_sv_000	fastighetsstädare
C001222_sv_001	lokalvårdare
C001222_sv_002	städhjälp
C001223_sv_000	tekniker, pneumatik
C001223_sv_001	maskiningenjör med inriktning på hydraulik/pneumatik
C001223_sv_002	maskiningenjör med inriktning på pneumatik
C001223_sv_003	maskiningenjör, pneumatik
C001224_sv_000	Tekniker inom medicinteknik
C001224_sv_001	högskoleingenjör, medicinsk teknik
C001224_sv_002	ingenjör i medicinsk teknik
C001224_sv_003	ingenjör, medicinsk teknik
C001224_sv_004	medicintekniker
C001224_sv_005	sjukhustekniker
C001225_sv_000	lektor, geovetenskap
C001226_sv_000	kostymansvarig
C001226_sv_001	kostymassistent
C001226_sv_002	påklädare
C001226_sv_003	påkläderska
C001227_sv_000	administratör, råvarulager
C001228_sv_000	ritare, bygg och anläggning
C001228_sv_001	byggnadskonstruktör
C001229_sv_000	animationsledare
C001230_sv_000	kvalitetsingenjör
C001231_sv_000	analytiker, callcenter
C001232_sv_000	blandarskötare, sprängämnesindustri
C001232_sv_001	nitreringsoperatör
C001233_sv_000	ekonomichef
C001233_sv_001	finansdirektör
C001234_sv_000	maskinoperatör, destillation
C001234_sv_001	destillatör
C001235_sv_000	maskinoperatör, våglödning
C001236_sv_000	produktionschef, läder
C001236_sv_001	tillverkningschef, läder
C001237_sv_000	säkerhetsvakt
C001238_sv_000	juridisk rådgivare
C001239_sv_000	specialist inom djurembryoöverföring
C001239_sv_001	djurembryoöverföringsspecialist
C001239_sv_002	expert på djurembyroöverföring
C001239_sv_003	specialist inom embryoöverföring för djur
C001240_sv_000	laboratorietekniker, biologi
C001241_sv_000	medium
C001242_sv_000	lageroperatör, lädervaror
C001243_sv_000	importspeditör, trä och byggvaror
C001243_sv_001	exportspeditör, trä och byggvaror
C001244_sv_000	vattenbrukstekniker, kassar
C001245_sv_000	importspeditör, jordbruksråvaror, utsäde och djurfoder
C001245_sv_001	exportspeditör, jordbruksråvaror, utsäde och djurfoder
C001246_sv_000	miljöingenjör, gruva
C001247_sv_000	fabriksarbetare på sockerraffinaderi
C001247_sv_001	fabriksarbetaren på sockerraffinaderi
C001247_sv_002	sockerbruksarbetare
C001248_sv_000	byggnadskontrollant, kvalitetsansvarig
C001249_sv_000	kontrollant, allmännyttiga anläggningar
C001250_sv_000	vårdadministratör, medicinska digitala bilder
C001250_sv_001	PACS-ansvarig
C001250_sv_002	medicinsk sekreterare, PACS
C001250_sv_003	vårdadministratör, PACS
C001250_sv_004	vårdadministratör, digital bildhantering
C001251_sv_000	hästtandtekniker
C001251_sv_001	hästtandläkare
C001251_sv_002	tandläkare för hästar
C001251_sv_003	tandtekniker för hästar
C001252_sv_000	kreditansvarig, bank
C001253_sv_000	textiltryckstekniker
C001254_sv_000	kriminalvårdare
C001255_sv_000	cykelreparatör
C001256_sv_000	installationselektriker, bygg
C001256_sv_001	elektriker
C001257_sv_000	munk/nunna
C001257_sv_001	munk
C001257_sv_002	nunna
C001258_sv_000	importspeditör, kött och köttvaror
C001258_sv_001	exportspeditör, kött och köttvaror
C001259_sv_000	arbetsterapeut
C001260_sv_000	chef, skönhetssalong
C001260_sv_001	chef, frisersalong
C001260_sv_002	chef, frisörsalong
C001260_sv_003	chef, skönhetsvård
C001261_sv_000	speltestare
C001261_sv_001	provare av digitala spel
C001261_sv_002	spelprovare
C001261_sv_003	testare av spel
C001262_sv_000	analytiker inom livsmedel
C001262_sv_001	analytikern inom livsmedel
C001262_sv_002	laboratorieanalytiker
C001262_sv_003	livsmedelsanalytiker
C001262_sv_004	matanalytiker
C001262_sv_005	matkemist
C001263_sv_000	elingenjör, fartyg, fiskeskepp
C001264_sv_000	barnskötare
C001265_sv_000	maskinställare, textil
C001265_sv_001	maskinoperatör, produktion av tuftvara
C001266_sv_000	ritare, fordonsindustrin
C001266_sv_001	fordonskonstruktör
C001267_sv_000	receptionist, vårdinrättning
C001268_sv_000	prefekt
C001269_sv_000	molntekniker
C001269_sv_001	hybrid moln ingenjör
C001269_sv_002	mjukvaruutvecklare
C001269_sv_003	moln datoringenjör
C001269_sv_004	moln devops ingenjör
C001269_sv_005	molnarkitekt
C001269_sv_006	molnfödd ingenjör
C001269_sv_007	molninfrastrukturingenjör
C001269_sv_008	molnlösningstekniker
C001269_sv_009	molnsäkerhetsingenjör
C001269_sv_010	molnutvecklare
C001269_sv_011	molnätverksingenjör
C001270_sv_000	maskinoperatör, kakaopress
C001270_sv_001	ansvarig för kakaopress
C001271_sv_000	maskinoperatör, hygienteknik, tvåltillverkning
C001271_sv_001	maskinoperatör, tvåltorkanläggning
C001272_sv_000	smyckesformgivare
C001272_sv_001	smyckesdesigner
C001273_sv_000	teatersnickare
C001273_sv_001	dekorbyggare
C001273_sv_002	dekorsnickare
C001273_sv_003	kulissmakare
C001273_sv_004	scenbyggare
C001273_sv_005	snickare
C001274_sv_000	köttstyckare
C001274_sv_001	köttstyckaren
C001274_sv_002	slaktmästare
C001275_sv_000	miljöprojektledare, rörledningar
C001276_sv_000	konstfiberspinnare
C001277_sv_000	filmdistributör
C001278_sv_000	fönstermontör
C001278_sv_001	fönsterinstallatör
C001278_sv_002	fönstersättare
C001279_sv_000	domare i högsta domstolen
C001279_sv_001	justitieråd
C001280_sv_000	interaktionsdesigner
C001280_sv_001	AI-systemdesigner
C001280_sv_002	designer av artificiell intelligens
C001280_sv_003	designer av intelligenta IT-system
C001280_sv_004	designer av maskininlärningssystem
C001280_sv_005	formgivare av intelligenta system
C001281_sv_000	marknadsförare, online
C001282_sv_000	handstickare
C001283_sv_000	kvalitetsbedömare, pappersmassa
C001283_sv_001	kvalitetsansvarig
C001284_sv_000	kemiingenjör
C001284_sv_001	ingenjör, teknisk kemi
C001285_sv_000	evenemangsarrangör
C001285_sv_001	arrangör
C001285_sv_002	konsertarrangör
C001286_sv_000	ingenjör, träteknik
C001287_sv_000	ingenjör, optoelektronik
C001288_sv_000	grossist, datorer, kringutrustning och mjukvara
C001289_sv_000	religionslärare, gymnasieskola
C001290_sv_000	signalspaningsoperatör
C001291_sv_000	dekoratör
C001291_sv_001	butikskommunikatör
C001291_sv_002	visual merchandiser
C001292_sv_000	radiotekniker
C001292_sv_001	radioexpert
C001292_sv_002	radioteknikerna
C001292_sv_003	tekniker för radio
C001293_sv_000	chokladmästare
C001293_sv_001	chokladexpert
C001293_sv_002	chokladmästaren
C001293_sv_003	chokladspecialist
C001293_sv_004	mästare på choklad
C001294_sv_000	medarbetare, back office, finansiella marknader
C001295_sv_000	ljudläggare
C001295_sv_001	ljudsättare
C001296_sv_000	distriktssköterska
C001297_sv_000	ritare, arkitektbyrå
C001297_sv_001	A-ritare
C001297_sv_002	CAD-ritare
C001297_sv_003	CAD-ritare, bygg och anläggning
C001297_sv_004	byggnadsritare
C001297_sv_005	konstruktör
C001297_sv_006	ritare, bygg och anläggning
C001297_sv_007	ritbiträde
C001298_sv_000	stop-motion-animatör
C001299_sv_000	borrare
C001300_sv_000	processoperatör, kafferostning
C001301_sv_000	kvalitetskontrollant, lädervaror
C001301_sv_001	kontrollansvarig, lädervaror
C001301_sv_002	kvalitetsansvarig, lädervaror
C001301_sv_003	kvalitetssamordnare, lädervaror
C001301_sv_004	kvalitetstekniker, lädervaror
C001302_sv_000	processoperatör, pappersmassa
C001302_sv_001	formmaskinoperatör, pappersmassa
C001303_sv_000	frukt- och grönsaksplockare
C001303_sv_001	frukt- och grönsaksinsamlare
C001303_sv_002	fruktplockare
C001303_sv_003	grönsaksplockare
C001303_sv_004	plockare av frukt
C001303_sv_005	plockare av grönsaker
C001304_sv_000	säkerhetsvakt, gruppledare
C001304_sv_001	väktare, arbetsledare
C001305_sv_000	bildkonstnär
C001306_sv_000	gravör, ädelmetall
C001306_sv_001	blanksticksgravör
C001306_sv_002	guldgravör
C001306_sv_003	handgravör
C001307_sv_000	ansvarig för konvertering av stärkelse
C001307_sv_001	personal med ansvar för konvertering av stärkelse
C001307_sv_002	stärkelsekonverteringsansvarig
C001308_sv_000	informationsansvarig
C001309_sv_000	inköpschef
C001310_sv_000	handläggare, offentlig förvaltning, spelinspektion
C001310_sv_001	tillsynsansvarig, lotteri och spel
C001311_sv_000	biblioteksassistent
C001312_sv_000	yrkeslärare, cateringtjänster
C001313_sv_000	slaktare
C001313_sv_001	fläskhandlare
C001313_sv_002	köttberedare
C001313_sv_003	slaktaren
C001313_sv_004	slaktarna
C001314_sv_000	arbetsledare, maskinbyggnad
C001315_sv_000	distributionschef, glas och porslin
C001315_sv_001	logistikchef, glas och porslin
C001316_sv_000	kvalitetskontrollant, konfektion
C001316_sv_001	kvalitetskontrollant, beklädnad
C001316_sv_002	kvalitetskoordinator, produktion av textil
C001316_sv_003	kvalitetssamordnare, produktion av textil
C001316_sv_004	kvalitetstekniker, konfektion
C001317_sv_000	ritare, maskinteknik
C001317_sv_001	CAD-ritare
C001317_sv_002	maskinkonstruktör
C001318_sv_000	handläggare, offentlig förvaltning, konkurrens
C001318_sv_001	utredare, offentlig förvaltning, konkurrens
C001319_sv_000	leasingagent
C001319_sv_001	leasingrådgivare
C001319_sv_002	säljare, leasing
C001320_sv_000	fartygsinspektör
C001321_sv_000	kriminalpolis
C001322_sv_000	idrottsfunktionär
C001322_sv_001	domare
C001322_sv_002	fotbollsdomare
C001323_sv_000	hårdvarutekniker
C001323_sv_001	datatekniker
C001323_sv_002	hårdvaruingenjör
C001323_sv_003	pc-tekniker, hårdvara
C001324_sv_000	investeringsrådgivare
C001325_sv_000	nöjesparksstädare
C001326_sv_000	uthyrare
C001327_sv_000	handläggare, offentlig förvaltning, ekonomi
C001327_sv_001	utredare, offentlig förvaltning, ekonomi
C001328_sv_000	idrottsterapeut
C001329_sv_000	speditör
C001329_sv_001	speditionsförman
C001329_sv_002	speditionstjänsteman
C001330_sv_000	specialiserad säljare, sällskapsdjur och djurmat
C001330_sv_001	butikssäljare, djuraffär
C001330_sv_002	försäljare, djurbutik
C001331_sv_000	tivoliarbetare
C001332_sv_000	importspeditör, frukt och grönsaker
C001332_sv_001	exportspeditör, frukt och grönsaker
C001333_sv_000	tillståndshandläggare
C001334_sv_000	instruktör, yrkesförare
