Q000001	Klottersanerare
Q000880	Väg- och vattenbyggnadsingenjör
Q000881	Bantekniker
Q000882	Teckenspråkslärare
Q000883	Pälsdjursskötare
Q000884	Korgmöbelmakare
Q000885	Frivårdschef
Q000886	Driftmaskinist, värmeverk
Q000887	Kretskortsmontör
Q000888	Gemmolog
Q000889	Körledare
Q000890	Personligt ombud
Q000891	Fälttjänsteman, försäkringar
Q000892	Helpdesktekniker/Supporttekniker
Q000893	Stuveriförman
Q000894	Däckmontör/Däck- och hjulmekaniker
Q000895	Distriktskonsulent
Q000896	Ytbehandlare manuell, trä/Sprutlackerare, manuell, trä
Q000897	Inköpare
Q000898	Civilingenjör, energi
Q000899	Studie- och yrkesvägledare
Q000900	Falsare
Q000901	Träsvarvare
Q000902	Cabin stewardess/Hyttvärdinna
Q000903	Bildredaktör
Q000904	Analytisk kemist
Q000905	Rosenterapeut
Q000906	Genetiker
Q000907	Kocksteward
Q000908	Vagnsstädare
Q000909	Kasinopersonal
Q000910	Landshövding
Q000911	Ekonomibiträde, storhushåll
Q000912	Konservator
Q000913	Kontorist
Q000914	Anonym konsument/Mystery shopper
Q000915	Kock, fartyg
Q000916	Vapentekniker
Q000917	Pappersskärare, bokbinderi
Q000918	Konverteringsarbetare, papper
Q000919	Växtodlingsrådgivare/Växtodlingskonsulent
Q000920	Stadsarkivarie
Q000921	Handformare
Q000922	Handvävare
Q000923	Träningsinstruktör
Q000924	Rörbockare
Q000925	HSEQ Manager/KMA-samordnare
Q000926	Beläggningsarbetare, utan yrkesbevis
Q000927	Smärtsjuksköterska
Q000928	Pianobyggare
Q000929	Helikopterförare/Helikopterpilot
Q000930	Trumtekniker
Q000931	Kassaföreståndare, arbetslöshetskassa
Q000932	Produktionsplanerare: kultur, media, film
Q000933	Kommunsekreterare
Q000934	Motormontör
Q000935	Trappstädare
Q000936	Kostymassistent
Q000937	Kabeltekniker
Q000938	Tårtmakare
Q000939	Chief Data Officer/CDO
Q000940	Förvaltningschef, landsting
Q000941	Lärling, lastmaskinförare
Q000942	Smidesoperatör
Q000943	Teknikpedagog
Q000944	Zonterapeut
Q000945	Avsynare, musikinstrument
Q000946	Inläsare
Q000947	Lärling, betongarbetare
Q000948	Planeringstekniker, textil, glas, trä, förpackningar
Q000949	Personalutbildare
Q000950	Moderator
Q000951	Slaktmästare
Q000952	Redovisningschef
Q000953	Planeringstekniker, kemiteknik
Q000954	Porslinsputsare
Q000955	Delgivningsman
Q000956	Glastryckare
Q000957	Djuptryckare
Q000958	Forskare, samhällsvetenskap
Q000959	Brandtekniker
Q000960	Glasblåsare
Q000961	Inkassohandläggare
Q000962	Tandvårdsbiträde
Q000963	Teaterchef
Q000964	Slipverktygsarbetare
Q000965	Driftchef, skogsbruk
Q000966	Mediehanterare
Q000967	Automationstekniker, el
Q000968	Formmaskinskötare, plast
Q000969	Arbetskonsulent
Q000970	Stansare, skor
Q000971	Ugnsuppsättare, keramik
Q000972	Systemadministratör
Q000973	Köksarkitekt
Q000974	Stödassistent
Q000975	Forensiker, fysiker
Q000976	Förlagschef, tidning
Q000977	Marinmekaniker/Marintekniker
Q000978	Lantbrukare, växtodling
Q000979	Turistbyråtjänsteman
Q000980	Idrottskonsulent
Q000981	Flödesoperatör
Q000982	Damfrisör
Q000983	Direktris/Garment technician/Mönsterkonstruktör
Q000984	Smådjursskötare
Q000985	Brandskadereglerare
Q000986	Glasmaskinskötare
Q000987	Glasögonslipare
Q000988	Datasäkerhetsansvarig
Q000989	Betonghåltagare, utan yrkesbevis
Q000990	Glastekniker/Glasmästare
Q000991	Orgelpipmakare
Q000992	Klänningssömmerska
Q000993	Väg- och anläggningsarbetare
Q000994	Utvecklingsingenjör, maskin
Q000995	Automationselektriker
Q000996	Maskinmekaniker, industri/Maskinmekaniker, varvsindustri
Q000997	Tatuerare
Q000998	Personaladministratör
Q000999	Ambassadör
Q001000	Annonsassistent/Annonssekreterare
Q001001	Avdelningschef, kommun
Q001002	Torgförsäljare/Marknadsförsäljare
Q001003	Golvläggare
Q001004	Bussguide
Q001005	Trafikkoordinator
Q001006	Skorstensfejartekniker
Q001007	Informationsassistent
Q001008	Idrottsdomare
Q001009	Trafikvärd/Taxivärd
Q001010	Make-up artist/MUA
Q001011	Tak- och tätskiktsmontör, utan yrkesbevis
Q001012	Kopplingstekniker
Q001013	Handläggare, arbetslöshetskassa/Utredare, arbetslöshetskassa
Q001014	Marknadsplanerare
Q001015	Maskinformare, gjuteri
Q001016	Bibliotekschef
Q001017	Scannertekniker/Scanneroperatör
Q001018	Brandbefäl/Räddningsledare/Insatsledare
Q001019	Penningmarknadsmäklare
Q001020	Chefsjurist
Q001021	Byggnadssmed
Q001022	Biblioteksassistent
Q001023	Förvaltningsdirektör, statlig
Q001024	Attributör
Q001025	Musikbibliotekarie
Q001026	Informationsmäklare
Q001027	Meteorolog
Q001028	Sjuktransportör
Q001029	Funktionschef, offentlig förvaltning
Q001030	Regionchef, skogsbruk
Q001031	Konstruktör, textil, trä, glas, förpackningar
Q001032	Gruvbyggare
Q001033	1:e Fartygsingenjör/1:e Maskinist
Q001034	Butiksdemonstratör
Q001035	Fastighetsjurist
Q001036	Stödpedagog
Q001037	Halmvaruarbetare
Q001038	VVS-isolerare
Q001039	Maskinmontör
Q001040	Försäkringstjänsteman
Q001041	Försäkringsutredare
Q001042	Platschef, bygg
Q001043	Produktionsledare, tillverkningsindustri
Q001044	Forskare, mikroelektronik
Q001045	Mängberedare
Q001046	Gipstekniker
Q001047	Metalltryckare
Q001048	Fartygsbefäl
Q001049	Presschef
Q001050	Forskare, bioteknik
Q001051	Pannplåtslagare
Q001052	Animator/Animatör
Q001053	Ladugårdsförman, blandad drift
Q001054	Kriminalvårdare
Q001055	Enhetschef, offentlig förvaltning
Q001056	Plasthärdare
Q001057	Nämndsekreterare
Q001058	Maskinbyggare
Q001059	Fönsterputsare
Q001060	Biobränsleansvarig
Q001061	Oddssättare
Q001062	Materialplanerare
Q001063	Familjehemssekreterare
Q001064	Grundlärare, 4-6
Q001065	Kontaktsjuksköterska
Q001066	Forskare, miljö
Q001067	Produktionschef, anläggning
Q001068	Stålbyggare
Q001069	Affärsresesäljare
Q001070	Modersmålslärare i gymnasieskolan
Q001071	Vagnreparatör, järnväg
Q001072	Livsmedelsarbetare, charkuteri
Q001073	Konstpedagog
Q001074	Budget- och skuldrådgivare
Q001075	Säkerhetsrådgivare
Q001076	Teknisk produktionsledare
Q001077	Liftskötare/Lifttekniker
Q001078	Lärling, VVS-montör
Q001079	Undersköterska, vård- och specialavdelning och mottagning
Q001080	Församlingspräst med specialuppgifter
Q001081	Sektionschef, offentlig förvaltning
Q001082	Processoperatör, mejeri
Q001083	Webbdesigner
Q001084	Föreståndare, stugby
Q001085	Limberedare, träfiberindustri
Q001086	Driftchef, lantbruk
Q001087	Gravör, metall
Q001088	Ordningsvakt
Q001089	Siloarbetare
Q001090	Instruktör inom specialidrott/Tränare inom specialidrott
Q001091	Filmklippare
Q001092	Virkesområdeschef
Q001093	Hallföreståndare
Q001094	Golfbaneföreståndare
Q001095	Ortopedskotekniker
Q001096	Doktorand
Q001097	Kostymdesigner/Kostymtecknare
Q001098	Förbundschef
Q001099	Akutsjuksköterska/Sjuksköterska, akutmottagning
Q001100	Hotellstädare
Q001101	Mikrobiolog
Q001102	Idrottsagent/Sportagent
Q001103	Gruppföreståndare, bank
Q001104	Limmare, fiberskivtillverkning
Q001105	Barchef
Q001106	Besiktningsingenjör, bilprovning
Q001107	Litterär agent
Q001108	Lärling, hissmontör
Q001109	Virolog
Q001110	Garagevakt
Q001111	Budbilsförare
Q001112	E-commerce manager
Q001113	Försäkringsförmedlarassistent
Q001114	Plastgjutare
Q001115	Präst, annat trossamfund
Q001116	Porslinsslipare
Q001117	Balettmästare
Q001118	Turnétekniker
Q001119	Civilingenjör, kvalitet, elektronik
Q001120	Rördragare
Q001121	Kallslagare
Q001122	Drifttekniker, kraftvärmeverk
Q001123	Lärling, glastekniker
Q001124	Djurskötare, mjölk
Q001125	Arrestantvakt/Arrestvakt
Q001126	Turnéläggare
Q001127	Djurskötare, får
Q001128	Laminerare, tryckeri
Q001129	Säljledare
Q001130	Tak- och tätskiktsmontör
Q001131	Interaktionsdesigner
Q001132	Barista/Kaffebartender
Q001133	Ställverksmontör
Q001134	Produktionstekniker, petroleumutvinning
Q001135	Processingenjör, metallurgi
Q001136	Utbildningsadministratör/Studieadministratör
Q001137	Lexikograf
Q001138	Församlingsdiakon
Q001139	Pälsdjursuppfödare
Q001140	Rekryterare/Rekryteringskonsult
Q001141	Utryckningsväktare
Q001142	Husvagnsförsäljare
Q001143	Flygplanslastare
Q001144	Rehabiliteringsassistent
Q001145	Laminatpressare
Q001146	Degelmakare
Q001147	Teaterpedagog
Q001148	Blomsterodlare
Q001149	Mästare, glasbruk
Q001150	Arbetsledare, trädgård/Trädgårdsanläggningsförman
Q001151	Sportchef
Q001152	Tegelbruksarbetare
Q001153	Armerare, betongvaruindustri
Q001154	Gruppledare inom socialtjänst
Q001155	Läkeeurytmist
Q001156	Bussmekaniker
Q001157	Anfångare
Q001158	Svetsingenjör
Q001159	Environment artist
Q001160	Kontrollingenjör, gruv, metallurgi
Q001161	Enterprise Architect
Q001162	Taxiguide
Q001163	Plattsättare
Q001164	Landsarkivarie
Q001165	Byggnadsingenjör
Q001166	Tunnelsprängare
Q001167	Utvecklingsingenjör, el-tele
Q001168	Rådman
Q001169	Kartingenjör
Q001170	Akupunktör
Q001171	Gnistare
Q001172	Lättmatros
Q001173	Dekorationsmålare, skyltning
Q001174	Ritare, textil, trä, glas, förpackningar
Q001175	Husmontör
Q001176	Stensågare
Q001177	Kammarrättslagman
Q001178	Campingvärd
Q001179	Processoperatör, metallproduktion
Q001180	Destruktionsmaskinist
Q001181	Linsslipare
Q001182	Charkuteriarbetare, butik
Q001183	Ljusformare
Q001184	Preparator/Taxidermist
Q001185	Civilingenjör, konstruktion, elektronik
Q001186	Civilingenjör, konstruktion, maskin
Q001187	Attraktionsförare
Q001188	Hamnchef
Q001189	Tapetserare, hantverk
Q001190	VA-chef
Q001191	ST-läkare
Q001192	Kalibreringsingenjör, tillverkningsindustri
Q001193	Kulturchef
Q001194	Chef inom kyrkogårdsförvaltningen
Q001195	Försäkringsspecialist
Q001196	Toxikolog
Q001197	Automatställare
Q001198	Civilingenjör, maskin
Q001199	Redaktionschef
Q001200	Skogsförvaltare
Q001201	Brodör/Brodös
Q001202	Musikalartist
Q001203	Reparationssnickare
Q001204	Servitör, fartyg/Servitris, fartyg
Q001205	Maskinbefäl, fartyg
Q001206	Dragspelsbyggare
Q001207	Showartist
Q001208	Landsantikvarie
Q001209	Läkemedelsinspektör
Q001210	Handformare, gjuteri
Q001211	Husdjurstekniker
Q001212	Paleontolog
Q001213	Prissättare
Q001214	Mediatextare
Q001215	Fondchef, statlig
Q001216	Organisationssekreterare, intresseorganisation
Q001217	Fotoetsare
Q001218	Processingenjör, gruv
Q001219	Sug- och spolbilsförare
Q001220	Forskare, pedagogik
Q001221	Biografvärd/Biografvaktmästare
Q001222	Produktionschef, bygg
Q001223	Inköpsledare
Q001224	Betongarbetare, utan yrkesbevis
Q001225	Specialistpsykolog
Q001226	Ledsagare
Q001227	Vårdutvecklare
Q001228	Hydraulmontör
Q001229	Infrastrukturspecialist, It
Q001230	Habiliteringsassistent
Q001231	Repetitör
Q001232	Kammarrättsassessor
Q001233	Miljöhandläggare
Q001234	Processoperatör, värmebehandling
Q001235	Biokemist
Q001236	Sjukvårdstolk
Q001237	Importchef
Q001238	Nättillverkare
Q001239	Fartygsinspektör
Q001240	Falsare, bokbinderi
Q001241	Koordinator: kultur, media, film, dataspel
Q001242	Träullsarbetare
Q001243	Landskapsarkitekt
Q001244	Metallkonstruktionsmontör
Q001245	Osteopat
Q001246	Fiskeribiolog
Q001247	Riksgäldsdirektör
Q001248	Projektledare, logistik
Q001249	Signalingenjör
Q001250	Fysiolog
Q001251	Elevassistent
Q001252	Automatpressare, metall
Q001253	Finansiell controller
Q001254	Arbetsledare, elkraft
Q001255	Orgelbyggare
Q001256	PR-konsult
Q001257	Forskare, genetik
Q001258	Virkmaskinskötare
Q001259	Skoputsare
Q001260	Ekonomibiträde, fartyg
Q001261	Limmare, snickeri
Q001262	Bärplockare
Q001263	Berggrundsgeolog
Q001264	Underhållschef
Q001265	Centrifugoperatör, glas
Q001266	Civilingenjör, produktion, gruv, metallurgi
Q001267	Lindansare
Q001268	Skyddsingenjör
Q001269	Originalare/Final Art
Q001270	Upphovsrättsjurist
Q001271	Kontorsbiträde
Q001272	Solskyddsmontör
Q001273	Lastningsförman/Load master
Q001274	Projektledare, telekom
Q001275	Attaché
Q001276	Textilingenjör
Q001277	Bilskadereglerare
Q001278	Centrumutvecklare/Handelsutvecklare
Q001279	Transportplanerare
Q001280	Ventilationsmontör
Q001281	Koreolog
Q001282	Museipedagog/Museilärare
Q001283	Informationskonsult
Q001284	Hovrättspresident
Q001285	Ungdomskonsulent, fritid
Q001286	Föreningsinstruktör
Q001287	HR-controller
Q001288	Stengravör
Q001289	Distributionschef, logistik och transporter
Q001290	Tandhygienist
Q001291	Stylist
Q001292	Speltestare/QA
Q001293	Företagspsykolog
Q001294	Processingenjör, maskin
Q001295	Församlingsföreståndare, frikyrka
Q001296	Driftledare, lantbruk
Q001297	Affärskonsult, IT
Q001298	Key account manager
Q001299	Testutvecklare
Q001300	Frontofficepersonal
Q001301	Bokföringskontorist
Q001302	Maskinoperatör, gipsplattor
Q001303	Konferensplanerare
Q001304	Klubbvärdinna
Q001305	Tandläkare
Q001306	Förpackningstekniker
Q001307	Anläggningsdykare
Q001308	Handläggare, intresseorganisation/Utredare, intresseorganisation
Q001309	Kundvagnsuppsamlare
Q001310	Laminerare, plast
Q001311	TV-tekniker/Hemelektroniktekniker
Q001312	Fartygsintendent
Q001313	Förrådsarbetare, bygg
Q001314	Jaktvårdare/Viltvårdare
Q001315	Flygplansplåtslagare
Q001316	Emaljör
Q001317	Game programmer
Q001318	Programvärd/Programvärdinna
Q001319	Blästrare
Q001320	Gradör
Q001321	Webbanalytiker
Q001322	Måltidsbiträde
Q001323	Forskare, teologi
Q001324	Omsorgschef
Q001325	Privatbokbindare
Q001326	Hovslagare
Q001327	Dietkock/Dietkokerska
Q001328	Mediakonsulent
Q001329	Förskolekonsulent
Q001330	Kostekonom
Q001331	Administrativ utvecklare
Q001332	Leveransman
Q001333	Trumtillverkare
Q001334	Kinesiolog
Q001335	Chefsbarnmorska
Q001336	Specialisttandläkare
Q001337	Assessor
Q001338	Forskningsassistent, biologi
Q001339	Kvalitetsingenjör, metallurgi/Kvalitetstekniker, metallurgi
Q001340	Musiker
Q001341	Forskare, statskunskap
Q001342	Webbansvarig/Webbstrateg
Q001343	Varumärkare/Prismärkare
Q001344	Förvaltningsjurist
Q001345	Croupier
Q001346	Kontakttolk/Dialogtolk
Q001347	Forskare, farmakologi
Q001348	VA-ingenjör
Q001349	Nätverksoperatör
Q001350	Försvarsmeteorolog
Q001351	Begravningsrådgivare
Q001352	Golvslipare, trä
Q001353	Sjuksköterska, psykiatrisk vård
Q001354	Virkeschef
Q001355	Produktionsekonom
Q001356	VD-sekreterare
Q001357	Apotekschef
Q001358	Röntgentekniker
Q001359	Miljöjurist
Q001360	Begravningsassistent
Q001361	Materialstyrare
Q001362	Intensivvårdssjuksköterska
Q001363	Bensinstationsföreståndare/Stationschef
Q001364	Automationstekniker, maskin
Q001365	Kvalitetsmätare, metallprodukter
Q001366	Lokförare/Förare av tåg
Q001367	Rehabhandläggare
Q001368	Laborant, kemi
Q001369	Musikförläggare
Q001370	Auktionsbiträde
Q001371	Akademisekreterare
Q001372	Stationsmontör, elkraft/Stationstekniker, elkraft
Q001373	Elektriker, film/Elektriker, TV
Q001374	Marinarkeolog
Q001375	Chefspilot
Q001376	Aromaterapeut
Q001377	Maskinoperatör, juice, frukt, grönsaker och vegetabilisk olja
Q001378	Växtskötare
Q001379	Ytkemist
Q001380	Pianostämmare
Q001381	Finanskonsult
Q001382	Exportspeditör
Q001383	Inspector dealer
Q001384	Automationsingenjör, gruvteknik och metallurgi
Q001385	Charkuteriarbetare, slakteri
Q001386	Kanslichef
Q001387	Verkstadselektriker
Q001388	Resemontör, maskin
Q001389	Arbetsledare, kontorspersonal/Gruppledare, kontorspersonal
Q001390	Hemterapeut
Q001391	Handsksömmare
Q001392	Klinikapotekare
Q001393	Ekologisk hudvårdsterapeut
Q001394	Valsverksingenjör
Q001395	Teknisk chef, fartyg/Maskinchef, fartyg
Q001396	Forskningsassistent, humaniora
Q001397	Internatföreståndare/Skolmåltidsföreståndare
Q001398	Nätverksadministratör
Q001399	Oljesanerare
Q001400	Leveranskoordinator, IT
Q001401	Friskvårdsledare
Q001402	Viltforskare
Q001403	Provningsingenjör, maskin
Q001404	Fartygselektriker
Q001405	Signaltekniker
Q001406	Lärare i grundskolan, årskurs 1-6
Q001407	Handstickare
Q001408	Pressmed
Q001409	Körsnär/Pälsmodellör
Q001410	Persiennmontör
Q001411	Gårdsmästare, blandad drift/Rättare, blandad drift
Q001412	Arbetsledare, murning
Q001413	IT-säkerhetschef/IT security manager
Q001414	Operachef
Q001415	Kock, storhushåll
Q001416	Talpedagog
Q001417	Illusionist
Q001418	Servicetekniker, maskin
Q001419	Speditionstjänsteman
Q001420	Grafisk formgivare
Q001421	Integrationshandläggare
Q001422	Färgblandare, tryckeri
Q001423	Avfallsspecialist
Q001424	Avdelningschef, gruva
Q001425	Kyrkokamrer
Q001426	Fanerskärare
Q001427	Forskare, omvårdnad
Q001428	Vattenkrafttekniker
Q001429	Polisaspirant
Q001430	Greenkeeper
Q001431	Damskräddare
Q001432	Pontonkranförare
Q001433	Inköpsassistent/Inköpskontorist/Inköpssekreterare
Q001434	Forskare, kriminalvård
Q001435	Kostymör
Q001436	Marknadsförare
Q001437	Verktygssmed
Q001438	Hortonom
Q001439	Metodstatistiker
Q001440	Fiskodlare
Q001441	Golvbeläggningsarbetare, industrigolv
Q001442	Atomfysiker
Q001443	Bostadsförmedlare
Q001444	Reklamtextare
Q001445	Spannramsförare
Q001446	Kyl- och värmepumpsmontör
Q001447	Bilvårdare/Garagearbetare
Q001448	Tapetserare, industriell tillverkning
Q001449	Personskadereglerare
Q001450	Flight Data Operator/FDO/Flygledarassistent
Q001451	Räddningschef
Q001452	Akupressör
Q001453	Fordonsingenjör
Q001454	Montör, el- och teleutrustning
Q001455	Personlig tränare/PT
Q001456	Nattchef, redaktion
Q001457	Fartygsoperatör
Q001458	Telefonförsäljare
Q001459	Maskinskötare, glasstillverkning
Q001460	Stationär väktare/Receptionsväktare
Q001461	Projektledare, medicinteknik
Q001462	Värmepumpsmontör
Q001463	Stiftsdiakon
Q001464	Ballongflygare
Q001465	Fiskmästare
Q001466	Grafisk operatör, digital produktion
Q001467	GIS-utvecklare
Q001468	Kantor
Q001469	Forskare, språk
Q001470	Mätningschef, virkesmätning
Q001471	Verksamhetsarkitekt
Q001472	Plastimpregnerare
Q001473	Trähusarbetare/Spikare
Q001474	Verksamhetsanalytiker
Q001475	Reservdelschef
Q001476	Flyginstruktör/Flyglärare
Q001477	Smidesmekaniker
Q001478	Kostkonsulent/Kostutvecklare/Måltidsutvecklare
Q001479	Brandchef
Q001480	Excenterpressare/Pressoperatör, metallarbete
Q001481	Barnsjuksköterska, akutmottagning
Q001482	Servicehandläggare
Q001483	Ortopedingenjör
Q001484	Sporthallsvaktmästare
Q001485	Manager
Q001486	Podiater/Podiatriker
Q001487	Överbibliotekarie
Q001488	Technical Operation Manager/TOM
Q001489	Flyginspektör
Q001490	Turistvärd/Turistvärdinna
Q001491	Fordonslackerare
Q001492	Provningsingenjör, el-tele
Q001493	Produktionsingenjör, kemi
Q001494	Visual Effects Artist/VFX Artist
Q001495	Robotmontör
Q001496	Produktionstekniker, maskin/Produktionstekniker, verkstad
Q001497	Civilingenjör, organisationsutveckling
Q001498	Informationsspecialist
Q001499	Skogslärare/Skogsbrukslärare/Skogsbruksinstruktör
Q001500	Arkitekt
Q001501	Planeringsingenjör, el-tele
Q001502	Bredbandsinstallatör
Q001503	Restaurangchef
Q001504	Arbetsförmedlare
Q001505	Kriminalvårdsdirektör
Q001506	Drönaroperatör/Drönarpilot
Q001507	Hälsoplanerare
Q001508	Reklamassistent/Reklamsekreterare
Q001509	Laseroperatör/Laserskärare
Q001510	Infrastrukturarkitekt
Q001511	Ugnsskötare, glas, keramik
Q001512	Hydrolog
Q001513	Barnmorska, vårdavdelning/Barnmorska, BB-avdelning
Q001514	Ledningsmontör, tele
Q001515	Onlinemarknadsförare
Q001516	Husmor
Q001517	Maskinoperatör, läkemedel
Q001518	Stensättare
Q001519	TV-chef
Q001520	Attributmakare
Q001521	Dekoratör, keramik, glas
Q001522	Båtskadeinspektör
Q001523	Rabbin
Q001524	Befälhavare, Kustbevakningen
Q001525	Avsynare, el-tele
Q001526	Arrendator, blandad drift
Q001527	Flygmäklare
Q001528	Speltestare
Q001529	Slipare, metall
Q001530	Fiskal
Q001531	Undersköterska, hemtjänst, äldreboende och habilitering
Q001532	Säljledare, resebyrå
Q001533	Hundtrimmare
Q001534	Konsumentvägledare
Q001535	Blåsinstrumentmakare
Q001536	Processansvarig, ITIL
Q001537	Glasgravör
Q001538	Arkivchef
Q001539	Special Effects Artist/SFX Artist
Q001540	Packare
Q001541	Arrangör, musik
Q001542	Planeringsingenjör, textil, trä, glas, förpackningar
Q001543	Operationssjuksköterska
Q001544	Kreditman
Q001545	Civilingenjör, kemi
Q001546	Biografmaskinist
Q001547	Kokillgjutare
Q001548	Originaltecknare
Q001549	Plywoodarbetare
Q001550	Brottmålsadvokat
Q001551	Blåsare, stålverk
Q001552	Slöjdare
Q001553	Lantbrevbärare
Q001554	Utvecklingsingenjör, elkraft
Q001555	Anaplastolog
Q001556	Spannmålstorkare
Q001557	Djurskötare, gris
Q001558	Universitets- och högskoleadjunkt
Q001559	Akustikingenjör
Q001560	Personalutvecklare
Q001561	Radioexpeditör
Q001562	Hamnkapten
Q001563	Försäkringsutredare, försäkringskassa
Q001564	Produktionsassistent
Q001565	Lantbruksdirektör
Q001566	Pressekreterare
Q001567	Planeringschef
Q001568	Kurator
Q001569	Data Warehouse specialist
Q001570	Applikationsingenjör
Q001571	Byggledare
Q001572	Briefing Officer, luftfart
Q001573	Stickare, textilindustri
Q001574	Underhållsanalytiker, elkraft
Q001575	Chief Operations/CO, flygledning
Q001576	Naturvårdsingenjör
Q001577	Utvecklingsingenjör, kemi
Q001578	Konferenschef
Q001579	Maskinoperatör, mekanisk verkstad
Q001580	Dekorationsmålare, glas
Q001581	Installationsingenjör
Q001582	Miljörevisor
Q001583	Gjutberedare
Q001584	Produktionsledare: kultur, media, film
Q001585	Konsertmästare
Q001586	Hundgårdsförman
Q001587	Kemitekniker
Q001588	Serietecknare
Q001589	Enhetschef, hälso- och sjukvård
Q001590	Instrumentmekaniker
Q001591	Biolog
Q001592	Möbelmontör/Inredningsmontör
Q001593	Taxiförare/Taxichaufför
Q001594	Textilkonstnär
Q001595	Kostchef
Q001596	Baderska, sjukhem
Q001597	Fyllnings- och förpackningsoperatör
Q001598	Taktilterapeut
Q001599	Underhållsplanerare
Q001600	Placeringsrådgivare
Q001601	Sjukhuspräst
Q001602	Hundpsykolog
Q001603	Försöksdjurskötare/Försöksdjurstekniker
Q001604	Butikskonsulent
Q001605	Museiassistent
Q001606	Inspicient
Q001607	Baptistpastor
Q001608	Naturvårdshandläggare
Q001609	Fritidsledare
Q001610	Lantbrukare, blandad drift
Q001611	Traktormekaniker
Q001612	Brunnsborrare
Q001613	Systemtestare/Funktionstestare
Q001614	Förbundsordförande
Q001615	Affärsutvecklare
Q001616	Fastighetsassistent
Q001617	Organisationskonsult
Q001618	Hörselvårdstekniker
Q001619	Plasmafysiker
Q001620	Virkesköpare/Virkesinköpare
Q001621	Orkesterchef
Q001622	Trafiklots
Q001623	Kanslijurist
Q001624	Gjutmästare
Q001625	Elektronikkonstruktör
Q001626	Civilingenjör, kvalitet, kemiteknik
Q001627	Processoperatör, papper
Q001628	Civilingenjör, forskning inom bygg och anläggning
Q001629	Bokförare
Q001630	Länsbibliotekarie
Q001631	Borrledare, petroleumutvinning
Q001632	Maskinoperatör, kemitekniska produkter
Q001633	Civilingenjör, lantmäteri
Q001634	Socionom
Q001635	Coldsettryckare
Q001636	Mönsterkonstruktionsassistent
Q001637	Teatertekniker/Scentekniker
Q001638	Färgtryckspåläggare, porslin
Q001639	Brevbärare
Q001640	Överdirektör
Q001641	Motorelev, fartyg
Q001642	Maskinreparatör, stationära
Q001643	Teckenspråkstolk/Dövblindtolk
Q001644	Offertberedare
Q001645	Eltekniker
Q001646	Lantmäterichef
Q001647	Informatör/Kommunikatör
Q001648	Församlingspedagog
Q001649	Civil brottsutredare
Q001650	Matematiker
Q001651	Planhyvlare, trä
Q001652	Renhållningsmaskinförare
Q001653	Forskare, agronomi
Q001654	Ekotoxikolog
Q001655	Flygplanselektriker
Q001656	Antropolog
Q001657	Notariatchef, bank
Q001658	Styckmästare
Q001659	Motorbyggare
Q001660	Abonnemangsförsäljare
Q001661	Orderassistent
Q001662	Arbetsledare, lager
Q001663	Språkkonsult
Q001664	Geologassistent
Q001665	SSA-sekreterare
Q001666	Verkstadschef
Q001667	Internrevisionschef
Q001668	Webbredaktör
Q001669	Produktionsingenjör, elektronik
Q001670	Laboratorieingenjör, metallurgi
Q001671	Friskvårdskonsult/Hälsovägledare
Q001672	Trafikplanerare, transportföretag
Q001673	Bildterapeut
Q001674	Filmpassare
Q001675	Förrådschef
Q001676	Civilingenjör, bygg
Q001677	Läderfärgare
Q001678	Driftmontör, elkraft
Q001679	Lärling, tak- och tätskiktsmontör
Q001680	Expeditör, spedition
Q001681	Hyvlare, trä
Q001682	Programpresentatör
Q001683	Framtidsforskare
Q001684	Processoperatör, smältverk
Q001685	Laboratorieveterinär
Q001686	Gjuterioperatör
Q001687	Arbetsledare, kundservice/Gruppledare, kundservice
Q001688	Färdmekaniker, helikopter
Q001689	Trädgårdsförman
Q001690	Avdelningschef, bank
Q001691	Hemförsäljare
Q001692	Lantbrukare, djuruppfödning
Q001693	Gjutare
Q001694	Kundmottagare, bilverkstad/Verkmästare, bilverkstad
Q001695	Talassolog
Q001696	Försäkringsombud
Q001697	Vitvarumontör
Q001698	Orkesterledare
Q001699	Testledare/QA lead
Q001700	Byggnadsinspektör
Q001701	Charkuterist
Q001702	Vältförare
Q001703	Kvalitetsingenjör, el-tele
Q001704	Servicetekniker, elkraft
Q001705	Möbelrenoverare/Möbelrestauratör
Q001706	Renhållningsförare
Q001707	Expressarbetare/Flyttkarl/Stadsbud
Q001708	Lärling, golvläggare
Q001709	Produktionschef, tillverkning
Q001710	Verkstadsingenjör
Q001711	Markförhandlare
Q001712	Grävlastarförare, anläggning
Q001713	Inspektör, Polisen
Q001714	Träförgyllare
Q001715	Färdigmatlagare
Q001716	Friluftssamordnare
Q001717	Pålmaskinförare
Q001718	Seismolog
Q001719	Karttekniker
Q001720	Tågvarnare
Q001721	Hälsoekonom
Q001722	Torvarbetare
Q001723	Idéhistoriker
Q001724	Nätplanerare
Q001725	Ordermottagare
Q001726	Gasskärare
Q001727	Hjälpmedelstekniker
Q001728	Stenborrare, stenbrott
Q001729	Arbetsledare, rivning
Q001730	Stadssekreterare
Q001731	Rostskyddsmålare
Q001732	Transportingenjör
Q001733	Fartygskonstruktör
Q001734	Trafikingenjör
Q001735	Beredskapsdirektör
Q001736	Chief Information Officer/CIO/IT-chef
Q001737	Ateljésömmerska
Q001738	Kompositör
Q001739	Sjukhusfysiker
Q001740	Kundserviceingenjör, tillverkningsindustri
