C000001_ro_000	Forțele armate
C001255_ro_003	constructor de decoruri
C001255_ro_004	maistru tâmplar
C001255_ro_005	tâmplar
C001256_ro_000	lucrător în prelucrarea cărnii/lucrătoare în prelucrarea cărnii
C001256_ro_001	lucrătoare în prelucrarea cărnii
C001256_ro_002	lucrător în prelucrarea cărnii
C001256_ro_003	operatoare linie de abatorizare
C001256_ro_004	operatoare linie de sacrificare
C001256_ro_005	operator linie de abatorizare
C001256_ro_006	operator linie de sacrificare
C001257_ro_000	responsabil cu probleme de mediu pentru proiectele de sisteme de transport prin conducte
C001257_ro_001	inspector de mediu pentru proiectele de sisteme de transport prin conducte
C001257_ro_002	responsabil cu analiza impactului de mediu în cazul sistemelor de transport prin conducte
C001257_ro_003	specialist în analiza impactului de mediu în cazul sistemelor de transport prin conducte
C001258_ro_000	operator mașini de filat fibre textile artificiale și sintetice/operatoare mașini de filat fibre textile artificiale și sintetice
C001258_ro_001	filatoare
C001258_ro_002	filator
C001258_ro_003	lucrătoare în filatură-țesătorie
C001258_ro_004	lucrător în filatură-țesătorie
C001258_ro_005	operatoare mașini de filat fibre textile artificiale și sintetice
C001258_ro_006	operator mașini de filat fibre textile artificiale și sintetice
C001259_ro_000	distribuitor filme
C001259_ro_001	agent distribuție
C001259_ro_002	agent distribuție filme
C001259_ro_003	agent distribuție seriale de televiziune
C001259_ro_004	distribuitor seriale de televiziune
C001260_ro_000	asamblor-montator geamuri
C001260_ro_001	asambloare geamuri
C001260_ro_002	asamblor geamuri
C001260_ro_003	geamgiu
C001260_ro_004	montatoare geamuri
C001260_ro_005	montator geamuri
C001261_ro_000	judecător instanță supremă
C001261_ro_001	judecător curte supremă
C001261_ro_002	judecător Înalta Curte de Casație și Justiție
C001262_ro_000	proiectant de sisteme informatice inteligente/proiectantă de sisteme informatice inteligente
C001262_ro_001	proiectant de sisteme informatice inteligente
C001262_ro_002	proiectant de sisteme inteligente
C001262_ro_003	proiectantă de sisteme informatice inteligente
C001262_ro_004	proiectantă de sisteme inteligente
C001263_ro_000	specialist marketing online/specialistă marketing online
C001263_ro_001	specialist marketing
C001263_ro_002	specialist marketing online
C001263_ro_003	specialist în marketing
C001263_ro_004	specialistă marketing
C001263_ro_005	specialistă marketing online
C001263_ro_006	specialistă în marketing
C001264_ro_000	tricoter/tricoteră
C001264_ro_001	dantelar
C001264_ro_002	dantelăreasă
C001264_ro_003	tricoter
C001264_ro_004	tricoteră
C001265_ro_000	clasificator pastă de hârtie/clasificatoare pastă de hârtie
C001265_ro_001	clasificatoare pastă de hârtie
C001265_ro_002	clasificatoare pastă de hârtie și hârtie
C001265_ro_003	clasificatoare pastă din lemn
C001265_ro_004	clasificator pastă de hârtie
C001265_ro_005	clasificator pastă de hârtie și hârtie
C001265_ro_006	clasificator pastă din lemn
C001265_ro_007	inspector calitate pastă de hârtie
C001266_ro_000	tehnician chimist
C001266_ro_001	inginer chimist
C001266_ro_002	laborant chimist
C001267_ro_000	agent de rezervare/agentă de rezervare
C001267_ro_001	agent de rezervare
C001267_ro_002	agentă de rezervare
C001268_ro_000	inginer tehnologia lemnului/ingineră tehnologia lemnului
C001268_ro_001	inginer de cercetare în prelucrarea lemnului
C001268_ro_002	inginer tehnologia lemnului
C001268_ro_003	ingineră de cercetare în prelucrarea lemnului
C001268_ro_004	ingineră tehnologia lemnului
C001269_ro_000	inginer specialist în optoelectronică
C001269_ro_001	inginer proiectant aparatură optoelectronică
C001269_ro_002	inginer specialist în aparate și sisteme optoelectronice
C001269_ro_003	inginer specialist în aparatură optoelectronică
C001269_ro_004	inginer specialist în tehnologie optoelectronică
C001270_ro_000	angrosist calculatoare, periferice și softuri/angrosistă calculatoare, periferice și softuri
C001270_ro_001	angrosist calculatoare, periferice și softuri
C001270_ro_002	angrosistă calculatoare, periferice și softuri
C001271_ro_000	profesor de religie în învățământul secundar/profesoară de religie în învățământul secundar
C001271_ro_001	profesoară de religie în învățământul gimnazial
C001271_ro_002	profesoară de religie în învățământul liceal, postliceal
C001271_ro_003	profesoară de religie în învățământul secundar
C001271_ro_004	profesor de religie în învățământul gimnazial
C001271_ro_005	profesor de religie în învățământul liceal, postliceal
C001271_ro_006	profesor de religie în învățământul secundar
C001272_ro_000	specialist în cercetare prin interceptarea comunicațiilor
C001272_ro_001	operator de supraveghere prin interceptarea comunicațiilor
C001272_ro_002	operator pentru interceptarea comunicațiilor efectuate prin sisteme informatice
C001272_ro_003	operator pentru interceptarea comunicațiilor efectuate prin telefon
C001272_ro_004	specialist militar în cercetare prin interceptarea comunicațiilor
C001273_ro_000	merchandiser vizual
C001273_ro_001	decoratoare de vitrine
C001273_ro_002	decorator de vitrine
C001273_ro_003	specialist etalare produse
C001273_ro_004	specialistă etalare produse
C001274_ro_000	tehnician radioelectronist
C001274_ro_001	tehnician radio
C001274_ro_002	tehnician radiocomunicații
C001274_ro_003	tehniciană radio
C001274_ro_004	tehniciană radiocomunicații
C001275_ro_000	ciocolatier
C001275_ro_001	maestru ciocolatier
C001275_ro_002	preparatoare cicocolată
C001275_ro_003	preparator ciocolată
C001276_ro_000	administrator back office piețe financiare
C001276_ro_001	administratoare back office piețe financiare
C001276_ro_002	agent administrativ back office
C001276_ro_003	asistent în brokeraj
C001277_ro_000	editor de sunet/editoare de sunet
C001277_ro_001	editoare de sunet
C001277_ro_002	editor de sunet
C001277_ro_003	editor muzical
C001277_ro_004	monteur de sunet
C001277_ro_005	sunetist
C001278_ro_000	asistent medical șef
C001278_ro_001	asistent medical specializat
C001278_ro_002	asistent medical studii superioare
C001278_ro_003	asistentă medicală specializată
C001278_ro_004	asistentă medicală studii superioare
C001279_ro_000	desenator tehnic arhitectură
C001280_ro_000	animator filme de animație stop motion
C001280_ro_001	specialist în animație stop motion
C001281_ro_000	miner perforator
C001281_ro_001	maistru sondor
C001281_ro_002	sondor
C001281_ro_003	sondor de mină
C001281_ro_004	sondor la forajul mecanizat și reparații sonde
C001281_ro_005	turlist
C001282_ro_000	operator la prăjirea cafelei/operatoare la prăjirea cafelei
C001282_ro_001	operatoare instalațiae prăjire cafea
C001282_ro_002	operatoare la prăjirea cafelei
C001282_ro_003	operator instalațiae prăjire cafea
C001282_ro_004	operator la prăjirea cafelei
C001283_ro_000	controlor de calitate articole de marochinărie/controloare de calitate articole de marochinărie
C001283_ro_001	controloare de calitate
C001283_ro_002	controloare de calitate articole de marochinărie
C001283_ro_003	controlor de calitate
C001283_ro_004	controlor de calitate articole de marochinărie
C001283_ro_005	responsabil calitate marochinărie
C001283_ro_006	responsabilă calitate marochinărie
C001284_ro_000	operator la mașini pentru mularea articolelor din pastă de hârtie, hârtie sau carton/operatoare la mașini pentru mularea articolelor din pastă de hârtie, hârtie sau carton
C001284_ro_001	operatoare la mașini pentru mularea articolelor din pastă de hârtie, hârtie sau carton
C001284_ro_002	operator la mașini pentru mularea articolelor din pastă de hârtie, hârtie sau carton
C001284_ro_003	preparatoare pastă
C001284_ro_004	preparator pastă
C001285_ro_000	muncitor necalificat în culturi vegetale/muncitoare necalificată în culturi vegetale
C001285_ro_001	culegătoare de fructe și legume
C001285_ro_002	culegător de fructe și legume
C001285_ro_003	muncitoare necalificată în culturi vegetale
C001285_ro_004	muncitor necalificat în culturi vegetale
C001286_ro_000	șef serviciu pază și securitate
C001286_ro_001	director departament securitate
C001286_ro_002	manager de securitate
C001286_ro_003	manager securitate
C001286_ro_004	șef formație pază și ordine
C001286_ro_005	șef obiectiv servicii de securitate
C001286_ro_006	șef serviciu securitate
C001287_ro_000	pictor/pictoriță
C001287_ro_001	pictor
C001287_ro_002	pictoriță
C001288_ro_000	gravor de bijuterii/gravoare de bijuterii
C001288_ro_001	bijutier
C001288_ro_002	decoratoare de bijuterii
C001288_ro_003	decorator de bijuterii
C001288_ro_004	designer de bijuterii
C001288_ro_005	giuvaergiu
C001288_ro_006	gravoare de bijuterii
C001288_ro_007	gravor de bijuterii
C001288_ro_008	gravor manual
C001288_ro_009	gravor metale prețioase
C001288_ro_010	gravor sticlă
C001288_ro_011	gravor în argint
C001288_ro_012	gravor în aur
C001288_ro_013	maistru gravor în sticlă
C001288_ro_014	operatoare mașină gravură
C001288_ro_015	operator mașină gravură
C001289_ro_000	operator conversia amidonului/operatoare conversia amidonului
C001289_ro_001	operatoare conversia amidonului
C001289_ro_002	operator conversia amidonului
C001290_ro_000	documentarist/documentaristă
C001290_ro_001	documentarist
C001290_ro_002	documentaristă
C001291_ro_000	manager achiziții
C001292_ro_000	inspector jocuri de noroc
C001293_ro_000	asistent bibliotecar
C001293_ro_001	funcționar bibliotecă
C001293_ro_002	funcționară bibliotecă
C001294_ro_000	profesor în învățământul profesional și tehnic: turism și alimentație/profesoară în învățământul profesional și tehnic: turism și alimentație
C001294_ro_001	formator în domeniul servicii de alimentație
C001294_ro_002	profesoară în domeniul: prelucrarea și tehnologia alimentelor
C001294_ro_003	profesoară în învățământul profesional și tehnic: servicii de alimentație
C001294_ro_004	profesoară în învățământul profesional și tehnic: turism și alimentație
C001294_ro_005	profesor în domeniul: prelucrarea și tehnologia alimentelor
C001294_ro_006	profesor în învățământul profesional și tehnic: servicii de alimentație
C001294_ro_007	profesor în învățământul profesional și tehnic: turism și alimentație
C001295_ro_000	măcelar
C001295_ro_001	carmangiu
C001295_ro_002	lucrător carmangerie
C001295_ro_003	lucrător măcelarie
C001296_ro_000	șef atelier montaj mașini-unelte
C001297_ro_000	director distribuție articole din porțelan și sticlă
C001297_ro_001	manager distribuție articole din porțelan și sticlă
C001298_ro_000	controlor calitate articole de îmbrăcăminte/controloare calitate articole de îmbrăcăminte
C001298_ro_001	controloare calitate articole de îmbrăcăminte
C001298_ro_002	controloare calitate articole vestimentare
C001298_ro_003	controlor calitate articole de îmbrăcăminte
C001298_ro_004	controlor calitate articole vestimentare
C001299_ro_000	desenator tehnic în inginerie mecanică
C001300_ro_000	ofițer de politici în domeniul concurenței
C001301_ro_000	agent vânzări leasing auto
C001301_ro_001	agent vânzări auto în leasing
C001302_ro_000	inspector nave
C001302_ro_001	inspector maritim
C001303_ro_000	ofițer de poliție judiciară
C001303_ro_001	polițist
C001303_ro_002	polițistă
C001304_ro_000	oficial sportiv acreditat
C001305_ro_000	tehnician hardware/tehniciană hardware
C001305_ro_001	tehnician IT
C001305_ro_002	tehnician hardware
C001305_ro_003	tehniciană IT
C001305_ro_004	tehniciană hardware
C001306_ro_000	consultant de investiții
C001306_ro_001	consultant în domeniul investițiilor
C001306_ro_002	specialist servicii de consultanță de investiții
C001307_ro_000	agent curățenie parc de distracții
C001307_ro_001	femeie de serviciu
C001307_ro_002	femeie de serviciu parc de distracții
C001308_ro_000	reprezentant închirieri
C001308_ro_001	agent închirieri
C001308_ro_002	manager închirieri
C001308_ro_003	șef de echipă închirieri
C001309_ro_000	ofițer de politici în domeniul economiei
C001310_ro_000	consultant-terapeut exerciții fizice
C001311_ro_000	agent de expediție
C001312_ro_000	vânzător specializat animale de companie, hrană și accesorii
C001312_ro_001	vânzător accesorii animale de companie
C001312_ro_002	vânzător animale de companie
C001312_ro_003	vânzător animale de companie și hrană pentru animale de companie
C001312_ro_004	vânzător hrană pentru animale de companie
C001312_ro_005	vânzător specializat accesorii animale de companie
C001312_ro_006	vânzător specializat animale de companie
C001313_ro_000	operator parc de distracții
C001313_ro_001	operator atracții
C001313_ro_002	operator atracții parc de distracții
C001314_ro_000	specialist import-export fructe și legume
C001315_ro_000	inspector pentru acordarea de licențe, permise și autorizații/inspectoare pentru acordarea de licențe, permise și autorizații
C001315_ro_001	inspectoare pentru acordarea de licențe, permise și autorizații
C001315_ro_002	inspector pentru acordarea de licențe, permise și autorizații
C001316_ro_000	profesor în învățământul profesional și tehnic: conducerea automobilului/profesoară în învățământul profesional și tehnic: conducerea automobilului
C001316_ro_001	instructor de conducere auto în învățământul profesional și tehnic
C001316_ro_002	profesoară în învățământul profesional și tehnic: conducerea automobilului
C001316_ro_003	profesor în învățământul profesional și tehnic: conducerea automobilului
C001317_ro_000	operator la fabricarea săpunurilor/operatoare la fabricarea săpunurilor
C001317_ro_001	operatoare la fabricarea săpunurilor
C001317_ro_002	operator la fabricarea săpunurilor
C001317_ro_003	săpunar
C001317_ro_004	săpunăreasă
C001318_ro_000	agent de dezvoltare locală
C001318_ro_001	agent de dezvoltare comunitară
C001318_ro_002	asistent social
C001318_ro_003	asistentă socială
C001318_ro_004	responsabil dezvoltare comunitară
C001318_ro_005	responsabilă dezvoltare comunitară
C001319_ro_000	conducător troleibuz/conducătoare troleibuz
C001319_ro_001	conducătoare troleibuz
C001319_ro_002	conducător troleibuz
C001319_ro_003	șofer autobuz
C001320_ro_000	vânzător specializat echipamente audiologie
C001320_ro_001	vânzător cabinet audiologie
C001320_ro_002	vânzător echipamente audiologie
C001320_ro_003	vânzător specializat cabinet audiologie
C001321_ro_000	marinar nespecializat
C001321_ro_001	elev marinar
C001321_ro_002	elev-marinar
C001321_ro_003	marinar stagiar
C001321_ro_004	marinar ucenic
C001321_ro_005	matroz
C001321_ro_006	mus
C001322_ro_000	manager comercial regional
C001322_ro_001	coordonator comercial regional
C001322_ro_002	director comercial regional
C001322_ro_003	director regional vânzări
C001322_ro_004	responsabil comercial regional
C001323_ro_000	gravor sticlă/gravoare sticlă
C001323_ro_001	gravoare sticlă
C001323_ro_002	gravor
C001323_ro_003	gravor de înaltă precizie
C001323_ro_004	gravor manual
C001323_ro_005	gravor pe sticlă
C001323_ro_006	gravor pe sticlă prin acvaforte
C001323_ro_007	gravor produse de sticlă
C001323_ro_008	gravor sticlă
C001323_ro_009	gravor sticlă ornamentală
C001323_ro_010	maistru gravor în sticlă
C001323_ro_011	specialist în gravură sticlă
C001323_ro_012	specialistă în gravură sticlă
C001324_ro_000	asistent social coordonare profesională
C001324_ro_001	asistent social coordonator
C001324_ro_002	asistent social mentro
C001325_ro_000	operator mașină de pilotat săpun/operatoare mașină de pilotat săpun
C001325_ro_001	operatoare la fabricarea săpunului
C001325_ro_002	operatoare mașină de pilotat săpun
C001325_ro_003	operator extruder săpun
C001325_ro_004	operator la fabricarea săpunului
C001325_ro_005	operator mașină de pilotat săpun
C001326_ro_000	operator inspecție optică automată/operatoare inspecție optică automată
C001326_ro_001	operatoare AOI
C001326_ro_002	operatoare inspecție optică automată
C001326_ro_003	operatoare mașină inspecție optică automată
C001326_ro_004	operator AOI
C001326_ro_005	operator inspecție optică automată
C001326_ro_006	operator mașină inspecție optică automată
C001327_ro_000	operator fierăstrău mecanic cu bandă pentru metale/operator fierăstrău mecanic cu bandă pentru metale
C001327_ro_001	operatoare fierăstrău mecanic
C001327_ro_002	operatoare fierăstrău mecanic cu bandă pentru metale
C001327_ro_003	operator fierăstrău mecanic
C001327_ro_004	operator fierăstrău mecanic cu bandă pentru metale
C001327_ro_005	tăietoare metale
C001327_ro_006	tăietor metale
C001328_ro_000	manager magazin materiale de construcții
C001328_ro_001	manager depozit materiale de construcții
C001328_ro_002	manager magazin bricolaj
C001328_ro_003	șef raion materiale de construcții
C001329_ro_000	curier pe bicicletă
C001329_ro_001	agent curier
C001329_ro_002	curier
C001330_ro_000	angrosist/angrosistă
C001330_ro_001	angrosist
C001330_ro_002	angrosistă
C001331_ro_000	agent specializat în negocierea contractelor de turism
C001332_ro_000	specialist import-export feronerie, instalații sanitare și instalații termice
C001333_ro_000	cercetător în asistență socială
C001333_ro_001	asistent de cercetare în asistență socială
C001333_ro_002	asistent de cercetare în științe sociale
C001333_ro_003	cercetător în științe sociale
C001334_ro_000	director operațiuni îmbrăcăminte
C001334_ro_001	director producție îmbrăcăminte
C001334_ro_002	manager producție îmbrăcăminte
C001335_ro_000	consultant în pescuit
C001336_ro_000	asistent pentru îngrijirea persoanelor vârstnice/asistentă pentru îngrijirea persoanelor vârstnice
C001336_ro_001	asistent pentru îngrijirea persoanelor vârstnice
C001336_ro_002	asistent social
C001336_ro_003	asistentă pentru îngrijirea persoanelor vârstnice
C001336_ro_004	asistentă socială
C001337_ro_000	antrenor de fotbal
C001338_ro_000	operator la fabricarea gumei de mestecat/operatoare la fabricarea gumei de mestecat
C001338_ro_001	lucrătoare la fabricarea gumei de mestecat
C001338_ro_002	lucrător la fabricarea gumei de mestecat
C001338_ro_003	operatoare la fabricarea gumei de mestecat
C001338_ro_004	operator la fabricarea gumei de mestecat
C001339_ro_000	mecanic întreținere și reparații autovehicule
C001339_ro_001	lucrătoare atelier reparații și întreținere auto
C001339_ro_002	lucrătoare autoservice
C001339_ro_003	lucrător atelier reparații și întreținere auto
C001339_ro_004	lucrător autoservice
C001339_ro_005	mecanic auto
C001339_ro_006	tehnician auto
C001339_ro_007	tehnician mecanic
C001339_ro_008	tehnician mecanic întreținere și reparații autovehicule
C001340_ro_000	producător audiovideo/producătoare audiovideo
C001340_ro_001	producătoare audiovideo
C001340_ro_002	producător audiovideo
C001341_ro_000	trader la bursă
C001342_ro_000	profesor în învățământul preuniversitar - alternativa educațională Waldorf/profesoară în învățământul preuniversitar - alternativa educațională Waldorf
C001342_ro_001	educatoare - alternativa educațională Waldorf
C001342_ro_002	educator - alternativa educațională Waldorf
C001342_ro_003	profesoară - alternativa educațională Waldorf
C001342_ro_004	profesoară în învăţământul preuniversitar - alternativa educațională Waldorf
C001342_ro_005	profesor - alternativa educațională Waldorf
C001342_ro_006	profesor în învăţământul preuniversitar - alternativa educațională Waldorf
C001342_ro_007	învățătoare - alternativa educațională Waldorf
C001342_ro_008	învățător - alternativa educațională Waldorf
C001343_ro_000	șlefuitor lemn/șlefuitoare lemn
C001343_ro_001	operatoare maşină de netezit cu abrazivi
C001343_ro_002	operatoare mașină de șlefuit
C001343_ro_003	operator maşină de netezit cu abrazivi
C001343_ro_004	operator mașină de șlefuit
C001343_ro_005	specialist mașină de șlefuit parchet
C001343_ro_006	specialist în șlefuire
C001343_ro_007	specialistă mașină de șlefuit parchet
C001343_ro_008	specialistă în șlefuire
C001343_ro_009	șlefuitoare lemn
C001343_ro_010	șlefuitor lemn
C001344_ro_000	curățitor-sablator
C001344_ro_001	operatoare mașină de sablare
C001344_ro_002	operatoare mașină de sablat
C001344_ro_003	operatoare sablare
C001344_ro_004	operator mașină de sablare
C001344_ro_005	operator mașină de sablat
C001344_ro_006	operator sablare
C001344_ro_007	operator sablator
C001344_ro_008	sablatoare
C001344_ro_009	sablator
C001345_ro_000	manager magazin pește și fructe de mare
C001345_ro_001	manager magazin fructe de mare
C001345_ro_002	manager magazin pește
C001345_ro_003	manager magazin pește proaspăt
C001346_ro_000	director servicii pentru întreprinderi
C001346_ro_001	director agenție de publicitate
C001346_ro_002	director de oficiu poștal
C001347_ro_000	acordor reparator instrumente muzicale
C001347_ro_001	acordoare instrumente muzicale
C001347_ro_002	acordoare orgă
C001347_ro_003	acordoare piane
C001347_ro_004	acordoare vioară
C001347_ro_005	acordor instrumente muzicale
C001347_ro_006	acordor orgă
C001347_ro_007	acordor piane
C001347_ro_008	acordor vioară
C001347_ro_009	confecționer diapazon
C001347_ro_010	confecționeră diapazon
C001347_ro_011	reparatoare instrumente muzicale
C001347_ro_012	reparatoare orgă
C001347_ro_013	reparatoare piane
C001347_ro_014	reparatoare vioară
C001347_ro_015	reparator instrumente muzicale
C001347_ro_016	reparator orgă
C001347_ro_017	reparator piane
C001347_ro_018	reparator vioară
C001347_ro_019	specialist restaurare instrumente muzicale
C001347_ro_020	specialistă restaurare instrumente muzicale
C001348_ro_000	controlor de trafic aerian
C001349_ro_000	cadru didactic în învățământul superior în domeniul medicinei veterinare
C001349_ro_001	asistent universitar în domeniul medicinei veterinare
C001349_ro_002	conferențiar universitar în domeniul medicinei veterinare
C001349_ro_003	doctor în medicină veterinară
C001349_ro_004	lector universitar în domeniul medicinei veterinare
C001349_ro_005	preparator învățământul universitar în domeniul medicinei veterinare
C001349_ro_006	profesor universitar în domeniul medicinei veterinare
C001350_ro_000	operator la fermentarea berii în tancuri/operatoare la fermentarea berii în tancuri
C001350_ro_001	lucrătoare la fermentarea berii în tancuri
C001350_ro_002	lucrător la fermentarea berii în tancuri
C001350_ro_003	operatoare la fermentarea berii în tancuri
C001350_ro_004	operator la fermentarea berii în tancuri
C001351_ro_000	modelor/modeloare
C001351_ro_001	creatoare
C001351_ro_002	creatoare de modele
C001351_ro_003	creator
C001351_ro_004	creator de modele
C001351_ro_005	lucrătoare în ateliere de modele
C001351_ro_006	lucrător în ateliere de modele
C001351_ro_007	modeloare
C001351_ro_008	modelor
C001352_ro_000	bagajist
C001352_ro_001	portar bagajist
C001353_ro_000	reprezentant închirieri vehicule
C001353_ro_001	agent închirieri vehicule
C001353_ro_002	manager închirieri vehicule
C001354_ro_000	șef centru de telecomunicații/șefă centru de telecomunicații
C001354_ro_001	directoare de serviciu de telecomunicații
C001354_ro_002	director de serviciu de telecomunicații
C001354_ro_003	șef centru de telecomunicații
C001354_ro_004	șefă centru de telecomunicații
C001355_ro_000	tehnician instalații în construcții
C001355_ro_001	tehnician HVAC
C001356_ro_000	expert criminalist
C001356_ro_001	tehnician criminalist
C001357_ro_000	mentor
C001358_ro_000	specialist integrare date/specialistă integrare baze de date
C001358_ro_001	specialist dezvoltare baze de date
C001358_ro_002	specialist integrare date
C001358_ro_003	specialistă dezvoltare baze de date
C001358_ro_004	specialistă integrare date
C001359_ro_000	specialist import-export băuturi
C001360_ro_000	muzicoterapeut
C001360_ro_001	specialist muzicoterapie
C001361_ro_000	cadru didactic în învățământul superior în domeniul stomatologiei
C001361_ro_001	asistent universitar în domeniul stomatologiei
C001361_ro_002	conferențiar universitar în domeniul stomatologiei
C001361_ro_003	lector universitar în domeniul stomatologiei
C001361_ro_004	preparator învățământul universitar în domeniul stomatologiei
C001361_ro_005	profesor universitar în domeniul stomatologiei
C001362_ro_000	degustător de cafea/degustătoare de cafea
C001362_ro_001	degustătoare cafea
C001362_ro_002	degustătoare de cafea
C001362_ro_003	degustător cafea
C001362_ro_004	degustător de cafea
C001362_ro_005	specialist degustare cafea
C001362_ro_006	specialist în degustarea cafelei
C001362_ro_007	specialistă în degustarea cafelei
C001363_ro_000	călcător lenjerie/călcătoreasă lenjerie
C001363_ro_001	călcător lenjerie
C001363_ro_002	călcătoreasă lenjerie
C001363_ro_003	lenjereasă de hotel
C001363_ro_004	spălător călcător lenjerie
C001364_ro_000	manipulant bagaje aeroport
C001364_ro_001	manipulant aeroport
C001364_ro_002	manipulant bagaje
C001364_ro_003	manipulant bagaje și marfă
C001364_ro_004	manipulant mărfuri
C001364_ro_005	muncitor în serviciile de trafic aerian
C001365_ro_000	operator la mașini și utilaje pentru prelucrarea pieilor și blănurilor/operatoare la mașini și utilaje pentru prelucrarea pieilor și blănurilor
C001365_ro_001	argăsitoare
C001365_ro_002	argăsitor
C001365_ro_003	muncitoare prelucrare piele
C001365_ro_004	muncitor prelucrare piele
C001365_ro_005	operatoare la mașini și utilaje pentru prelucrarea pieilor și blănurilor
C001365_ro_006	operator la mașini și utilaje pentru prelucrarea pieilor și blănurilor
C001365_ro_007	operator sortator în industria pielăriei
C001365_ro_008	tăbăcar
C001365_ro_009	tăbăcăreasă
C001366_ro_000	inginer de cercetare/ingineră de cercetare
C001366_ro_001	cercetător în inginerie
C001366_ro_002	inginer de cercetare
C001366_ro_003	ingineră de cercetare
C001367_ro_000	profesor în învățământul profesional și tehnic: administrarea afacerilor/profesoară în învățământul profesional și tehnic: administrarea afacerilor
C001367_ro_001	formator în domeniul administrării afacerilor
C001367_ro_002	profesoară în învățământul profesional și tehnic: administrarea afacerilor
C001367_ro_003	profesor în învățământul profesional și tehnic: administrarea afacerilor
C001368_ro_000	climatolog/climatologă
C001368_ro_001	cercetătoare în climatologie
C001368_ro_002	cercetător în climatologie
C001368_ro_003	climatolog
C001368_ro_004	climatologă
C001369_ro_000	instalator instalații tehnico-sanitare și de gaze pentru băi/instalatoare instalații tehnico-sanitare și de gaze pentru băi
C001369_ro_001	instalatoare baie
C001369_ro_002	instalatoare băi
C001369_ro_003	instalatoare instalații tehnico-sanitare și de gaze pentru băi
C001369_ro_004	instalator baie
C001369_ro_005	instalator baie-bucătărie
C001369_ro_006	instalator băi
C001369_ro_007	instalator instalații tehnico-sanitare și de gaze pentru băi
C001369_ro_008	montator mobilier de baie
C001370_ro_000	operator la mașinile și utilajele pentru fabricarea produselor și articolelor din piele/operatoare la mașinile și utilajele pentru fabricarea produselor și articolelor din piele
C001370_ro_001	operatoare la mașinile și utilajele pentru fabricarea produselor și articolelor din piele
C001370_ro_002	operator la mașinile și utilajele pentru fabricarea produselor și articolelor din piele
C001371_ro_000	trezorier-șef
C001371_ro_001	analist trezorerie
C001371_ro_002	director trezorerie
C001372_ro_000	consultant de campanie electorală
C001372_ro_001	consultant campanie politică
C001372_ro_002	consultant de campanie
C001372_ro_003	consultant politic
C001373_ro_000	asamblor echipamente electrice și telecomunicații/asambloare echipamente electrice și telecomunicații
C001373_ro_001	asambloare echipamente electrice și electronice
C001373_ro_002	asambloare echipamente electrice și telecomunicații
C001373_ro_003	asamblor echipamente electrice și electronice
C001373_ro_004	asamblor echipamente electrice și telecomunicații
C001373_ro_005	electrician
C001373_ro_006	electriciană
C001373_ro_007	lăcătuș-montator mașini electrice rotative, transformatoare și aparataj electric
C001374_ro_000	operator la instalații de incinerare/operatoare la instalații de incinerare
C001374_ro_001	operatoare la instalații de incinerare
C001374_ro_002	operator la instalații de incinerare
C001375_ro_000	profesor de pilates/profesoară de pilates
C001375_ro_001	instructoare de pilates
C001375_ro_002	instructor de pilates
C001375_ro_003	profesoară de pilates
C001375_ro_004	profesor de pilates
C001376_ro_000	tehnician în domeniul TIC/tehniciană în domeniul TIC
C001376_ro_001	tehnician în domeniul TIC
C001376_ro_002	tehnician în domeniul tehnologiei informației și comunicațiilor
C001376_ro_003	tehniciană în domeniul TIC
C001376_ro_004	tehniciană în domeniul tehnologiei informației și comunicațiilor
C001377_ro_000	antrenor/antrenoare
C001377_ro_001	antrenoare
C001377_ro_002	antrenor
C001378_ro_000	rabotor-mortezor piatră
C001378_ro_001	operatoare mașină de rabotat
C001378_ro_002	operatoare raboteză
C001378_ro_003	operator mașină de rabotat
C001378_ro_004	operator raboteză
C001378_ro_005	șlefuitoare piatră
C001378_ro_006	șlefuitor piatră
C001379_ro_000	angrosist piei tăbăcite, piei argăsite și articole de pielărie /angrosistă piei tăbăcite, piei argăsite și articole de pielărie
C001379_ro_001	angrosist piei tăbăcite, piei argăsite și articole de pielărie
C001379_ro_002	angrosistă piei tăbăcite, piei argăsite și articole de pielărie
C001380_ro_000	intermediar de credit
C001381_ro_000	specialist import-export flori și plante
C001382_ro_000	casier loterie/casieră loterie
C001382_ro_001	agent loterie
C001382_ro_002	casier
C001382_ro_003	casier agenție loto
C001382_ro_004	casier loterie
C001382_ro_005	casieră
C001382_ro_006	casieră agenție loto
C001382_ro_007	casieră loterie
C001382_ro_008	vânzătoare loterie
C001382_ro_009	vânzător loterie
C001383_ro_000	inginer studii și proiectări căi ferate/ingineră studii și proiectări căi ferate
C001383_ro_001	inginer căi ferate
C001383_ro_002	inginer studii și proiectări căi ferate
C001383_ro_003	ingineră căi ferate
C001383_ro_004	ingineră studii și proiectări căi ferate
C001383_ro_005	proiectant inginer căi ferate
C001384_ro_000	manager securitate și sănătate în muncă lucrări de construcții
C001384_ro_001	manager SSM construcții
C001384_ro_002	manager SSM lucrări de construcții
C001385_ro_000	președinte instanță
C001385_ro_001	administrator judecătorie
C001385_ro_002	administrator tribunal
C001385_ro_003	președinte curte de apel
C001385_ro_004	președinte judecătorie
C001385_ro_005	președinte tribunal
C001386_ro_000	desenator tehnic material rulant
C001387_ro_000	educator/educatoare
C001387_ro_001	educatoare
C001387_ro_002	educatoare grădiniță
C001387_ro_003	educator
C001387_ro_004	educator grădiniță
