C000001_es_000	Ocupaciones militares
C001101_es_005	directora de seguridad de las TIC
C001101_es_006	directora de seguridad de las TICs
C001101_es_007	directora de seguridad informática
C001101_es_008	gerente de seguridad de las TIC
C001101_es_009	responsable de seguridad de las TIC
C001102_es_000	ingeniero técnico en electrónica/ingeniera técnica en electrónica
C001102_es_001	ingeniera técnica en electrónica
C001102_es_002	ingeniero técnico en electrónica
C001103_es_000	coordinador logístico de transporte ferroviario/coordinadora logística de transporte ferroviario
C001103_es_001	coordinador logístico de transporte ferroviario
C001103_es_002	coordinadora logística de transporte ferroviario
C001104_es_000	inspector de buque de carga/inspectora de buque de carga
C001104_es_001	inspector de buque de carga
C001104_es_002	inspector de carguero
C001104_es_003	inspectora de buque de carga
C001104_es_004	inspectora de carguero
C001105_es_000	profesor de historia en educación secundaria/profesora de historia en educación secundaria
C001105_es_001	profesor de historia en educación secundaria
C001105_es_002	profesora de historia en educación secundaria
C001106_es_000	químico metalúrgico/química metalúrgica
C001106_es_001	ingeniera metalúrgica especialista en procesos químicos
C001106_es_002	ingeniero metalúrgico especialista en procesos químicos
C001106_es_003	metalúrgica de las industrias extractivas
C001106_es_004	metalúrgico de las industrias extractivas
C001106_es_005	química metalúrgica
C001106_es_006	químico metalúrgico
C001107_es_000	operador de guillotina de papel/operadora de guillotina de papel
C001107_es_001	operador de guillotina de papel
C001107_es_002	operador de máquina cortadora de papel
C001107_es_003	operadora de guillotina de papel
C001107_es_004	operadora de máquina cortadora de papel
C001107_es_005	operaria de guillotina de papel
C001107_es_006	operaria de máquina cortadora de papel
C001107_es_007	operario de guillotina de papel
C001107_es_008	operario de máquina cortadora de papel
C001107_es_009	técnica de guillotina de papel
C001107_es_010	técnico de guillotina de papel
C001108_es_000	marionetista
C001108_es_001	titiritero
C001109_es_000	responsable de políticas de desarrollo regional
C001110_es_000	analista de la calidad del agua
C001111_es_000	especialista en terapias alternativas para animales
C001111_es_001	especialista en equinoterapia alternativa
C001111_es_002	especialista en terapias naturales para animales domésticos
C001111_es_003	terapeuta especializada en terapias alternativas para animales
C001111_es_004	terapeuta especializado en terapias alternativas para animales
C001112_es_000	fabricante de artículos textiles confeccionados
C001113_es_000	operador de centrifugadora/operadora de centrifugadora
C001113_es_001	centrifugador
C001113_es_002	centrifugadora
C001113_es_003	operador de centrifugadora
C001113_es_004	operadora de centrifugadora
C001113_es_005	operaria de centrifugado
C001113_es_006	operario de centrifugado
C001113_es_007	responsable de centrifugación
C001113_es_008	responsable de centrifugado
C001113_es_009	responsable de operaciones de centrifugado
C001114_es_000	técnico de trenzado textil/técnica de trenzado textil
C001114_es_001	operador de telar para trenzar
C001114_es_002	operador de trenzado textil
C001114_es_003	operadora de telar para trenzar
C001114_es_004	operadora de trenzado textil
C001114_es_005	responsable de telar para trenzar
C001114_es_006	responsable del departamento de trenzado textil
C001114_es_007	técnica de trenzado textil
C001114_es_008	técnico de trenzado textil
C001115_es_000	asesor de viajes/asesora de viajes
C001115_es_001	asesor de viajes
C001115_es_002	asesor en agencias de viajes
C001115_es_003	asesora de viajes
C001115_es_004	asesora en agencias de viajes
C001115_es_005	consultor en agencias de viajes
C001115_es_006	consultor turístico
C001115_es_007	consultora en agencias de viajes
C001115_es_008	consultora turística
C001115_es_009	empleada de agencias de viajes
C001115_es_010	empleado de agencias de viajes
C001116_es_000	probador de coches/probadora de coches
C001116_es_001	probador de coches
C001116_es_002	probadora de coches
C001117_es_000	meteorólogo de aviación/meteoróloga de aviación
C001117_es_001	meteoróloga de aviación
C001117_es_002	meteorólogo de aviación
C001118_es_000	patronista de cuero con diseño asistido por ordenador
C001119_es_000	operador de picado de jabón/operadora de picado de jabón
C001119_es_001	operador de máquinas para picar jabón
C001119_es_002	operador de picado de jabón
C001119_es_003	operadora de máquinas para picar jabón
C001119_es_004	operadora de picado de jabón
C001119_es_005	operaria de máquinas para picar jabón
C001119_es_006	operario de máquinas para picar jabón
C001120_es_000	director de distribución de animales vivos/directora de distribución de animales vivos
C001120_es_001	director de distribución de animales vivos
C001120_es_002	directora de distribución de animales vivos
C001121_es_000	entrenador de patinaje sobre hielo/entrenadora de patinaje sobre hielo
C001121_es_001	entrenador de patinaje sobre hielo
C001121_es_002	entrenadora de patinaje sobre hielo
C001122_es_000	jefe de compras/jefa de compras
C001122_es_001	agente de compras
C001122_es_002	encargada de proveedores
C001122_es_003	encargado de proveedores
C001122_es_004	jefa de compras
C001122_es_005	jefe de compras
C001122_es_006	responsable de licitaciones y selección de proveedores
C001123_es_000	asistente de dirección
C001123_es_001	asistente de dirección general
C001123_es_002	asistente ejecutiva
C001123_es_003	asistente ejecutivo
C001123_es_004	secretaria de dirección
C001123_es_005	secretario de dirección
C001124_es_000	pastor/pastora
C001124_es_001	cabrera
C001124_es_002	cabrero
C001124_es_003	ovejera
C001124_es_004	ovejero
C001124_es_005	pastor
C001124_es_006	pastora
C001124_es_007	vaquera
C001124_es_008	vaquero
C001125_es_000	supervisor de obras de construcción y mantenimiento de infraestructuras ferroviarias/supervisora de obras de construcción y mantenimiento de infraestructuras ferroviarias
C001125_es_001	encargada de obras de construcción y mantenimiento de infraestructuras ferroviarias
C001125_es_002	encargado de obras de construcción y mantenimiento de infraestructuras ferroviarias
C001125_es_003	jefa de equipo de obras de modificación de infraestructuras ferroviarias
C001125_es_004	jefe de equipo de obras de modificación de infraestructuras ferroviarias
C001125_es_005	supervisor de obras de construcción y mantenimiento de infraestructuras ferroviarias
C001125_es_006	supervisora de obras de construcción y mantenimiento de infraestructuras ferroviarias
C001126_es_000	carpintero/carpintera
C001126_es_001	carpintera
C001126_es_002	carpintero
C001126_es_003	ebanista
C001126_es_004	especialista en marquetería
C001127_es_000	operador de refrigeración de alimentos/operadora de refrigeración de alimentos
C001127_es_001	operador de alimentos preparados
C001127_es_002	operador de refrigeración de alimentos
C001127_es_003	operadora de alimentos preparados
C001127_es_004	operadora de refrigeración de alimentos
C001128_es_000	ayudante de camerino
C001128_es_001	ayudante de figurinista
C001128_es_002	costurera de escena
C001128_es_003	costurero de escena
C001129_es_000	operador de bombeo de oleoductos y gasoductos/operador de bombeo de oleoductos y gasoductos
C001129_es_001	operador de bombeo de líneas de conducción
C001129_es_002	operador de bombeo de oleoductos y gasoductos
C001129_es_003	operador de unidad de bombeo
C001129_es_004	operadora de bombeo de líneas de conducción
C001129_es_005	operadora de bombeo de oleoductos y gasoductos
C001129_es_006	operadora de unidad de bombeo
C001130_es_000	diseñador de modelos para moldes/diseñadora de modelos para moldes
C001130_es_001	diseñador de modelos para moldes
C001130_es_002	diseñadora de modelos para moldes
C001130_es_003	matricera
C001130_es_004	matricero
C001130_es_005	modelista
C001130_es_006	moldista
C001131_es_000	ingeniero de construcción/ingeniera de construcción
C001131_es_001	ingeniera de construcción
C001131_es_002	ingeniero de construcción
C001132_es_000	técnico de maquinaria textil/técnica de maquinaria textil
C001132_es_001	inspector de maquinaria textil
C001132_es_002	inspectora de maquinaria textil
C001132_es_003	mecánica de maquinaria textil
C001132_es_004	mecánico de maquinaria textil
C001132_es_005	operador de maquinaria textil
C001132_es_006	operadora de maquinaria textil
C001132_es_007	técnica de maquinaria textil
C001132_es_008	técnico de maquinaria textil
C001133_es_000	dinamitero/dinamitera
C001133_es_001	dinamitera
C001133_es_002	dinamitero
C001133_es_003	operaria detonadora
C001133_es_004	operario detonador
C001134_es_000	ingeniero técnico naval especializado en diseño técnico/ingeniera técnica naval especializada en diseño técnico
C001134_es_001	delineante especializada en construcción naval
C001134_es_002	delineante especializado en construcción naval
C001134_es_003	diseñador técnico industrial
C001134_es_004	diseñadora técnica industrial
C001134_es_005	especialista en diseño técnico naval
C001134_es_006	ingeniera de diseño naval
C001134_es_007	ingeniera técnica naval especializada en diseño técnico
C001134_es_008	ingeniero de diseño naval
C001134_es_009	ingeniero técnico naval especializado en diseño técnico
C001134_es_010	técnica en CAD naval
C001134_es_011	técnica en desarrollo de construcción naval
C001134_es_012	técnico en CAD naval
C001134_es_013	técnico en desarrollo de construcción naval
C001135_es_000	director de distribución de pescado y marisco/directora de distribución de pescado y marisco
C001135_es_001	director de distribución de pescado y marisco
C001135_es_002	directora de distribución de pescado y marisco
C001135_es_003	responsable de distribución de pescado y marisco
C001136_es_000	reparador de instrumentos de óptica/reparadora de instrumentos de óptica
C001136_es_001	reparador de instrumentos de óptica
C001136_es_002	reparadora de instrumentos de óptica
C001137_es_000	comisario jefe de policía/comisaria jefa de policía
C001137_es_001	comisaria jefa de policía
C001137_es_002	comisario jefe de policía
C001138_es_000	trabajador de asistencia social a la infancia/trabajadora de asistencia social a la infancia
C001138_es_001	trabajador de asistencia social a la infancia
C001138_es_002	trabajador social de los servicios de protección del menor
C001138_es_003	trabajadora de asistencia social a la infancia
C001138_es_004	trabajadora social de los servicios de protección del menor
C001139_es_000	intermediario de comercio/intermediaria de comercio
C001139_es_001	agente de comercio
C001139_es_002	intermediaria de comercio
C001139_es_003	intermediaria en operaciones de compraventa
C001139_es_004	intermediario de comercio
C001139_es_005	intermediario en operaciones de compraventa
C001140_es_000	gerente de panadería
C001140_es_001	responsable de panadería
C001141_es_000	operador de máquinas textiles/operadora de máquinas textiles
C001141_es_001	operador de máquinas textiles
C001141_es_002	operadora de máquinas textiles
C001141_es_003	supervisor de operaciones textiles
C001141_es_004	supervisor de procesos de producción textil
C001141_es_005	supervisora de operaciones textiles
C001141_es_006	supervisora de procesos de producción textil
C001142_es_000	criador de perros/criadora de perros
C001142_es_001	criador de perros
C001142_es_002	criadora de perros
C001143_es_000	supervisor de obras de alcantarillado/supervisora de obras de alcantarillado
C001143_es_001	encargada de obras de mantenimiento de alcantarillado
C001143_es_002	encargado de obras de mantenimiento de alcantarillado
C001143_es_003	jefa de equipo de obras de alcantarillado
C001143_es_004	jefe de equipo de obras de alcantarillado
C001143_es_005	supervisor de obras de alcantarillado
C001143_es_006	supervisora de obras de alcantarillado
C001144_es_000	inspector de seguridad e higiene en el trabajo/inspectora de seguridad e higiene en el trabajo
C001144_es_001	inspector de prevención de riesgos laborales
C001144_es_002	inspector de seguridad e higiene
C001144_es_003	inspector de seguridad e higiene en el trabajo
C001144_es_004	inspector de trabajo
C001144_es_005	inspectora de prevención de riesgos laborales
C001144_es_006	inspectora de seguridad e higiene
C001144_es_007	inspectora de seguridad e higiene en el trabajo
C001144_es_008	inspectora de trabajo
C001145_es_000	supervisor de calidad de calzado/supervisora de calidad de calzado
C001145_es_001	inspector de calidad de calzado
C001145_es_002	inspectora de calidad de calzado
C001145_es_003	supervisor de calidad de calzado
C001145_es_004	supervisora de calidad de calzado
C001146_es_000	profesor de lenguas clásicas en educación secundaria/profesora de lenguas clásicas en educación secundaria
C001146_es_001	profesor de lenguas clásicas en educación secundaria
C001146_es_002	profesora de lenguas clásicas en educación secundaria
C001147_es_000	subdirector de centro educativo/subdirectora de centro educativo
C001147_es_001	subdirector de centro de enseñanza
C001147_es_002	subdirector de centro educativo
C001147_es_003	subdirectora de centro de enseñanza
C001147_es_004	subdirectora de centro educativo
C001148_es_000	cajero/cajera
C001148_es_001	cajera
C001148_es_002	cajero
C001149_es_000	ingeniero técnico de instrumentación/ingeniera técnica de instrumentación
C001149_es_001	ingeniera técnica de instrumentación
C001149_es_002	ingeniera técnica de instrumentación y control
C001149_es_003	ingeniera técnica de instrumentación y control de plantas industriales
C001149_es_004	ingeniero técnico de instrumentación
C001149_es_005	ingeniero técnico de instrumentación y control
C001149_es_006	ingeniero técnico de instrumentación y control de plantas industriales
C001150_es_000	lector de contadores/lectora de contadores
C001150_es_001	lector de contadores
C001150_es_002	lectora de contadores
C001150_es_003	revisor de contadores
C001150_es_004	revisora de contadores
C001151_es_000	operador de máquina termoselladora/operadora de máquina termoselladora
C001151_es_001	operador de máquina termoselladora
C001151_es_002	operador de máquina termosoldadora
C001151_es_003	operador de termoencolado
C001151_es_004	operador de termoselladora
C001151_es_005	operador de termosoldadura
C001151_es_006	operadora de máquina termoselladora
C001151_es_007	operadora de máquina termosoldadora
C001151_es_008	operadora de termoencolado
C001151_es_009	operadora de termoselladora
C001151_es_010	operadora de termosoldadura
C001152_es_000	gestor de alquiler de bienes de uso personal y doméstico/gestora de alquiler de bienes de uso personal y doméstico
C001152_es_001	gestor de alquiler de bienes de uso personal y doméstico
C001152_es_002	gestora de alquiler de bienes de uso personal y doméstico
C001152_es_003	representante de servicio de alquiler de bienes de uso personal y doméstico
C001153_es_000	ingeniero en arquitectura empresarial/ingeniera en arquitectura empresarial
C001153_es_001	encargada de la estructura empresarial
C001153_es_002	encargado de la estructura empresarial
C001153_es_003	especialista en arquitectura empresarial
C001153_es_004	gestor de la arquitectura empresarial
C001153_es_005	gestor de la estructura empresarial
C001153_es_006	gestora de la arquitectura empresarial
C001153_es_007	gestora de la estructura empresarial
C001153_es_008	ingeniera en arquitectura empresarial
C001153_es_009	ingeniero en arquitectura empresarial
C001154_es_000	técnico en tecnología de la confección textil/técnica en tecnología de la confección textil
C001154_es_001	especialista en tecnología textil
C001154_es_002	técnica en tecnología de la confección textil
C001154_es_003	técnico en tecnología de la confección textil
C001155_es_000	instructor de navegación marítima/instructora de navegación marítima
C001155_es_001	instructor de navegación marítima
C001155_es_002	instructora de navegación marítima
C001155_es_003	monitor de navegación
C001155_es_004	monitora de navegación
C001155_es_005	profesor de navegación
C001155_es_006	profesora de navegación
C001156_es_000	director de centro de enseñanza posobligatoria/directora de centro de enseñanza posobligatoria
C001156_es_001	director de centro de enseñanza superior
C001156_es_002	director de escuela técnica
C001156_es_003	directora de centro de enseñanza superior
C001156_es_004	directora de escuela técnica
C001157_es_000	técnico en botánica/técnica en botánica
C001157_es_001	especialista en botánica
C001157_es_002	técnica de laboratorio de botánica
C001157_es_003	técnica en botánica
C001157_es_004	técnico de laboratorio de botánica
C001157_es_005	técnico en botánica
C001158_es_000	inspector de la Seguridad Social/inspectora de la Seguridad Social
C001158_es_001	inspector de la Seguridad Social
C001158_es_002	inspectora de la Seguridad Social
C001159_es_000	director de galería de arte/directora de galería de arte
C001159_es_001	director de galería de arte
C001159_es_002	directora de galería de arte
C001160_es_000	conductor de carruajes/conductora de carruajes
C001160_es_001	conductor de carruajes
C001160_es_002	conductora de carruajes
C001161_es_000	operador de medición de pieles y cuero/operadora de medición de pieles y cuero
C001161_es_001	operador de medición de pieles y cuero
C001161_es_002	operadora de medición de pieles y cuero
C001162_es_000	operador de calderas/operadora de calderas
C001162_es_001	calderera
C001162_es_002	calderero
C001162_es_003	calderetera
C001162_es_004	calderetero
C001162_es_005	operador de calderas
C001162_es_006	operador de calderas industriales
C001162_es_007	operadora de calderas
C001162_es_008	operadora de calderas industriales
C001162_es_009	operaria de calderas
C001162_es_010	operario de calderas
C001163_es_000	técnico de sonido/técnica de sonido
C001163_es_001	técnica de sonido
C001163_es_002	técnico de sonido
C001164_es_000	gerente de tienda de juegos y juguetes
C001164_es_001	gerente de juguetería
C001164_es_002	responsable de tienda de juegos y juguetes
C001165_es_000	supervisor de operadores de máquinas/supervisora de operadores de máquinas
C001165_es_001	encargada de equipo de talleres de montaje
C001165_es_002	encargado de equipo de talleres de montaje
C001165_es_003	jefa de equipo de operadores de máquinas
C001165_es_004	jefe de equipo de operadores de máquinas
C001165_es_005	supervisor de instaladores de máquinas
C001165_es_006	supervisor de operadores de máquinas
C001165_es_007	supervisora de instaladores de máquinas
C001165_es_008	supervisora de operadores de máquinas
C001166_es_000	cobrador de primas de seguros/cobradora de primas de seguros
C001166_es_001	cobrador de primas de seguros
C001166_es_002	cobradora de primas de seguros
C001167_es_000	director comercial/directora comercial
C001167_es_001	director comercial
C001167_es_002	directora comercial
C001168_es_000	empleado de centro termal/empleada de centro termal
C001168_es_001	empleada de centro termal
C001168_es_002	empleada de spa
C001168_es_003	empleado de centro termal
C001168_es_004	empleado de spa
C001169_es_000	representante técnico de ventas de maquinaria y equipo agrícolas/representante técnica de ventas de maquinaria y equipo agrícolas
C001169_es_001	representante técnica de ventas de maquinaria y equipo agrícolas
C001169_es_002	representante técnico de ventas de maquinaria y equipo agrícolas
C001170_es_000	calderero de cobre y aleaciones ligeras/calderera de cobre y aleaciones ligeras
C001170_es_001	calderera de cobre y aleaciones ligeras
C001170_es_002	calderero de cobre y aleaciones ligeras
C001170_es_003	latonera
C001170_es_004	latonero
C001171_es_000	sumiller de vino
C001171_es_001	camarera especializada en vinos
C001171_es_002	camarero especializado en vinos
C001171_es_003	encargada del servicio de vino
C001171_es_004	encargado del servicio de vino
C001171_es_005	especialista en el servicio de vino
C001171_es_006	jefa del servicio de vino
C001171_es_007	jefe del servicio de vino
C001171_es_008	responsable del servicio de vino
C001171_es_009	sumiller
C001172_es_000	fabricante de marcos y molduras
C001173_es_000	acupuntor/acupuntora
C001173_es_001	acupuntor
C001173_es_002	acupuntora
C001174_es_000	mayorista de equipos electrónicos y de telecomunicaciones y sus componentes
C001174_es_001	comerciante al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes
C001174_es_002	consultor de comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes
C001174_es_003	consultora de comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes
C001175_es_000	responsable de apoyo académico
C001175_es_001	responsable de apoyo al alumnado
C001176_es_000	inspector de bienestar animal/inspectora de bienestar animal
C001176_es_001	inspector de animales
C001176_es_002	inspector de bienestar animal
C001176_es_003	inspector de estado de los animales
C001176_es_004	inspectora de animales
C001176_es_005	inspectora de bienestar animal
C001176_es_006	inspectora de estado de los animales
C001176_es_007	inspectores de bienestar de los animales
C001177_es_000	contramaestre de cubierta
C001177_es_001	contramaestre de buque
C001178_es_000	operario de sistemas de amarre para jaulas de acuicultura/operaria de sistemas de amarre para jaulas de acuicultura
C001178_es_001	operaria de sistemas de amarre para jaulas de acuicultura
C001178_es_002	operario de sistemas de amarre para jaulas de acuicultura
C001179_es_000	supervisor de instalaciones de ascensores/supervisora de instalaciones de ascensores
C001179_es_001	ascensorista
C001179_es_002	ingeniera industrial (especialidad en aparatos elevadores)
C001179_es_003	ingeniero industrial (especialidad en aparatos elevadores)
C001179_es_004	montador-instalador de ascensores
C001179_es_005	montadora-instaladora de ascensores
C001179_es_006	supervisor de instalaciones de ascensores
C001179_es_007	supervisora de instalaciones de ascensores
C001180_es_000	técnico en laboratorio clínico y biomédico/técnica en laboratorio clínico y biomédico
C001180_es_001	analista de laboratorio
C001180_es_002	científica biomédica
C001180_es_003	científico biomédico
C001180_es_004	especialista en biomedicina
C001180_es_005	técnica en laboratorio clínico y biomédico
C001180_es_006	técnico en laboratorio clínico y biomédico
C001181_es_000	vendedor especializado en panadería o pastelería/vendedora especializada en panadería o pastelería
C001181_es_001	dependiente de panadería o pastelería
C001181_es_002	vendedor especializado en panadería o pastelería
C001181_es_003	vendedora especializada en panadería o pastelería
C001182_es_000	supervisor de estructuras de andamios/supervisora de estructuras de andamios
C001182_es_001	montador de andamios
C001182_es_002	montadora de andamios
C001182_es_003	supervisor de estructuras de andamios
C001182_es_004	supervisor de medidas de protección para la utilización de andamios
C001182_es_005	supervisor de montaje, utilización y desmontaje de andamios tubulares
C001182_es_006	supervisora de estructuras de andamios
C001182_es_007	supervisora de medidas de protección para la utilización de andamios
C001182_es_008	supervisora de montaje, utilización y desmontaje de andamios tubulares
C001183_es_000	director de ventas y de cuentas de clientes/directora de ventas y de cuentas de clientes
C001183_es_001	director de ventas y de cuentas de clientes
C001183_es_002	directora de ventas y de cuentas de clientes
C001184_es_000	operador de horno de túnel/operadora de horno de túnel
C001184_es_001	operador de horno de túnel
C001184_es_002	operadora de horno de túnel
C001184_es_003	operaria de horno de túnel
C001184_es_004	operario de horno de túnel
C001185_es_000	desarrollador de aplicaciones móviles/desarrolladora de aplicaciones móviles
C001185_es_001	codificador de aplicaciones
C001185_es_002	codificadora de aplicaciones
C001185_es_003	desarrollador de aplicaciones
C001185_es_004	desarrollador de aplicaciones móviles
C001185_es_005	desarrollador de apps
C001185_es_006	desarrolladora de aplicaciones
C001185_es_007	desarrolladora de aplicaciones móviles
C001185_es_008	desarrolladora de apps
C001185_es_009	desarrolladores de aplicaciones móviles
C001185_es_010	programador de aplicaciones
C001185_es_011	programadora de aplicaciones
C001186_es_000	operador de máquina planchadora de confección industrial/operadora de máquina planchadora de confección industrial
C001186_es_001	operador de máquina planchadora de confección industrial
C001186_es_002	operadora de máquina planchadora de confección industrial
C001186_es_003	planchador especializado en prensas de vapor
C001186_es_004	planchadora especializada en prensas de vapor
C001187_es_000	mayorista de pescado, crustáceos y moluscos
C001187_es_001	comerciante al por mayor de pescado, crustáceos y moluscos
C001187_es_002	consultor de comercio al por mayor de pescado, crustáceos y moluscos
C001187_es_003	consultora de comercio al por mayor de pescado, crustáceos y moluscos
C001188_es_000	técnico de mantenimiento de infraestructuras de comunicación/técnica de mantenimiento de infraestructuras de comunicación
C001188_es_001	especialista en mantenimiento de infraestructuras de comunicación
C001188_es_002	mantenedor de estructuras de comunicación
C001188_es_003	mantenedor de infraestructuras de comunicaciones
C001188_es_004	mantenedora de estructuras de comunicación
C001188_es_005	mantenedora de infraestructuras de comunicaciones
C001188_es_006	responsable del mantenimiento de infraestructuras de comunicación
C001188_es_007	técnica de mantenimiento de infraestructuras de comunicación
C001188_es_008	técnico de mantenimiento de infraestructuras de comunicación
C001189_es_000	restaurador de libros/restauradora de libros
C001189_es_001	restaurador de libros
C001189_es_002	restauradora de libros
C001190_es_000	ingeniero de producción de alimentos/ingeniera de producción de alimentos
C001190_es_001	especialista en ingeniería de producción alimentaria
C001190_es_002	experta en ingeniería de producción alimentaria
C001190_es_003	experto en ingeniería de producción alimentaria
C001190_es_004	ingeniera del sector de producción de alimentos
C001190_es_005	ingeniero del sector de producción de alimentos
C001190_es_006	técnica en ingeniería de producción alimentaria
C001190_es_007	técnico en ingeniería de producción alimentaria
C001191_es_000	director de iluminación/directora de iluminación
C001191_es_001	director de iluminación
C001191_es_002	directora de iluminación
C001192_es_000	jefe de almacén/jefa de almacén
C001192_es_001	jefa de almacén
C001192_es_002	jefe de almacén
C001192_es_003	reponsable de almacén
C001193_es_000	barman
C001193_es_001	camarera
C001193_es_002	camarera de barra
C001193_es_003	camarero
C001193_es_004	camarero de barra
C001193_es_005	encargada de barra
C001193_es_006	encargado de barra
C001193_es_007	moza de barra
C001193_es_008	mozo de barra
C001194_es_000	cantador de bingo/cantadora de bingo
C001194_es_001	cantador de bingo
C001194_es_002	cantadora de bingo
C001194_es_003	locutor de bingo
C001194_es_004	locutora de bingo
C001195_es_000	director de coordinación de frecuencias y comunicaciones aeronáuticas/directora de coordinación de frecuencias y comunicaciones aeronáuticas
C001195_es_001	coordinador de frecuencias y comunicaciones aeronáuticas
C001195_es_002	coordinadora de frecuencias y comunicaciones aeronáuticas
C001195_es_003	director de coordinación de frecuencias y comunicaciones aeronáuticas
C001195_es_004	directora de coordinación de frecuencias y comunicaciones aeronáuticas
C001196_es_000	operador de fábrica de asfalto/operadora de fábrica de asfalto
C001196_es_001	operador de fábrica de asfalto
C001196_es_002	operador de fábrica de cemento
C001196_es_003	operador de fábrica de producción de asfalto
C001196_es_004	operadora de fábrica de asfalto
C001196_es_005	operadora de fábrica de cemento
C001196_es_006	operadora de fábrica de producción de asfalto
C001197_es_000	operador de máquinas de hacer tornillos/operadora de máquinas de hacer tornillos
C001197_es_001	operador de máquinas de hacer tornillos
C001197_es_002	operador de máquinas de tornillería
C001197_es_003	operadora de máquinas de hacer tornillos
C001197_es_004	operadora de máquinas de tornillería
C001198_es_000	soldador de tuberías/soldadora de tuberías
C001198_es_001	montador de tuberías
C001198_es_002	montadora de tuberías
C001198_es_003	soldador de tuberías
C001198_es_004	soldadora de tuberías
C001199_es_000	empleado bancario/empleada bancaria
C001199_es_001	cajera de banca
C001199_es_002	cajero de banca
C001199_es_003	empleada bancaria
C001199_es_004	empleada de banca
C001199_es_005	empleado bancario
C001199_es_006	empleado de banca
C001200_es_000	profesor de escuela de negocios/profesora de escuela de negocios
C001200_es_001	profesor de empresariales
C001200_es_002	profesor de escuela de negocios
C001200_es_003	profesora de empresariales
C001200_es_004	profesora de escuela de negocios
C001201_es_000	asistente de matrona
C001201_es_001	auxiliar de comadrona
C001201_es_002	comadrona
C001201_es_003	comadrón
C001201_es_004	matrona
C001201_es_005	matrón
C001201_es_006	técnica auxiliar obstétrica
C001201_es_007	técnico auxiliar obstétrico
C001202_es_000	socorrista
C001202_es_001	salvavidas
C001203_es_000	clasificador de tableros de conglomerado/clasificadora de tableros de conglomerado
C001203_es_001	clasificador de tableros aglomerados
C001203_es_002	clasificador de tableros de conglomerado
C001203_es_003	clasificador de tableros de madera transformada
C001203_es_004	clasificadora de tableros aglomerados
C001203_es_005	clasificadora de tableros de conglomerado
C001203_es_006	clasificadora de tableros de madera transformada
C001204_es_000	operario de prensado de semillas oleaginosas/operaria de prensado de semillas oleaginosas
C001204_es_001	encargada de la prensa de semillas oleaginosas
C001204_es_002	encargada del prensado de semillas oleaginosas
C001204_es_003	encargado de la prensa de semillas oleaginosas
C001204_es_004	encargado del prensado de semillas oleaginosas
C001204_es_005	operador de prensado de semillas oleaginosas
C001204_es_006	operadora de prensado de semillas oleaginosas
C001204_es_007	operaria de prensado de semillas oleaginosas
C001204_es_008	operario de prensado de semillas oleaginosas
C001204_es_009	responsable del prensado de semillas oleaginosas
C001205_es_000	operario de limpieza de edificios/operaria de limpieza de edificios
C001205_es_001	limpiador de edificios
C001205_es_002	limpiadora de edificios
C001205_es_003	operaria de limpieza de edificios
C001205_es_004	operario de limpieza de edificios
C001206_es_000	ingeniero técnico en sistemas neumáticos/ingeniera técnica en sistemas neumáticos
C001206_es_001	ingeniera de automatización
C001206_es_002	ingeniera técnica en sistemas hidráulicos y neumáticos
C001206_es_003	ingeniera técnica en sistemas neumáticos
C001206_es_004	ingeniero de automatización
C001206_es_005	ingeniero técnico en sistemas hidráulicos y neumáticos
C001206_es_006	ingeniero técnico en sistemas neumáticos
C001207_es_000	ingeniero técnico especializado en productos sanitarios/ingeniera técnica especializada en productos sanitarios
C001207_es_001	ingeniera técnica especializada en productos sanitarios
C001207_es_002	ingeniero técnico especializado en productos sanitarios
C001207_es_003	técnica en equipo biomédico
C001207_es_004	técnica en equipo médico
C001207_es_005	técnico en equipo biomédico
C001207_es_006	técnico en equipo médico
C001208_es_000	profesor universitario de ciencias de la Tierra/profesora universitaria de ciencias de la Tierra
C001208_es_001	profesor universitario de ciencias de la Tierra
C001208_es_002	profesor universitario de geociencias
C001208_es_003	profesora universitaria de ciencias de la Tierra
C001208_es_004	profesora universitaria de geociencias
C001209_es_000	asistente de vestuario
C001209_es_001	auxiliar de diseño de vestuario
C001210_es_000	encargado de almacén de materias primas/encargada de almacén de materias primas
C001210_es_001	encargada de almacén de materias primas
C001210_es_002	encargado de almacén de materias primas
C001211_es_000	ingeniero técnico civil especializado en diseño técnico/ingeniera técnica civil especializada en diseño técnico
C001211_es_001	delineante
C001211_es_002	delineante de edificios y urbanismo
C001211_es_003	diseñador técnico industrial
C001211_es_004	diseñadora técnica industrial
C001211_es_005	especialista en diseño de construcción
C001211_es_006	ingeniera técnica civil especializada en diseño técnico
C001211_es_007	ingeniero técnico civil especializado en diseño técnico
C001211_es_008	topógrafa
C001211_es_009	topógrafo
C001212_es_000	director de animación/directora de animación
C001212_es_001	director de animación
C001212_es_002	directora de animación
C001213_es_000	ingeniero de control de calidad/ingeniera de control de calidad
C001213_es_001	ingeniera de control de calidad
C001213_es_002	ingeniero de control de calidad
C001214_es_000	analista de datos en centro de llamadas
C001214_es_001	analista de datos de clientes
C001214_es_002	analista de llamadas
C001214_es_003	analista de operaciones en centros de llamadas
C001214_es_004	especialista en centros de llamadas
