ESCO/ISCO Code,ESCO/ISCO Title,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
2310.1.7,business lecturer,25-1011.00,"Business Teachers, Postsecondary"
2310.1.7,business lecturer,25-1063.00,"Economics Teachers, Postsecondary"
2310.1.7,business lecturer,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
2310.1.8,chemistry lecturer,25-1032.00,"Engineering Teachers, Postsecondary"
2310.1.8,chemistry lecturer,25-1042.00,"Biological Science Teachers, Postsecondary"
2310.1.8,chemistry lecturer,25-1052.00,"Chemistry Teachers, Postsecondary"
2310.1.8,chemistry lecturer,25-1053.00,"Environmental Science Teachers, Postsecondary"
2310.1.8,chemistry lecturer,25-1054.00,"Physics Teachers, Postsecondary"
2310.1.9,classical languages lecturer,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
2310.1.9,classical languages lecturer,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
2310.1.9,classical languages lecturer,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
2310.2,social work practice educator,25-1113.00,"Social Work Teachers, Postsecondary"
2320,Vocational education teachers,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320,Vocational education teachers,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2320.1,vocational teacher,25-1011.00,"Business Teachers, Postsecondary"
2320.1,vocational teacher,25-1032.00,"Engineering Teachers, Postsecondary"
2320.1,vocational teacher,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1,vocational teacher,25-2023.00,"Career/Technical Education Teachers, Middle School"
2320.1,vocational teacher,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2320.1.1,"agriculture, forestry and fishery vocational teacher",25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
2320.1.1,"agriculture, forestry and fishery vocational teacher",25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
2320.1.1,"agriculture, forestry and fishery vocational teacher",25-2032.00,"Career/Technical Education Teachers, Secondary School"
2320.1.10,electricity and energy vocational teacher,25-1032.00,"Engineering Teachers, Postsecondary"
2320.1.11,electronics and automation vocational teacher,25-1032.00,"Engineering Teachers, Postsecondary"
2320.1.12,firefighter instructor,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
2320.1.12,firefighter instructor,33-2011.00,Firefighters
2320.1.13,food service vocational teacher,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1.13,food service vocational teacher,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2320.1.14,hairdressing vocational teacher,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1.15,hospitality vocational teacher,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2320.1.16,industrial arts vocational teacher,25-1032.00,"Engineering Teachers, Postsecondary"
2320.1.16,industrial arts vocational teacher,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1.16,industrial arts vocational teacher,25-2023.00,"Career/Technical Education Teachers, Middle School"
2320.1.16,industrial arts vocational teacher,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2320.1.17,maritime instructor,25-3099.00,"Teachers and Instructors, All Other"
2320.1.18,medical laboratory technology vocational teacher,25-1032.00,"Engineering Teachers, Postsecondary"
2320.1.18,medical laboratory technology vocational teacher,25-1052.00,"Chemistry Teachers, Postsecondary"
2320.1.18,medical laboratory technology vocational teacher,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1.19,occupational driving instructor,25-3099.00,"Teachers and Instructors, All Other"
2320.1.2,air traffic instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1.20,occupational railway instructor,25-3099.00,"Teachers and Instructors, All Other"
2320.1.21,physical education vocational teacher,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
2320.1.21,physical education vocational teacher,25-2059.01,Adapted Physical Education Specialists
2320.1.22,police trainer,33-1012.00,First-Line Supervisors of Police and Detectives
2320.1.23,transport technology vocational teacher,25-1032.00,"Engineering Teachers, Postsecondary"
2320.1.23,transport technology vocational teacher,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1.23,transport technology vocational teacher,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2320.1.24,travel and tourism vocational teacher,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2320.1.4,auxiliary nursing and midwifery vocational teacher,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
2320.1.4,auxiliary nursing and midwifery vocational teacher,29-1141.00,Registered Nurses
2320.1.4,auxiliary nursing and midwifery vocational teacher,29-1161.00,Nurse Midwives
2320.1.5,beauty vocational teacher,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1.6,business administration vocational teacher,25-1011.00,"Business Teachers, Postsecondary"
2320.1.6,business administration vocational teacher,25-1063.00,"Economics Teachers, Postsecondary"
2320.1.6,business administration vocational teacher,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1.7,business and marketing vocational teacher,25-1011.00,"Business Teachers, Postsecondary"
2320.1.7,business and marketing vocational teacher,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1.7,business and marketing vocational teacher,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2320.1.8,cabin crew instructor,25-3099.00,"Teachers and Instructors, All Other"
2320.1.9,design and applied arts vocational teacher,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
2320.1.9,design and applied arts vocational teacher,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2330,Secondary education teachers,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2330,Secondary education teachers,25-2023.00,"Career/Technical Education Teachers, Middle School"
2330,Secondary education teachers,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2330.1,secondary school teacher,25-2012.00,"Kindergarten Teachers, Except Special Education"
2330.1,secondary school teacher,25-2021.00,"Elementary School Teachers, Except Special Education"
2330.1,secondary school teacher,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2330.1,secondary school teacher,25-2023.00,"Career/Technical Education Teachers, Middle School"
2330.1,secondary school teacher,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2330.1,secondary school teacher,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2330.1,secondary school teacher,25-2059.01,Adapted Physical Education Specialists
2330.1,secondary school teacher,25-3031.00,"Substitute Teachers, Short-Term"
2330.1.1,art teacher secondary school,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
2330.1.1,art teacher secondary school,25-2012.00,"Kindergarten Teachers, Except Special Education"
2330.1.1,art teacher secondary school,25-2021.00,"Elementary School Teachers, Except Special Education"
2330.1.1,art teacher secondary school,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2330.1.1,art teacher secondary school,25-2023.00,"Career/Technical Education Teachers, Middle School"
2330.1.1,art teacher secondary school,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2330.1.1,art teacher secondary school,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2330.1.1,art teacher secondary school,25-3031.00,"Substitute Teachers, Short-Term"
2330.1.10,literature teacher at secondary school,25-1123.00,"English Language and Literature Teachers, Postsecondary"
2330.1.10,literature teacher at secondary school,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
2330.1.10,literature teacher at secondary school,25-3031.00,"Substitute Teachers, Short-Term"
2330.1.10,literature teacher at secondary school,25-3041.00,Tutors
2330.1.11,mathematics teacher at secondary school,25-1022.00,"Mathematical Science Teachers, Postsecondary"
2330.1.12,modern languages teacher secondary school,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
2330.1.12,modern languages teacher secondary school,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2330.1.13,music teacher secondary school,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
2330.1.14,philosophy teacher secondary school,25-1067.00,"Sociology Teachers, Postsecondary"
2330.1.14,philosophy teacher secondary school,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
2330.1.15,physical education teacher secondary school,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
2330.1.15,physical education teacher secondary school,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2330.1.15,physical education teacher secondary school,25-2023.00,"Career/Technical Education Teachers, Middle School"
2330.1.15,physical education teacher secondary school,25-2059.01,Adapted Physical Education Specialists
2330.1.15,physical education teacher secondary school,27-2022.00,Coaches and Scouts
2330.1.16,physics teacher secondary school,25-1032.00,"Engineering Teachers, Postsecondary"
2330.1.16,physics teacher secondary school,25-1054.00,"Physics Teachers, Postsecondary"
2330.1.17,religious education teacher at secondary school,21-2011.00,Clergy
2330.1.17,religious education teacher at secondary school,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2330.1.17,religious education teacher at secondary school,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2330.1.18,science teacher secondary school,25-1032.00,"Engineering Teachers, Postsecondary"
2330.1.18,science teacher secondary school,25-2021.00,"Elementary School Teachers, Except Special Education"
2330.1.18,science teacher secondary school,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2330.1.18,science teacher secondary school,25-2023.00,"Career/Technical Education Teachers, Middle School"
2330.1.18,science teacher secondary school,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2330.1.18,science teacher secondary school,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2330.1.18,science teacher secondary school,25-3031.00,"Substitute Teachers, Short-Term"
2330.1.2,biology teacher secondary school,25-1042.00,"Biological Science Teachers, Postsecondary"
2330.1.2,biology teacher secondary school,25-2023.00,"Career/Technical Education Teachers, Middle School"
2330.1.2,biology teacher secondary school,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2330.1.2,biology teacher secondary school,25-2032.00,"Career/Technical Education Teachers, Secondary School"
2330.1.3,business studies and economics teacher secondary school,25-1011.00,"Business Teachers, Postsecondary"
2330.1.3,business studies and economics teacher secondary school,25-1063.00,"Economics Teachers, Postsecondary"
2330.1.4,chemistry teacher secondary school,25-1052.00,"Chemistry Teachers, Postsecondary"
2330.1.5,classical languages teacher secondary school,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
2330.1.5,classical languages teacher secondary school,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2330.1.5,classical languages teacher secondary school,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2330.1.5,classical languages teacher secondary school,25-3031.00,"Substitute Teachers, Short-Term"
2330.1.6,drama teacher secondary school,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
2330.1.7,geography teacher secondary school,25-1064.00,"Geography Teachers, Postsecondary"
2330.1.8,history teacher secondary school,25-1125.00,"History Teachers, Postsecondary"
2330.1.8,history teacher secondary school,25-2023.00,"Career/Technical Education Teachers, Middle School"
2330.1.8,history teacher secondary school,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2330.1.9,ICT teacher secondary school,25-1021.00,"Computer Science Teachers, Postsecondary"
2341,Primary school teachers,25-2021.00,"Elementary School Teachers, Except Special Education"
2341.1,primary school teacher,25-2011.00,"Preschool Teachers, Except Special Education"
2341.1,primary school teacher,25-2012.00,"Kindergarten Teachers, Except Special Education"
2341.1,primary school teacher,25-2021.00,"Elementary School Teachers, Except Special Education"
2341.1,primary school teacher,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2341.1,primary school teacher,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2341.1.1,Steiner school teacher,25-2011.00,"Preschool Teachers, Except Special Education"
2342,Early childhood educators,25-2011.00,"Preschool Teachers, Except Special Education"
2342,Early childhood educators,25-2012.00,"Kindergarten Teachers, Except Special Education"
2342.1,early years teacher,25-2011.00,"Preschool Teachers, Except Special Education"
2342.1,early years teacher,25-2012.00,"Kindergarten Teachers, Except Special Education"
2342.2,Freinet school teacher,25-2011.00,"Preschool Teachers, Except Special Education"
2342.2,Freinet school teacher,25-2012.00,"Kindergarten Teachers, Except Special Education"
2342.3,Montessori school teacher,25-2011.00,"Preschool Teachers, Except Special Education"
2342.3,Montessori school teacher,25-2012.00,"Kindergarten Teachers, Except Special Education"
2342.3,Montessori school teacher,25-2021.00,"Elementary School Teachers, Except Special Education"
2342.3,Montessori school teacher,25-2051.00,"Special Education Teachers, Preschool"
2342.3,Montessori school teacher,39-9011.01,Nannies
2351,Education methods specialists,25-9031.00,Instructional Coordinators
2351.1,curriculum administrator,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
2351.1,curriculum administrator,11-9033.00,"Education Administrators, Postsecondary"
2351.1,curriculum administrator,25-9031.00,Instructional Coordinators
2351.2,educational researcher,25-9031.00,Instructional Coordinators
2351.3,education inspector,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
2351.3,education inspector,11-9032.00,"Education Administrators, Kindergarten through Secondary"
2351.3,education inspector,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
2351.3,education inspector,25-9031.00,Instructional Coordinators
2351.4,special educational needs coordinator,25-2051.00,"Special Education Teachers, Preschool"
2351.4,special educational needs coordinator,25-2055.00,"Special Education Teachers, Kindergarten"
2351.4,special educational needs coordinator,25-2056.00,"Special Education Teachers, Elementary School"
2351.4,special educational needs coordinator,25-2057.00,"Special Education Teachers, Middle School"
2351.4,special educational needs coordinator,25-2058.00,"Special Education Teachers, Secondary School"
2351.4,special educational needs coordinator,25-9031.00,Instructional Coordinators
2352,Special needs teachers,25-2051.00,"Special Education Teachers, Preschool"
2352,Special needs teachers,25-2055.00,"Special Education Teachers, Kindergarten"
2352,Special needs teachers,25-2056.00,"Special Education Teachers, Elementary School"
2352,Special needs teachers,25-2057.00,"Special Education Teachers, Middle School"
2352,Special needs teachers,25-2058.00,"Special Education Teachers, Secondary School"
2352,Special needs teachers,25-2059.01,Adapted Physical Education Specialists
2352,Special needs teachers,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
2352.1,special educational needs teacher,25-2012.00,"Kindergarten Teachers, Except Special Education"
2352.1,special educational needs teacher,25-2051.00,"Special Education Teachers, Preschool"
2352.1,special educational needs teacher,25-2055.00,"Special Education Teachers, Kindergarten"
2352.1,special educational needs teacher,25-2056.00,"Special Education Teachers, Elementary School"
2352.1,special educational needs teacher,25-2057.00,"Special Education Teachers, Middle School"
2352.1,special educational needs teacher,25-2058.00,"Special Education Teachers, Secondary School"
2352.1,special educational needs teacher,25-3031.00,"Substitute Teachers, Short-Term"
2352.1,special educational needs teacher,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
2352.1.1,adult literacy teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
2352.1.1,adult literacy teacher,25-2021.00,"Elementary School Teachers, Except Special Education"
2352.1.1,adult literacy teacher,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2352.1.1,adult literacy teacher,25-2023.00,"Career/Technical Education Teachers, Middle School"
2352.1.1,adult literacy teacher,25-2057.00,"Special Education Teachers, Middle School"
2352.1.1,adult literacy teacher,25-2058.00,"Special Education Teachers, Secondary School"
2352.1.1,adult literacy teacher,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
2352.1.1,adult literacy teacher,25-3041.00,Tutors
2352.1.2,early years special educational needs teacher,25-2011.00,"Preschool Teachers, Except Special Education"
2352.1.2,early years special educational needs teacher,25-2051.00,"Special Education Teachers, Preschool"
2352.1.2,early years special educational needs teacher,25-2055.00,"Special Education Teachers, Kindergarten"
2352.1.2,early years special educational needs teacher,25-2057.00,"Special Education Teachers, Middle School"
2352.1.2,early years special educational needs teacher,25-2058.00,"Special Education Teachers, Secondary School"
2352.1.3,learning support teacher,25-2011.00,"Preschool Teachers, Except Special Education"
2352.1.3,learning support teacher,25-2051.00,"Special Education Teachers, Preschool"
2352.1.3,learning support teacher,25-2057.00,"Special Education Teachers, Middle School"
2352.1.3,learning support teacher,25-2058.00,"Special Education Teachers, Secondary School"
2352.1.4,special educational needs itinerant teacher,25-2051.00,"Special Education Teachers, Preschool"
2352.1.4,special educational needs itinerant teacher,25-2055.00,"Special Education Teachers, Kindergarten"
2352.1.4,special educational needs itinerant teacher,25-2056.00,"Special Education Teachers, Elementary School"
2352.1.4,special educational needs itinerant teacher,25-2057.00,"Special Education Teachers, Middle School"
2352.1.4,special educational needs itinerant teacher,25-2058.00,"Special Education Teachers, Secondary School"
2352.1.5,special educational needs teacher primary school,25-2012.00,"Kindergarten Teachers, Except Special Education"
2352.1.5,special educational needs teacher primary school,25-2021.00,"Elementary School Teachers, Except Special Education"
2352.1.5,special educational needs teacher primary school,25-2051.00,"Special Education Teachers, Preschool"
2352.1.5,special educational needs teacher primary school,25-2056.00,"Special Education Teachers, Elementary School"
2352.1.5,special educational needs teacher primary school,25-2057.00,"Special Education Teachers, Middle School"
2352.1.5,special educational needs teacher primary school,25-2058.00,"Special Education Teachers, Secondary School"
2352.1.5,special educational needs teacher primary school,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
2352.1.6,special educational needs teacher secondary school,25-2012.00,"Kindergarten Teachers, Except Special Education"
2352.1.6,special educational needs teacher secondary school,25-2021.00,"Elementary School Teachers, Except Special Education"
2352.1.6,special educational needs teacher secondary school,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2352.1.6,special educational needs teacher secondary school,25-2051.00,"Special Education Teachers, Preschool"
2352.1.6,special educational needs teacher secondary school,25-2057.00,"Special Education Teachers, Middle School"
2352.1.6,special educational needs teacher secondary school,25-2058.00,"Special Education Teachers, Secondary School"
2352.1.6,special educational needs teacher secondary school,25-2059.01,Adapted Physical Education Specialists
2352.1.6,special educational needs teacher secondary school,25-3031.00,"Substitute Teachers, Short-Term"
2352.1.6,special educational needs teacher secondary school,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
2352.2,teacher of talented and gifted students,25-2011.00,"Preschool Teachers, Except Special Education"
2352.2,teacher of talented and gifted students,25-2012.00,"Kindergarten Teachers, Except Special Education"
2352.2,teacher of talented and gifted students,25-2021.00,"Elementary School Teachers, Except Special Education"
2352.2,teacher of talented and gifted students,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2352.2,teacher of talented and gifted students,25-2057.00,"Special Education Teachers, Middle School"
2352.2,teacher of talented and gifted students,25-3041.00,Tutors
2353.1,language school teacher,25-1123.00,"English Language and Literature Teachers, Postsecondary"
2353.1,language school teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
2353.1,language school teacher,25-2021.00,"Elementary School Teachers, Except Special Education"
2353.1,language school teacher,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2353.1,language school teacher,25-2023.00,"Career/Technical Education Teachers, Middle School"
2353.1,language school teacher,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
2353.2,sign language teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
2353.2,sign language teacher,25-2051.00,"Special Education Teachers, Preschool"
2353.2,sign language teacher,25-2057.00,"Special Education Teachers, Middle School"
2353.2,sign language teacher,25-2058.00,"Special Education Teachers, Secondary School"
2353.2,sign language teacher,29-1127.00,Speech-Language Pathologists
2354.1,music teacher,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
2355.1,arts education officer,11-9039.00,"Education Administrators, All Other"
2355.2,circus arts teacher,25-3099.00,"Teachers and Instructors, All Other"
2355.3,dance teacher,27-2031.00,Dancers
2355.4,drama teacher,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
2355.5,photography teacher,27-4021.00,Photographers
2355.6,visual arts teacher,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
2356.1,ICT trainer,13-1151.00,Training and Development Specialists
2356.1.1,digital literacy teacher,25-1021.00,"Computer Science Teachers, Postsecondary"
2359,Teaching professionals not elsewhere classified,25-3031.00,"Substitute Teachers, Short-Term"
2359,Teaching professionals not elsewhere classified,25-3041.00,Tutors
2359.1,academic advisor,13-2071.00,Credit Counselors
2359.1,academic advisor,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
2359.1,academic advisor,39-9041.00,Residential Advisors
2359.10,instructional designer,11-3131.00,Training and Development Managers
2359.10,instructional designer,13-1151.00,Training and Development Specialists
2359.10,instructional designer,25-9031.00,Instructional Coordinators
2359.11,learning mentor,19-3034.00,School Psychologists
2359.11,learning mentor,25-3041.00,Tutors
2359.12,prison instructor,33-1011.00,First-Line Supervisors of Correctional Officers
2359.12,prison instructor,33-3012.00,Correctional Officers and Jailers
2359.13,public speaking coach,25-3041.00,Tutors
2359.14,tutor,25-3041.00,Tutors
2359.2,academic support officer,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
2359.3,admissions coordinator,13-2071.00,Credit Counselors
2359.3,admissions coordinator,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
2359.4,assessor of prior learning,25-1199.00,"Postsecondary Teachers, All Other"
2359.5,assistive technologist,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
2359.5,assistive technologist,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
2359.5,assistive technologist,29-1181.00,Audiologists
2359.5,assistive technologist,31-9099.01,Speech-Language Pathology Assistants
2359.6,e-learning architect,25-9031.00,Instructional Coordinators
2359.7,e-learning developer,25-9031.00,Instructional Coordinators
2359.8,educational counsellor,13-2071.00,Credit Counselors
2359.8,educational counsellor,19-3034.00,School Psychologists
2359.8,educational counsellor,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
2359.9,further education teacher,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
2411,Accountants,13-2011.00,Accountants and Auditors
2411,Accountants,13-2031.00,Budget Analysts
2411,Accountants,13-2061.00,Financial Examiners
2411,Accountants,13-2082.00,Tax Preparers
2411,Accountants,13-2099.04,"Fraud Examiners, Investigators and Analysts"
2411.1,accountant,11-3031.01,Treasurers and Controllers
2411.1,accountant,13-2011.00,Accountants and Auditors
2411.1,accountant,13-2082.00,Tax Preparers
2411.1,accountant,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
2411.1.1,accounting analyst,11-3031.01,Treasurers and Controllers
2411.1.1,accounting analyst,13-2011.00,Accountants and Auditors
2411.1.1,accounting analyst,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
2411.1.10,grants management officer,11-2033.00,Fundraising Managers
2411.1.10,grants management officer,11-9121.01,Clinical Research Coordinators
2411.1.10,grants management officer,13-1131.00,Fundraisers
2411.1.11,public finance accountant,11-3031.01,Treasurers and Controllers
2411.1.11,public finance accountant,13-2011.00,Accountants and Auditors
2411.1.12,tax advisor,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
2411.1.12,tax advisor,13-2082.00,Tax Preparers
2411.1.2,audit supervisor,13-2011.00,Accountants and Auditors
2411.1.2,audit supervisor,13-2061.00,Financial Examiners
2411.1.2,audit supervisor,13-2082.00,Tax Preparers
2411.1.3,bankruptcy trustee,13-2061.00,Financial Examiners
2411.1.3,bankruptcy trustee,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
2411.1.3,bankruptcy trustee,23-2093.00,"Title Examiners, Abstractors, and Searchers"
2411.1.3,bankruptcy trustee,43-3011.00,Bill and Account Collectors
2411.1.4,budget analyst,11-3031.01,Treasurers and Controllers
2411.1.4,budget analyst,13-1111.00,Management Analysts
2411.1.4,budget analyst,13-2031.00,Budget Analysts
2411.1.4,budget analyst,15-2031.00,Operations Research Analysts
2411.1.5,cost analyst,13-1051.00,Cost Estimators
2411.1.6,dividend analyst,43-3051.00,Payroll and Timekeeping Clerks
2411.1.7,financial auditor,13-2011.00,Accountants and Auditors
2411.1.7,financial auditor,13-2061.00,Financial Examiners
2411.1.7,financial auditor,13-2082.00,Tax Preparers
2411.1.7,financial auditor,13-2099.04,"Fraud Examiners, Investigators and Analysts"
2411.1.8,financial controller,11-3031.01,Treasurers and Controllers
2411.1.8,financial controller,13-2061.00,Financial Examiners
2411.1.8,financial controller,13-2099.04,"Fraud Examiners, Investigators and Analysts"
2411.1.9,financial fraud examiner,11-9199.08,Loss Prevention Managers
2411.1.9,financial fraud examiner,13-2061.00,Financial Examiners
2411.1.9,financial fraud examiner,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
2411.1.9,financial fraud examiner,13-2082.00,Tax Preparers
2411.1.9,financial fraud examiner,13-2099.04,"Fraud Examiners, Investigators and Analysts"
2411.1.9,financial fraud examiner,33-9021.00,Private Detectives and Investigators
2411.1.9,financial fraud examiner,33-9099.02,Retail Loss Prevention Specialists
2412,Financial and investment advisers,11-3031.03,Investment Fund Managers
2412,Financial and investment advisers,13-2052.00,Personal Financial Advisors
2412.1,business valuer,13-2022.00,Appraisers of Personal and Business Property
2412.1,business valuer,13-2023.00,Appraisers and Assessors of Real Estate
2412.1,business valuer,13-2051.00,Financial and Investment Analysts
2412.1,business valuer,13-2061.00,Financial Examiners
2412.1,business valuer,13-2099.01,Financial Quantitative Analysts
2412.10,public funding advisor,11-2033.00,Fundraising Managers
2412.10,public funding advisor,13-1131.00,Fundraisers
2412.11,venture capitalist,11-3031.03,Investment Fund Managers
2412.11,venture capitalist,13-2099.00,"Financial Specialists, All Other"
2412.2,corporate banking manager,13-2071.00,Credit Counselors
2412.2,corporate banking manager,13-2072.00,Loan Officers
2412.2,corporate banking manager,43-4141.00,New Accounts Clerks
2412.3,corporate risk manager,11-9199.02,Compliance Managers
2412.3,corporate risk manager,11-9199.08,Loss Prevention Managers
2412.3,corporate risk manager,13-1199.04,Business Continuity Planners
2412.3,corporate risk manager,13-2054.00,Financial Risk Specialists
2412.4,financial planner,13-2052.00,Personal Financial Advisors
2412.4,financial planner,43-4141.00,New Accounts Clerks
2412.4.1,relationship banking manager,43-3071.00,Tellers
2412.5,financial risk manager,13-2054.00,Financial Risk Specialists
2412.6,investment adviser,13-2051.00,Financial and Investment Analysts
2412.6,investment adviser,13-2052.00,Personal Financial Advisors
2412.6.1,corporate investment banker,13-2051.00,Financial and Investment Analysts
2412.6.1,corporate investment banker,13-2099.01,Financial Quantitative Analysts
2412.6.2,investment fund management assistant,13-2051.00,Financial and Investment Analysts
2412.6.2,investment fund management assistant,43-4141.00,New Accounts Clerks
2412.6.3,investment manager,11-3031.03,Investment Fund Managers
2412.6.3,investment manager,13-2051.00,Financial and Investment Analysts
2412.6.3,investment manager,13-2099.01,Financial Quantitative Analysts
2412.6.4,investor relations manager,13-2051.00,Financial and Investment Analysts
2412.7,investment fund manager,11-3031.03,Investment Fund Managers
2412.7,investment fund manager,13-2051.00,Financial and Investment Analysts
2412.8,personal trust officer,13-2052.00,Personal Financial Advisors
2412.8,personal trust officer,43-4141.00,New Accounts Clerks
2412.9,programme funding manager,11-2033.00,Fundraising Managers
2413,Financial analysts,13-2051.00,Financial and Investment Analysts
2413,Financial analysts,13-2054.00,Financial Risk Specialists
2413,Financial analysts,13-2099.01,Financial Quantitative Analysts
2413.1,financial analyst,13-2051.00,Financial and Investment Analysts
2413.1,financial analyst,13-2054.00,Financial Risk Specialists
2413.1,financial analyst,13-2099.01,Financial Quantitative Analysts
2413.1.1,insurance rating analyst,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
2413.1.1,insurance rating analyst,13-1032.00,"Insurance Appraisers, Auto Damage"
2413.1.1,insurance rating analyst,13-2022.00,Appraisers of Personal and Business Property
2413.1.1,insurance rating analyst,13-2023.00,Appraisers and Assessors of Real Estate
2413.1.1,insurance rating analyst,13-2054.00,Financial Risk Specialists
2413.1.1,insurance rating analyst,15-2011.00,Actuaries
