C000001_de_000	Angehörige der regulären Streitkräfte
C001016_de_005	Sammler aquatischer Ressourcen
C001016_de_006	Sammlerin aquatischer Ressourcen
C001016_de_007	Seetangsammler
C001016_de_008	Seetangsammlerin
C001017_de_000	Business-Intelligence-Manager/Business-Intelligence-Managerin
C001017_de_001	Business-Intelligence-Manager
C001017_de_002	Business-Intelligence-Manager/in
C001017_de_003	Business-Intelligence-Managerin
C001017_de_004	Geschäftsprozessanalyse-ManagerIn
C001018_de_000	Stanzmaschinenbediener/Stanzmaschinenbedienerin
C001018_de_001	Stanzer in der Schuhwarenherstellung
C001018_de_002	Stanzerin in der Schuhwarenherstellung
C001018_de_003	Stanzmaschinenbediener
C001018_de_004	Stanzmaschinenbedienerin
C001019_de_000	Beauftragter für Arbeitsbeziehungen/Beauftragte für Arbeitsbeziehungen
C001019_de_001	Beauftragte für Arbeitsbeziehungen
C001019_de_002	Beauftragter für Arbeitsbeziehungen
C001020_de_000	Betonbaupolier/Betonbaupolierin
C001020_de_001	Betonbaupolier
C001020_de_002	Betonbaupolierin
C001020_de_003	Meister Betonbau
C001020_de_004	Meisterin Betonbau
C001021_de_000	Sportverwalter/Sportverwalterin
C001021_de_001	Sportverwalter
C001021_de_002	Sportverwalterin
C001022_de_000	Weinbergverwalter/Weinbergverwalterin
C001022_de_001	Weinbergverwalter
C001022_de_002	Weinbergverwalterin
C001023_de_000	Fahrzeugglaser/Fahrzeugglaserin
C001023_de_001	Fahrzeugglaser
C001023_de_002	Fahrzeugglaserin
C001024_de_000	Pensionsleiter/Pensionsleiterin
C001024_de_001	Frühstückspensionsleiter
C001024_de_002	Frühstückspensionsleiterin
C001024_de_003	Pensionsleiter
C001024_de_004	Pensionsleiterin
C001025_de_000	Steuerer Leitstand Erdölraffinationsanlagen/Steuerin Leitstand Erdölraffinationsanlagen
C001025_de_001	Steuerer Leitstand Erdölraffinationsanlagen
C001025_de_002	Steuerin Leitstand Erdölraffinationsanlagen
C001026_de_000	Furniersäger/Furniersägerin
C001026_de_001	Furniersäger
C001026_de_002	Furniersägerin
C001026_de_003	Furnierzuschneider
C001026_de_004	Furnierzuschneiderin
C001027_de_000	Herstellungskostenplaner/Herstellungskostenplanerin
C001027_de_001	Herstellungskostenplaner
C001027_de_002	HerstellungskostenplanerIn
C001027_de_003	Herstellungskostenplanerin
C001027_de_004	Herstellungskostenrechner/in
C001027_de_005	HerstellungskostenrechnerIn
C001028_de_000	Zugvorbereiter/Zugvorbereiterin
C001028_de_001	Zugfertigsteller
C001028_de_002	Zugfertigstellerin
C001028_de_003	Zugprüfer
C001028_de_004	Zugprüferin
C001028_de_005	Zugvorbereiter
C001028_de_006	Zugvorbereiterin
C001029_de_000	Farbmusterhersteller/Farbmusterherstellerin
C001029_de_001	Farbmusterhersteller
C001029_de_002	Farbmusterherstellerin
C001030_de_000	Erdölchemiker/Erdölchemikerin
C001030_de_001	Erdölchemiker
C001030_de_002	Erdölchemikerin
C001031_de_000	Konzertagent/Konztertagentin
C001031_de_001	Konzertagent
C001031_de_002	Konzertagentin
C001031_de_003	Konzertveranstalter
C001031_de_004	Konzertveranstalterin
C001032_de_000	Promotionassistent/Promotionassistentin
C001032_de_001	Promotionassistent
C001032_de_002	PromotionassistentIn
C001032_de_003	Promotionassistentin
C001033_de_000	Schädlingsbekämpfer/Schädlingsbekämpferin
C001033_de_001	Kammerjäger
C001033_de_002	Kammerjägerin
C001033_de_003	Schädlingsbekämpfer
C001033_de_004	Schädlingsbekämpferin
C001034_de_000	Finanzplaner/Finanzplanerin
C001034_de_001	Anlageberater/in
C001034_de_002	FinanzassistentIn
C001034_de_003	Finanzberater/in
C001034_de_004	Finanzplaner
C001034_de_005	Finanzplanerin
C001034_de_006	VermögensberaterIn
C001035_de_000	Rede-Coach
C001035_de_001	Rede-Trainer/in
C001035_de_002	Rhetorik-Coach
C001035_de_003	Rhetorik-TrainerIn
C001036_de_000	Wasserbauhelfer/Wasserbauhelferin
C001036_de_001	Bauhelfer im Wasserbau
C001036_de_002	Bauhelferin im Wasserbau
C001036_de_003	Bauhilfsarbeiter im Wasserbau
C001036_de_004	Bauhilfsarbeiterin im Wasserbau
C001036_de_005	Kultur- und Wasserbauhelfer
C001036_de_006	Kultur- und Wasserbauhelferin
C001036_de_007	Wasserbauarbeiter
C001036_de_008	Wasserbauarbeiterin
C001036_de_009	Wasserbauhelfer
C001036_de_010	Wasserbauhelferin
C001037_de_000	Färbereitechniker/Färbereitechnikerin
C001037_de_001	Färbereitechniker
C001037_de_002	Färbereitechnikerin
C001038_de_000	Metallmöbelhersteller/Metallmöbelherstellerin
C001038_de_001	Metallmöbelhersteller
C001038_de_002	Metallmöbelherstellerin
C001039_de_000	Zirkusartist/Zirkusartistin
C001039_de_001	Akrobat
C001039_de_002	Akrobatin
C001039_de_003	Antipodist
C001039_de_004	Antipodistin
C001039_de_005	Bauchredner
C001039_de_006	Bauchrednerin
C001039_de_007	Circusartist
C001039_de_008	Circusartistin
C001039_de_009	Circuskünstler
C001039_de_010	Circuskünstlerin
C001039_de_011	Clown
C001039_de_012	Dompteur
C001039_de_013	Dompteurin
C001039_de_014	Dresseur
C001039_de_015	Dresseurin
C001039_de_016	Einradfahrer
C001039_de_017	Einradfahrerin
C001039_de_018	Entfesselungskünstler
C001039_de_019	Entfesselungskünstlerin
C001039_de_020	Equilibrist
C001039_de_021	Equilibristin
C001039_de_022	Feuerschlucker
C001039_de_023	Feuerschluckerin
C001039_de_024	Fußjongleur
C001039_de_025	Fußjongleurin
C001039_de_026	Handschattenspieler
C001039_de_027	Handschattenspielerin
C001039_de_028	Handstandartist
C001039_de_029	Handstandartistin
C001039_de_030	Hochseilartist
C001039_de_031	Hochseilartistin
C001039_de_032	Ikarier
C001039_de_033	Ikarierin
C001039_de_034	Jongleur
C001039_de_035	Jongleurin
C001039_de_036	Kontorsionist
C001039_de_037	Kontorsionistin
C001039_de_038	Kraftakrobat
C001039_de_039	Kraftakrobatin
C001039_de_040	Kunstreiter
C001039_de_041	Kunstreiterin
C001039_de_042	Kunstschütze
C001039_de_043	Kunstschützin
C001039_de_044	Magier
C001039_de_045	Magierin
C001039_de_046	Messerwerfer
C001039_de_047	Messerwerferin
C001039_de_048	Schlangenmensch
C001039_de_049	Seiltänzer
C001039_de_050	Seiltänzerin
C001039_de_051	Trapezkünstler
C001039_de_052	Trapezkünstlerin
C001039_de_053	Ventriloquist
C001039_de_054	Ventriloquistin
C001039_de_055	Voltigeur
C001039_de_056	Voltigeurin
C001039_de_057	Zauberkünsterin
C001039_de_058	Zauberkünstler
C001039_de_059	Zirkusartist
C001039_de_060	Zirkusartistin
C001039_de_061	Zirkuskünstler
C001039_de_062	Zirkuskünstlerin
C001040_de_000	Elektroniker Prüffeld/Elektronikerin Prüffeld
C001040_de_001	Elektroniker Prüffeld
C001040_de_002	Elektronikerin Prüffeld
C001041_de_000	Green-IT-Berater/Green-IT-Beraterin
C001041_de_001	Berater für Green-IT
C001041_de_002	Beraterin für Green-IT
C001041_de_003	Green-IT-Berater
C001041_de_004	Green-IT-Beraterin
C001042_de_000	Textypist/Textypistin
C001042_de_001	Maschinenschreiber
C001042_de_002	Maschinenschreiberin
C001042_de_003	Phonotypist
C001042_de_004	Phonotypistin
C001042_de_005	Stenograf
C001042_de_006	Stenografin
C001042_de_007	Stenotypist
C001042_de_008	Stenotypistin
C001042_de_009	Texttypist
C001042_de_010	Texttypistin
C001042_de_011	Textverarbeitungskraft
C001042_de_012	Typist
C001042_de_013	Typistin
C001043_de_000	Gießereimechaniker Fachrichtung Maschinenformguss/Gießereimechanikerin Fachrichtung Maschinenformguss
C001043_de_001	Gießereimechaniker Fachrichtung Maschinenformguss
C001043_de_002	Gießereimechanikerin Fachrichtung Maschinenformguss
C001043_de_003	Gießereitechniker
C001043_de_004	Gießereitechnikerin
C001044_de_000	Sachbearbeiter für den Bereich Zwangsvollstreckung/Sachbearbeiterin für den Bereich Zwangsvollstreckung
C001044_de_001	Insolvenzberater
C001044_de_002	Insolvenzberaterin
C001044_de_003	Insolvenzsachbearbeiter
C001044_de_004	Insolvenzsachbearbeiterin
C001044_de_005	Mahn- und Vollstreckungssachbearbeiter
C001044_de_006	Mahn- und Vollstreckungssachbearbeiterin
C001044_de_007	Sachbearbeiter für den Bereich Zwangsvollstreckung
C001044_de_008	Sachbearbeiterin für den Bereich Zwangsvollstreckung
C001045_de_000	Animateur/Animateurin
C001045_de_001	Animateur
C001045_de_002	Animateurin
C001045_de_003	Freizeitanimateur
C001045_de_004	Freizeitanimateurin
C001045_de_005	Gästebetreuer
C001045_de_006	Gästebetreuerin
C001045_de_007	Hotelanimateur
C001045_de_008	Hotelanimateurin
C001046_de_000	Steuerer von Lufttrennungsanlagen/Steuerin von Lufttrennungsanlagen
C001046_de_001	Steuerer von Lufttrennungsanlagen
C001046_de_002	Steuerin von Lufttrennungsanlagen
C001047_de_000	Farben- und Lacktechniker/Farben- und Lacktechnikerin
C001047_de_001	Farben- und Lacktechniker
C001047_de_002	Farben- und Lacktechnikerin
C001047_de_003	Lackfarbenarbeiter
C001047_de_004	Lackfarbenarbeiterin
C001047_de_005	Lackmacher
C001047_de_006	Lackmacherin
C001047_de_007	Lackmischer
C001047_de_008	Lackmischerin
C001048_de_000	Mastering-Ingenieur/Mastering-Ingenieurin
C001048_de_001	Mastering-Ingenieur
C001048_de_002	Mastering-Ingenieurin
C001048_de_003	Masteringingenieur
C001048_de_004	Masteringingenieurin
C001048_de_005	Toningenieur
C001048_de_006	Toningenieurin
C001049_de_000	Schichtleiter/in Bergbau
C001049_de_001	Schichtleiter Bergbau
C001049_de_002	Schichtleiterin Bergbau
C001049_de_003	Schichtmeister
C001050_de_000	Consultant im Bereich Energie
C001050_de_001	Energieconsultant
C001050_de_002	Energiekonsulent
C001050_de_003	Energiekonsulentin
C001051_de_000	Vertriebsleiter für Blumen und Pflanzen/Vertriebsleiterin für Blumen und Pflanzen
C001051_de_001	Vertriebsleiter für Blumen und Pflanzen
C001051_de_002	Vertriebsleiterin für Blumen und Pflanzen
C001052_de_000	Möbelreiniger/Möbelreinigerin
C001052_de_001	Möbelreiniger
C001052_de_002	Möbelreinigerin
C001053_de_000	DTP-Fachkraft
C001053_de_001	Bildbearbeiter
C001053_de_002	Bildbearbeiterin
C001053_de_003	Desktop-Publisher
C001053_de_004	Desktop-Publisherin
C001053_de_005	Layouter
C001053_de_006	Layouterin
C001054_de_000	Dolmetscher/Dolmetscherin
C001054_de_001	Dolmetscher
C001054_de_002	Dolmetscherin
C001054_de_003	Konferenzdolmetscher
C001054_de_004	Konferenzdolmetscherin
C001054_de_005	Konsekutivdolmetscher
C001054_de_006	Konsekutivdolmetscherin
C001054_de_007	Simultandolmetscher
C001054_de_008	Simultandolmetscherin
C001054_de_009	Wirtschaftsdolmetscher
C001054_de_010	Wirtschaftsdolmetscherin
C001055_de_000	Maschinenschmierer/Maschinenschmiererin
C001055_de_001	Maschinenschmierer
C001055_de_002	Maschinenschmiererin
C001055_de_003	Maschinenöler
C001055_de_004	Maschinenölerin
C001055_de_005	Schmierer
C001055_de_006	Schmiererin
C001055_de_007	Öler
C001055_de_008	Ölerin
C001056_de_000	Industriemechaniker für Rotating Equipment/Industriemechanikerin für Rotating Equipment
C001056_de_001	Industriemechaniker für Rotating Equipment
C001056_de_002	Industriemechanikerin für Rotating Equipment
C001056_de_003	Maschinenschlosser für Rotating Equipment
C001056_de_004	Maschinenschlosserin für Rotating Equipment
C001057_de_000	Bildungsberater/Bildungsberaterin
C001057_de_001	Ausbildungsberater
C001057_de_002	Ausbildungsberater/in
C001057_de_003	Ausbildungsberaterin
C001057_de_004	Berater für Berufsorientierung
C001057_de_005	Beraterin für Berufsorientierung
C001057_de_006	Berufs- und Bildungsberater/in
C001057_de_007	BerufsberaterIn
C001057_de_008	Bildungsberater
C001057_de_009	Bildungsberaterin
C001057_de_010	StudienberaterIn
C001058_de_000	Ingenieur Satellitentechnik/Ingenieurin Satellitentechnik
C001058_de_001	Ingenieur Satellitentechnik
C001058_de_002	Ingenieurin Satellitentechnik
C001059_de_000	Reifenmacher/Reifenmacherin
C001059_de_001	Autoreifenmacher
C001059_de_002	Autoreifenmacherin
C001059_de_003	Reifenmacher
C001059_de_004	Reifenmacherin
C001060_de_000	Vertriebsleiter für Computer, Computerperipheriegeräte und Software/Vertriebsleiterin für Computer, Computerperipheriegeräte und Software
C001060_de_001	Vertriebsleiter für Computer, Computerperipheriegeräte und Software
C001060_de_002	Vertriebsleiterin für Computer, Computerperipheriegeräte und Software
C001061_de_000	Tiefseefischer/Tiefseefischerin
C001061_de_001	Tiefseefischer
C001061_de_002	Tiefseefischerin
C001062_de_000	Anlage- und Vermögensberater für Geschäftskunden/Anlage- und Vermögensberaterin für Geschäftskunden
C001062_de_001	Anlage- und Vermögensberater für Geschäftskunden
C001062_de_002	Anlage- und Vermögensberaterin für Geschäftskunden
C001062_de_003	AnlageberaterIn für Geschäftskunden
C001062_de_004	Investmentberater/in für Geschäftskunden
C001063_de_000	Fabrikhilfsarbeiter/Fabrikhilfsarbeiterin
C001063_de_001	Fabrikhilfsarbeiter
C001063_de_002	Fabrikhilfsarbeiterin
C001063_de_003	Fabrikhilfskraft
C001063_de_004	Produktionshelfer
C001063_de_005	Produktionshelfer/Produktionshelferin
C001063_de_006	Produktionshelferin
C001063_de_007	Produktionshilfsarbeiter
C001063_de_008	Produktionshilfsarbeiterin
C001063_de_009	Produktionshilfskraft
C001063_de_010	Produktionsmitarbeiter
C001063_de_011	Produktionsmitarbeiterin
C001064_de_000	Ingenieur Rotating Equipment/Ingenieurin Rotating Equipment
C001064_de_001	Ingenieur Rotating Equipment
C001064_de_002	Ingenieur für rotatorisch angetriebene Betriebsmittel
C001064_de_003	Ingenieurin Rotating Equipment
C001064_de_004	Ingenieurin für rotatorisch angetriebene Betriebsmittel
C001065_de_000	Wahlbeobachter/Wahlbeobachterin
C001065_de_001	Wahlbeobachter
C001065_de_002	Wahlbeobachterin
C001066_de_000	Treppenbauer/Treppenbauerin
C001066_de_001	Treppenbauer
C001066_de_002	Treppenbauerin
C001066_de_003	Treppenbauzimmerer
C001066_de_004	Treppenbauzimmerin
C001067_de_000	Müllwagenfahrer/Müllwagenfahrerin
C001067_de_001	Müllfahrer
C001067_de_002	Müllfahrerin
C001067_de_003	Müllwagenfahrer
C001067_de_004	Müllwagenfahrerin
C001068_de_000	Konstruktionsmitarbeiter in der Medizintechnik/Konstruktionsmitarbeiterin in der Medizintechnik
C001068_de_001	Konstruktionsmitarbeiter in der Medizintechnik
C001068_de_002	Konstruktionsmitarbeiterin in der Medizintechnik
C001068_de_003	Monteur für medizinische Geräte
C001068_de_004	Monteurin für medizinische Geräte
C001069_de_000	Vertriebsleiter für pharmazeutische Produkte/Vertriebsleiterin für pharmazeutische Produkte
C001069_de_001	Vertriebsleiter für pharmazeutische Produkte
C001069_de_002	Vertriebsleiterin für pharmazeutische Produkte
C001070_de_000	Motorenmechaniker für Dieselmotoren/Motorenmechanikerin für Dieselmotoren
C001070_de_001	Dieselmotorenmechaniker
C001070_de_002	Dieselmotorenmechanikerin
C001070_de_003	KfZ-Mechatroniker für Dieselmotoren
C001070_de_004	KfZ-Mechatronikerin für Dieselmotoren
C001070_de_005	Kraftfahrzeugmechatroniker für Dieselmotoren
C001070_de_006	Kraftfahrzeugmechatronikerin für Dieselmotoren
C001070_de_007	Motorenmechaniker für Dieselmotoren
C001070_de_008	Motorenmechanikerin für Dieselmotoren
C001071_de_000	Bibliotheksleiter/Bibliotheksleiterin
C001071_de_001	Bibliotheksleiter
C001071_de_002	Bibliotheksleiterin
C001072_de_000	Fachkraft für händische Lederverarbeitung
C001072_de_001	Lederverarbeiter
C001072_de_002	Lederverarbeiterin
C001073_de_000	Tierpfleger mit Schwerpunkt Forschung und Klinik/Tierpflegerin mit Schwerpunkt Forschung und Klinik
C001073_de_001	Tierpfleger der Fachrichtung Forschung und Klinik
C001073_de_002	Tierpfleger mit Schwerpunkt Forschung und Klinik
C001073_de_003	Tierpflegerin der Fachrichtung Forschung und Klinik
C001073_de_004	Tierpflegerin mit Schwerpunkt Forschung und Klinik
C001074_de_000	Photoniktechniker/Photoniktechnikerin
C001074_de_001	Photonikmechaniker
C001074_de_002	Photonikmechanikerin
C001074_de_003	Photoniktechniker
C001074_de_004	Photoniktechnikerin
C001074_de_005	Techniker Optoelektronik
C001074_de_006	Technikerin Optoelektronik
C001075_de_000	Elektrozeichner/Elektrozeichnerin
C001075_de_001	Elektrozeichner
C001075_de_002	Elektrozeichnerin
C001076_de_000	Fomgießmaschinenführer/Formgießmaschinenführerin
C001076_de_001	Eisengießmaschinenführer
C001076_de_002	Eisengießmaschinenführerin
C001076_de_003	Formgießmaschinenbediener
C001076_de_004	Formgießmaschinenbedienerin
C001076_de_005	Formgießmaschinenführer
C001076_de_006	Formgießmaschinenführerin
C001076_de_007	Gießer
C001076_de_008	Gießereimechaniker
C001076_de_009	Gießereimechanikerin
C001076_de_010	Gießereitechniker
C001076_de_011	Gießereitechnikerin
C001076_de_012	Gießerin
C001076_de_013	Gießmaschinenbediener
C001076_de_014	Gießmaschinenbedienerin
C001076_de_015	Gießmaschinenführer
C001076_de_016	Gießmaschinenführerin
C001076_de_017	Leichtmetallgießer
C001076_de_018	Leichtmetallgießerin
C001076_de_019	Metallformer
C001076_de_020	Metallformerin
C001076_de_021	Metallgießer
C001076_de_022	Metallgießerin
C001076_de_023	Metallgussformer
C001076_de_024	Metallgussformerin
C001077_de_000	Qualitätskontrolleur für Leiterplatten/Qualitätskontrolleurin für Leiterplatten
C001077_de_001	Qualitätskontrolleur für Leiterplatten
C001077_de_002	Qualitätskontrolleurin für Leiterplatten
C001078_de_000	Katasteringenieur/Katasteringenieurin
C001078_de_001	Katastergeometer
C001078_de_002	Katastergeometerin
C001078_de_003	Katasteringenieur
C001078_de_004	Katasteringenieurin
C001078_de_005	Katastertechniker
C001078_de_006	Katastertechnikerin
C001078_de_007	Katastervermesser
C001078_de_008	Katastervermesserin
C001079_de_000	Physiologe/Physiologin
C001079_de_001	Physiologe
C001079_de_002	Physiologin
C001080_de_000	Datenwissenschaftler/Datenwissenschaftlerin
C001080_de_001	Data Scientist
C001080_de_002	Datenwissenschaftler
C001080_de_003	Datenwissenschaftlerin
C001081_de_000	Motorradfahrlehrer/Motorradfahrlehrerin
C001081_de_001	Motorradfahrlehrer
C001081_de_002	Motorradfahrlehrerin
C001081_de_003	Motorradinstruktor
C001081_de_004	Motorradinstruktorin
C001082_de_000	Plexiglasverformer/Plexiglasverformerin
C001082_de_001	Plexiglasbearbeiter
C001082_de_002	Plexiglasbearbeiterin
C001082_de_003	Plexiglasverformer
C001082_de_004	Plexiglasverformerin
C001083_de_000	Garderobenaufseher/Garderobenaufseherin
C001083_de_001	Garderobenaufseher
C001083_de_002	Garderobenaufseherin
C001083_de_003	Garderobenaufsicht
C001083_de_004	Garderobenfrau
C001083_de_005	Garderobenhelfer
C001083_de_006	Garderobenhelferin
C001083_de_007	Garderobenkraft
C001083_de_008	Garderobenmann
C001083_de_009	Garderobenwärter
C001083_de_010	Garderobenwärterin
C001083_de_011	Garderobier
C001083_de_012	Garderobiere
C001083_de_013	Mitarbeiter Garderobe
C001083_de_014	Mitarbeiterin Garderobe
C001084_de_000	Schiffsplaner/Schiffsplanerin
C001084_de_001	Containerkoordinator Seefracht
C001084_de_002	Containerkoordinatorin Seefracht
C001084_de_003	Schiffsplaner
C001084_de_004	Schiffsplanerin
C001085_de_000	Gästebetreuer Themenpark/Gästebetreuerin Themenpark
C001085_de_001	Gästebetreuer Themenpark
C001085_de_002	Gästebetreuerin Themenpark
C001085_de_003	Nationalpark-Ranger
C001085_de_004	Nationalpark-Rangerin
C001085_de_005	Nationalparkbetreuer
C001085_de_006	Nationalparkbetreuerin
C001085_de_007	Naturführer
C001085_de_008	Naturführerin
C001085_de_009	Ranger
C001085_de_010	Rangerin
C001085_de_011	Tourbegleiter Naturpark/Freizeitpark
C001085_de_012	Tourbegleiterin Naturpark/Freizeitpark
C001086_de_000	Schauspieler/Schauspielerin
C001086_de_001	Actor
C001086_de_002	Actress
C001086_de_003	Darsteller
C001086_de_004	Darstellerin
C001086_de_005	Fernsehschauspieler
C001086_de_006	Fernsehschauspielerin
C001086_de_007	Filmschauspieler
C001086_de_008	Filmschauspielerin
C001086_de_009	Muscialdarsteller
C001086_de_010	Musicaldarstellerin
C001086_de_011	Pantomime
C001086_de_012	Pantomimin
C001086_de_013	Schauspieler
C001086_de_014	Schauspielerin
C001086_de_015	Theaterschauspieler
C001086_de_016	Theaterschauspielerin
C001087_de_000	Führungskraft im Bereich der Nassverarbeitung
C001088_de_000	Marineoffizier/Marineoffizierin
C001088_de_001	Marineoffizier
C001088_de_002	Marineoffizierin
C001089_de_000	KfZ-Werkstattleiter/KfZ-Werkstattleiterin
C001089_de_001	KfZ-Werkstattleiter
C001089_de_002	KfZ-Werkstattleiterin
C001089_de_003	Leiter Service Center
C001089_de_004	Leiterin Service Center
C001090_de_000	Buchmacher/Buchmacherin
C001090_de_001	Buchmacher
C001090_de_002	Buchmacherin
C001091_de_000	Hundetrainer/Hundetrainerin
C001091_de_001	Hundeabrichter
C001091_de_002	Hundeabrichterin
C001091_de_003	Hundeausbilder
C001091_de_004	Hundeausbilderin
C001091_de_005	Hundeausbildner
C001091_de_006	Hundeausbildnerin
C001091_de_007	Hundedresseur
C001091_de_008	Hundedresseurin
C001091_de_009	Hundedressierer
C001091_de_010	Hundedressiererin
C001091_de_011	Hundetrainer
C001091_de_012	Hundetrainerin
C001092_de_000	Nudelhersteller/Nudelherstellerin
C001092_de_001	Nudelhersteller
C001092_de_002	Nudelherstellerin
C001092_de_003	Pastahersteller
C001092_de_004	Pastaherstellerin
C001093_de_000	Fachverkäufer für Süßwaren/Fachverkäuferin für Süßwaren
C001093_de_001	Confiserieverkäufer
C001093_de_002	Confiserieverkäuferin
C001093_de_003	Fachverkäufer für Süßwaren
C001093_de_004	Fachverkäufer im Lebensmittelhandwerk - Konditorei
C001093_de_005	Fachverkäuferin für Süßwaren
C001093_de_006	Fachverkäuferin im Lebensmittelhandwerk - Konditorei
C001093_de_007	Konditoreifachverkäufer
C001093_de_008	Konditoreifachverkäuferin
C001093_de_009	Konfiserieverkäufer
C001093_de_010	Konfiserieverkäuferin
C001093_de_011	Schokoladenverkäufer
C001093_de_012	Schokoladenverkäuferin
C001093_de_013	Süßwarenverkäufer
C001093_de_014	Süßwarenverkäuferin
C001094_de_000	Industriemechaniker/Industriemechanikerin
C001094_de_001	Betriebsmechaniker
C001094_de_002	Betriebsmechanikerin
C001094_de_003	Betriebsschlosser
C001094_de_004	Betriebsschlosserin
C001094_de_005	Industriemechaniker
C001094_de_006	Industriemechanikerin
C001094_de_007	Industrieschlosser
C001094_de_008	Industrieschlosserin
C001094_de_009	Maschinenmechaniker
C001094_de_010	Maschinenmechanikerin
C001094_de_011	Maschinenschlosser
C001094_de_012	Maschinenschlosserin
C001094_de_013	Werkmechaniker
C001094_de_014	Werkmechanikerin
C001094_de_015	Werkstattschlosser
C001094_de_016	Werkstattschlosserin
C001095_de_000	Takler/Taklerin
C001095_de_001	Bootsausrüster
C001095_de_002	Bootsausrüsterin
C001095_de_003	Bootsmonteur
C001095_de_004	Bootsmonteurin
C001095_de_005	Schiffstakler
C001095_de_006	Schiffstaklerin
C001095_de_007	Takler
C001095_de_008	Taklerin
C001096_de_000	Faktenprüfer/Faktenprüferin
C001096_de_001	Dokumentar
C001096_de_002	Dokumentarin
C001096_de_003	Dokumentationsjournalist
C001096_de_004	Dokumentationsjournalistin
C001096_de_005	Fact-Checker
C001096_de_006	Fact-Checkerin
C001096_de_007	Faktenprüfer
C001096_de_008	Faktenprüferin
C001096_de_009	Verifikateur
C001096_de_010	Verifikateurin
C001097_de_000	Zeitungsredakteur/Zeitungsredakteurin
C001097_de_001	Zeitungsredakteur
C001097_de_002	Zeitungsredakteurin
C001098_de_000	Mikrosystemtechniker/Mikrosystemtechnikerin
C001098_de_001	Mikrosystemtechniker
C001098_de_002	Mikrosystemtechnikerin
C001098_de_003	Techniker Mikrosystemtechnik
C001098_de_004	Technikerin Mikrosystemtechnik
C001099_de_000	Küsten- und Binnenfischer/Küsten- und Binnenfischerin
C001099_de_001	Küsten- und Binnenfischer
C001099_de_002	Küsten- und Binnenfischerin
C001100_de_000	Middle-Office-Mitarbeiter/Middle-Office-Mitarbeiterin
C001100_de_001	Middle-Office-Mitarbeiter
C001100_de_002	Middle-Office-Mitarbeiterin
C001100_de_003	Middleoffice-Mitarbeiter
C001100_de_004	Middleoffice-Mitarbeiterin
C001100_de_005	Mitarbeiter im Risikocontrolling
C001100_de_006	Mitarbeiterin im Risikocontrolling
C001101_de_000	IT-Sicherheitsleiter/IT-Sicherheitsleiterin
C001101_de_001	Chief IT Security Officer
C001101_de_002	IT-Sicherheitsleiter
C001101_de_003	IT-Sicherheitsleiterin
C001102_de_000	Techniker im Bereich Elektronik/Technikerin im Bereich Elektronik
C001102_de_001	Techniker im Bereich Elektronik
C001102_de_002	Technikerin im Bereich Elektronik
C001103_de_000	Logistikkoordinator Schienenverkehr/Logistikkoordinatorin Schienenverkehr
C001103_de_001	Logistikkoordinator Schienenverkehr
C001103_de_002	Logistikkoordinatorin Schienenverkehr
C001103_de_003	Transportkoordinator Schienenverkehr
C001103_de_004	Transportkoordinatorin Schienenverkehr
C001104_de_000	Seegüterkontrolleur/Seegüterkontrolleurin
C001104_de_001	Seegüterkontrolleur
C001104_de_002	Seegüterkontrolleurin
C001105_de_000	Lehrkraft für Geschichte Sekundarstufe
C001105_de_001	GeschichtelehrerIn für AHS, BHS und NMS
C001105_de_002	Lehrer für Geschichte Sekundarstufe
C001105_de_003	Lehrer/in für Sozialkunde Sekundarstufe
C001105_de_004	LehrerIn für politische Bildung Sekundarstufe
C001105_de_005	Lehrerin für Geschichte Sekundarstufe
C001106_de_000	Ingenieur Chemietechnik/Ingenieurin Chemietechnik
C001106_de_001	Metallurge Chemietechnik
C001106_de_002	Metallurgin Chemietechnik
C001107_de_000	Papierschneider/Papierschneiderin
C001107_de_001	Bogenschneidemaschinenführer
C001107_de_002	Bogenschneidemaschinenführerin
C001107_de_003	Bogenschneider
C001107_de_004	Bogenschneiderin
C001107_de_005	Papierschneider
C001107_de_006	Papierschneiderin
C001108_de_000	Puppenspieler/Puppenspielerin
C001108_de_001	Bauchredner
C001108_de_002	Bauchrednerin
C001108_de_003	Handpuppenspieler
C001108_de_004	Handpuppenspielerin
C001108_de_005	Marionettenspieler
C001108_de_006	Marionettenspielerin
C001108_de_007	Puppenspieler
C001108_de_008	Puppenspielerin
C001108_de_009	Ventriloquist
C001108_de_010	Ventriloquistin
C001109_de_000	Referent für Regionalentwicklung/Referentin für Regionalentwicklung
C001109_de_001	Referent für Regionalentwicklung
C001109_de_002	ReferentIn für Regionalentwicklung
C001109_de_003	ReferentIn für regionale Entwicklung
C001109_de_004	Referentin für Regionalentwicklung
C001110_de_000	Wasserqualitätsanalytiker/Wasserqualitätsanalytikerin
C001110_de_001	Experte für die Wasseranalyse
C001110_de_002	Hydrologe
C001110_de_003	Hydrologin
C001110_de_004	Trinkwasserinspektor
C001110_de_005	Trinkwasserinspektorin
C001110_de_006	Wasserqualitätsanalytiker
C001110_de_007	Wasserqualitätsanalytikerin
C001111_de_000	Alternativer Tiertherapeut/Alternative Tiertherapeutin
C001111_de_001	Alternative Tiertherapeutin
C001111_de_002	Alternativer Tiertherapeut
C001111_de_003	Tierheilpraktiker
C001111_de_004	Tierheilpraktikerin
C001112_de_000	Hersteller von konfektionierten Textilwaren/Herstellerin von konfektionierten Textilwaren
