Q000001	Offizier im militärfachlichen Dienst
Q000399	Kraftwerksmeister/Kraftwerksmeisterin - Fachrichtung Produktion Elektrotechnik/Leittechnik
Q000400	Elektromechaniker/Elektromechanikerin
Q000401	Industrieelektriker/Industrieelektrikerin - Geräte und Systeme
Q000402	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Elektrotechnik (ohne Schwerpunkt)
Q000403	Ingenieur/Ingenieurin für Elektrotechnik
Q000404	Elektrotechniksachverständiger/Elektrotechniksachverständige
Q000405	Kommunikationselektroniker/Kommunikationselektronikerin Fachrichtung Telekommunikationstechnik
Q000406	Fernmeldeanlagenelektroniker/Fernmeldeanlagenelektronikerin
Q000407	Informations- und Telekommunikationssystem-Elektroniker/Informations- und Telekommunikationssystem-Elektronikerin
Q000408	Servicetechniker/Servicetechnikerin für Informationstechnologie
Q000409	Beamter/Beamtin für den mittleren technischen Dienst der Fernmelde- und Elektronischen Aufklärung des Bundes
Q000410	Fernmeldeelektroniker/Fernmeldeelektronikerin
Q000411	Systemtechniker/Systemtechnikerin (Telekommunikationstechnik)
Q000412	Medientechniker/Medientechnikerin (Kommunikationselektronik)
Q000413	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Elektrotechnik Schwerpunkt Informations- und Kommunikationstechnik
Q000414	Komponentenentwickler/Komponentenentwicklerin
Q000415	Mikrotechnologe/Mikrotechnologin
Q000416	Mikrotechnologe/Mikrotechnologin Schwerpunkt Halbleitertechnik
Q000417	Mikrotechnologe/Mikrotechnologin Schwerpunkt Mikrosystemtechnik
Q000418	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Mikrosystemtechnik
Q000419	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Leiterplattentechnik
Q000420	Ingenieur/Ingenieurin für Mikrosystemtechnik
Q000421	Ingenieur/Ingenieurin für Mikroelektronik
Q000422	Ingenieur/Ingenieurin für Nanotechnologie
Q000423	Ingenieur/Ingenieurin für Sensortechnik
Q000424	Schiffselektriker/Schiffselektrikerin
Q000425	Elektroniker/Elektronikerin für luftfahrttechnische Systeme
Q000426	Fluggerätelektroniker/Fluggerätelektronikerin
Q000427	Kraftfahrzeugelektriker/Kraftfahrzeugelektrikerin
Q000428	Elektroprüfer/Elektroprüferin
Q000429	Systemtester im Bereich Elektrotechnik/Systemtesterin im Bereich Elektrotechnik
Q000430	Ingenieur/Ingenieurin für Optoelektronik
Q000431	Industriemeister/Industriemeisterin Fachrichtung Elektrotechnik Schwerpunkt Nachrichtentechnik/Informationstechnik
Q000432	Industriemeister/Industriemeisterin Fachrichtung Elektrotechnik Schwerpunkt Elektronik
Q000433	Entwicklungstechniker/Entwicklungstechnikerin
Q000434	3-D-Druck-Spezialist/3-D-Druck-Spezialistin
Q000435	Forschungs- und Entwicklungsingenieur/Forschungs- und Entwicklungsingenieurin
Q000436	Projektingenieur/Projektingenieurin
Q000437	Berechnungsingenieur/Berechnungsingenieurin
Q000438	Produktingenieur/Produktingenieurin
Q000439	Inbetriebnahmeingenieur/Inbetriebnahmeingenieurin
Q000440	Produktentwickler/Produktentwicklerin
Q000441	Patentingenieur/Patentingenieurin
Q000442	Leiter/Leiterin in der Forschung und Entwicklung
Q000443	Technischer Zeichner/Technische Zeichnerin Fachrichtung Maschinen- und Anlagentechnik
Q000444	Technischer Zeichner/Technische Zeichnerin Fachrichtung Elektrotechnik
Q000445	Technischer Zeichner/Technische Zeichnerin Fachrichtung Heizungs-, Klima- und Sanitärtechnik
Q000446	Bauzeichner/Bauzeichnerin
Q000447	Bauzeichner/Bauzeichnerin Schwerpunkt Architektur
Q000448	Technischer Produktdesigner/Technische Produktdesignerin (ohne Fachrichtungen)
Q000449	Technischer Produktdesigner/Technische Produktdesignerin Fachrichtung Produktgestaltung und -konstruktion
Q000450	Technischer Systemplaner/Technische Systemplanerin Fachrichtung Elektrotechnische Systeme
Q000451	Technischer Systemplaner/Technische Systemplanerin Fachrichtung Versorgungs- und Ausrüstungstechnik
Q000452	CAD-Fachkraft (ohne Schwerpunkt)
Q000453	Konstruktionsingenieur/Konstruktionsingenieurin
Q000454	Modellbaumechaniker/Modellbaumechanikerin Fachrichtung Gießereimodellbau
Q000455	Technischer Modellbauer/Technische Modellbauerin Fachrichtung Gießerei
Q000456	Produktionstechnologe/Produktionstechnologin
Q000457	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Maschinentechnik Schwerpunkt Produktionsorganisation
Q000458	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Wirtschaftstechnik
Q000459	REFA-Techniker/REFA-Technikerin
Q000460	Staatlich anerkannter Techniker/Staatlich anerkannte Technikerin für Betriebswissenschaft
Q000461	Assistent/Assistentin der Produktionsleitung
Q000462	Geprüfter Prozessmanager/Geprüfte Prozessmanagerin - Produktionstechnologie
Q000463	Betriebsingenieur/Betriebsingenieurin
Q000464	Wirtschaftsingenieur/Wirtschaftsingenieurin
Q000465	Ingenieur/Ingenieurin für Service/Instandhaltung
Q000466	Product-Lifecycle-Manager/Product-Lifecycle-Managerin
Q000467	Testfahrer/Testfahrerin
Q000468	Güte- und Materialprüfer/Qualitätsfachmann / Güte- und Materialprüferin/Qualitätsfachfrau
Q000469	Qualitätssicherungstechniker/Qualitätssicherungstechnikerin
Q000470	Fachkraft - Qualitätssicherung/Qualitätsmanagement
Q000471	Qualitätsingenieur/Qualitätsingenieurin
Q000472	Bandleiter/Bandleiterin
Q000473	Qualitätsmanager/Qualitätsmanagerin
Q000474	Werkleiter/Werkleiterin
Q000475	Produktionsmechaniker/Produktionsmechanikerin - Textil
Q000476	Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin Schwerpunkt Textiltechnik
Q000477	Ingenieur/Ingenieurin für Textiltechnik
Q000478	Sticker/Stickerin
Q000479	Tapisserist/Tapisseristin
Q000480	Textilmustergestalter/Textilmustergestalterin Fachrichtung Handstickerei
Q000481	Textilmustergestalter/Textilmustergestalterin Fachrichtung Gewebe
Q000482	Textilmustergestalter/Textilmustergestalterin Fachrichtung Textildruck
Q000483	Textilmustergestalter/Textilmustergestalterin Fachrichtung Masche
Q000484	Produktgestalter/Produktgestalterin - Textil
Q000485	Textilmustergestalter/Textilmustergestalterin Fachrichtung Maschinenstickerei
Q000486	Textilmustergestalter/Textilmustergestalterin Fachrichtung Tufting (Nadelflor)
Q000487	Musterzeichner/Musterzeichnerin in der Stickerei
Q000488	Musterzeichner/Musterzeichnerin in der Stoffdruckerei
Q000489	Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Sticken
Q000490	Textildesigner/Textildesignerin
Q000491	Weber/Weberin
Q000492	Textilmaschinenführer/Textilmaschinenführerin - Weberei
Q000493	Textilmechaniker/Textilmechanikerin - Weberei
Q000494	Textilstopfer/Textilstopferin
Q000495	Textilmaschinenführer/Textilmaschinenführerin - Tufting
Q000496	Textilmechaniker/Textilmechanikerin - Tufting
Q000497	Stricker/Strickerin
Q000498	Textilmaschinenführer/Textilmaschinenführerin - Maschenindustrie
Q000499	Textilmechaniker/Textilmechanikerin - Maschenindustrie
Q000500	Textilmaschinenführer/Textilmaschinenführerin - Vliesstoff
Q000501	Textilmechaniker/Textilmechanikerin - Vliesstoff
Q000502	Produktprüfer/Produktprüferin - Textil
Q000503	Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Textiltechnik (Weberei)
Q000504	Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Textiltechnik (Tufting)
Q000505	Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Textiltechnik (Maschen)
Q000506	Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Textiltechnik (Vliesstoff)
Q000507	Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Textiltechnik (Schmucktextilien)
Q000508	Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Stricken
Q000509	Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Weben
Q000510	Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Posamentieren
Q000511	Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Klöppeln
Q000512	Textilgestalter/Textilgestalterin im Handwerk Fachrichtung Filzen
Q000513	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Webereitechnik
Q000514	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Vliesstofferzeugung
Q000515	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Maschentechnik
Q000516	Textilmaschinenführer/Textilmaschinenführerin - Spinnerei
Q000517	Textilmechaniker/Textilmechanikerin - Spinnerei
Q000518	Seiler/Seilerin
Q000519	Spuler - Textiltechnik/Spulerin - Textiltechnik
Q000520	Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Textiltechnik (Spinnerei)
Q000521	Seiler/Seilerin Schwerpunkt Netzkonfektion
Q000522	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Spinnereitechnik
Q000523	Textilveredler/Textilveredlerin
Q000524	Textilmaschinenführer/Textilmaschinenführerin - Veredlung
Q000525	Produktveredler/Produktveredlerin - Textil
Q000526	Textilveredler/Textilveredlerin - Maschinenführung
Q000527	Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin Schwerpunkt Textilveredelung
Q000528	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Textiltechnik Schwerpunkt Textilveredelung
Q000529	Staatlich geprüfter Modedesigner/Staatlich geprüfte Modedesignerin
Q000530	Schnitt-, Entwurfs- und Fertigungsmodelleur/Schnitt-, Entwurfs- und Fertigungsdirektrice
Q000531	Staatlich geprüfter Gestalter/Staatlich geprüfte Gestalterin Fachrichtung Bekleidung, Mode
Q000532	Staatlich geprüfter Produktentwickler/Staatlich geprüfte Produktentwicklerin (Mode)
Q000533	Modedesigner/Modedesignerin
Q000534	Helfer/Helferin in der Textilverarbeitung
Q000535	Herrenschneider/Herrenschneiderin
Q000536	Damenschneider/Damenschneiderin
Q000537	Theaterschneider/Theaterschneiderin
Q000538	Musterschneider/Musterschneiderin
Q000539	Änderungsschneider/Änderungsschneiderin
Q000540	Zuschneider/Zuschneiderin (Bekleidung)
Q000541	Modenäher/Modenäherin
Q000542	Hut- und Mützenmacher/Hut- und Mützenmacherin
Q000543	Modist/Modistin
Q000544	Textil- und Modeschneider/Textil- und Modeschneiderin
Q000545	Maßschneider/Maßschneiderin Schwerpunkt Damen
Q000546	Maßschneider/Maßschneiderin Schwerpunkt Herren
Q000547	Ingenieur/Ingenieurin für Bekleidungstechnik
Q000548	Polsterer/Polsterin
Q000549	Möbelpolsterer/Möbelpolsterin
Q000550	Raumausstatter/Raumausstatterin Schwerpunkt Polstern
Q000551	Sattler/Sattlerin (ohne Fachrichtungen)
Q000552	Feinsattler/Feinsattlerin
Q000553	Täschner/Täschnerin
Q000554	Feintäschner/Feintäschnerin
Q000555	Sattler/Sattlerin Fachrichtung Feintäschnerei
Q000556	Sattler/Sattlerin Fachrichtung Fahrzeugsattlerei
Q000557	Schuhmacher/Schuhmacherin
Q000558	Schuhinstandsetzer/Schuhinstandsetzerin
Q000559	Orthopädieschuhmacher/Orthopädieschuhmacherin
Q000560	Schäftemacher (Schuhmacher)/Schäftemacherin (Schuhmacherin)
Q000561	Maßschuhmacher/Maßschuhmacherin Fachrichtung Maßschuhe
Q000562	Maßschuhmacher/Maßschuhmacherin Fachrichtung Schaftbau
Q000563	Schuhmodelleur/Schuhmodelleurin
Q000564	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Schuhtechnik Schwerpunkt Betriebstechnik
Q000565	Kürschnermeister/Kürschnermeisterin
Q000566	Brauer und Mälzer/Brauerin und Mälzerin
Q000567	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Kellerwirtschaft
Q000568	Destillateur/Destillateurin
Q000569	Destillatbrenner/Destillatbrennerin
Q000570	Nahrungs- und Genussmittelkoster/Nahrungs- und Genussmittelkosterin
Q000571	Weinküfermeister/Weinküfermeisterin
Q000572	Kellermeister/Kellermeisterin
Q000573	Brauer- und Mälzermeister/Brauer- und Mälzermeisterin
Q000574	Landwirtschaftlicher Brennmeister/Landwirtschaftliche Brennmeisterin
Q000575	Destillateurmeister/Destillateurmeisterin
Q000576	Betriebsbraumeister/Betriebsbraumeisterin
Q000577	Nährmittelhersteller/Nährmittelherstellerin
Q000578	Fachkraft für Lebensmitteltechnik
Q000579	Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin Schwerpunkt Lebensmitteltechnik
Q000580	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Lebensmitteltechnik (ohne Schwerpunkt)
Q000581	Ingenieur/Ingenieurin für Lebensmitteltechnologie
Q000582	Lebensmittelsachverständiger/Lebensmittelsachverständige
Q000583	Müller/Müllerin
Q000584	Müller - Verfahrenstechnologe/Müllerin - Verfahrenstechnologin in der Mühlen- und Futtermittelwirtschaft
Q000585	Verfahrenstechnologe/Verfahrenstechnologin - Mühlen- und Getreidewirtschaft - Müllerei
Q000586	Bäcker/Bäckerin
Q000587	Ofenführer/Ofenführerin (Bäckerei)
Q000588	Bäckereimaschinenführer/Bäckereimaschinenführerin
Q000589	Patissier/Patissière
Q000590	Fleischer/Fleischerin Fachrichtung Schlachten
Q000591	Fleischzerleger/Fleischzerlegerin
Q000592	Fischverarbeiter/Fischverarbeiterin
Q000593	Fischwerker/Fischwerkerin
Q000594	Milchwirtschaftlicher Fachberater/Milchwirtschaftliche Fachberaterin
Q000595	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Milchwirtschaft und Molkereiwesen
Q000596	Fachkraft für Süßwarentechnik Fachrichtung Konfekt
Q000597	Fachkraft für Süßwarentechnik Fachrichtung Schokolade
Q000598	Konfektmacher/Konfektmacherin
Q000599	Süßwarentechnologe/Süßwarentechnologin
Q000600	Tiefkühlkosthersteller/Tiefkühlkostherstellerin
Q000601	Helfer/Helferin in der Küche
Q000602	Koch/Köchin
Q000603	Grilleur/Grilleurin
Q000604	Poissonnier/Poissonnierin
Q000605	Rotisseur/Rotisseurin
Q000606	Diätkoch/Diätköchin
Q000607	Pizzabäcker/Pizzabäckerin
Q000608	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Bautechnik (ohne Schwerpunkt)
Q000609	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Bautechnik Schwerpunkt Baubetrieb
Q000610	Ingenieur/Ingenieurin für Bau
Q000611	Architekt/Architektin
Q000612	Ingenieur/Ingenieurin für Architektur
Q000613	Ingenieur/Ingenieurin für Stadt- und Regionalplanung
Q000614	Stadt- und Regionalplaner/Stadt- und Regionalplanerin
Q000615	Verkehrsbauingenieur/Verkehrsbauingenieurin
Q000616	Ingenieur/Ingenieurin für Wasserwirtschaft
Q000617	Baukontrolleur (Sicherheitskontrolleur), Baukontrolleurin (Sicherheitskontrolleurin)
Q000618	Baukalkulator/Baukalkulatorin
Q000619	Bauabrechner/Bauabrechnerin
Q000620	Geprüfter Baufachwirt/Geprüfte Baufachwirtin
Q000621	Bau- und Projektkaufmann/Bau- und Projektkauffrau
Q000622	Montageleiter im Bereich Bau/Montageleiterin im Bereich Bau
Q000623	Vermessungstechniker/Vermessungstechnikerin Fachrichtung Bergvermessung
Q000624	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Vermessungstechnik
Q000625	Katastertechniker/Katastertechnikerin
Q000626	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Seevermessungstechnik
Q000627	Ingenieur/Ingenieurin für Markscheidewesen
Q000628	Vermessungsingenieur/Vermessungsingenieurin
Q000629	Kartograf/Kartografin (Hochschule)
Q000630	Helfer/Helferin im Hochbau
Q000631	Hochbaufacharbeiter/Hochbaufacharbeiterin (ohne Angabe des Schwerpunkts)
Q000632	Beton- und Stahlbetonbauer/Beton- und Stahlbetonbauerin
Q000633	Hochbaufacharbeiter/Hochbaufacharbeiterin Schwerpunkt Beton- und Stahlbetonarbeiten
Q000634	Maurer/Maurerin
Q000635	Hochbaufacharbeiter/Hochbaufacharbeiterin Schwerpunkt Maurerarbeiten
Q000636	Dachdecker/Dachdeckerin
Q000637	Dachdecker/Dachdeckerin Schwerpunkt Dachdeckungstechnik
Q000638	Gerüstbauer/Gerüstbauerin
Q000639	Tribünenbauer/Tribünenbauerin
Q000640	Industriekletterer/Industriekletterin
Q000641	Dachdeckermeister/Dachdeckermeisterin
Q000642	Gerüstbau-Kolonnenführer/Gerüstbau-Kolonnenführerin
Q000643	Gerüstbauermeister/Gerüstbauermeisterin
Q000644	Helfer/Helferin im Tiefbau
Q000645	Tiefbauingenieur/Tiefbauingenieurin
Q000646	Asphaltbauer/Asphaltbauerin
Q000647	Gleisbauer/Gleisbauerin
Q000648	Tiefbaufacharbeiter/Tiefbaufacharbeiterin Schwerpunkt Gleisbauarbeiten
Q000649	Brunnenbauer/Brunnenbauerin
Q000650	Bohrgeräteführer/Bohrgeräteführerin
Q000651	Tunnelbauer, Mineur/Tunnelbauerin, Mineurin
Q000652	Kanalbauer/Kanalbauerin
Q000653	Tiefbaufacharbeiter/Tiefbaufacharbeiterin Schwerpunkt Kanalbauarbeiten
Q000654	Drainagearbeiter/Drainagearbeiterin
Q000655	Kulturbauarbeiter/Kulturbauarbeiterin
Q000656	Wasserbauer/Wasserbauerin
Q000657	Straßenbauermeister/Straßenbauermeisterin
Q000658	Fliesen-, Platten- und Mosaikleger/Fliesen-, Platten- und Mosaiklegerin
Q000659	Ausbaufacharbeiter/Ausbaufacharbeiterin Schwerpunkt Fliesen-, Platten- und Mosaikarbeiten
Q000660	Terrazzoleger/Terrazzolegerin
Q000661	Parkettleger/Parkettlegerin
Q000662	Fliesen-, Platten- und Mosaiklegermeister/Fliesen-, Platten- und Mosaiklegermeisterin
Q000663	Maler und Lackierer/Malerin und Lackiererin - Schwerpunkt Maler/Malerin
Q000664	Bauten- und Objektbeschichter/Bauten- und Objektbeschichterin
Q000665	Maler und Lackierer/Malerin und Lackiererin Fachrichtung Gestaltung und Instandhaltung
Q000666	Maler und Lackierer/Malerin und Lackiererin Fachrichtung Bauten- und Korrosionsschutz
Q000667	Maler und Lackierer/Malerin und Lackiererin Fachrichtung Energieeffizienz- und Gestaltungstechnik
Q000668	Maler und Lackierer/Malerin und Lackiererin Fachrichtung Ausbautechnik und Oberflächengestaltung
Q000669	Stuckateur/Stuckateurin
Q000670	Ausbaufacharbeiter/Ausbaufacharbeiterin Schwerpunkt Stuckateurarbeiten
Q000671	Bauwerksabdichter/Bauwerksabdichterin
Q000672	Klebeabdichter/Klebeabdichterin
Q000673	Holz- und Bautenschützer/Holz- und Bautenschützerin Fachrichtung Holzschutz
Q000674	Fachkraft  für Holz- und Bautenschutzarbeiten
Q000675	Stuckateurmeister/Stuckateurmeisterin
Q000676	Ausbaumanager/Ausbaumanagerin
Q000677	Ausbaufacharbeiter/Ausbaufacharbeiterin Schwerpunkt Trockenbauarbeiten
Q000678	Trockenbaumonteur/Trockenbaumonteurin
Q000679	Fachkraft - Trockenbau
Q000680	Brandschutzfachkraft (Brandschutzmonteur/Brandschutzmonteurin)
Q000681	Isolierfacharbeiter/Isolierfacharbeiterin
Q000682	Ausbaufacharbeiter/Ausbaufacharbeiterin Schwerpunkt Wärme-, Kälte- und Schallschutzarbeiten
Q000683	Industrie-Isolierer/Industrie-Isoliererin
Q000684	Wärme-, Kälte- und Schallschutzisolierer/Wärme-, Kälte- und Schallschutzisoliererin
Q000685	Isolierer/Isoliererin
Q000686	Zimmerer/Zimmerin
Q000687	Treppenbauzimmerer/Treppenbauzimmerin
Q000688	Fertighausmonteur/Fertighausmonteurin
Q000689	Bootsbauer/Bootsbauerin (ohne Fachrichtungen)
Q000690	Ausbaufacharbeiter/Ausbaufacharbeiterin Schwerpunkt Zimmerarbeiten
Q000691	Bootsbauer/Bootsbauerin Fachrichtung Neu-, Aus- und Umbau
Q000692	Bauglaser/Bauglaserin
Q000693	Glaser/Glaserin Fachrichtung Fenster- und Glasfassadenbau
Q000694	Glaser/Glaserin Fachrichtung Verglasung und Glasbau
Q000695	Fahrzeugglaser/Fahrzeugglaserin
Q000696	Zimmerermeister/Zimmerermeisterin
Q000697	Wärme-, Kälte- und Schallschutzisolierermeister/Wärme-, Kälte- und Schallschutzisolierermeisterin
Q000698	Glasermeister/Glasermeisterin
Q000699	Industriemeister/Industriemeisterin Fachrichtung Isolierung
Q000700	Industriemeister/Industriemeisterin Fachrichtung Akustik- und Trockenbau
Q000701	Hausmeister/Hausmeisterin
Q000702	Hauswart/Haustechniker/Hauswartin/Haustechnikerin
Q000703	Staatlich geprüfter Technischer Assistent/Staatlich geprüfte Technische Assistentin für Gebäudetechnik
Q000704	Fachkraft für Gebäudetechnik
Q000705	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Gebäudesystemtechnik
Q000706	Ingenieur/Ingenieurin für Gebäudetechnik/Facility-Management
Q000707	Leitender Haustechniker/Leitende Haustechnikerin
Q000708	Industriemeister/Industriemeisterin Fachrichtung Gebäudetechnik
Q000709	Klempner/Klempnerin
Q000710	Konstruktionsmechaniker/Konstruktionsmechanikerin Fachrichtung Feinblechbautechnik
Q000711	Gas- und Wasserinstallateur/Gas- und Wasserinstallateurin
Q000712	Zentralheizungs- und Lüftungsbauer/Zentralheizungs- und Lüftungsbauerin
Q000713	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Heizungs-, Lüftungs-, Klimatechnik
Q000714	Ingenieur/Ingenieurin für Lüftungstechnik
Q000715	Klempnermeister/Klempnermeisterin
Q000716	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Versorgungstechnik
Q000717	Ver- und Entsorger/Ver- und Entsorgerin Fachrichtung Wasserversorgung
Q000718	Fachkraft für Wasserversorgungstechnik
Q000719	Geprüfter Verteilnetztechniker/Geprüfte Verteilnetztechnikerin
Q000720	Rohrnetzingenieur/Rohrnetzingenieurin
Q000721	Recycling-Fachkraft
Q000722	Fachkraft für Kreislauf- und Abfallwirtschaft Schwerpunkt Abfallverwertung und -behandlung
Q000723	Ingenieur/Ingenieurin für Abfallwirtschaft
Q000724	Montagemechaniker, Anlagenmonteur / Montagemechanikerin, Anlagenmonteurin
Q000725	Behälter- und Apparatebauermeister/Behälter- und Apparatebauermeisterin
Q000726	Wassermeister/Wassermeisterin
Q000727	Industriemeister/Industriemeisterin Fachrichtung Metall Schwerpunkt Apparatetechnik
Q000728	Abwassermeister/Abwassermeisterin
Q000729	Deponieleiter/Deponieleiterin
Q000730	Mathematiker/Mathematikerin
Q000731	Risikoanalytiker/Risikoanalytikerin (Versicherung)
Q000732	Biometriker/Biometrikerin
Q000733	Statistiker/Statistikerin
Q000734	Aktuar/Aktuarin
Q000735	Biologe/Biologin
Q000736	Staatlich geprüfter Biologisch-technischer Assistent/Staatlich geprüfte Biologisch-technische Assistentin
Q000737	Biologielaborant/Biologielaborantin
Q000738	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Biotechnik
Q000739	Medizinischer Sektions- und Präparationsassistent/Medizinische Sektions- und Präparationsassistentin
Q000740	Agrarbiologe/Agrarbiologin
Q000741	Meeresbiologe/Meeresbiologin
Q000742	Toxikologe/Toxikologin
Q000743	Verhaltensforscher/Verhaltensforscherin
Q000744	Tierschutzbeauftragter/Tierschutzbeauftragte
Q000745	Mikrobiologe/Mikrobiologin
Q000746	Epidemiologe/Epidemiologin
Q000747	Genetiker/Genetikerin
Q000748	Biochemiker/Biochemikerin
Q000749	Laborleiter/Laborleiterin
Q000750	Chemiker/Chemikerin
Q000751	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Chemietechnik (ohne Schwerpunkt)
Q000752	Ingenieur/Ingenieurin für Chemietechnik
Q000753	Ingenieur/Ingenieurin für Pharmatechnik
Q000754	Staatlich geprüfter Chemisch-technischer Assistent/Staatlich geprüfte Chemisch-technische Assistentin
Q000755	Chemielaborant/Chemielaborantin
Q000756	Textillaborant/Textillaborantin
Q000757	Textillaborant/Textillaborantin Schwerpunkt Textilchemie
Q000758	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Chemietechnik Schwerpunkt Biochemie
Q000759	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Chemietechnik Schwerpunkt Laboratoriumstechnik
Q000760	Steuerer/Steuerin von chemischen Filter- und Trennausrüstungen
Q000761	Analytiker/Analytikerin - Chemie
Q000762	Lebensmittelchemiker/Lebensmittelchemikerin
Q000763	Industriemeister/Industriemeisterin Fachrichtung Chemie
Q000764	Physiker/Physikerin
Q000765	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Physiktechnik
Q000766	Werkstoffprüfer/Werkstoffprüferin Fachrichtung Metalltechnik
Q000767	Edelmetallprüfer/Edelmetallprüferin
Q000768	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Werkstofftechnik
Q000769	Ingenieur/Ingenieurin für Werkstofftechnik
Q000770	Ingenieur/Ingenieurin für Materialwissenschaften
Q000771	Baustoffprüfer/Baustoffprüferin Schwerpunkt Asphalttechnik
Q000772	Akustiker/Akustikerin
Q000773	Astrophysiker/Astrophysikerin, Astronom/Astronomin
Q000774	Biophysiker/Biophysikerin
Q000775	Ingenieur/Ingenieurin für Geotechnik
Q000776	Geologe/Geologin
Q000777	Geophysiker/Geophysikerin
Q000778	Hydrologe/Hydrologin
Q000779	Mineraloge/Mineralogin
Q000780	Ozeanograf/Ozeanografin
Q000781	Paläontologe/Paläontologin
Q000782	Geograf/Geografin
Q000783	Beamter/Beamtin im gehobenen nichttechnischen Dienst des Bundes im Deutschen Wetterdienst und im Geophysikalischen Beratungsdienst der Bundeswehr
Q000784	Meteorologe/Meteorologin
Q000785	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Umweltschutztechnik (ohne Schwerpunkt)
Q000786	Ingenieur/Ingenieurin für Umweltschutz/Umwelttechnik
Q000787	Schornsteinfeger/Schornsteinfegerin
Q000788	Staatlich geprüfter Techniker/Staatlich geprüfte Technikerin Fachrichtung Umweltschutztechnik Schwerpunkt Landschaftsökologie
Q000789	Schornsteinfegermeister/Schornsteinfegermeisterin
Q000790	Umweltberater/Umweltberaterin im Handwerk
Q000791	Umweltgutachter/Umweltgutachterin
Q000792	Umweltwissenschaftler/Umweltwissenschaftlerin
Q000793	Abfallbeauftragter/Abfallbeauftragte
Q000794	Strahlenschutzfachkraft
Q000795	Dekontreiniger/Dekontreinigerin
Q000796	Strahlenschutzbeauftragter/Strahlenschutzbeauftragte
Q000797	Informatiker/Informatikerin (Hochschule)
Q000798	Data Scientist
Q000799	Data Engineer
Q000800	Betriebswirt/Betriebswirtin (Fachschule) für E-Business
Q000801	Umweltinformatiker/Umweltinformatikerin
Q000802	Informationsmanager/Informationsmanagerin
Q000803	Embedded-Systems-Entwickler/Embedded-Systems-Entwicklerin
Q000804	Ingenieurinformatiker/Ingenieurinformatikerin
Q000805	Bioinformatiker/Bioinformatikerin
Q000806	Geoinformatiker/Geoinformatikerin
Q000807	Multimediaentwickler/Multimediaentwicklerin
Q000808	Internettechnologe/Internettechnologin
Q000809	Entwickler Digitale Medien/Entwicklerin Digitale Medien
Q000810	IT-Systemanalytiker/IT-Systemanalytikerin
Q000811	IT-Kundenbetreuer/IT-Kundenbetreuerin
