C000001_pt_000	Profissões militares
C000767_pt_001	Professor de Medicina
C000767_pt_002	Professor universitário de Medicina
C000767_pt_003	Professora de Medicina
C000767_pt_004	Professora universitária de Medicina
C000768_pt_000	Operador de central telefónica/Operadora de central telefónica
C000768_pt_001	Operador de central telefónica
C000768_pt_002	Operadora de central telefónica
C000769_pt_000	Assistente de consultório médico
C000770_pt_000	Operador de cabos elétricos/Operadora de cabos elétricos
C000770_pt_001	Operador de cabos elétricos
C000770_pt_002	Operadora de cabos elétricos
C000771_pt_000	Instrutor de equitação/Instrutora de equitação
C000771_pt_001	Instrutor de equitação
C000771_pt_002	Instrutora de equitação
C000772_pt_000	Motorista de entregas
C000773_pt_000	Perito em investigação forense digital/Perita em investigação forense digital
C000773_pt_001	Investigador forense digital
C000773_pt_002	Investigadora forense digital
C000773_pt_003	Perita em investigação forense digital
C000773_pt_004	Perita em investigação forense informática
C000773_pt_005	Perito em investigação forense digital
C000773_pt_006	Perito em investigação forense informática
C000774_pt_000	Engenheiro de eletromedicina/Engenheira de eletromedicina
C000774_pt_001	Engenheira de eletromedicina
C000774_pt_002	Engenheiro de eletromedicina
C000775_pt_000	Gerente de loja de equipamento de telecomunicações
C000775_pt_001	Gerente de loja de telecomunicações
C000775_pt_002	Gerente de loja de telefonia móvel
C000775_pt_003	Gerente de loja de telemóveis e acessórios
C000776_pt_000	Diretor de importação e exportação de maquinaria e equipamento agrícola/Diretora de importação e exportação de maquinaria e equipamento agrícola
C000776_pt_001	Diretor de importação e exportação de maquinaria e equipamento agrícola
C000776_pt_002	Diretor de vendas maquinaria e equipamento agrícola
C000776_pt_003	Diretora de importação e exportação de maquinaria e equipamento agrícola
C000776_pt_004	Diretora de vendas maquinaria e equipamento agrícola
C000777_pt_000	Engenheiro especialista em cálculo dos custos de projetos de construção/Engenheira especialista em cálculo dos custos de projetos de construção
C000777_pt_001	Engenheira especialista em cálculo dos custos de projetos de construção
C000777_pt_002	Engenheiro especialista em cálculo dos custos de projetos de construção
C000778_pt_000	Coordenador de operações de navios/Coordenadora de operações de navios
C000778_pt_001	Coordenador de operações de navios
C000778_pt_002	Coordenadora de operações de navios
C000779_pt_000	Historiador/Historiadora
C000779_pt_001	Egiptólogo
C000779_pt_002	Historiador
C000779_pt_003	Historiador de arte
C000779_pt_004	Historiadora
C000779_pt_005	Historiadora de arte
C000780_pt_000	Consultor de segurança informática/Consultora de segurança informática
C000780_pt_001	Consultor de segurança informática
C000780_pt_002	Consultor de vulnerabilidade
C000780_pt_003	Consultor de vulnerabilidades
C000780_pt_004	Consultora de segurança informática
C000780_pt_005	Consultora de vulnerabilidade
C000780_pt_006	Consultora de vulnerabilidades
C000780_pt_007	Especialista em segurança informática
C000780_pt_008	Perita em segurança informática
C000780_pt_009	Perito em segurança informática
C000781_pt_000	Diretor de desenvolvimento de produtos químicos/Diretora de desenvolvimento de produtos químicos
C000781_pt_001	Diretor de desenvolvimento de produtos químicos
C000781_pt_002	Diretor de operações de produtos químicos
C000781_pt_003	Diretora de desenvolvimento de produtos químicos
C000781_pt_004	Diretora de operações de produtos químicos
C000782_pt_000	Assistente social especialista em cuidados à infância
C000783_pt_000	Gestor de tráfego aéreo/Gestora de tráfego aéreo
C000783_pt_001	Gestor de navegação aérea
C000783_pt_002	Gestor de tráfego aéreo
C000783_pt_003	Gestora de navegação aérea
C000783_pt_004	Gestora de tráfego aéreo
C000784_pt_000	Professor de Tecnologias da Informação e da Comunicação do ensino secundário/Professora de Tecnologias da Informação e da Comunicação do ensino secundário
C000784_pt_001	Professor de TIC do ensino secundário
C000784_pt_002	Professor de Tecnologias da Informação e da Comunicação do ensino secundário
C000784_pt_003	Professora de TIC do ensino secundário
C000784_pt_004	Professora de Tecnologias da Informação e da Comunicação do ensino secundário
C000785_pt_000	Operador de fornos de cal/ Operadora de fornos de cal
C000785_pt_001	Operador de fornos de cal
C000785_pt_002	Operadora de fornos de cal
C000786_pt_000	Técnico de aquicultura de flutuação ou submersão/Técnica de aquicultura de flutuação ou submersão
C000786_pt_001	Técnica de aquicultura de flutuação ou submersão
C000786_pt_002	Técnico de aquicultura de flutuação ou submersão
C000787_pt_000	Técnico de metereologia/Técnica de metereologia
C000787_pt_001	Técnica de metereologia
C000787_pt_002	Técnico de metereologia
C000788_pt_000	Químico/Química
C000788_pt_001	Especialista em química analítica
C000788_pt_002	Especialista em química física
C000788_pt_003	Especialista em química inorgânica
C000788_pt_004	Especialista em química orgânica
C000789_pt_000	Vendedor de munições/Vendedora de munições
C000789_pt_001	Vendedor de munições
C000789_pt_002	Vendedora de munições
C000790_pt_000	Operador de som/Operadora de som
C000790_pt_001	Operador de som
C000790_pt_002	Operadora de som
C000791_pt_000	Operador de máquinas de lavar/Operadora de máquinas de lavar
C000791_pt_001	Operador de lavandaria
C000791_pt_002	Operador de máquinas de lavandaria
C000791_pt_003	Operadora de lavandaria
C000791_pt_004	Operadora de máquinas de lavandaria
C000792_pt_000	Técnico de biotecnologia/Técnica de biotecnologia
C000792_pt_001	Técnica de biotecnologia
C000792_pt_002	Técnico de biotecnologia
C000793_pt_000	Operador de granuladores/ Operadora de granuladores
C000793_pt_001	Operador de granuladores
C000793_pt_002	Operadora de granuladores
C000794_pt_000	Audiodescritor/Audiodescritora
C000794_pt_001	Audiodescritor
C000794_pt_002	Audiodescritora
C000795_pt_000	Supervisor de contrução
C000795_pt_001	Mestre de obras
C000795_pt_002	Supervisor de construção
C000795_pt_003	Supervisora de construção
C000796_pt_000	Diretor de marketing/Diretora de marketing
C000796_pt_001	Diretor de marketing
C000796_pt_002	Diretor de mercados
C000796_pt_003	Diretor de vendas
C000796_pt_004	Diretora de marketing
C000796_pt_005	Diretora de mercados
C000796_pt_006	Diretora de vendas
C000797_pt_000	Responsável pela realização de inquéritos de campo
C000798_pt_000	Operador de perfuradora rotativa/Operadora de perfuradora rotativa
C000798_pt_001	Operador de perfuradora rotativa
C000798_pt_002	Operadora de perfuradora rotativa
C000799_pt_000	Maestro
C000799_pt_001	Maestro de banda
C000799_pt_002	Maestro de coro
C000799_pt_003	Maestro de orquestra
C000799_pt_004	Regente de orquestra
C000800_pt_000	Supervisor de produção de artigos de marroquinaria/Supervisora de produção de artigos de marroquinaria
C000800_pt_001	Supervisor de produção de artigos de marroquinaria
C000800_pt_002	Supervisora de produção de artigos de marroquinaria
C000801_pt_000	Engenheiro de energias renováveis/Engenheira de energias renováveis
C000801_pt_001	Consultor de energias renováveis
C000801_pt_002	Consultora de energias renováveis
C000801_pt_003	Engenheira de energias renováveis
C000801_pt_004	Engenheira de sistemas de energias renováveis
C000801_pt_005	Engenheira especialista em energia eólica/solar
C000801_pt_006	Engenheira especialista em operação e manutenção de turbinas
C000801_pt_007	Engenheiro de energias renováveis
C000801_pt_008	Engenheiro de sistemas de energias renováveis
C000801_pt_009	Engenheiro especialista em energia eólica/solar
C000801_pt_010	Engenheiro especialista em operação e manutenção de turbinas
C000801_pt_011	Projetista de Sistemas Solares Térmicos
C000801_pt_012	Projetista de Solar Térmico
C000802_pt_000	Técnico de microeletrónica/Técnica de microeletrónica
C000802_pt_001	Técnica de microeletrónica
C000802_pt_002	Técnico de microeletrónica
C000803_pt_000	Operador de gruas de torre/ Operadora de gruas de torre
C000803_pt_001	Operador de gruas de torre
C000803_pt_002	Operadora de gruas de torre
C000804_pt_000	Técnico de renovação automóvel/Técnica de renovação automóvel
C000804_pt_001	Técnica de renovação automóvel
C000804_pt_002	Técnico de renovação automóvel
C000805_pt_000	Gestor de investimento/Gestora de investimento
C000805_pt_001	Gestor de investimento
C000805_pt_002	Gestora de investimento
C000806_pt_000	Operador de centros de contacto/Operadora de centros de contacto
C000806_pt_001	Operador de call center
C000806_pt_002	Operador de call centre
C000806_pt_003	Operador de centros de contacto
C000806_pt_004	Operador de telemarketing
C000806_pt_005	Operadora de call center
C000806_pt_006	Operadora de call centre
C000806_pt_007	Operadora de centros de contacto
C000806_pt_008	Operadora de telemarketing
C000807_pt_000	Criador de animais para a produção de peles/Criadora de animais para a produção de peles
C000807_pt_001	Criador de animais criados para a produção de pele
C000807_pt_002	Criador de animais para a produção de peles
C000807_pt_003	Criador de animais para curtumes
C000807_pt_004	Criadora de animais criados para a produção de pele
C000807_pt_005	Criadora de animais para a produção de peles
C000807_pt_006	Criadora de animais para curtumes
C000808_pt_000	Secretário de Estado/Secretária de Estado
C000808_pt_001	Ministra
C000808_pt_002	Ministro
C000808_pt_003	Secretária de Estado
C000808_pt_004	Secretário de Estado
C000808_pt_005	Subsecretária de Estado
C000808_pt_006	Subsecretário de Estado
C000809_pt_000	Técnico de ilumincação inteligente/Técnica de ilumincação inteligente
C000809_pt_001	Técnica de ilumincação inteligente
C000809_pt_002	Técnico de ilumincação inteligente
C000810_pt_000	Missionário/Missionária
C000810_pt_001	Missionária
C000810_pt_002	Missionário
C000811_pt_000	Técnico de engenharia de material rolante/Técnica de engenharia de material rolante
C000811_pt_001	Técnica de engenharia de material rolante
C000811_pt_002	Técnico de engenharia de material rolante
C000812_pt_000	Gestor imobiliário/Gestora imobiliária
C000812_pt_001	Gestor imobiliário
C000812_pt_002	Gestora imobiliária
C000813_pt_000	Técnico de engenharia civil/Técnica de engenharia civil
C000813_pt_001	Engenheira técnica civil
C000813_pt_002	Engenheiro técnico civil
C000813_pt_003	Técnica de construção civil
C000813_pt_004	Técnica de engenharia civil
C000813_pt_005	Técnico de construção civil
C000813_pt_006	Técnico de engenharia civil
C000814_pt_000	Escriturário de tribunal/Escriturária de tribunal
C000814_pt_001	Escriturária de tribunal
C000814_pt_002	Escriturário de tribunal
C000815_pt_000	Designer têxtil
C000815_pt_001	Criador de padrões
C000815_pt_002	Criadora de padrões
C000815_pt_003	Designer gráfica
C000815_pt_004	Designer gráfico
C000815_pt_005	Especialista em design têxtil
C000815_pt_006	Especialista em design têxtil para a tecelagem
C000815_pt_007	Especialista em design têxtil para estamparia
C000815_pt_008	Especialista em design têxtil para malhas
C000815_pt_009	Especialista em padronagem
C000816_pt_000	Especialista em controlo de qualidade de produtos farmacêuticos
C000816_pt_001	Especialista em controlo de qualidade de medicamentos
C000817_pt_000	Técnico de sistemas de aproveitamento de águas/Técnica de sistemas de aproveitamento de águas
C000817_pt_001	Técnica de sistemas de aproveitamento de águas
C000817_pt_002	Técnica de sistemas de aproveitamento de águas pluviais
C000817_pt_003	Técnico de sistemas de aproveitamento de águas
C000817_pt_004	Técnico de sistemas de aproveitamento de águas pluviais
C000818_pt_000	Operador de prensagem/Operadora de prensagem
C000818_pt_001	Operador de prensagem
C000818_pt_002	Operadora de prensagem
C000819_pt_000	Montador de moldes de correias trapezoidais/ Montadora de moldes de correias trapezoidais
C000819_pt_001	Montador de moldes de correias trapezoidais
C000819_pt_002	Montadora de moldes de correias trapezoidais
C000820_pt_000	Operador de máquina de fabricação de doces/Operadora de máquina de fabricação de doces
C000820_pt_001	Operador de máquina de fabricação de doces
C000820_pt_002	Operador de máquina de moldar rebuçados
C000820_pt_003	Operador de máquina de preparar massas para rebuçados
C000820_pt_004	Operadora de máquina de fabricação de doces
C000820_pt_005	Operadora de máquina de moldar rebuçados
C000820_pt_006	Operadora de máquina de preparar massas para rebuçados
C000821_pt_000	Chef
C000821_pt_001	Chef de cozinha
C000822_pt_000	Farmacologista
C000823_pt_000	Analista especializado em recuperação de catástrofes informáticas/Analista especializada em recuperação de catástrofes informáticas
C000823_pt_001	Analista de continuidade operacional
C000823_pt_002	Analista de recuperação de falhas
C000823_pt_003	Analista de segurança das TIC
C000823_pt_004	Analista de segurança das tecnologias de informação e comunicação
C000823_pt_005	Analista de segurança informática
C000823_pt_006	Analista especializada em recuperação de catástrofes informáticas
C000823_pt_007	Analista especializado em recuperação de catástrofes informáticas
C000824_pt_000	Filigranista
C000824_pt_001	Ourives
C000825_pt_000	Professor de apoio a alunos sobredotados/Professora de apoio a alunos sobredotados
C000825_pt_001	Professor de apoio a alunos sobredotados
C000825_pt_002	Professora de apoio a alunos sobredotados
C000826_pt_000	Designer de sistemas incorporados
C000826_pt_001	Designer de sistemas informáticos incorporados
C000827_pt_000	Testador de software/Testadora de software
C000827_pt_001	Responsável pelos testes de software
C000827_pt_002	Responsável por testes de software
C000827_pt_003	Testador de módulos
C000827_pt_004	Testador de software
C000827_pt_005	Testador de software de aplicações
C000827_pt_006	Testadora de módulos
C000827_pt_007	Testadora de software
C000827_pt_008	Testadora de software de aplicações
C000828_pt_000	Operador de retorcedeiras/ Operadora de retorcedeiras
C000828_pt_001	Operador de retorcedeiras
C000828_pt_002	Operadora de retorcedeiras
C000829_pt_000	Diretor de mina/Diretora de mina
C000829_pt_001	Diretor de mina
C000829_pt_002	Diretor de pedreira
C000829_pt_003	Diretora de mina
C000829_pt_004	Diretora de pedreira
C000830_pt_000	Técnico de optometria/Técnica de optometria
C000830_pt_001	Técnica de optometria
C000830_pt_002	Técnico de optometria
C000831_pt_000	Assistente universitário estagiário/Assistente universitária estagiária
C000831_pt_001	Assistente universitária estagiária
C000831_pt_002	Assistente universitário estagiário
C000832_pt_000	Gestor dos serviços de qualidade/Gestora dos serviços de qualidade
C000832_pt_001	Diretor de garantia da qualidade
C000832_pt_002	Diretora de garantia da qualidade
C000832_pt_003	Gestor dos serviços de garantia da qualidade
C000832_pt_004	Gestor dos serviços de qualidade
C000832_pt_005	Gestora dos serviços de garantia da qualidade
C000832_pt_006	Gestora dos serviços de qualidade
C000833_pt_000	Vendedor de artigos desportivos/Vendedora de artigos desportivos
C000833_pt_001	Vendedor de artigos desportivos
C000833_pt_002	Vendedora de artigos desportivos
C000834_pt_000	Professor de apoio educativo/Professora de apoio educativo
C000834_pt_001	Professor de apoio educativo
C000834_pt_002	Professora de apoio educativo
C000835_pt_000	Especialista em vendas energias renováveis
C000836_pt_000	Instrutor de desportos/Instrutora de desportos
C000836_pt_001	Instrutor de desportos
C000836_pt_002	Instrutora de desportos
C000837_pt_000	Professor de Sociologia/Professora de Sociologia
C000837_pt_001	Professor de Sociologia
C000837_pt_002	Professor universitário de Sociologia
C000837_pt_003	Professora de Sociologia
C000837_pt_004	Professora universitária de Sociologia
C000838_pt_000	Designer de jogos de fortuna e azar, de apostas e lotaria
C000838_pt_001	Criador de jogos de apostas
C000838_pt_002	Criador de jogos de fortuna e azar
C000838_pt_003	Criador de jogos de lotaria
C000838_pt_004	Criadora de jogos de apostas
C000838_pt_005	Criadora de jogos de lotaria
C000838_pt_006	Designer de jogos
C000839_pt_000	Técnico de engenharia de produção/Técnica de engenharia d eprodução
C000839_pt_001	Técnica de engenharia de produção
C000839_pt_002	Técnico de engenharia de produção
C000840_pt_000	Agente de educação ambiental
C000841_pt_000	Kinesiologista
C000842_pt_000	Químico da indústria cosmética/Química da indústria cosmética
C000842_pt_001	Especialista no desenvolvimento de produtos de cosmética
C000842_pt_002	Formulador de produtos de cosmética
C000842_pt_003	Formuladora de produtos cosmética
C000842_pt_004	Química da indústria cosmética
C000842_pt_005	Químico da indústria cosmética
C000843_pt_000	Cientista ambiental
C000844_pt_000	Sociólogo/Socióloga
C000844_pt_001	Socióloga
C000844_pt_002	Sociólogo
C000845_pt_000	Cozinheiro industrial/Cozinheira industrial
C000845_pt_001	Cozinheira industrial
C000845_pt_002	Cozinheiro industrial
C000846_pt_000	Relojoeiro/Relojoeira
C000846_pt_001	Relojoeira
C000846_pt_002	Relojoeiro
C000847_pt_000	Técnico de desenvolvimento de calçado/Técnica de desenvolvimento de calçado
C000847_pt_001	Técnica de desenvolvimento de calçado
C000847_pt_002	Técnico de desenvolvimento de calçado
C000848_pt_000	Diretor de importação e exportação de maquinaria e equipamento industrial, construção naval e aeronáutica/Diretora de importação e exportação de maquinaria e equipamento industrial, construção naval e aeronáutica
C000848_pt_001	Diretor de importação e exportação de maquinaria e equipamento industrial, construção naval e aeronáutica
C000848_pt_002	Diretor de vendas de maquinaria e equipamento industrial, construção naval e aeronáutica
C000848_pt_003	Diretora de importação e exportação de maquinaria e equipamento industrial, construção naval e aeronáutica
C000848_pt_004	Diretora de vendas de maquinaria e equipamento industrial, construção naval e aeronáutica
C000849_pt_000	Operador de misturadora/Operadora de misturadora
C000849_pt_001	Operador de misturadora
C000849_pt_002	Operador de sistema de mistura
C000849_pt_003	Operadora de misturadora
C000849_pt_004	Operadora de sistema de mistura
C000850_pt_000	Vulcanizador de pneus/Vulcanizadora de pneus
C000850_pt_001	Vulcanizador de pneus
C000850_pt_002	Vulcanizadora de pneus
C000851_pt_000	Operador de fundição em coquilha/Operadora de fundição em coquilha
C000851_pt_001	Operador de fundição em coquilha
C000851_pt_002	Operadora de fundição em coquilha
C000852_pt_000	Gestor de serviço de assistência informática/Gestora de serviço de assistência informática
C000852_pt_001	Gestor de assistência técnica
C000852_pt_002	Gestor de serviço de assistência informática
C000852_pt_003	Gestor de suporte técnico
C000852_pt_004	Gestora de assistência técnica
C000852_pt_005	Gestora de serviço de assistência informática
C000852_pt_006	Gestora de suporte técnico
C000852_pt_007	Responsável pelo serviço de assistência informática
C000853_pt_000	Vendedor de livros/Vendedora de livros
C000853_pt_001	Vendedor de livros
C000853_pt_002	Vendedora de livros
C000854_pt_000	Operador de central hidroelétrica/Operadora de central hidroelétrica
C000854_pt_001	Operador de central hidroelétrica
C000854_pt_002	Operadora de central hidroelétrica
C000855_pt_000	Guarda municipal
C000856_pt_000	Armeiro/Armeira
C000856_pt_001	Armeira
C000856_pt_002	Armeiro
C000857_pt_000	Agulheiro/Agulheira
C000857_pt_001	Agulheira
C000857_pt_002	Agulheiro
C000857_pt_003	Operador de aparelho de mudança de via
C000857_pt_004	Operadora de aparelho de mudança de via
C000858_pt_000	Investigador em economia empresarial/Investigadora em economia empresarial
C000858_pt_001	Investigador em economia empresarial
C000858_pt_002	Investigadora em economia empresarial
C000859_pt_000	Diretor de responsabilidade social/Diretora de responsabilidade social
C000859_pt_001	Diretor de responsabilidade social
C000859_pt_002	Diretora de responsabilidade social
C000859_pt_003	Gestor de responsabilidade social
C000859_pt_004	Gestora de responsabilidade social
C000860_pt_000	Técnico de engenharia hidráulica/ Técnica de engenharia hidráulica
C000860_pt_001	Técnica de engenharia hidráulica
C000860_pt_002	Técnico de engenharia hidráulica
C000861_pt_000	Agente eleitoral
C000862_pt_000	Gestor de comunidades online/Gestora de comunidades online
C000862_pt_001	Especialista em redes sociais
C000862_pt_002	Gestor de comunidades digitais
C000862_pt_003	Gestor de comunidades em linha
C000862_pt_004	Gestor de comunidades online
C000862_pt_005	Gestor de redes sociais
C000862_pt_006	Gestora de comunidades em linha
C000862_pt_007	Gestora de comunidades online
C000862_pt_008	Gestora de redes sociais
C000863_pt_000	Ajudante familiar
C000863_pt_001	Assistente familiar e de apoio à comunidade
C000863_pt_002	Técnica de apoio familiar e à comunidade
C000863_pt_003	Técnico de apoio familiar e à comunidade
C000864_pt_000	Supervisor de gestrão de resíduos/Supervisora de gestão de resíduos
C000864_pt_001	Supervisor de gestão de resíduos
C000864_pt_002	Supervisora de gestão de resíduos
C000865_pt_000	Diretor de distribuição maquinaria para a indústria têxtil/Diretora de distribuição maquinaria para a indústria têxtil
C000865_pt_001	Diretor de distribuição maquinaria para a indústria têxtil
C000865_pt_002	Diretor de logística maquinaria para a indústria têxtil
C000865_pt_003	Diretora de distribuição maquinaria para a indústria têxtil
C000865_pt_004	Diretora de logística maquinaria para a indústria têxtil
C000866_pt_000	Representante de serviço de apoio ao cliente
C000867_pt_000	Diretor musical/Diretora musical
C000867_pt_001	Director musical
C000867_pt_002	Directora musical
C000867_pt_003	Diretor musical
C000867_pt_004	Diretora musical
C000868_pt_000	Vendedor de vestuário/Vendedora de vestuário
C000868_pt_001	Vendedor de vestuário
C000868_pt_002	Vendedora de vestuário
C000869_pt_000	Diretor de instituição para alunos com necessidades educativas especiais/Diretora de instituição para alunos com necessidades educativas especiais
C000869_pt_001	Diretor de instituição para alunos com necessidades educativas especiais
C000869_pt_002	Diretora de instituição para alunos com necessidades educativas especiais
C000870_pt_000	Representante comercial
C000871_pt_000	Operador de fabrico de semicondutores/ Operadora de fabrico de semicondutores
C000871_pt_001	Operador de fabrico de semicondutores
C000871_pt_002	Operadora de fabrico de semicondutores
C000872_pt_000	Empregado de armazén de fábrica de calçado/Empregado de armazén de fábrica de calçado
C000872_pt_001	Empregada de armazén de fábrica de calçado
C000872_pt_002	Empregado de armazén de fábrica de calçado
C000873_pt_000	Gerente de sala de jogos
C000873_pt_001	Diretor de casino
C000873_pt_002	Diretora de casino
C000874_pt_000	Diretor de desenvolvimento de produtos/Diretora de desenvolvimento de produtos
C000874_pt_001	Diretor de desenvolvimento de novos produtos
C000874_pt_002	Diretor de desenvolvimento de produtos
C000874_pt_003	Diretor de inovação
C000874_pt_004	Diretora de desenvolvimento de novos produtos
C000874_pt_005	Diretora de desenvolvimento de produtos
C000874_pt_006	Diretora de inovação
C000875_pt_000	Ceramista artesanal
C000876_pt_000	Técnico de registos médicos/TTécnica de registos médicos
C000876_pt_001	Técnica de registos médicos
C000876_pt_002	Técnico de registos médicos
C000877_pt_000	Criador de cavalos/Criadora de cavalos
C000877_pt_001	Criador de cavalos
C000877_pt_002	Criador de equinos
C000877_pt_003	Criador de equídeos
C000877_pt_004	Criadora de cavalos
C000877_pt_005	Criadora de equinos
C000877_pt_006	Criadora de equídeos
C000878_pt_000	Técnico de calçado ortopédico/Técnica de calçado ortopédico
C000878_pt_001	Técnica de calçado ortopédico
C000878_pt_002	Técnico de calçado ortopédico
C000879_pt_000	Operador de trançado têxtil/ Operadora de trançado têxtil
C000879_pt_001	Operador de entrançadura têxtil
C000879_pt_002	Operador de trançado têxtil
C000879_pt_003	Operadora de entrançadura têxtil
C000879_pt_004	Operadora de trançado têxtil
C000880_pt_000	Pintor da construção/Pintora da construção
C000880_pt_001	Pintor da construção
C000880_pt_002	Pintor da construção civil
C000880_pt_003	Pintora da construção
C000880_pt_004	Pintora da construção civil
C000881_pt_000	Especialista em sistemas de Data Warehouse
C000882_pt_000	Técnico de restauro automóvel/Técnica de restauro automóvel
C000882_pt_001	Técnica de restauro automóvel
C000882_pt_002	Técnico de restauro automóvel
C000883_pt_000	Funcionário de lavandaria/Funcionária de lavandaria
C000883_pt_001	Funcionária de lavandaria
C000883_pt_002	Funcionário da lavandaria
C000884_pt_000	Técnico de inseminação artificial animal/Técnica de inseminação artificial animal
C000884_pt_001	Inseminador artificial
C000884_pt_002	Inseminadora artificial
C000884_pt_003	Técnica de inseminação artificial
C000884_pt_004	Técnica de inseminação artificial animal
C000884_pt_005	Técnico de inseminação artificial
C000884_pt_006	Técnico de inseminação artificial animal
C000885_pt_000	Técnico de instrumentos óticos/Técnica de instrumentos óticos
C000885_pt_001	Técnica de instrumentos óticos
C000885_pt_002	Técnico de instrumentos óticos
C000886_pt_000	Empregado de canil/Empregada de canil
C000886_pt_001	Empregada de canil
C000886_pt_002	Empregado de canil
C000887_pt_000	Assistente atuarial
C000888_pt_000	Operador de máquinas misturadoras de pesticidas/Operadora de máquinas misturadoras de pesticidas
C000888_pt_001	Operador de máquinas misturadoras de pesticidas
C000888_pt_002	Operadora de máquinas misturadoras de pesticidas
C000889_pt_000	Engenheiro de pré-venda de produtos de informática/Engenheira de pré-venda de produtos de informática
C000889_pt_001	Engenheira de pré-venda de produtos de informática
C000889_pt_002	Engenheiro de pré-venda de produtos de informática
C000889_pt_003	Técnica de apoio informático pré-venda
C000889_pt_004	Técnica de assistência informática pré-venda
C000889_pt_005	Técnico de apoio informático pré-venda
C000889_pt_006	Técnico de assistência informática pré-venda
C000890_pt_000	Diretor de serviços pós-venda — retalho automóvel/Diretora de serviços pós-venda — retalho automóvel
C000890_pt_001	Coordenador de serviços pós-venda — pesados
C000890_pt_002	Coordenadora de serviços pós-venda — pesados
C000890_pt_003	Diretor de serviços pós-venda — retalho automóvel
C000890_pt_004	Diretora de serviços pós-venda — retalho automóvel
C000891_pt_000	Operador de máquina de corte por jato de plasma/Operadora de máquina de corte por jato de plasma
C000891_pt_001	Operador de máquina de corte por jato de plasma
C000891_pt_002	Operadora de máquina de corte por jato de plasma
C000892_pt_000	Operador de máquinas de corte de calçado/ Operadora de máquinas de corte de calçado
C000892_pt_001	Operador de máquinas de corte de calçado
C000892_pt_002	Operadora de máquinas de corte de calçado
C000893_pt_000	Operador de instalações de produção de energia a partir de combustríveis f
C000893_pt_001	Operador de instalações de produção de energia a partir de combustíveis fósseis
C000893_pt_002	Operadora de instalações de produção de energia a partir de combustíveis fósseis
C000894_pt_000	Técnico de qualidade química dos têxteis/Técnica de qualidade química dos têxteis
C000894_pt_001	Técnica de qualidade química dos têxteis
C000894_pt_002	Técnico de qualidade química dos têxteis
C000895_pt_000	Supervisor de mecânica de precisão/Supervisora de mecânica de precisão
C000895_pt_001	Supervisor de mecânica de precisão
C000895_pt_002	Supervisora de mecânica de precisão
C000896_pt_000	Engenheiro de soldadura/Engenheira de soldadura
C000896_pt_001	Engenheira de soldadura
C000896_pt_002	Engenheiro de soldadura
C000897_pt_000	Operador de máquinas de montagem de calçado/ Operadora de máquinas de montagem de calçado
C000897_pt_001	Operador de máquinas de montagem de calçado
C000897_pt_002	Operadora de máquinas de montagem de calçado
C000898_pt_000	Técnico de anestesia/Técnica de anestesia
C000898_pt_001	Técnica de anestesia
C000898_pt_002	Técnico de anestesia
C000899_pt_000	Operador de máquinas de produção de molhos/Operadora de máquinas de produção de molhos
C000899_pt_001	Operador de máquinas de produção de molhos
C000899_pt_002	Operadora de máquinas de produção de molhos
C000900_pt_000	Biofisico/Biofísica
C000900_pt_001	Biofisica
C000900_pt_002	Biofisico
C000901_pt_000	Comerciante grossista de artigos para o lar
C000902_pt_000	Diretor de importação e exportação de sistemas combinados de aquecimento de água e calefação/Diretora de importação e exportação de sistemas combinados de aquecimento de água e calefação
C000902_pt_001	Diretor de importação e exportação de sistemas combinados de aquecimento de água e calefação
C000902_pt_002	Diretor de vendas de sistemas combinados de aquecimento de água e calefação
C000902_pt_003	Diretora de importação e exportação de sistemas combinados de aquecimento de água e calefação
C000902_pt_004	Diretora de vendas de sistemas combinados de aquecimento de água e calefação
C000903_pt_000	Supervisor de máquinas agrícolas/Supervisora de máquinas agrícolas
C000903_pt_001	Controlador de maquinaria agrícola
C000903_pt_002	Controladora de maquinaria agrícola
C000903_pt_003	Supervisor de maquinaria terrestre
C000903_pt_004	Supervisor de máquinas agrícolas
C000903_pt_005	Supervisora de maquinaria terrestre
C000903_pt_006	Supervisora de máquinas agrícolas
C000904_pt_000	Geólogo de minas/Geóloga de minas
C000904_pt_001	Especialista em estatigrafia
C000904_pt_002	Geóloga de minas
C000904_pt_003	Geólogo de minas
C000905_pt_000	Técnico de gravação de charutos/Técnica de gravação de charutos
C000905_pt_001	Operador de marcação de charutos
C000905_pt_002	Operadora de marcação de charutos
C000905_pt_003	Técnica de gravação de charutos
C000905_pt_004	Técnico de gravação de charutos
C000906_pt_000	Soldador por brasagem/Soldadora por brasagem
C000906_pt_001	Operador de equipamento de soldadura
C000906_pt_002	Operadora de equipamento de soldadura
C000906_pt_003	Soldador
C000906_pt_004	Soldador por brasagem
C000906_pt_005	Soldadora
C000906_pt_006	Soldadora por brasagem
C000907_pt_000	Montador de instrumentos odontológicos/ Montadora de instrumentos odontológicos
C000907_pt_001	Montador de instrumentos odontológicos
C000907_pt_002	Montadora de instrumentos odontológicos
C000908_pt_000	Formador de cursos profissionais na área da hotelaria/Formadora de cursos profissionais na área da hotelaria
C000908_pt_001	Formador de cursos profissionais na área da hotelaria
C000908_pt_002	Formadora de cursos profissionais na área da hotelaria
C000909_pt_000	Porteiro de edifícios/Porteira de edifícios
C000909_pt_001	Porteira de edifícios
C000909_pt_002	Porteiro de edifícios
C000910_pt_000	Modelista de vestuário de confeção
