Q000001	Vojni namještenik/vojna namještenica
Q000453	Sveučilišni profesor/sveučilišna profesorica stomatologije
Q000454	Sveučilišni profesor/sveučilišna profesorica veterine
Q000455	Sveučilišni profesor/sveučilišna profesorica farmacije
Q000456	Sveučilišni profesor/sveučilišna profesorica medicinske biokemije
Q000457	Predavač/predavačica rudarstva
Q000458	Sveučilišni asistent/sveučilišna asistentica rudarstva
Q000459	Sveučilišni profesor/sveučilišna profesorica rudarstva
Q000460	Predavač/predavačica metalurgije
Q000461	Sveučilišni asistent/sveučilišna asistentica metalurgije
Q000462	Sveučilišni profesor/sveučilišna profesorica metalurgije
Q000463	Predavač/predavačica strojarstva
Q000464	Sveučilišni asistent/sveučilišna asistentica strojarstva
Q000465	Sveučilišni profesor/sveučilišna profesorica strojarstva
Q000466	Sveučilišni asistent/sveučilišna asistentica brodogradnje
Q000467	Sveučilišni profesor/sveučilišna profesorica brodogradnje
Q000468	Sveučilišni asistent/sveučilišna asistentica elektrotehnike
Q000469	Sveučilišni profesor/sveučilišna profesorica elektrotehnike
Q000470	Predavač/predavačica računalstva
Q000471	Sveučilišni profesor/sveučilišna profesorica računalstva
Q000472	Sveučilišni asistent/sveučilišna asistentica kemijskog inženjerstva i tehnologije
Q000473	Sveučilišni profesor/sveučilišna profesorica kemijskog inženjerstva i tehnologije
Q000474	Predavač/predavačica grafičke tehnologije
Q000475	Sveučilišni profesor/sveučilišna profesorica grafičke tehnologije
Q000476	Predavač/predavačica tekstilne tehnologije
Q000477	Sveučilišni profesor/sveučilišna profesorica tekstilne tehnologije
Q000478	Predavač/predavačica arhitekture i urbanizma
Q000479	Sveučilišni asistent/sveučilišna asistentica arhitekture i urbanizma
Q000480	Sveučilišni profesor/sveučilišna profesorica arhitekture i urbanizma
Q000481	Predavač/predavačica građevinarstva
Q000482	Sveučilišni asistent/sveučilišna asistentica građevinarstva
Q000483	Sveučilišni profesor/sveučilišna profesorica građevinarstva
Q000484	Predavač/predavačica geodezije
Q000485	Sveučilišni profesor/sveučilišna profesorica geodezije
Q000486	Predavač/predavačica prometa
Q000487	Sveučilišni asistent/sveučilišna asistentica prometa
Q000488	Sveučilišni profesor/sveučilišna profesorica prometa
Q000489	Predavač/predavačica zaštite na radu
Q000490	Sveučilišni asistent/sveučilišna asistentica zaštite na radu
Q000491	Sveučilišni profesor/sveučilišna profesorica zaštite na radu
Q000492	Predavač/predavačica dizajna
Q000493	Sveučilišni asistent/sveučilišna asistentica dizajna
Q000494	Sveučilišni profesor/sveučilišna profesorica dizajna
Q000495	Predavač/predavačica tehničko-tehnoloških znanosti
Q000496	Sveučilišni asistent/sveučilišna asistentica tehničko-tehnoloških znanosti
Q000497	Sveučilišni profesor/sveučilišna profesorica tehničko-tehnoloških znanosti
Q000498	Predavač/predavačica biotehnologije i prehrambene tehnologije
Q000499	Predavač/predavačica agronomije
Q000500	Predavač/predavačica ugostiteljstva i turizma
Q000501	Predavač/predavačica šumarstva
Q000502	Predavač/predavačica tehnologije drva
Q000503	Sveučilišni asistent/sveučilišna asistentica biotehnologije i prehrambene tehnologije
Q000504	Sveučilišni asistent/sveučilišna asistentica agronomije
Q000505	Sveučilišni asistent/sveučilišna asistentica ugostiteljstva i turizma
Q000506	Sveučilišni asistent/sveučilišna asistentica tehnologije drva
Q000507	Sveučilišni asistent/sveučilišna asistentica biotehničkih znanosti
Q000508	Sveučilišni profesor/sveučilišna profesorica biotehnologije i prehrambene tehnologije
Q000509	Sveučilišni profesor/sveučilišna profesorica agronomije
Q000510	Sveučilišni profesor/sveučilišna profesorica ugostiteljstva i turizma
Q000511	Sveučilišni profesor/sveučilišna profesorica šumarstva
Q000512	Sveučilišni profesor/sveučilišna profesorica tehnologije drva
Q000513	Sveučilišni profesor/sveučilišna profesorica biotehničkih znanosti
Q000514	Predavač/predavačica teologije
Q000515	Sveučilišni asistent/sveučilišna asistentica teologije
Q000516	Profesor/profesorica hrvatskog jezika
Q000517	Profesor/profesorica engleskog jezika
Q000518	Profesor/profesorica njemačkog jezika
Q000519	Profesor/profesorica francuskog jezika
Q000520	Profesor/profesorica talijanskog jezika
Q000521	Profesor/profesorica latinskog jezika
Q000522	Profesor/profesorica grčkog jezika
Q000523	Profesor/profesorica mađarskog jezika
Q000524	Profesor/profesorica španjolskog jezika
Q000525	Profesor/profesorica slovenskog jezika
Q000526	Profesor/profesorica romskog jezika
Q000527	Profesor/profesorica rusinskog jezika
Q000528	Profesor/profesorica češkog jezika
Q000529	Profesor/profesorica slovačkog jezika
Q000530	Profesor/profesorica poljskog jezika
Q000531	Profesor/profesorica srpskog jezika
Q000532	Profesor/profesorica albanskog jezika
Q000533	Profesor/profesorica ruskog jezika
Q000534	Profesor/profesorica stranog jezika
Q000535	Profesor/profesorica filozofije
Q000536	Profesor/profesorica logike
Q000537	Profesor/profesorica povijesti
Q000538	Profesor/profesorica pedagogije
Q000539	Profesor/profesorica psihologije
Q000540	Profesor/profesorica sociologije
Q000541	Profesor/profesorica pravnih predmeta
Q000542	Profesor/profesorica ekonomskih predmeta
Q000543	Profesor/profesorica birotehničkih predmeta
Q000544	Profesor/profesorica trgovinskih predmeta
Q000545	Profesor/profesorica glazbenih predmeta
Q000546	Profesor/profesorica likovnih predmeta
Q000547	Profesor/profesorica scenskih predmeta
Q000548	Profesor/profesorica baleta i plesa
Q000549	Profesor/profesorica tjelesne i zdravstvene kulture
Q000550	Profesor/profesorica matematike
Q000551	Profesor/profesorica informatike
Q000552	Profesor/profesorica fizike
Q000553	Profesor/profesorica astronomije
Q000554	Profesor/profesorica mehanike
Q000555	Profesor/profesorica kemije
Q000556	Profesor/profesorica biologije
Q000557	Profesor/profesorica geologije
Q000558	Profesor/profesorica geografije
Q000559	Profesor/profesorica osnovnih i socijalnih medicinskih znanosti
Q000560	Profesor/profesorica kliničkih medicinskih znanosti
Q000561	Profesor/profesorica fizioterapije
Q000562	Profesor/profesorica stomatoloških predmeta
Q000563	Profesor/profesorica farmaceutskih predmeta
Q000564	Profesor/profesorica medicinsko-biokemijskih predmeta
Q000565	Profesor/profesorica ratarstva i povrtlarstva
Q000566	Profesor/profesorica stočarstva
Q000567	Profesor/profesorica prerade mlijeka
Q000568	Profesor/profesorica ugostiteljstva i turizma
Q000569	Profesor/profesorica šumarstva
Q000570	Profesor/profesorica tehnologije drva
Q000571	Profesor/profesorica rudarstva
Q000572	Profesor/profesorica metalurgije
Q000573	Profesor/profesorica strojarske energetike
Q000574	Profesor/profesorica strojarstva
Q000575	Profesor/profesorica brodogradnje
Q000576	Profesor/profesorica elektrotehnike
Q000577	Profesor/profesorica računalstva
Q000578	Profesor/profesorica kemijske tehnologije
Q000579	Profesor/profesorica gumarske tehnologije
Q000580	Profesor/profesorica plastičarske tehnologije
Q000581	Profesor/profesorica staklarske tehnologije
Q000582	Profesor/profesorica keramičarske tehnologije
Q000583	Profesor/profesorica tehnologije papira
Q000584	Profesor/profesorica tekstilne tehnologije
Q000585	Profesor/profesorica konfekcijske tehnologije
Q000586	Profesor/profesorica kožarsko-krznarske tehnologije
Q000587	Profesor/profesorica obućarske i kožno-galanterijske tehnologije
Q000588	Profesor/profesorica restauracije i gradnje glazbala
Q000589	Profesor/profesorica arhitekture
Q000590	Profesor/profesorica građevinarstva
Q000591	Profesor/profesorica geodezije
Q000592	Profesor/profesorica cestovnog prometa
Q000593	Profesor/profesorica željezničkog prometa
Q000594	Profesor/profesorica zrakoplovnog prometa
Q000595	Profesor/profesorica pomorskog prometa
Q000596	Profesor/profesorica riječnog prometa
Q000597	Profesor/profesorica pt prometa
Q000598	Profesor/profesorica unutrašnjeg prometa
Q000599	Profesor/profesorica zaštite na radu
Q000600	Profesor/profesorica protupožarne zaštite
Q000601	Profesor/profesorica praktične nastave
Q000602	Diplomirani vjeroučitelj/diplomirana vjeroučiteljica
Q000603	Razredni učitelj/razredna učiteljica
Q000604	Učitelj/učiteljica hrvatskog jezika
Q000605	Učitelj/učiteljica engleskog jezika
Q000606	Učitelj/učiteljica njemačkog jezika
Q000607	Učitelj/učiteljica francuskog jezika
Q000608	Učitelj/učiteljica talijanskog jezika
Q000609	Učitelj/učiteljica grčkog jezika
Q000610	Učitelj/učiteljica mađarskog jezika
Q000611	Učitelj/učiteljica slovenskog jezika
Q000612	Učitelj/učiteljica romskog jezika
Q000613	Učitelj/učiteljica rusinskog jezika
Q000614	Učitelj/učiteljica češkog jezika
Q000615	Učitelj/učiteljica slovačkog jezika
Q000616	Učitelj/učiteljica srpskog jezika
Q000617	Učitelj/učiteljica albanskog jezika
Q000618	Učitelj/učiteljica ruskog jezika
Q000619	Učitelj/učiteljica povijesti
Q000620	Učitelj/učiteljica zemljopisa
Q000621	Učitelj/učiteljica glazbene kulture
Q000622	Učitelj/učiteljica likovne kulture
Q000623	Učitelj/učiteljica tjelesne i zdravstvene kulture
Q000624	Učitelj/učiteljica tehničke kulture
Q000625	Učitelj/učiteljica matematike
Q000626	Učitelj/učiteljica informatike
Q000627	Učitelj/učiteljica fizike
Q000628	Učitelj/učiteljica kemije
Q000629	Učitelj/učiteljica biologije
Q000630	Učitelj/učiteljica predškolske djece
Q000631	Učitelj/učiteljica osoba s oštećenjem vida
Q000632	Učitelj/učiteljica osoba s oštećenjem sluha
Q000633	Učitelj/učiteljica mentalno retardiranih osoba
Q000634	Učitelj/učiteljica tjelesno invalidnih osoba
Q000635	Učitelj/učiteljica osoba s poremećajima u ponašanju
Q000636	Specijalist/specijalistica metodike u obrazovnim područjima
Q000637	Specijalist/specijalistica za razvoj odgojno-obrazovnog programa
Q000638	Specijalist/specijalistica za obrazovne tehnologije
Q000639	Istraživač/istraživačica odgojnih znanosti
Q000640	Samostalni istraživač/samostalna istraživačica odgojnih znanosti
Q000641	Ovlašteni revizor/ovlaštena revizorica
Q000642	Porezni savjetnik/porezna savjetnica
Q000643	Interni revizor/interna revizorica
Q000644	Voditelj/voditeljica kadrovskih poslova
Q000645	Analitičar/analitičarka zanimanja
Q000646	Organizator/organizatorica obrazovanja odraslih
Q000647	Organizator/organizatorica poslovnih priredaba
Q000648	Analitičar/analitičarka istraživanja tržišta
Q000649	Oglašivač/oglašivačica
Q000650	Glasnogovornik/glasnogovornica
Q000651	Savjetnik/savjetnica za patente
Q000652	Savjetnik/savjetnica za poduzetništvo
Q000653	Organizator/organizatorica rada
Q000654	Savjetnik/savjetnica za nekretnine
Q000655	Savjetnik/savjetnica za ekonomiku kućanstva
Q000656	Odvjetnik/odvjetnica
Q000657	Državni odvjetnik/državna odvjetnica
Q000658	Državni pravobranitelj/državna pravobraniteljica
Q000659	Predsjednik/predsjednica županijskog suda
Q000660	Predsjednik/predsjednica trgovačkog suda
Q000661	Predsjednik/predsjednica općinskog suda
Q000662	Predsjednik/predsjednica prekršajnog suda
Q000663	Sudac/sutkinja Ustavnog suda
Q000664	Sudac/sutkinja Vrhovnog suda
Q000665	Sudac/sutkinja Upravnog suda
Q000666	Sudac/sutkinja Visokoga trgovačkog suda
Q000667	Sudac/sutkinja Visokoga prekršajnog suda
Q000668	Sudac/sutkinja županijskog suda
Q000669	Sudac/sutkinja trgovačkog suda
Q000670	Sudac/sutkinja općinskog suda
Q000671	Sudac/sutkinja prekršajnog suda
Q000672	Voditelj/voditeljica općih poslova
Q000673	Tajnik/tajnica kabineta čelnika/dužnosnika
Q000674	Javni bilježnik/javna bilježnica
Q000675	Arhivist/arhivistica
Q000676	Kustos/kustosica
Q000677	Muzejski pedagog/muzejska pedagoginja
Q000678	Diplomirani knjižničar/diplomirana knjižničarka
Q000679	Istraživač knjižničar/istraživačica knjižničarka
Q000680	Samostalni istraživač knjižničar/samostalna istraživačica knjižničarka
Q000681	Informacijski stručnjak/informacijska stručnjakinja
Q000682	Samostalni informacijski istraživač/samostalna informacijska istraživačica
Q000683	Diplomirani ekonomist/diplomirana ekonomistica za financije
Q000684	Diplomirani ekonomist/diplomirana ekonomistica za marketing
Q000685	Diplomirani ekonomist/diplomirana ekonomistica hotelijerstva
Q000686	Diplomirani ekonomist/diplomirana ekonomistica menadžmenta
Q000687	Diplomirani ekonomist/diplomirana ekonomistica za carinske poslove
Q000688	Diplomirani agroekonomist/diplomirana agroekonomistica
Q000689	Diplomirani ekonomist/diplomirana ekonomistica za analize i planiranje
Q000690	Diplomirani ekonomist/diplomirana ekonomistica platnog prometa
Q000691	Diplomirani ekonomist/diplomirana ekonomistica kreditno-garantnih poslova
Q000692	Diplomirani ekonomist/diplomirana ekonomistica za devizno poslovanje
Q000693	Voditelj/voditeljica trgovanja novcem i vrijednosnicama
Q000694	Investicijski savjetnik/investicijska savjetnica
Q000695	Samostalni istraživač/samostalna istraživačica ekonomskih znanosti
Q000696	Diplomirani ekonomist/diplomirana ekonomistica
Q000697	Diplomirani kroatolog/diplomirana kroatologinja
Q000698	Diplomirani sociolog/diplomirana sociologinja
Q000699	Istraživač sociolog/istraživačica sociologinja
Q000700	Samostalni istraživač sociolog/samostalna istraživačica sociologinja
Q000701	Istraživač antropolog/istraživačica antropologinja
Q000702	Samostalni istraživač antropolog/samostalna istraživačica antropologinja
Q000703	Diplomirani arheolog/diplomirana arheologinja
Q000704	Istraživač arheolog/istraživačica arheologinja
Q000705	Samostalni istraživač arheolog/samostalna istraživačica arheologinja
Q000706	Diplomirani etnolog/diplomirana etnologinja
Q000707	Samostalni istraživač etnolog/samostalna istraživačica etnologinja
Q000708	Diplomirani geograf/diplomirana geografkinja
Q000709	Istraživač geograf/istraživačica geografkinja
Q000710	Samostalni istraživač geograf/samostalna istraživačica geografkinja
Q000711	Diplomirani komunikolog/diplomirana komunikologinja
Q000712	Istraživač komunikolog/istraživačica komunikologinja
Q000713	Samostalni istraživač komunikolog/samostalna istraživačica komunikologinja
Q000714	Diplomirani penolog/diplomirana penologinja
Q000715	Diplomirani filozof/diplomirana filozofkinja
Q000716	Istraživač/istraživačica filozofije
Q000717	Samostalni istraživač/samostalna istraživačica filozofije
Q000718	Diplomirani politolog/diplomirana politologinja
Q000719	Istraživač/istraživačica politologije
Q000720	Samostalni istraživač/samostalna istraživačica politologije
Q000721	Diplomirani povjesničar/diplomirana povjesničarka
Q000722	Istraživač/istraživačica povijesti
Q000723	Samostalni istraživač/samostalna istraživačica povijesti
Q000724	Diplomirani povjesničar/diplomirana povjesničarka umjetnosti
Q000725	Leksikograf/leksikografkinja
Q000726	Diplomirani indolog/diplomirana indologinja
Q000727	Diplomirani hungarolog/diplomirana hungarologinja
Q000728	Diplomirani turkolog/diplomirana turkologinja
Q000729	Psiholog/psihologinja rada
Q000730	Školski psiholog/školska psihologinja
Q000731	Klinički psiholog/klinička psihologinja
Q000732	Sportski psiholog/sportska psihologinja
Q000733	Istraživač psiholog/istraživačica psihologinja
Q000734	Samostalni istraživač psiholog/samostalna istraživačica psihologinja
Q000735	Diplomirani socijalni radnik/diplomirana socijalna radnica u centru
Q000736	Diplomirani socijalni radnik/diplomirana socijalna radnica u zdravstvu
Q000737	Novinar/novinarka
Q000738	Korektor/korektorica u izdavaštvu
Q000739	Književnik/književnica
Q000740	Dramaturg/dramaturginja
Q000741	Tehnički pisac
Q000742	Pisac reklamnih poruka
Q000743	Recenzent/recenzentica
Q000744	Moderator/moderatorica
Q000745	Akademski slikar/akademska slikarica
Q000746	Akademski grafičar/akademska grafičarka
Q000747	Akademski kipar/akademska kiparica
Q000748	Slikar naivac/slikarica naivka
Q000749	Kipar naivac/kiparica naivka
Q000750	Tapiserist/tapiseristica
Q000751	Akademski keramičar/akademska keramičarka
Q000752	Akademski dirigent/akademska dirigentica
Q000753	Akademski skladatelj/akademska skladateljica
Q000754	Akademski muzikolog/akademska muzikologinja
Q000755	Akademski klavirist/akademska klaviristica
Q000756	Akademski orguljaš/akademska orguljašica
Q000757	Akademski harfist/akademska harfistica
Q000758	Akademski violinist/akademska violinistica
Q000759	Akademski violist/akademska violistica
Q000760	Akademski violončelist/akademska violončelistica
Q000761	Akademski kontrabasist/akademska kontrabasistica
Q000762	Akademski gitarist/akademska gitaristica
Q000763	Akademski flautist/akademska flautistica
Q000764	Akademski oboist/akademska oboistica
Q000765	Akademski klarinetist/akademska klarinetistica
Q000766	Akademski saksofonist/akademska saksofonistica
Q000767	Akademski fagotist/akademska fagotistica
Q000768	Akademski rogist/akademska rogistica
Q000769	Akademski trubljač/akademska trubljačica
Q000770	Akademski trombonist/akademska trombonistica
Q000771	Akademski tubist/akademska tubistica
Q000772	Akademski udaraljkaš/akademska udaraljkašica
Q000773	Akademski crkveni glazbenik/akademska crkvena glazbenica
Q000774	Korepetitor/korepetitorica
Q000775	Akademski folklorni glazbenik/akademska folklorna glazbenica
Q000776	Akademski instrumentalist/akademska instrumentalistica
Q000777	Sopran solistica
Q000778	Mezosopran solistica
Q000779	Alt solistica
Q000780	Bariton solist
Q000781	Bas solist
Q000782	Akademski solopjevač/akademska solopjevačica
Q000783	Redatelj/redateljica operne predstave
Q000784	Inspicijent/inspicijentica opere
Q000785	Plesač/plesačica klasičnog baleta
Q000786	Plesač/plesačica suvremenog plesa
Q000787	Koreograf/koreografkinja
Q000788	Glumac/glumica
Q000789	Redatelj/redateljica
Q000790	Biskup
Q000791	Episkop
Q000792	Imam
Q000793	Poglavar/poglavarica redovničke zajednice
Q000794	Svećenik/svećenica
Q000795	Redovnik/redovnica
Q000796	Diplomirani teolog/diplomirana teologinja
Q000797	Pastor
Q000798	Rabin
Q000799	Carinski inspektor/carinska inspektorica
Q000800	Devizni inspektor/devizna inspektorica
Q000801	Državni inspektor/državna inspektorica za poštu
Q000802	Državni inspektor/državna inspektorica za telekomunikacije
Q000803	Državni revizor/državna revizorica
Q000804	Elektroenergetski inspektor/elektroenergetska inspektorica
Q000805	Inspektor/inspektorica financijske policije
Q000806	Lovni inspektor/lovna inspektorica
Q000807	Inspektor/inspektorica parnih kotlova
Q000808	Poljoprivredni inspektor/poljoprivredna inspektorica
Q000809	Porezni inspektor/porezna inspektorica
Q000810	Inspektor/inspektorica postrojenja pod tlakom
Q000811	Prosvjetni inspektor/prosvjetna inspektorica
Q000812	Ribarski inspektor/ribarska inspektorica za morsko ribarstvo
Q000813	Ribarski inspektor/ribarska inspektorica vanjskoga ribolovnog mora
Q000814	Rudarski inspektor/rudarska inspektorica
Q000815	Šumski inspektor/šumska inspektorica
Q000816	Turistički inspektor/turistička inspektorica
Q000817	Inspektor/inspektorica uređaja s radioaktivnim zračenjem
Q000818	Vodoprivredni inspektor/vodoprivredna inspektorica
Q000819	Inspektor/inspektorica za nadzor predmeta od plemenitih kovina
Q000820	Inspektor/inspektorica za nadzor mjernih jedinica
Q000821	Inspektor/inspektorica za slatkovodno ribarstvo
Q000822	Inspektor/inspektorica zaštite od požara
Q000823	Inspektor/inspektorica zaštite okoliša
Q000824	Zdravstveni inspektor/zdravstvena inspektorica
Q000825	Inspektor/inspektorica zrakoplovstva
Q000826	Inspektor/inspektorica pravosudne policije
Q000827	Proračunski inspektor/proračunska inspektorica
Q000828	Inspektor/inspektorica državne uprave, p.n.
Q000829	Prehrambenokemijski laborant/prehrambenokemijska laborantica
Q000830	Kemijski inženjer analitičar/kemijska inženjerka analitičarka
Q000831	Kemijski tehničar/kemijska tehničarka analitičkih sustava
Q000832	Kemijski tehničar/kemijska tehničarka anorganskih sustava
Q000833	Kemijski tehničar/kemijska tehničarka organskih sustava
Q000834	Tehničar/tehničarka radioloških sustava
Q000835	Tehničar/tehničarka farmaceutskih sustava
Q000836	Kemijski tehničar/kemijska tehničarka
Q000837	Astronomski tehničar/astronomska tehničarka
Q000838	Meteorološki tehničar/meteorološka tehničarka
Q000839	Meteorološki inženjer/meteorološka inženjerka
Q000840	Hidrološki tehničar/hidrološka tehničarka
Q000841	Hidrološki inženjer/hidrološka inženjerka
Q000842	Fizikalni tehničar/fizikalna tehničarka
Q000843	Tehničar/tehničarka geološkog istraživanja ležišta
Q000844	Inženjer/inženjerka naftne geologije
Q000845	Geološki tehničar/geološka tehničarka
Q000846	Inženjer/inženjerka geofizičkih istraživanja
Q000847	Gravimetrijski i magnetometrijski tehničar/gravimetrijska i magnetometrijska tehničarka
Q000848	Tehničar/tehničarka geoelektričnih mjerenja
Q000849	Tehničar/tehničarka obrade geofizičkih podataka
Q000850	Tehničar/tehničarka interpretacije geofizičkih podataka
Q000851	Geofizički tehničar/geofizička tehničarka
Q000852	Projektant/projektantica visokogradnje
Q000853	Projektant/projektantica hidrogradnje
Q000854	Prostorni planer/prostorna planerka
Q000855	Prostorni projektant/prostorna projektantica
Q000856	Inženjer voditelj/inženjerka voditeljica gradnje prometnica
Q000857	Inženjer voditelj/inženjerka voditeljica radova visokogradnje
Q000858	Voditelj/voditeljica asfaltirnice
Q000859	Tehnički crtač/tehnička crtačica za arhitekturu
Q000860	Tehnički crtač/tehnička crtačica za građevinarstvo
Q000861	Građevinski tehničar razrađivač/građevinska tehničarka razrađivačica projekta
Q000862	Građevinski tehničar/građevinska tehničarka visokogradnje
Q000863	Građevinski inženjer/građevinska inženjerka
Q000864	Građevinski poslovođa/građevinska poslovotkinja
Q000865	Kartograf/kartografkinja
Q000866	Geodetski inženjer/geodetska inženjerka za pregled i ovjeru elaborata
Q000867	Geodetski inženjer/geodetska inženjerka za katastar vodova
Q000868	Geodetski inženjer/geodetska inženjerka za urbanističku regulativu
Q000869	Geodetski tehničar/geodetska tehničarka za katastar
Q000870	Geodetski tehničar/geodetska tehničarka za evidenciju državnog vlasništva
Q000871	Geodetski inženjer/geodetska inženjerka za evidenciju prostornih jedinica
Q000872	Geodetski tehničar/geodetska tehničarka hidrografije
Q000873	Geodetski tehničar/geodetska tehničarka
Q000874	Voditelj/voditeljica rudarskoga katastra
Q000875	Tehničar rudarski mjernik/tehničarka rudarska mjernica
Q000876	Tehnički geodetski crtač/tehnička geodetska crtačica
Q000877	Elektrotehničar/elektrotehničarka za proizvodnju električne energije
Q000878	Elektroinženjer/elektroinženjerka za proizvodnju električne energije
Q000879	Elektrotehničar/elektrotehničarka za distribuciju električne energije
Q000880	Elektroinženjer/elektroinženjerka za prijenos i distribuciju električne energije
Q000881	Elektroenergetski inženjer/elektroenergetska inženjerka
Q000882	Inženjer konstruktor/inženjerka konstruktorica električnih proizvoda
Q000883	Elektrostrojarski tehničar/elektrostrojarska tehničarka
Q000884	Elektrostrojarski inženjer/elektrostrojarska inženjerka
Q000885	Tehničar/tehničarka za proizvodnju elektrotehničkih proizvoda
Q000886	Inženjer/inženjerka za proizvodnju elektrotehničkih proizvoda
Q000887	Elektrotehničar/elektrotehničarka proizvoda za kućanstvo
Q000888	Elektrotehničar/elektrotehničarka za mjerne instrumente i sklopove
Q000889	Elektroinženjer/elektroinženjerka za mjerne instrumente i sklopove
Q000890	Elektroinženjer/elektroinženjerka za opremu proizvodnih strojeva
Q000891	Elektrotehničar/elektrotehničarka za procesnu tehniku
Q000892	Elektroinženjer/elektroinženjerka za plovila
Q000893	Elektrotehničar/elektrotehničarka za dizala i transportna sredstva
Q000894	Elektrotehničar/elektrotehničarka za instalacije i opremu
Q000895	Tehnički crtač/tehnička crtačica za elektrotehniku
Q000896	Elektrotehničar/elektrotehničarka
Q000897	Elektroinženjer/elektroinženjerka
Q000898	Predradnik/predradnica u elektromontaži i instalacijama
Q000899	Inženjer/inženjerka za elektroničke proizvode
Q000900	Tehničar/tehničarka za energetsko-elektroničke uređaje
Q000901	Tehničar/tehničarka za medicinske elektroničke uređaje
Q000902	Inženjer/inženjerka za medicinske elektroničke uređaje
Q000903	Tehničar/tehničarka za uređaje zrakoplovne eletronike
Q000904	Inženjer/inženjerka za uređaje zrakoplovne eletronike
Q000905	Tehničar elektroničar/tehničarka elektroničarka za računala
Q000906	Inženjer elektroničar/inženjerka elektroničarka za računala
Q000907	Tehničar/tehničarka za zrakoplovne telekomunikacije
Q000908	Inženjer/inženjerka za zrakoplovne telekomunikacije
Q000909	Tehničar/tehničarka za brodske telekomunikacije
Q000910	Tehničar/tehničarka za telekomunikacije
Q000911	Inženjer/inženjerka za telekomunikacije
Q000912	Tehničar/tehničarka za radijske i televizijske uređaje
Q000913	Tehničar/tehničarka elektronike za signalno-zaštitne uređaje
Q000914	Tehničar/tehničarka elektronike za mjerne i upravljačke uređaje
Q000915	Inženjer/inženjerka za mjerne i upravljačke uređaje
Q000916	Tehničar/tehničarka za procesnu automatiku
Q000917	Inženjer/inženjerka za procesnu automatiku
Q000918	Tehnički crtač/tehnička crtačica za elektroniku
Q000919	Tehničar/tehničarka za mehatroniku
Q000920	Tehničar/tehničarka elektronike
Q000921	Inženjer/inženjerka elektronike
Q000922	Predradnik elektroničar/predradnica elektroničarka
Q000923	Predradnik elektroničar/predradnica elektroničarka u montaži
Q000924	Konstruktor/konstruktorica cestovnih vozila
Q000925	Konstruktor/konstruktorica tekstilnih strojeva
Q000926	Konstruktor/konstruktorica poljoprivrednih strojeva
Q000927	Konstruktor/konstruktorica šivaćih  strojeva
Q000928	Konstruktor/konstruktorica dizalica
Q000929	Konstruktor/konstruktorica turbina
Q000930	Konstruktor/konstruktorica proizvoda precizne mehanike
Q000931	Konstruktor/konstruktorica uređaja  za zavarivanje
Q000932	Konstruktor/konstruktorica tlačnih posuda
Q000933	Strojarski konstruktor/strojarska konstruktorica
Q000934	Konstruktor/konstruktorica pripremaka
Q000935	Konstruktor/konstruktorica strojnih dijelova
Q000936	Konstruktor/konstruktorica limenih dijelova
Q000937	Konstruktor/konstruktorica dijelova proizvoda precizne mehanike
Q000938	Konstruktor/konstruktorica cjevovoda
Q000939	Strojarski konstruktor detaljist/strojarska konstruktorica detaljistica
Q000940	Konstruktor/konstruktorica dijelova plovila
Q000941	Konstruktor/konstruktorica plovila
Q000942	Tehničar/tehničarka za obradu deformacijom
Q000943	Tehnolog/tehnologinja za obradu deformacijom
Q000944	Tehničar/tehničarka za obradu odvajanjem čestica
Q000945	Tehnolog/tehnologinja za obradu odvajanjem čestica
Q000946	Tehnolog/tehnologinja za zavarivanje
Q000947	Strojarski tehničar/strojarska tehničarka za preradu plastičnih masa
Q000948	Strojarski tehnolog/strojarska tehnologinja za preradu plastičnih masa
Q000949	Strojarski tehničar/strojarska tehničarka za montažne  postupke
Q000950	Strojarski tehnolog/strojarska tehnologinja za montažne  postupke
Q000951	Tehničar/tehničarka za gradnju plovila
Q000952	Tehnolog/tehnologinja za gradnju plovila
Q000953	Strojarski tehničar/strojarska tehničarka održavanja procesne opreme
Q000954	Strojarski tehnolog/strojarska tehnologinja održavanja procesne opreme
Q000955	Strojarski tehnolog/strojarska tehnologinja održavanja cestovnih vozila
Q000956	Strojarski tehničar/strojarska tehničarka održavanja pružnih vozila
Q000957	Strojarski tehnolog/strojarska tehnologinja održavanja pružnih vozila
Q000958	Strojarski tehnolog/strojarska tehnologinja održavanja proizvodne opreme
Q000959	Strojarski tehničar/strojarska tehničarka održavanja energetskog postrojenja
Q000960	Strojarski tehničar/strojarska tehničarka održavanja metalurške opreme
Q000961	Strojarski tehničar/strojarska tehničarka održavanja zrakoplova
Q000962	Strojarski tehnolog/strojarska tehnologinja održavanja zrakoplova
Q000963	Strojarski tehnolog/strojarska tehnologinja održavanja plinske mreže
Q000964	Strojarski tehničar/strojarska tehničarka održavanja brodske opreme
Q000965	Strojarski tehnolog/strojarska tehnologinja održavanja brodske opreme
Q000966	Strojarski tehnolog/strojarska tehnologinja održavanja cjevovodne mreže
Q000967	Strojarski tehnolog/strojarska tehnologinja održavanja opreme
Q000968	Tehnički crtač/tehnička crtačica za strojarstvo
Q000969	Tehnički crtač/tehnička crtačica za brodogradnju
Q000970	Strojarski inženjer/strojarska inženjerka
Q000971	Brodograđevni tehničar/brodograđevna tehničarka
Q000972	Brodograđevni inženjer/brodograđevna inženjerka
Q000973	Predradnik/predradnica obrade kovina
