C000001_sk_000	Príslušníci ozbrojených síl
C000742_sk_000	moderátor/moderátorka
C000742_sk_001	moderátor
C000742_sk_002	moderátorka
C000742_sk_003	rozhlasová moderátorka
C000742_sk_004	rozhlasový moderátor
C000742_sk_005	televízna moderátorka
C000742_sk_006	televízny moderátor
C000743_sk_000	inštruktor golfu/inštruktorka golfu
C000743_sk_001	inštruktor golfu
C000743_sk_002	inštruktorka golfu
C000744_sk_000	energetický poradca/energetická poradkyňa pre domácnosti
C000744_sk_001	energetická poradkyňa pre domácnosti
C000744_sk_002	energetický poradca pre domácnosti
C000745_sk_000	administratívny pracovník/administratívna pracovníčka evidencie členskej základne
C000745_sk_001	administratívna pracovníčka evidencie členskej základne
C000745_sk_002	administratívny pracovník evidencie členskej základne
C000746_sk_000	ručný zvrškár/ručná zvrškárka
C000746_sk_001	ručná zvrškárka
C000746_sk_002	ručný zvrškár
C000747_sk_000	detský pestún/detská pestúnka
C000747_sk_001	detská pestúnka
C000747_sk_002	detský pestún
C000748_sk_000	veľkoobchodný sprostredkovateľ/veľkoobchodná sprostredkovateľka v oblasti parfumérskeho a kozmetického tovaru
C000748_sk_001	veľkoobchodná sprostredkovateľka v oblasti parfumérskeho a kozmetického tovaru
C000748_sk_002	veľkoobchodný sprostredkovateľ v oblasti parfumérskeho a kozmetického tovaru
C000749_sk_000	nitovač/nitovačka
C000749_sk_001	nitovač
C000749_sk_002	nitovačka
C000749_sk_003	nitár
C000749_sk_004	nitárka
C000750_sk_000	výrobca/výrobkyňa strunových hudobných nástrojov
C000750_sk_001	výrobca strunových hudobných nástrojov
C000750_sk_002	výrobkyňa strunových hudobných nástrojov
C000751_sk_000	operátor/operátorka stroja na výrobu textilných vzorov
C000751_sk_001	operátor stroja na výrobu textilných vzorov
C000751_sk_002	operátorka stroja na výrobu textilných vzorov
C000752_sk_000	vývojár testov/vývojárka testov
C000752_sk_001	vývojár testov
C000752_sk_002	vývojárka testov
C000753_sk_000	operátor/operátorka hydraulického kovacieho lisu
C000753_sk_001	operátor hydraulického kovacieho lisu
C000753_sk_002	operátorka hydraulického kovacieho lisu
C000754_sk_000	operátor/operátorka stroja na perforáciu a navíjanie hygienického papiera
C000754_sk_001	operátor stroja na perforáciu a navíjanie tissue papiera
C000754_sk_002	operátorka stroja na perforáciu a navíjanie tissue papiera
C000755_sk_000	veterinárny masér/veterinárna masérka
C000755_sk_001	masér zvierat
C000755_sk_002	masérka zvierat
C000755_sk_003	odborník na masáž zvierat
C000755_sk_004	odborníčka na masáž zvierat
C000755_sk_005	veterinárna masérka
C000755_sk_006	veterinárna terapeutka
C000755_sk_007	veterinárny masér
C000755_sk_008	veterinárny terapeut
C000756_sk_000	špecialista/špecialistka v oblasti leteckých motorov
C000756_sk_001	špecialista v oblasti leteckých motorov
C000756_sk_002	špecialistka v oblasti leteckých motorov
C000757_sk_000	inštruktor boxu/inštruktorka boxu
C000757_sk_001	inštruktor boxu
C000757_sk_002	inštruktorka boxu
C000758_sk_000	ošetrovateľ zvierat/ošetrovateľka zvierat
C000758_sk_001	chovateľ zvierat
C000758_sk_002	chovateľka zvierat
C000758_sk_003	opatrovateľ zvierat
C000758_sk_004	opatrovateľka zvierat
C000758_sk_005	ošetrovateľ v zoo
C000758_sk_006	ošetrovateľ zvierat
C000758_sk_007	ošetrovateľka v zoo
C000758_sk_008	ošetrovateľka zvierat
C000758_sk_009	pracovník v útulku
C000758_sk_010	pracovníčka v útulku
C000759_sk_000	predavač/predavačka v obchode
C000759_sk_001	predavač v obchode
C000759_sk_002	predavačka v obchode
C000760_sk_000	veliteľ/veliteľka flotily
C000760_sk_001	veliteľ flotily
C000760_sk_002	veliteľka flotily
C000761_sk_000	veterinárny terapeut/veterinárna terapeutka
C000761_sk_001	ošetrovateľ zvierat
C000761_sk_002	ošetrovateľka zvierat
C000761_sk_003	rehabilitačná pracovníčka pre zvieratá
C000761_sk_004	rehabilitačný pracovník pre zvieratá
C000761_sk_005	terapeut pre zvieratá
C000761_sk_006	terapeutka pre zvieratá
C000761_sk_007	veterinárna rehabilitačná pracovníčka
C000761_sk_008	veterinárna terapeutka
C000761_sk_009	veterinárny rehabilitačný pracovník
C000761_sk_010	veterinárny terapeut
C000762_sk_000	záchranár/záchranárka rýchlej zdravotnej pomoci
C000762_sk_001	záchranár rýchlej zdravotnej pomoci
C000762_sk_002	záchranárka rýchlej zdravotnej pomoci
C000763_sk_000	montér dverí/montérka dverí
C000763_sk_001	montér dverí
C000763_sk_002	montérka dverí
C000764_sk_000	mechanik/mechanička systémov s kvapalinovým pohonom
C000764_sk_001	mechanik systémov s kvapalinovým pohonom
C000764_sk_002	mechanička systémov s kvapalinovým pohonom
C000765_sk_000	podnikový školiteľ/podniková školiteľka
C000765_sk_001	firemná školiteľka
C000765_sk_002	firemný školiteľ
C000765_sk_003	podniková školiteľka
C000765_sk_004	podnikový školiteľ
C000766_sk_000	špecialista/špecialistka parných strojov a zariadení
C000766_sk_001	špecialista parných strojov a zariadení
C000766_sk_002	špecialista v oblasti parných technológií
C000766_sk_003	špecialistka parných strojov a zariadení
C000766_sk_004	špecialistka v oblasti parných technológií
C000767_sk_000	vysokoškolský pedagóg/vysokoškolská pedagogička v odbore lekárstvo
C000767_sk_001	vysokoškolská pedagogička v odbore lekárstvo
C000767_sk_002	vysokoškolský pedagóg v odbore lekárstvo
C000768_sk_000	operátor/operátorka telefónnej ústredne
C000768_sk_001	operátor telefónnej ústredne
C000768_sk_002	operátorka telefónnej ústredne
C000769_sk_000	chirurgický asistent/chirurgická asistentka
C000769_sk_001	chirurgická asistentka
C000769_sk_002	chirurgický asistent
C000770_sk_000	montér/montérka káblových vedení
C000770_sk_001	montér káblových elektrických vedení
C000770_sk_002	montérka káblových elektrických vedení
C000771_sk_000	inštruktor/inštruktorka jazdy na koni
C000771_sk_001	inštruktor jazdy na koni
C000771_sk_002	inštruktorka jazdy na koni
C000772_sk_000	vodič dodávkového vozidla/vodička dodávkového vozidla
C000772_sk_001	vodič dodávkového vozidla
C000772_sk_002	vodička dodávkového vozidla
C000773_sk_000	súdny znalec IT/súdna znalkyňa IT
C000773_sk_001	forenzná odborníčka IT
C000773_sk_002	forenzný odborník IT
C000773_sk_003	súdna znalkyňa IT
C000773_sk_004	súdna znalkyňa v oblasti výpočtovej techniky
C000773_sk_005	súdny znalec IT
C000773_sk_006	súdny znalec v oblasti výpočtovej techniky
C000773_sk_007	vyšetrovateľ počítačovej kriminality
C000773_sk_008	vyšetrovateľka počítačovej kriminality
C000774_sk_000	špecialista/špecialistka na zdravotnícke pomôcky
C000774_sk_001	špecialista na zdravotnícke pomôcky
C000774_sk_002	špecialistka na zdravotnícke pomôcky
C000775_sk_000	vedúci/vedúca predajne telekomunikačných zariadení
C000775_sk_001	vedúca predajne telekomunikačných zariadení
C000775_sk_002	vedúci predajne telekomunikačných zariadení
C000776_sk_000	manažér/manažérka dovozu a vývozu poľnohospodárskych strojov a zariadení
C000776_sk_001	manažér dovozu a vývozu poľnohospodárskych strojov a zariadení
C000776_sk_002	manažérka dovozu a vývozu poľnohospodárskych strojov a zariadení
C000777_sk_000	stavebný rozpočtár špecialista/stavebná rozpočtárka špecialista
C000777_sk_001	stavebná rozpočtárka špecialista
C000777_sk_002	stavebný rozpočtár špecialista
C000778_sk_000	koordinátor/koordinátorka nákladnej lodnej dopravy
C000778_sk_001	koordinátor nákladnej lodnej dopravy
C000778_sk_002	koordinátorka nákladnej lodnej dopravy
C000779_sk_000	historik/historička
C000779_sk_001	historik
C000779_sk_002	historička
C000780_sk_000	bezpečnostný konzultant IT/bezpečnostná konzultantka IT
C000780_sk_001	bezpečnostná konzultantka IKT
C000780_sk_002	bezpečnostná konzultantka IT
C000780_sk_003	bezpečnostná poradkyňa IT
C000780_sk_004	bezpečnostný konzultant IKT
C000780_sk_005	bezpečnostný konzultant IT
C000780_sk_006	bezpečnostný poradca IT
C000780_sk_007	konzultant bezpečnosti systémov IT
C000780_sk_008	konzultant zabezpečenia IKT
C000780_sk_009	konzultantka bezpečnosti systémov IT
C000780_sk_010	konzultantka zabezpečenia IKT
C000781_sk_000	manažér/manažérka v chemickej výrobe
C000781_sk_001	manažér v chemickej výrobe
C000781_sk_002	manažérka v chemickej výrobe
C000782_sk_000	špecialista/špecialistka na sociálnoprávnu ochranu detí a kuratelu
C000782_sk_001	špecialista na sociálnoprávnu ochranu detí a kuratelu
C000782_sk_002	špecialistka na sociálnoprávnu ochranu detí a kuratelu
C000783_sk_000	manažér/manažérka letovej prevádzky
C000783_sk_001	manažér letovej prevádzky
C000783_sk_002	manažérka letovej prevádzky
C000784_sk_000	stredoškolský učiteľ/stredoškolská učiteľka IKT
C000784_sk_001	stredoškolská učiteľka IKT
C000784_sk_002	stredoškolský učiteľ IKT
C000785_sk_000	operátor/operátorka pece na pálenie vápna
C000785_sk_001	operátor pece na pálenie vápna
C000785_sk_002	operátorka pece na pálenie vápna
C000786_sk_000	technik/technička chovu v otvorených akvakultúrnych zariadeniach
C000786_sk_001	technik chovu v otvorených akvakultúrnych zariadeniach
C000786_sk_002	technička chovu v otvorených akvakultúrnych zariadeniach
C000787_sk_000	technik/technička v oblasti meteorológie
C000787_sk_001	technik v oblasti meteorológie
C000787_sk_002	technička v oblasti meteorológie
C000788_sk_000	chemik/chemička
C000788_sk_001	chemik
C000788_sk_002	chemička
C000789_sk_000	predavač/predavačka zbraní a streliva
C000789_sk_001	predavač poľovníckych potrieb
C000789_sk_002	predavač zbraní a streliva
C000789_sk_003	predavačka poľovníckych potrieb
C000789_sk_004	predavačka zbraní a streliva
C000790_sk_000	zvukový technik/zvuková technička
C000790_sk_001	operátor zvukovej techniky
C000790_sk_002	operátorka zvukovej techniky
C000790_sk_003	zvuková technička
C000790_sk_004	zvukový technik
C000791_sk_000	operátor/operátorka zariadení v práčovni a čistiarni
C000791_sk_001	operátor zariadení v práčovni a čistiarni
C000791_sk_002	operátorka zariadení v práčovni a čistiarni
C000792_sk_000	biotechnik/biotechnička
C000792_sk_001	biotechnik
C000792_sk_002	biotechnička
C000793_sk_000	operátor/operátorka granulátora
C000793_sk_001	operátor granulátora
C000793_sk_002	operátorka granulovača
C000794_sk_000	audio opisovateľ/audio opisovateľka pre nevidiacich
C000794_sk_001	audio opisovateľ pre nevidiacich
C000794_sk_002	audio opisovateľka pre nevidiacich
C000795_sk_000	hlavný stavbyvedúci/hlavná stavbyvedúca
C000795_sk_001	hlavná stavbyvedúca
C000795_sk_002	hlavný stavbyvedúci
C000795_sk_003	stavbyvedúca
C000795_sk_004	stavbyvedúci
C000796_sk_000	marketingový riaditeľ/marketingová riaditeľka
C000796_sk_001	marketingová riaditeľka
C000796_sk_002	marketingový riaditeľ
C000796_sk_003	vedúca marketingu
C000796_sk_004	vedúci marketingu
C000797_sk_000	manažér/manažérka prieskumov v teréne
C000797_sk_001	manažér prieskumov v teréne
C000797_sk_002	manažérka prieskumov v teréne
C000798_sk_000	operátor vyvrtávačky/operátorka vyvrtávačky
C000798_sk_001	operátor vyvrtávačky
C000798_sk_002	operátorka vyvrtávačky
C000799_sk_000	dirigent/dirigentka
C000799_sk_001	dirigent
C000799_sk_002	dirigentka
C000800_sk_000	supervízor/supervízorka v kožiarskej výrobe
C000800_sk_001	supervízor v kožiarskej výrobe
C000800_sk_002	supervízorka v kožiarskej výrobe
C000801_sk_000	špecialista/špecialistka v oblasti využívania obnoviteľných zdrojov energie
C000801_sk_001	špecialista v oblasti využívania obnoviteľných zdrojov energie
C000801_sk_002	špecialistka v oblasti využívania obnoviteľných zdrojov energie
C000802_sk_000	technik/technička pre mikroelektronické zariadenia
C000802_sk_001	technik pre mikroelektronické zariadenia
C000802_sk_002	technička pre mikroelektronické zariadenia
C000803_sk_000	operátor/operátorka vežového žeriavu
C000803_sk_001	operátor vežového žeriavu
C000803_sk_002	operátorka vežového žeriavu
C000803_sk_003	žeriavička
C000803_sk_004	žeriavnik
C000804_sk_000	technik renovátor/technička renovátorka
C000804_sk_001	technik renovátor
C000804_sk_002	technička renovátorka
C000805_sk_000	investičný manažér/investičná manažérka
C000805_sk_001	investičná manažérka
C000805_sk_002	investičný manažér
C000806_sk_000	pracovník/pracovníčka telefonického predaja a telemarketingu
C000806_sk_001	pracovník telefonického predaja a telemarketingu
C000806_sk_002	pracovníčka telefonického predaja a telemarketingu
C000806_sk_003	predajca v call centre
C000806_sk_004	predajkyňa v call centre
C000807_sk_000	chovateľ/chovateľka kožušinových zvierat
C000807_sk_001	chovateľ kožušinových zvierat
C000807_sk_002	chovateľka kožušinových zvierat
C000807_sk_003	kožušinár
C000807_sk_004	kožušinárka
C000807_sk_005	odborník v chove kožušinových zvierat
C000807_sk_006	odborníčka v chove kožušinových zvierat
C000807_sk_007	ošetrovateľ zvierat chovaných na kožušinu
C000807_sk_008	ošetrovateľka zvierat chovaných na kožušinu
C000808_sk_000	štátny tajomník/štátna tajomníčka
C000808_sk_001	štátna tajomníčka
C000808_sk_002	štátny tajomník
C000809_sk_000	technik/technička inteligentného javiskového osvetlenia
C000809_sk_001	majster inteligentného javiskového osvetlenia
C000809_sk_002	majsterka inteligentného javiskového osvetlenia
C000809_sk_003	technik inteligentného javiskového osvetlenia
C000809_sk_004	technička inteligentného javiskového osvetlenia
C000810_sk_000	misionár/misionárka
C000810_sk_001	misionár
C000810_sk_002	misionárka
C000811_sk_000	strojársky technik/strojárska technička v oblasti železničných koľajových vozidiel
C000811_sk_001	strojárska technička v oblasti železničných koľajových vozidiel
C000811_sk_002	strojársky technik v oblasti železničných koľajových vozidiel
C000812_sk_000	manažér/manažérka nehnuteľností
C000812_sk_001	manažér nehnuteľnosti
C000812_sk_002	manažérka nehnuteľnosti
C000813_sk_000	stavebný technik/stavebná technička
C000813_sk_001	stavebná technička
C000813_sk_002	stavebný technik
C000814_sk_000	súdny úradník/súdna úradníčka
C000814_sk_001	súdna úradníčka
C000814_sk_002	súdny úradník
C000815_sk_000	textilný návrhár/textilná návrhárka
C000815_sk_001	textilná návrhárka
C000815_sk_002	textilný návrhár
C000816_sk_000	farmaceut špecialista/farmaceutka špecialistka vo farmaceutickej kontrole
C000816_sk_001	farmaceut špecialista vo farmaceutickej kontrole
C000816_sk_002	farmaceutka špecialistka vo farmaceutickej kontrole
C000817_sk_000	technik/technička ochrany vodných zdrojov
C000817_sk_001	technická pracovníčka režimového sledovania a ochrany vodných zdrojov
C000817_sk_002	technický pracovník režimového sledovania a ochrany vodných zdrojov
C000817_sk_003	technik ochrany vodných zdrojov
C000817_sk_004	technička ochrany vodných zdrojov
C000818_sk_000	operátor/operátorka zariadenia na výrobu brikiet
C000818_sk_001	operátor zariadenia na výrobu brikiet
C000818_sk_002	operátorka zariadenia na výrobu brikiet
C000819_sk_000	operátor/operátorka stroja na lisovanie klinových remeňov
C000819_sk_001	operátor stroja na lisovanie klinových remeňov
C000819_sk_002	operátorka stroja na lisovanie klinových remeňov
C000820_sk_000	obslužný pracovník/obslužná pracovníčka stroja na výrobu cukríkov
C000820_sk_001	obsluha zariadenia na cukríky
C000820_sk_002	obslužná pracovníčka stroja na výrobu cukríkov
C000820_sk_003	obslužná pracovníčka zariadenia na výrobu fondánu a želé
C000820_sk_004	obslužný pracovník stroja na výrobu cukríkov
C000820_sk_005	obslužný pracovník zariadenia na výrobu sladkostí
C000821_sk_000	šéfkuchár/šéfkuchárka
C000821_sk_001	hlavná kuchárka
C000821_sk_002	hlavný kuchár
C000821_sk_003	kuchár
C000821_sk_004	kuchárka
C000821_sk_005	kulinár
C000821_sk_006	kulinárka
C000821_sk_007	majster kuchár
C000821_sk_008	majsterka kuchárka
C000821_sk_009	šéfkuchár
C000821_sk_010	šéfkuchárka
C000822_sk_000	farmakológ/farmakologička
C000822_sk_001	farmakologička
C000822_sk_002	farmakológ
C000823_sk_000	analytik/analytička obnovy IKT po katastrofe
C000823_sk_001	analytik obnovy IKT po havárii
C000823_sk_002	analytik odolnosti IKT
C000823_sk_003	analytik odolnosti IT
C000823_sk_004	analytik zraniteľnosti IT
C000823_sk_005	analytička obnovy IKT po havárii
C000823_sk_006	analytička odolnosti IKT
C000823_sk_007	analytička odolnosti IT
C000823_sk_008	analytička zraniteľnosti IT
C000824_sk_000	výrobca/výrobkyňa filigránu
C000824_sk_001	výrobca filigránu
C000824_sk_002	výrobkyňa filigránu
C000825_sk_000	učiteľ/učiteľka nadaných a talentovaných študentov
C000825_sk_001	učiteľ talentovaných a nadaných študentov
C000825_sk_002	učiteľka talentovaných a nadaných študentov
C000826_sk_000	tvorca/tvorkyňa vstavaných systémov
C000826_sk_001	architekt vstavaných systémov
C000826_sk_002	architektka vstavaných systémov
C000826_sk_003	dizajnér vstavaných systémov
C000826_sk_004	dizajnérka vstavaných systémov
C000826_sk_005	tvorca vložených systémov
C000826_sk_006	tvorca vstavaných systémov
C000826_sk_007	tvorca zabudovaných systémov
C000826_sk_008	tvorkyňa vložených systémov
C000826_sk_009	tvorkyňa vstavaných systémov
C000826_sk_010	tvorkyňa zabudovaných systémov
C000827_sk_000	tester/testerka softvéru
C000827_sk_001	softvérová testerka
C000827_sk_002	softvérový tester
C000827_sk_003	tester jednotiek
C000827_sk_004	tester modulov
C000827_sk_005	tester programov
C000827_sk_006	tester softvéru
C000827_sk_007	tester softvéru aplikácií
C000827_sk_008	testerka jednotiek
C000827_sk_009	testerka modulov
C000827_sk_010	testerka programov
C000827_sk_011	testerka softvéru
C000827_sk_012	testerka softvéru aplikácií
C000828_sk_000	operátor/operátorka zákrutového stroja
C000828_sk_001	operátor zákrutového stroja
C000828_sk_002	operátorka zákrutového stroja
C000829_sk_000	riaditeľ bane/riaditeľka bane
C000829_sk_001	manažér bane
C000829_sk_002	manažérka bane
C000829_sk_003	riaditeľ bane
C000829_sk_004	riaditeľka bane
C000830_sk_000	očný technik/očná technička
C000830_sk_001	očná technička
C000830_sk_002	očný technik
C000831_sk_000	prednášajúci asistent na univerzite/prednášajúca asistentka na univerzite
C000831_sk_001	prednášajúci asistent na univerzite
C000831_sk_002	predášajúca asistentka na univerzite
C000832_sk_000	riadiaci pracovník/riadiaca pracovníčka v oblasti kvality
C000832_sk_001	manažér kvality
C000832_sk_002	manažér kvality služieb
C000832_sk_003	manažérka kvality
C000832_sk_004	manažérka kvality služieb
C000832_sk_005	riadiaca pracovníčka v oblasti kvality
C000832_sk_006	riadiaci pracovník v oblasti kvality
C000833_sk_000	predavač/predavačka športových potrieb
C000833_sk_001	predavač športových potrieb
C000833_sk_002	predavačka športových potrieb
C000834_sk_000	učiteľ/učiteľka pracujúca so žiakmi s poruchami učenia
C000834_sk_001	učiteľ pracujúci so žiakmi s poruchami učenia
C000834_sk_002	učiteľka pracujúca so žiakmi s poruchami učenia
C000835_sk_000	konzultant/konzultantka v oblasti obnoviteľných zdrojov energie
C000835_sk_001	konzultant v oblasti obnoviteľných zdrojov energie
C000835_sk_002	konzultantka v oblasti obnoviteľných zdrojov energie
C000836_sk_000	športový inštruktor/športová inštruktorka
C000836_sk_001	športová inštruktorka
C000836_sk_002	športový inštruktor
C000837_sk_000	vysokoškolský pedagóg/vysokoškolská pedagogička v odbore sociológia
C000837_sk_001	vysokoškolská pedagogička v odbore sociológia
C000837_sk_002	vysokoškolský pedagóg v odbore sociológia
C000838_sk_000	dizajnér/dizajnérka hazardných, stávkových a lotériových hier
C000838_sk_001	dizajnér hazardných, stávkových a lotériových hier
C000838_sk_002	dizajnérka hazardných, stávkových a lotériových hier
C000839_sk_000	technik výroby/technička výroby v strojárstve
C000839_sk_001	technik výroby v strojárstve
C000839_sk_002	technička výroby v strojárstve
C000840_sk_000	vzdelávací pracovník/vzdelávacia pracovníčka v oblasti ochrany životného prostredia
C000840_sk_001	vzdelávacia pracovníčka v oblasti ochrany životného prostredia
C000840_sk_002	vzdelávací pracovník v oblasti ochrany životného prostredia
C000841_sk_000	kineziológ/kineziologička
C000841_sk_001	kineziologička
C000841_sk_002	kineziológ
C000842_sk_000	chemik/chemička v kozmetickom priemysle
C000842_sk_001	chemik v kozmetickom priemysle
C000842_sk_002	chemička v kozmetickom priemysle
C000843_sk_000	vedecký pracovník/vedecká pracovníčka v oblasti životného prostredia
C000843_sk_001	vedecká pracovníčka v oblasti životného prostredia
C000843_sk_002	vedecký pracovník v oblasti životného prostredia
C000844_sk_000	sociológ/sociologička
C000844_sk_001	sociologička
C000844_sk_002	sociológ
C000845_sk_000	závodný kuchár/závodná kuchárka
C000845_sk_001	kuchár vo veľkovýrobe
C000845_sk_002	kuchárka vo veľkovýrobe
C000845_sk_003	podniková kuchárka
C000845_sk_004	podnikový kuchár
C000845_sk_005	priemyselná kuchárka
C000845_sk_006	priemyselný kuchár
C000845_sk_007	závodná kuchárka
C000845_sk_008	závodný kuchár
C000846_sk_000	hodinár/hodinárka
C000846_sk_001	hodinár
C000846_sk_002	hodinárka
C000847_sk_000	vývojár/vývojárka vývojár obuvníckych výrobkov
C000847_sk_001	vývojár obuvníckych výrobkov
C000847_sk_002	vývojárka obuvníckych výrobkov
C000848_sk_000	manažér/manažérka dovozu a vývozu strojov, priemyselných zariadení, lodí a lietadiel
C000848_sk_001	manažér dovozu a vývozu strojov, priemyselných zariadení, lodí a lietadiel
C000848_sk_002	manažérka dovozu a vývozu strojov, priemyselných zariadení, lodí a lietadiel
C000849_sk_000	obslužný pracovník/obslužná pracovníčka zariadenia na miešanie
C000849_sk_001	obsluha miešacieho stroja
C000849_sk_002	obslužná pracovníčka pri miešaní
C000849_sk_003	obslužná pracovníčka zariadenia na miešanie
C000849_sk_004	obslužný pracovník stroja na miešanie
C000849_sk_005	obslužný pracovník zariadenia na miešanie
C000850_sk_000	vulkanizér/vulkanizérka pneumatík
C000850_sk_001	vulkanizér pneumatík
C000850_sk_002	vulkanizérka pneumatík
C000851_sk_000	odlievač do kokíl/odlievačka do kokíl
C000851_sk_001	odlievač do kokíl
C000851_sk_002	odlievačka do kokíl
C000852_sk_000	riadiaci pracovník/riadiaca pracovníčka strediska podpory IT
C000852_sk_001	manažér help desku
C000852_sk_002	manažér softvérovej podpory
C000852_sk_003	manažér technickej podpory
C000852_sk_004	manažérka help desku
C000852_sk_005	manažérka softvérovej podpory
C000852_sk_006	manažérka technickej podpory
C000852_sk_007	riadiaca pracovníčka strediska podpory IT
C000852_sk_008	riadiaci pracovník strediska podpory IT
C000853_sk_000	predavač/predavačka v kníhkupectve
C000853_sk_001	kníhkupec
C000853_sk_002	kníhkupkyňa
C000853_sk_003	predavač kníh
C000853_sk_004	predavač v kníhkupectve
C000853_sk_005	predavačka v kníhkupectve
C000853_sk_006	predavčka kníh
C000854_sk_000	dispečer/dispečerka vodnej elektrárne
C000854_sk_001	dispečer vodnej elektrárne
C000854_sk_002	dispečerka vodnej elektrárne
C000855_sk_000	hliadkujúci/hliadkujúca na priechode pre chodcov
C000855_sk_001	hliadkujúca na priechode pre chodcov
C000855_sk_002	hliadkujúci na priechode pre chodcov
C000856_sk_000	výrobca a opravár/výrobkyňa a opravárka strelných zbraní
C000856_sk_001	puškár
C000856_sk_002	puškárka
C000856_sk_003	výrobca a opravár strelných zbraní
C000856_sk_004	výrobkyňa a opravárka strelných zbraní
C000857_sk_000	výhybkár/výhybkárka
C000857_sk_001	výhybkár
C000857_sk_002	výhybkárka
C000858_sk_000	výskumný pracovník/výskumná pracovníčka v oblasti podnikovej ekonomiky
C000858_sk_001	výskumná pracovníčka v oblasti podnikovej ekonomiky
C000858_sk_002	výskumný pracovník v oblasti podnikovej ekonomiky
C000859_sk_000	manažér/manažérka v oblasti spoločenskej zodpovednosti podnikov
C000859_sk_001	manažér v oblasti spoločenskej zodpovednosti podnikov
C000859_sk_002	manažérka v oblasti spoločenskej zodpovednosti podnikov
C000860_sk_000	technik/technička pre vodohospodárske inžinierske práce
C000860_sk_001	technik pre vodohospodárske inžinierske práce
C000860_sk_002	technička pre vodohospodárske inžinierske práce
C000861_sk_000	agitátor/agitátorka v politickej kampani
C000861_sk_001	agitátor v politickej kampani
C000861_sk_002	agitátorka v politickej kampani
C000861_sk_003	volebná agitátorka
C000861_sk_004	volebný agitátor
C000862_sk_000	správca/správkyňa sociálnych sietí
C000862_sk_001	administrátor sociálnych sietí
C000862_sk_002	administrátorka sociálnych sietí
C000862_sk_003	manažér internetového obsahu a sociálnych sietí
C000862_sk_004	manažérka internetového obsahu a sociálnych sietí
C000862_sk_005	odborník na sociálne siete
C000862_sk_006	odborníčka na sociálne siete
C000862_sk_007	správca digitálnych sietí
C000862_sk_008	správca sociálnych sietí
C000862_sk_009	správkyňa digitálnych sietí
C000862_sk_010	správkyňa sociálnych sietí
C000863_sk_000	domáci opatrovateľ/domáca opatrovateľka
C000863_sk_001	domáca opatrovateľka
C000863_sk_002	domáci opatrovateľ
C000864_sk_000	supervízor/supervízorka v odpadovom hospodárstve
C000864_sk_001	supervízor v odpadovom hospodárstve
C000864_sk_002	supervízorka v odpadovom hospodárstve
C000865_sk_000	manažér/manažérka distribúcie textilných strojov
C000865_sk_001	manažér distribúcie textilných strojov
C000865_sk_002	manažérka distribúcie textilných strojov
C000866_sk_000	pracovník/pracovníčka služieb zákazníkom
C000866_sk_001	informátor
C000866_sk_002	informátorka
C000866_sk_003	pracovník informačného pultu
C000866_sk_004	pracovník služieb zákazníkom
C000866_sk_005	pracovníčka informačného pultu
C000866_sk_006	pracovníčka služieb zákazníkom
C000867_sk_000	hudobný režisér/hudobná režisérka
C000867_sk_001	hudobná režisérka
C000867_sk_002	hudobný režisér
C000868_sk_000	predavač/predavačka odevov
C000868_sk_001	predavač odevov
C000868_sk_002	predavačka odevov
C000869_sk_000	riaditeľ/riaditeľka špeciálnej školy
C000869_sk_001	riaditeľ školy pre žiakov so špeciálnymi vzdelávacími potrebami
C000869_sk_002	riaditeľ špeciálnej školy
C000869_sk_003	riaditeľka školy pre žiakov so špeciálnymi vzdelávacími potrebami
C000869_sk_004	riaditeľka špeciálnej školy
C000870_sk_000	obchodný zástupca/obchodná zástupkyňa
C000870_sk_001	obchodná zástupkyňa
C000870_sk_002	obchodný zástupca
C000871_sk_000	montážnik/montážnička polovodičových zariadení
C000871_sk_001	montážnik polovodičových zariadení
C000871_sk_002	montážnička polovodičových zariadení
C000872_sk_000	skladník/skladníčka v obuvníckom závode
C000872_sk_001	skladník v obuvníckom závode
C000872_sk_002	skladníčka v obuvníckom závode
C000873_sk_000	vedúci/vedúca herne
C000873_sk_001	manažér herne
C000873_sk_002	manažérka herne
C000873_sk_003	vedúca herne
C000873_sk_004	vedúci herne
C000874_sk_000	manažér/manažérka vývoja produktov
C000874_sk_001	manažér oddelenia inovácií
C000874_sk_002	manažér vývoja produktov
C000874_sk_003	manažérka oddelenia inovácií
C000874_sk_004	manažérka vývoja produktov
C000875_sk_000	formár/formárka ručne vyrábaných tehál
C000875_sk_001	formár ručne vyrábaných tehál
C000875_sk_002	formár ručných tehál
C000875_sk_003	formárka ručne vyrábaných tehál
C000875_sk_004	formárka ručných tehál
C000876_sk_000	administratívny pracovník/administratívna pracovníčka lekárskych záznamov
C000876_sk_001	administratívna pracovníčka lekárskych záznamov
C000876_sk_002	administratívny pracovník lekárskych záznamov
C000877_sk_000	chovateľ koní/chovateľka koní
C000877_sk_001	chovateľ koní
C000877_sk_002	chovateľka koní
C000877_sk_003	koniar
C000877_sk_004	koniarka
C000877_sk_005	majiteľ žrebčína
C000877_sk_006	majiteľka žrebčína
C000877_sk_007	odborník v chove koní
C000877_sk_008	odborníčka v chove koní
C000877_sk_009	ošetrovateľ koní
C000877_sk_010	ošetrovateľka koní
C000878_sk_000	technik/technička výroby ortopedickej obuvi
C000878_sk_001	technik výroby ortopedickej obuvi
C000878_sk_002	technička výroby ortopedickej obuvi
